dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7724,0.8317,-0.0593,loss,0.138,15.8906,-15.7526,loss,272566,3.5527
ArrowHead,0.8343,0.8377,-0.0034,tie,0.2312,3.2005,-2.9693,loss,268180,3.5359
Beef,0.9,0.8467,0.0533,win,1.0665,5.4866,-4.4201,loss,268438,3.5369
BeetleFly,0.8,0.92,-0.12,loss,-0.0102,1.2424,-1.2526,loss,268051,3.5355
BirdChicken,1.0,0.94,0.06,win,0.4916,3.3665,-2.8749,loss,268051,3.5355
Car,0.9333,0.92,0.0133,win,0.5295,6.6173,-6.0878,loss,268309,3.5364
CBF,1.0,0.9998,0.0002,tie,0.1978,3.5827,-3.3849,loss,268180,3.5359
ChlorineConcentration,0.7214,0.8576,-0.1362,loss,0.2344,2.1418,-1.9074,loss,268180,3.5359
CinCECGTorso,0.8029,0.8239,-0.021,loss,0.8857,4.7745,-3.8888,loss,268309,3.5364
Coffee,1.0,1.0,0.0,tie,0.3925,3.4889,-3.0964,loss,268051,3.5355
Computers,0.652,0.7688,-0.1168,loss,0.3939,3.4427,-3.0488,loss,268051,3.5355
CricketX,0.8538,0.8267,0.0271,win,1.7795,4.5072,-2.7277,loss,269341,3.5403
CricketY,0.8308,0.8231,0.0077,win,1.3085,4.8896,-3.5811,loss,269341,3.5403
CricketZ,0.8487,0.8574,-0.0087,loss,1.4825,4.7715,-3.289,loss,269341,3.5403
DiatomSizeReduction,0.915,0.9719,-0.0569,loss,2.5829,1.0258,1.5571,win,268309,3.5364
DistalPhalanxOutlineAgeGroup,0.7338,0.7151,0.0187,win,0.1584,2.4343,-2.2759,loss,268180,3.5359
DistalPhalanxOutlineCorrect,0.7572,0.7703,-0.0131,loss,-0.0058,0.6399,-0.6457,loss,268051,3.5355
DistalPhalanxTW,0.6547,0.6604,-0.0057,loss,0.4262,3.1209,-2.6947,loss,268567,3.5374
Earthquakes,0.6619,0.7252,-0.0633,loss,0.6751,3.4927,-2.8176,loss,268051,3.5355
ECG200,0.88,0.896,-0.016,loss,0.4448,2.8601,-2.4153,loss,268051,3.5355
ECG5000,0.9362,0.9419,-0.0057,loss,0.8833,6.7025,-5.8192,loss,268438,3.5369
ECGFiveDays,1.0,1.0,0.0,tie,0.0163,4.7579,-4.7416,loss,268051,3.5355
ElectricDevices,0.7186,0.712,0.0066,win,0.2524,4.6437,-4.3913,loss,268696,3.5379
FaceAll,0.8036,0.9528,-0.1492,loss,0.2634,3.9975,-3.7341,loss,269599,3.5413
FaceFour,0.9773,0.9591,0.0182,win,0.8777,6.4735,-5.5958,loss,268309,3.5364
FacesUCR,0.9605,0.9597,0.0008,tie,0.3472,3.1775,-2.8303,loss,269599,3.5413
FiftyWords,0.8132,0.8352,-0.022,loss,0.8282,3.3053,-2.4771,loss,274243,3.5591
Fish,0.9543,0.9806,-0.0263,loss,0.7773,5.4842,-4.7069,loss,268696,3.5379
FordA,0.9568,0.9541,0.0027,tie,-0.1787,2.7146,-2.8933,loss,268051,3.5355
FordB,0.8407,0.8499,-0.0092,loss,0.1875,1.6448,-1.4573,loss,268051,3.5355
GunPoint,0.9933,0.9853,0.008,win,0.3886,4.0108,-3.6222,loss,268051,3.5355
Ham,0.7143,0.7086,0.0057,win,0.5986,3.9279,-3.3293,loss,268051,3.5355
HandOutlines,0.9243,0.9476,-0.0233,loss,0.2061,12.7111,-12.505,loss,268051,3.5355
Haptics,0.4643,0.524,-0.0597,loss,1.6375,5.9916,-4.3541,loss,268438,3.5369
Herring,0.6406,0.5781,0.0625,win,0.4621,4.6122,-4.1501,loss,268051,3.5355
InlineSkate,0.42,0.4913,-0.0713,loss,1.4989,8.1641,-6.6652,loss,268696,3.5379
InsectWingbeatSound,0.5399,0.6146,-0.0747,loss,0.3995,2.7342,-2.3347,loss,269212,3.5398
ItalyPowerDemand,0.9728,0.9506,0.0222,win,0.1741,4.1634,-3.9893,loss,268051,3.5355
LargeKitchenAppliances,0.8933,0.9013,-0.008,loss,1.7394,9.5087,-7.7693,loss,268180,3.5359
Lightning2,0.8197,0.8557,-0.036,loss,0.7434,5.3802,-4.6368,loss,268051,3.5355
Lightning7,0.8356,0.8274,0.0082,win,1.2886,4.2526,-2.964,loss,268696,3.5379
Mallat,0.9557,0.9688,-0.0131,loss,1.2715,6.7384,-5.4669,loss,268825,3.5384
Meat,0.9167,0.9867,-0.07,loss,1.981,6.1908,-4.2098,loss,268180,3.5359
MedicalImages,0.7434,0.8021,-0.0587,loss,0.3236,2.8937,-2.5701,loss,269083,3.5394
MiddlePhalanxOutlineAgeGroup,0.6039,0.5221,0.0818,win,-0.1085,0.9851,-1.0936,loss,268180,3.5359
