dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7801,0.8317,-0.0516,loss,0.8577,1.028,-0.1703,win,-0.0742,15.8906,-15.9648,loss,274614,3.5026
ArrowHead,0.8286,0.8377,-0.0091,loss,0.4433,1.0053,-0.562,win,0.4436,3.2005,-2.7569,loss,270228,3.4859
Beef,0.7667,0.8467,-0.08,loss,0.7325,0.965,-0.2325,win,1.4211,5.4866,-4.0655,loss,270486,3.4869
BeetleFly,0.85,0.92,-0.07,loss,0.3307,0.2905,0.0402,loss,0.7777,1.2424,-0.4647,loss,270099,3.4854
BirdChicken,1.0,0.94,0.06,win,0.1831,0.1447,0.0384,loss,0.7777,3.3665,-2.5888,loss,270099,3.4854
Car,0.9167,0.92,-0.0033,tie,0.3771,0.4259,-0.0488,win,1.3424,6.6173,-5.2749,loss,270357,3.4864
CBF,0.9933,0.9998,-0.0065,loss,0.1914,0.0007,0.1907,loss,0.5734,3.5827,-3.0093,loss,270228,3.4859
ChlorineConcentration,0.8276,0.8576,-0.03,loss,0.477,0.9747,-0.4977,win,0.7169,2.1418,-1.4249,loss,270228,3.4859
CinCECGTorso,0.8978,0.8239,0.0739,win,0.3739,0.9547,-0.5808,win,1.6203,4.7745,-3.1542,loss,270357,3.4864
Coffee,1.0,1.0,0.0,tie,0.0877,0.0,0.0877,loss,0.4527,3.4889,-3.0362,loss,270099,3.4854
Computers,0.628,0.7688,-0.1408,loss,0.7616,2.1231,-1.3615,win,0.8549,3.4427,-2.5878,loss,270099,3.4854
CricketX,0.6923,0.8267,-0.1344,loss,1.0883,0.9717,0.1166,loss,0.9045,4.5072,-3.6027,loss,271389,3.4903
CricketY,0.6923,0.8231,-0.1308,loss,1.0773,0.9759,0.1014,loss,0.7885,4.8896,-4.1011,loss,271389,3.4903
CricketZ,0.7436,0.8574,-0.1138,loss,0.946,0.8017,0.1443,loss,1.0346,4.7715,-3.7369,loss,271389,3.4903
DiatomSizeReduction,0.9706,0.9719,-0.0013,tie,0.1994,0.0944,0.105,loss,-0.51,1.0258,-1.5358,loss,270357,3.4864
DistalPhalanxOutlineAgeGroup,0.741,0.7151,0.0259,win,0.5823,2.5757,-1.9934,win,0.7072,2.4343,-1.7271,loss,270228,3.4859
DistalPhalanxOutlineCorrect,0.7681,0.7703,-0.0022,tie,0.5124,2.0843,-1.5719,win,0.0354,0.6399,-0.6045,loss,270099,3.4854
DistalPhalanxTW,0.6619,0.6604,0.0015,tie,0.8413,2.8454,-2.0041,win,0.1298,3.1209,-2.9911,loss,270615,3.4874
Earthquakes,0.7482,0.7252,0.023,win,0.5726,2.0855,-1.5129,win,0.4463,3.4927,-3.0464,loss,270099,3.4854
ECG200,0.84,0.896,-0.056,loss,0.376,0.8048,-0.4288,win,0.2374,2.8601,-2.6227,loss,270099,3.4854
ECG5000,0.9438,0.9419,0.0019,tie,0.2761,0.6952,-0.4191,win,0.8883,6.7025,-5.8142,loss,270486,3.4869
ECGFiveDays,0.9826,1.0,-0.0174,loss,0.1337,0.0,0.1337,loss,0.2401,4.7579,-4.5178,loss,270099,3.4854
ElectricDevices,0.6663,0.712,-0.0457,loss,1.0822,5.5714,-4.4892,win,0.5186,4.6437,-4.1251,loss,270744,3.4879
FaceAll,0.9077,0.9528,-0.0451,loss,0.5372,0.2954,0.2418,loss,0.3791,3.9975,-3.6184,loss,271647,3.4913
FaceFour,0.9432,0.9591,-0.0159,loss,0.4507,0.468,-0.0173,win,0.6763,6.4735,-5.7972,loss,270357,3.4864
FacesUCR,0.8751,0.9597,-0.0846,loss,0.7128,0.1909,0.5219,loss,0.435,3.1775,-2.7425,loss,271647,3.4913
FiftyWords,0.7692,0.8352,-0.066,loss,1.0183,1.0207,-0.0024,tie,0.6906,3.3053,-2.6147,loss,276291,3.509
Fish,0.9829,0.9806,0.0023,tie,0.2268,0.2986,-0.0718,win,0.6687,5.4842,-4.8155,loss,270744,3.4879
FordA,0.947,0.9541,-0.0071,loss,0.1829,0.4398,-0.2569,win,0.1862,2.7146,-2.5284,loss,270099,3.4854
FordB,0.8123,0.8499,-0.0376,loss,0.4143,1.4783,-1.064,win,0.2554,1.6448,-1.3894,loss,270099,3.4854
GunPoint,0.9867,0.9853,0.0014,tie,0.105,0.0533,0.0517,loss,0.563,4.0108,-3.4478,loss,270099,3.4854
Ham,0.7333,0.7086,0.0247,win,0.5378,1.7929,-1.2551,win,1.1653,3.9279,-2.7626,loss,270099,3.4854
HandOutlines,0.9135,0.9476,-0.0341,loss,0.2879,0.3636,-0.0757,win,3.3191,12.7111,-9.392,loss,270099,3.4854
Haptics,0.4935,0.524,-0.0305,loss,1.3434,3.2084,-1.865,win,1.5915,5.9916,-4.4001,loss,270486,3.4869
Herring,0.5781,0.5781,-0.0,tie,0.9506,3.3086,-2.358,win,0.508,4.6122,-4.1042,loss,270099,3.4854
InlineSkate,0.2455,0.4913,-0.2458,loss,1.8803,2.5766,-0.6963,win,1.1951,8.1641,-6.969,loss,270744,3.4879
InsectWingbeatSound,0.504,0.6146,-0.1106,loss,1.2371,2.598,-1.3609,win,0.4421,2.7342,-2.2921,loss,271260,3.4898
LargeKitchenAppliances,0.8107,0.9013,-0.0906,loss,0.519,1.1387,-0.6197,win,1.2279,9.5087,-8.2808,loss,270228,3.4859
Lightning2,0.7541,0.8557,-0.1016,loss,0.4967,0.9113,-0.4146,win,0.8396,5.3802,-4.5406,loss,270099,3.4854
Lightning7,0.7123,0.8274,-0.1151,loss,0.928,0.9538,-0.0258,win,1.0815,4.2526,-3.1711,loss,270744,3.4879
Mallat,0.9531,0.9688,-0.0157,loss,0.325,0.1333,0.1917,loss,1.6198,6.7384,-5.1186,loss,270873,3.4884
Meat,0.9667,0.9867,-0.02,loss,0.2446,0.0539,0.1907,loss,1.0796,6.1908,-5.1112,loss,270228,3.4859
