dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.8184,0.8317,-0.0133,loss,0.8128,1.028,-0.2152,win,1.3424,15.8906,-14.5482,loss,270518,3.487
ArrowHead,0.7771,0.8377,-0.0606,loss,0.5952,1.0053,-0.4101,win,2.0694,3.2005,-1.1311,loss,266132,3.4703
Beef,0.7667,0.8467,-0.08,loss,0.8096,0.965,-0.1554,win,1.6977,5.4866,-3.7889,loss,266390,3.4713
BeetleFly,0.85,0.92,-0.07,loss,0.4192,0.2905,0.1287,loss,1.4586,1.2424,0.2162,win,266003,3.4698
BirdChicken,0.9,0.94,-0.04,loss,0.3287,0.1447,0.184,loss,1.0672,3.3665,-2.2993,loss,266003,3.4698
Car,0.9167,0.92,-0.0033,tie,0.3609,0.4259,-0.065,win,3.7769,6.6173,-2.8404,loss,266261,3.4708
CBF,0.9956,0.9998,-0.0042,tie,0.1926,0.0007,0.1919,loss,0.8584,3.5827,-2.7243,loss,266132,3.4703
ChlorineConcentration,0.7674,0.8576,-0.0902,loss,0.6221,0.9747,-0.3526,win,1.0971,2.1418,-1.0447,loss,266132,3.4703
CinCECGTorso,0.8906,0.8239,0.0667,win,0.3772,0.9547,-0.5775,win,2.0912,4.7745,-2.6833,loss,266261,3.4708
Coffee,1.0,1.0,0.0,tie,0.0956,0.0,0.0956,loss,0.9824,3.4889,-2.5065,loss,266003,3.4698
Computers,0.82,0.7688,0.0512,win,0.5276,2.1231,-1.5955,win,0.4965,3.4427,-2.9462,loss,266003,3.4698
CricketX,0.7538,0.8267,-0.0729,loss,0.9214,0.9717,-0.0503,win,1.8632,4.5072,-2.644,loss,267293,3.4747
CricketY,0.7308,0.8231,-0.0923,loss,0.9349,0.9759,-0.041,win,1.9442,4.8896,-2.9454,loss,267293,3.4747
CricketZ,0.7974,0.8574,-0.06,loss,0.809,0.8017,0.0073,tie,1.8419,4.7715,-2.9296,loss,267293,3.4747
DiatomSizeReduction,0.9739,0.9719,0.002,tie,0.2004,0.0944,0.106,loss,1.6662,1.0258,0.6404,win,266261,3.4708
DistalPhalanxOutlineAgeGroup,0.7338,0.7151,0.0187,win,0.5787,2.5757,-1.997,win,0.6676,2.4343,-1.7667,loss,266132,3.4703
DistalPhalanxOutlineCorrect,0.75,0.7703,-0.0203,loss,0.4989,2.0843,-1.5854,win,0.8109,0.6399,0.171,win,266003,3.4698
DistalPhalanxTW,0.6403,0.6604,-0.0201,loss,0.8189,2.8454,-2.0265,win,0.8628,3.1209,-2.2581,loss,266519,3.4718
Earthquakes,0.7482,0.7252,0.023,win,0.527,2.0855,-1.5585,win,0.1348,3.4927,-3.3579,loss,266003,3.4698
ECG200,0.85,0.896,-0.046,loss,0.3386,0.8048,-0.4662,win,0.4689,2.8601,-2.3912,loss,266003,3.4698
ECG5000,0.9449,0.9419,0.003,tie,0.2647,0.6952,-0.4305,win,1.4312,6.7025,-5.2713,loss,266390,3.4713
ECGFiveDays,0.9082,1.0,-0.0918,loss,0.2365,0.0,0.2365,loss,1.2096,4.7579,-3.5483,loss,266003,3.4698
