dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.8261,0.8317,-0.0056,loss,0.6679,1.028,-0.3601,win,1.9918,15.8906,-13.8988,loss,427190,4.1231
ArrowHead,0.84,0.8377,0.0023,tie,0.4422,1.0053,-0.5631,win,0.4044,3.2005,-2.7961,loss,422804,4.1064
Beef,0.7667,0.8467,-0.08,loss,0.7201,0.965,-0.2449,win,1.2594,5.4866,-4.2272,loss,423062,4.1073
BeetleFly,0.8,0.92,-0.12,loss,0.3233,0.2905,0.0328,loss,0.3648,1.2424,-0.8776,loss,422675,4.1059
BirdChicken,0.9,0.94,-0.04,loss,0.2587,0.1447,0.114,loss,0.7975,3.3665,-2.569,loss,422675,4.1059
Car,0.9333,0.92,0.0133,win,0.3261,0.4259,-0.0998,win,1.278,6.6173,-5.3393,loss,422933,4.1068
CBF,1.0,0.9998,0.0002,tie,0.1187,0.0007,0.118,loss,0.8418,3.5827,-2.7409,loss,422804,4.1064
ChlorineConcentration,0.7844,0.8576,-0.0732,loss,0.5704,0.9747,-0.4043,win,0.3269,2.1418,-1.8149,loss,422804,4.1064
CinCECGTorso,0.8768,0.8239,0.0529,win,0.4316,0.9547,-0.5231,win,1.962,4.7745,-2.8125,loss,422933,4.1068
Coffee,1.0,1.0,0.0,tie,0.0738,0.0,0.0738,loss,0.8019,3.4889,-2.687,loss,422675,4.1059
Computers,0.728,0.7688,-0.0408,loss,0.5798,2.1231,-1.5433,win,0.5481,3.4427,-2.8946,loss,422675,4.1059
CricketX,0.8051,0.8267,-0.0216,loss,0.7318,0.9717,-0.2399,win,1.1519,4.5072,-3.3553,loss,423965,4.1108
CricketY,0.8462,0.8231,0.0231,win,0.7159,0.9759,-0.26,win,1.1508,4.8896,-3.7388,loss,423965,4.1108
CricketZ,0.8359,0.8574,-0.0215,loss,0.6738,0.8017,-0.1279,win,1.1614,4.7715,-3.6101,loss,423965,4.1108
DiatomSizeReduction,0.9902,0.9719,0.0183,win,0.1528,0.0944,0.0584,loss,-0.2364,1.0258,-1.2622,loss,422933,4.1068
DistalPhalanxOutlineAgeGroup,0.741,0.7151,0.0259,win,0.581,2.5757,-1.9947,win,0.6491,2.4343,-1.7852,loss,422804,4.1064
DistalPhalanxOutlineCorrect,0.779,0.7703,0.0087,win,0.4801,2.0843,-1.6042,win,-0.04,0.6399,-0.6799,loss,422675,4.1059
DistalPhalanxTW,0.6906,0.6604,0.0302,win,0.8276,2.8454,-2.0178,win,1.4024,3.1209,-1.7185,loss,423191,4.1078
Earthquakes,0.741,0.7252,0.0158,win,0.5335,2.0855,-1.552,win,0.1638,3.4927,-3.3289,loss,422675,4.1059
ECG200,0.85,0.896,-0.046,loss,0.3712,0.8048,-0.4336,win,0.353,2.8601,-2.5071,loss,422675,4.1059
ECG5000,0.9427,0.9419,0.0008,tie,0.258,0.6952,-0.4372,win,1.4108,6.7025,-5.2917,loss,423062,4.1073
ECGFiveDays,1.0,1.0,0.0,tie,0.0677,0.0,0.0677,loss,0.5011,4.7579,-4.2568,loss,422675,4.1059
ElectricDevices,0.7057,0.712,-0.0063,loss,0.9847,5.5714,-4.5867,win,0.6845,4.6437,-3.9592,loss,423320,4.1083
FaceAll,0.9408,0.9528,-0.012,loss,0.345,0.2954,0.0496,loss,0.2187,3.9975,-3.7788,loss,424223,4.1117
FaceFour,0.9545,0.9591,-0.0046,tie,0.3329,0.468,-0.1351,win,0.6525,6.4735,-5.821,loss,422933,4.1068
FacesUCR,0.9527,0.9597,-0.007,loss,0.335,0.1909,0.1441,loss,0.1489,3.1775,-3.0286,loss,424223,4.1117
FiftyWords,0.8022,0.8352,-0.033,loss,0.9427,1.0207,-0.078,win,0.8842,3.3053,-2.4211,loss,428867,4.1295
Fish,0.9714,0.9806,-0.0092,loss,0.2389,0.2986,-0.0597,win,1.6666,5.4842,-3.8176,loss,423320,4.1083
FordA,0.9553,0.9541,0.0012,tie,0.1606,0.4398,-0.2792,win,0.2787,2.7146,-2.4359,loss,422675,4.1059
FordB,0.837,0.8499,-0.0129,loss,0.3563,1.4783,-1.122,win,0.2454,1.6448,-1.3994,loss,422675,4.1059
GunPoint,0.9667,0.9853,-0.0186,loss,0.1168,0.0533,0.0635,loss,0.8793,4.0108,-3.1315,loss,422675,4.1059
