rank,model,config,encoder,pooling,origin,web_acc,web_loss,web_aopcr,web_ndcg,params,size_mb,ucr85_n,ucr85_acc,ucr85_loss,ucr85_aopcr,ucr85_acc_wtl,ucr85_loss_wtl,ucr85_aopcr_wtl,ucr_all_n,ucr_all_acc,ucr_all_loss,ucr_all_aopcr,millet_acc,millet_loss,millet_aopcr
1,seanet_gated_mean_topk__sea_mstcn_sep_gated__sea_topk_conjunctive,seanet_gated_mean_topk,sea_mstcn_sep_gated,sea_topk_conjunctive,ours,0.954,0.2546,2.2926,0.7721,61740,1.502,85,0.8083,0.556,1.0636,19/13/53,58/1/26,4/0/81,116,0.813,0.5669,1.211,0.8445,1.2241,4.5532
2,seanet_conjunctive__sea_mstcn_sep__mil_conjunctive,seanet_conjunctive,sea_mstcn_sep,mil_conjunctive,half-ours,0.954,0.2623,1.5019,0.6983,269083,3.539,85,0.8238,0.518,0.6257,23/20/42,57/5/23,4/0/81,128,0.824,0.5564,0.6847,0.8445,1.2241,4.5532
3,seanet_gated_max_topk__sea_mstcn_sep_gated__sea_topk_conjunctive,seanet_gated_max_topk,sea_mstcn_sep_gated,sea_topk_conjunctive,ours,0.952,0.3076,2.2684,0.7185,61740,1.502,85,0.8108,0.5464,0.936,22/16/47,59/0/26,5/1/79,128,0.8114,0.5868,1.1164,0.8445,1.2241,4.5532
4,seanet_spiketrend_topk__sea_mstcn_sep_spiketrend__sea_topk_conjunctive,seanet_spiketrend_topk,sea_mstcn_sep_spiketrend,sea_topk_conjunctive,ours,0.95,0.2877,2.316,0.756,67020,1.525,0,,,,,,,0,,,,,,
5,seanet_classwise__sea_mstcn_sep__sea_classwise_conjunctive,seanet_classwise,sea_mstcn_sep,sea_classwise_conjunctive,ours,0.946,0.2917,1.7219,0.686,269164,3.539,85,0.8292,0.5113,0.5642,27/19/39,60/1/24,3/0/82,128,0.8279,0.5541,0.6543,0.8445,1.2241,4.5532
6,seanet_recon_adaptive__sea_mstcn_sep_recon__sea_adaptive_classwise,seanet_recon_adaptive,sea_mstcn_sep_recon,sea_adaptive_classwise,ours,0.946,0.2962,2.601,0.7679,62935,1.51,85,0.814,0.5502,1.0913,19/18/48,58/1/26,4/0/81,128,0.8095,0.5977,1.2209,0.8445,1.2241,4.5532
7,seanet_inputgate_topk__sea_mstcn_sep_inputgate__sea_topk_conjunctive,seanet_inputgate_topk,sea_mstcn_sep_inputgate,sea_topk_conjunctive,ours,0.946,0.2605,2.8031,0.7482,58092,1.489,85,0.8131,0.5365,0.9636,23/16/46,60/1/24,3/1/81,128,0.8107,0.5823,1.1415,0.8445,1.2241,4.5532
8,seanet_gated_max__sea_mstcn_sep_gated__sea_classwise_conjunctive,seanet_gated_max,sea_mstcn_sep_gated,sea_classwise_conjunctive,ours,0.944,0.3063,1.8892,0.5924,61740,1.502,85,0.8237,0.5214,0.6192,20/17/48,61/0/24,4/0/81,128,0.8231,0.5594,0.7164,0.8445,1.2241,4.5532
9,seanet_gated_last__sea_mstcn_sep_gated__sea_classwise_conjunctive,seanet_gated_last,sea_mstcn_sep_gated,sea_classwise_conjunctive,ours,0.942,0.3272,2.5202,0.7417,61740,1.502,85,0.7888,0.5922,0.535,17/12/56,55/0/30,3/0/82,128,0.7826,0.6512,0.6312,0.8445,1.2241,4.5532
10,seanet__sea_mstcn_sep__mil_additive,seanet,sea_mstcn_sep,mil_additive,half-ours,0.942,0.2597,1.5791,0.7291,269083,3.539,85,0.8298,0.5088,0.5511,24/19/42,60/2/23,3/0/82,128,0.8277,0.5502,0.6459,0.8445,1.2241,4.5532
11,seanet_gated_last_topk__sea_mstcn_sep_gated__sea_topk_conjunctive,seanet_gated_last_topk,sea_mstcn_sep_gated,sea_topk_conjunctive,ours,0.942,0.3276,2.3122,0.7483,61740,1.502,85,0.8015,0.5531,0.9674,17/17/51,59/0/26,3/1/81,128,0.7985,0.6062,1.0877,0.8445,1.2241,4.5532
12,seanet_bottleneck_softmax__sea_mstcn_sep_bottleneck__sea_softmax_conjunctive,seanet_bottleneck_softmax,sea_mstcn_sep_bottleneck,sea_softmax_conjunctive,ours,0.94,0.3446,1.6846,0.7401,41325,1.428,85,0.8106,0.5509,0.7592,22/17/46,58/1/26,3/0/82,128,0.8072,0.6001,0.9435,0.8445,1.2241,4.5532
13,seanet_recon_topk__sea_mstcn_sep_recon__sea_topk_conjunctive,seanet_recon_topk,sea_mstcn_sep_recon,sea_topk_conjunctive,ours,0.94,0.3206,2.5052,0.6984,62925,1.51,85,0.8063,0.553,1.2221,19/19/47,59/0/26,5/0/80,128,0.8046,0.5947,1.3165,0.8445,1.2241,4.5532
