[log] command 'leaderboard' started at 2026-07-28_12-05-05
[log] a copy of everything below is being saved to: results\SEA_NET\logs\leaderboard_2026-07-28_12-05-05.log

Leaderboard: 65 model(s), best WebTraffic accuracy first (65 of them also finished the full UCR sweep; '-' means not run yet).
    # model                                                     web_acc  web_ndcg   params  ucr85_n  ucr85_acc  ucr85_aopcr
    1 seanet_gated_mean_topk__sea_mstcn_sep_gated__sea_topk_co   0.9540    0.7721    61740       85     0.8083       1.0636
    2 seanet_conjunctive__sea_mstcn_sep__mil_conjunctive         0.9540    0.6983   269083       85     0.8238       0.6257
    3 seanet_gated_max_topk__sea_mstcn_sep_gated__sea_topk_con   0.9520    0.7185    61740       85     0.8108       0.9360
    4 seanet_spiketrend_topk__sea_mstcn_sep_spiketrend__sea_to   0.9500    0.7560    67020        0          -            -
    5 seanet_recon_adaptive__sea_mstcn_sep_recon__sea_adaptive   0.9460    0.7679    62935       85     0.8140       1.0913
    6 seanet_inputgate_topk__sea_mstcn_sep_inputgate__sea_topk   0.9460    0.7482    58092       85     0.8131       0.9636
    7 seanet_classwise__sea_mstcn_sep__sea_classwise_conjuncti   0.9460    0.6860   269164       85     0.8292       0.5642
    8 seanet_gated_max__sea_mstcn_sep_gated__sea_classwise_con   0.9440    0.5924    61740       85     0.8237       0.6192
    9 seanet__sea_mstcn_sep__mil_additive                        0.9420    0.7291   269083       85     0.8298       0.5511
   10 seanet_gated_last__sea_mstcn_sep_gated__sea_classwise_co   0.9420    0.7417    61740       85     0.7888       0.5350
   11 seanet_gated_last_topk__sea_mstcn_sep_gated__sea_topk_co   0.9420    0.7483    61740       85     0.8015       0.9674
   12 seanet_recon_topk__sea_mstcn_sep_recon__sea_topk_conjunc   0.9400    0.6984    62925       85     0.8063       1.2221
   13 seanet_bottleneck_softmax__sea_mstcn_sep_bottleneck__sea   0.9400    0.7401    41325       85     0.8106       0.7592
   14 seanet_gated_last_adaptive__sea_mstcn_sep_gated__sea_ada   0.9380    0.7929    61750        0          -            -
   15 seanet_inputgate_adaptive__sea_mstcn_sep_inputgate__sea_   0.9380    0.7767    58102        0          -            -
   16 seanet_bottleneck_topk__sea_mstcn_sep_bottleneck__sea_to   0.9380    0.7768    41324        0          -            -
   17 seanet_spiketrend_adaptive__sea_mstcn_sep_spiketrend__se   0.9340    0.7471    67030        0          -            -
   18 seanet_slim_topk__sea_mstcn_sep__sea_topk_conjunctive      0.9320    0.7776    57580        0          -            -
   19 seanet_recon_softmax__sea_mstcn_sep_recon__sea_softmax_c   0.9320    0.7230    62926        0          -            -
   20 seanet_gated__sea_mstcn_sep_gated__sea_classwise_conjunc   0.9300    0.6374    61740       85     0.7900       0.4856
   21 seanet_bottleneck_gatedattn__sea_mstcn_sep_bottleneck__s   0.9300    0.7413    41844       85     0.8146       0.6877
   22 seanet_slim_adaptive__sea_mstcn_sep__sea_adaptive_classw   0.9300    0.7928    57590        0          -            -
   23 seanet_spiketrend_gatedattn__sea_mstcn_sep_spiketrend__s   0.9300    0.7205    67540       85     0.8039       0.6818
   24 seanet_gated_last_softmax__sea_mstcn_sep_gated__sea_soft   0.9200    0.7378    61741        0          -            -
   25 seanet_acp__sea_mstcn_sep__sea_adaptive_classwise          0.9180    0.6188   269174        0          -            -
   26 seanet_gated_last_gatedattn__sea_mstcn_sep_gated__sea_ga   0.9180    0.7570    62260       85     0.8048       0.4998
   27 seanet_slim__sea_mstcn_sep__sea_classwise_conjunctive      0.9160    0.7185    57580        0          -            -
   28 seanet_inputgate__sea_mstcn_sep_inputgate__sea_classwise   0.9140    0.7145    58092        0          -            -
   29 seanet_gated_max_softmax__sea_mstcn_sep_gated__sea_softm   0.9140    0.7760    61741        0          -            -
   30 seanet_gated_mean_softmax__sea_mstcn_sep_gated__sea_soft   0.9120    0.7651    61741        0          -            -
   31 seanet_recon__sea_mstcn_sep_recon__sea_classwise_conjunc   0.9100    0.6804    62925        0          -            -
   32 seanet_gated_max_adaptive__sea_mstcn_sep_gated__sea_adap   0.9060    0.7286    61750        0          -            -
   33 seanet_spiketrend__sea_mstcn_sep_spiketrend__sea_classwi   0.9040    0.6985    67020        0          -            -
   34 seanet_bottleneck__sea_mstcn_sep_bottleneck__sea_classwi   0.9020    0.7325    41324        0          -            -
   35 seanet_gated_mean__sea_mstcn_sep_gated__sea_classwise_co   0.9020    0.7139    61740        0          -            -
   36 millet__mil_inceptiontime__mil_conjunctive                 0.8940    0.6711   423707        0          -            -
   37 seanet_inputgate_softmax__sea_mstcn_sep_inputgate__sea_s   0.8940    0.6955    58093        0          -            -
   38 seanet_recon_attnmax__sea_mstcn_sep_recon__sea_attention   0.8920    0.7245    62935        0          -            -
   39 seanet_slim_softmax__sea_mstcn_sep__sea_softmax_conjunct   0.8900    0.7049    57581        0          -            -
   40 seanet_slim_gatedattn__sea_mstcn_sep_gated__mil_attentio   0.8880    0.7101    58100        0          -            -
   41 seanet_gated_max_attnmax__sea_mstcn_sep_gated__sea_atten   0.8860    0.5754    61750        0          -            -
   42 seanet_softmax__sea_mstcn_sep__sea_softmax_conjunctive     0.8800    0.6045   269165        0          -            -
   43 seanet_spiketrend_softmax__sea_mstcn_sep_spiketrend__sea   0.8780    0.6650    67021        0          -            -
   44 seanet_bottleneck_adaptive__sea_mstcn_sep_bottleneck__se   0.8680    0.6805    41334        6     0.7772       0.8861
   45 seanet_slim_dualstream__sea_mstcn_sep__sea_dualstream_co   0.8600    0.7454    58101        0          -            -
   46 seanet_gated_mean_adaptive__sea_mstcn_sep_gated__sea_ada   0.8600    0.7310    61750        0          -            -
   47 seanet_inputgate_attnmax__sea_mstcn_sep_inputgate__sea_a   0.8580    0.6997    58102        0          -            -
   48 seanet_spiketrend_attnmax__sea_mstcn_sep_spiketrend__sea   0.8540    0.6438    67030        0          -            -
   49 seanet_gated_last_attnmax__sea_mstcn_sep_gated__sea_atte   0.8540    0.6680    61750        0          -            -
   50 seanet_gated_mean_attnmax__sea_mstcn_sep_gated__sea_atte   0.8320    0.7042    61750        0          -            -
   51 seanet_bottleneck_dualstream__sea_mstcn_sep_bottleneck__   0.8240    0.6516    41845        0          -            -
   52 seanet_bottleneck_attnmax__sea_mstcn_sep_bottleneck__sea   0.8160    0.6101    41334        0          -            -
