dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
ArrowHead,0.7371,0.8377,-0.1006,loss,0.631,1.0053,-0.3743,win,0.222,3.2005,-2.9785,loss,493076,4.3751
Beef,0.8667,0.8467,0.02,win,0.4293,0.965,-0.5357,win,0.6735,5.4866,-4.8131,loss,493334,4.3761
BeetleFly,0.8,0.92,-0.12,loss,0.4128,0.2905,0.1223,loss,0.2579,1.2424,-0.9845,loss,492947,4.3746
BirdChicken,0.8,0.94,-0.14,loss,0.4007,0.1447,0.256,loss,0.3495,3.3665,-3.017,loss,492947,4.3746
Car,0.9,0.92,-0.02,loss,0.3866,0.4259,-0.0393,win,0.5269,6.6173,-6.0904,loss,493205,4.3756
CinCECGTorso,0.8101,0.8239,-0.0138,loss,0.5648,0.9547,-0.3899,win,0.7182,4.7745,-4.0563,loss,493205,4.3756
Coffee,1.0,1.0,0.0,tie,0.0857,0.0,0.0857,loss,0.5376,3.4889,-2.9513,loss,492947,4.3746
Computers,0.608,0.7688,-0.1608,loss,0.834,2.1231,-1.2891,win,0.5417,3.4427,-2.901,loss,492947,4.3746
CricketX,0.741,0.8267,-0.0857,loss,0.8716,0.9717,-0.1001,win,0.8251,4.5072,-3.6821,loss,494237,4.3795
CricketY,0.7385,0.8231,-0.0846,loss,0.8859,0.9759,-0.09,win,0.8522,4.8896,-4.0374,loss,494237,4.3795
CricketZ,0.7692,0.8574,-0.0882,loss,0.9086,0.8017,0.1069,loss,0.7425,4.7715,-4.029,loss,494237,4.3795
DiatomSizeReduction,0.9804,0.9719,0.0085,win,0.1799,0.0944,0.0855,loss,-0.6314,1.0258,-1.6572,loss,493205,4.3756
Earthquakes,0.7482,0.7252,0.023,win,0.5703,2.0855,-1.5152,win,-0.1837,3.4927,-3.6764,loss,492947,4.3746
FaceFour,0.9545,0.9591,-0.0046,tie,0.2325,0.468,-0.2355,win,0.485,6.4735,-5.9885,loss,493205,4.3756
FiftyWords,0.7714,0.8352,-0.0638,loss,0.9865,1.0207,-0.0342,win,0.1533,3.3053,-3.152,loss,499139,4.3982
Fish,0.9714,0.9806,-0.0092,loss,0.207,0.2986,-0.0916,win,0.4897,5.4842,-4.9945,loss,493592,4.377
FordA,0.9568,0.9541,0.0027,tie,0.1655,0.4398,-0.2743,win,-0.0324,2.7146,-2.747,loss,492947,4.3746
FordB,0.8321,0.8499,-0.0178,loss,0.3938,1.4783,-1.0845,win,0.0539,1.6448,-1.5909,loss,492947,4.3746
Ham,0.7333,0.7086,0.0247,win,0.617,1.7929,-1.1759,win,0.2342,3.9279,-3.6937,loss,492947,4.3746
HandOutlines,0.9514,0.9476,0.0038,tie,0.1778,0.3636,-0.1858,win,0.3677,12.7111,-12.3434,loss,492947,4.3746
Haptics,0.4643,0.524,-0.0597,loss,1.3769,3.2084,-1.8315,win,1.1747,5.9916,-4.8169,loss,493334,4.3761
Herring,0.625,0.5781,0.0469,win,0.759,3.3086,-2.5496,win,0.8102,4.6122,-3.802,loss,492947,4.3746
InlineSkate,0.3709,0.4913,-0.1204,loss,1.6429,2.5766,-0.9337,win,1.3924,8.1641,-6.7717,loss,493592,4.377
InsectWingbeatSound,0.6404,0.6146,0.0258,win,1.0057,2.598,-1.5923,win,0.5617,2.7342,-2.1725,loss,494108,4.379
LargeKitchenAppliances,0.8347,0.9013,-0.0666,loss,0.4626,1.1387,-0.6761,win,1.3667,9.5087,-8.142,loss,493076,4.3751
Lightning2,0.7705,0.8557,-0.0852,loss,0.4626,0.9113,-0.4487,win,0.3923,5.3802,-4.9879,loss,492947,4.3746
Lightning7,0.7534,0.8274,-0.074,loss,0.8013,0.9538,-0.1525,win,0.8501,4.2526,-3.4025,loss,493592,4.377
Mallat,0.9574,0.9688,-0.0114,loss,0.2782,0.1333,0.1449,loss,0.7029,6.7384,-6.0355,loss,493721,4.3775
Meat,0.9167,0.9867,-0.07,loss,0.2435,0.0539,0.1896,loss,0.8605,6.1908,-5.3303,loss,493076,4.3751
NonInvasiveFetalECGThorax1,0.9379,0.9511,-0.0132,loss,0.3183,0.2659,0.0524,loss,-0.476,-2.2634,1.7874,win,498107,4.3943
NonInvasiveFetalECGThorax2,0.9481,0.9526,-0.0045,tie,0.2838,0.2528,0.031,loss,-0.4191,2.9866,-3.4057,loss,498107,4.3943
OliveOil,0.4333,0.8467,-0.4134,loss,1.0209,0.9378,0.0831,loss,0.597,-3.6343,4.2313,win,493205,4.3756
OSULeaf,0.8967,0.9471,-0.0504,loss,0.4636,0.2378,0.2258,loss,0.5725,6.5343,-5.9618,loss,493463,4.3766
Phoneme,0.2358,0.3006,-0.0648,loss,2.8691,7.0359,-4.1668,win,0.582,4.7834,-4.2014,loss,497720,4.3928
RefrigerationDevices,0.456,0.5099,-0.0539,loss,1.5593,6.1414,-4.5821,win,0.3678,4.2486,-3.8808,loss,493076,4.3751
ScreenType,0.432,0.576,-0.144,loss,1.1432,3.6402,-2.497,win,0.4766,4.2157,-3.7391,loss,493076,4.3751
ShapeletSim,0.4611,0.9089,-0.4478,loss,0.9038,0.2342,0.6696,loss,0.4429,3.429,-2.9861,loss,492947,4.3746
ShapesAll,0.8817,0.9283,-0.0466,loss,0.7173,0.4908,0.2265,loss,0.213,9.5598,-9.3468,loss,500429,4.4031
SmallKitchenAppliances,0.7307,0.7819,-0.0512,loss,0.6818,2.273,-1.5912,win,0.319,3.9346,-3.6156,loss,493076,4.3751
StarLightCurves,0.9758,0.9769,-0.0011,tie,0.1573,0.2046,-0.0473,win,0.8818,8.4155,-7.5337,loss,493076,4.3751
Strawberry,0.9568,0.9746,-0.0178,loss,0.162,0.1629,-0.0009,tie,-0.155,6.2246,-6.3796,loss,492947,4.3746
Symbols,0.9709,0.9576,0.0133,win,0.2654,0.1578,0.1076,loss,0.8454,2.5618,-1.7164,loss,493463,4.3766
ToeSegmentation1,0.9298,0.9632,-0.0334,loss,0.237,0.1864,0.0506,loss,0.0899,2.1806,-2.0907,loss,492947,4.3746
ToeSegmentation2,0.9154,0.9092,0.0062,win,0.2633,0.5003,-0.237,win,0.0351,3.2069,-3.1718,loss,492947,4.3746
Trace,1.0,1.0,0.0,tie,0.1057,0.0,0.1057,loss,1.0011,4.9221,-3.921,loss,493205,4.3756
UWaveGestureLibraryAll,0.9679,0.9447,0.0232,win,0.261,0.3434,-0.0824,win,0.2172,8.0814,-7.8642,loss,493721,4.3775
UWaveGestureLibraryX,0.8224,0.8099,0.0125,win,0.5975,1.5956,-0.9981,win,0.572,4.3044,-3.7324,loss,493721,4.3775
UWaveGestureLibraryY,0.7351,0.7528,-0.0177,loss,0.817,1.8851,-1.0681,win,0.55,4.101,-3.551,loss,493721,4.3775
UWaveGestureLibraryZ,0.706,0.7432,-0.0372,loss,0.7997,1.9758,-1.1761,win,0.7118,4.6466,-3.9348,loss,493721,4.3775
Wine,0.7407,0.8185,-0.0778,loss,0.4323,0.9499,-0.5176,win,-21.9141,26.9638,-48.8779,loss,492947,4.3746
WordSynonyms,0.7163,0.7417,-0.0254,loss,1.2284,1.8361,-0.6077,win,0.3863,3.0425,-2.6562,loss,495914,4.3859
Worms,0.5974,0.7662,-0.1688,loss,0.9228,1.5027,-0.5799,win,0.919,3.1133,-2.1943,loss,493334,4.3761
WormsTwoClass,0.7013,0.7065,-0.0052,loss,0.501,1.8387,-1.3377,win,0.5705,4.3009,-3.7304,loss,492947,4.3746
Yoga,0.8747,0.9031,-0.0284,loss,0.3203,0.5236,-0.2033,win,0.5822,6.6224,-6.0402,loss,492947,4.3746
ACSF1,0.74,,,no_baseline,0.8015,,,no_baseline,-0.5342,,,no_baseline,493979,4.3785
AllGestureWiimoteX,0.6371,,,no_baseline,1.1856,,,no_baseline,1.2809,,,no_baseline,493979,4.3785
AllGestureWiimoteY,0.6929,,,no_baseline,1.033,,,no_baseline,1.2751,,,no_baseline,493979,4.3785
AllGestureWiimoteZ,0.6457,,,no_baseline,1.1876,,,no_baseline,1.1435,,,no_baseline,493979,4.3785
DodgerLoopDay,0.475,,,no_baseline,1.5251,,,no_baseline,0.5183,,,no_baseline,493592,4.377
