dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.8116,0.8317,-0.0201,loss,0.7221,1.028,-0.3059,win,1.604,15.8906,-14.2866,loss,427190,4.1231
ArrowHead,0.8267,0.8377,-0.011,loss,0.4574,1.0053,-0.5479,win,0.5983,3.2005,-2.6022,loss,422804,4.1064
Beef,0.8,0.8467,-0.0467,loss,0.6126,0.965,-0.3524,win,1.3435,5.4866,-4.1431,loss,423062,4.1073
BeetleFly,0.8833,0.92,-0.0367,loss,0.3069,0.2905,0.0164,loss,0.2435,1.2424,-0.9988,loss,422675,4.1059
BirdChicken,0.9833,0.94,0.0433,win,0.2117,0.1447,0.067,loss,0.9571,3.3665,-2.4094,loss,422675,4.1059
Car,0.9111,0.92,-0.0089,loss,0.3564,0.4259,-0.0695,win,1.0236,6.6173,-5.5937,loss,422933,4.1068
CBF,0.9967,0.9998,-0.0031,tie,0.135,0.0007,0.1343,loss,0.8724,3.5827,-2.7104,loss,422804,4.1064
ChlorineConcentration,0.8033,0.8576,-0.0543,loss,0.5447,0.9747,-0.43,win,0.2637,2.1418,-1.878,loss,422804,4.1064
CinCECGTorso,0.8435,0.8239,0.0196,win,0.5025,0.9547,-0.4522,win,1.4781,4.7745,-3.2964,loss,422933,4.1068
Coffee,1.0,1.0,0.0,tie,0.074,0.0,0.074,loss,0.8886,3.4889,-2.6002,loss,422675,4.1059
Computers,0.7413,0.7688,-0.0275,loss,0.5271,2.1231,-1.596,win,0.5259,3.4427,-2.9168,loss,422675,4.1059
CricketX,0.8077,0.8267,-0.019,loss,0.7455,0.9717,-0.2263,win,1.2665,4.5072,-3.2406,loss,423965,4.1108
CricketY,0.818,0.8231,-0.0051,loss,0.7232,0.9759,-0.2527,win,1.2221,4.8896,-3.6676,loss,423965,4.1108
CricketZ,0.8171,0.8574,-0.0403,loss,0.6987,0.8017,-0.1031,win,1.3625,4.7715,-3.409,loss,423965,4.1108
DiatomSizeReduction,0.9477,0.9719,-0.0242,loss,0.2263,0.0944,0.1319,loss,-0.1451,1.0258,-1.1709,loss,422933,4.1068
DistalPhalanxOutlineAgeGroup,0.7338,0.7151,0.0187,win,0.5783,2.5757,-1.9974,win,0.6619,2.4343,-1.7725,loss,422804,4.1064
DistalPhalanxOutlineCorrect,0.7766,0.7703,0.0063,win,0.4753,2.0843,-1.6089,win,0.3021,0.6399,-0.3378,loss,422675,4.1059
DistalPhalanxTW,0.7002,0.6604,0.0398,win,0.7972,2.8454,-2.0483,win,0.7121,3.1209,-2.4087,loss,423191,4.1078
Earthquakes,0.7554,0.7252,0.0302,win,0.5198,2.0855,-1.5657,win,0.7282,3.4927,-2.7645,loss,422675,4.1059
ECG200,0.83,0.896,-0.066,loss,0.3989,0.8048,-0.4059,win,0.4412,2.8601,-2.4189,loss,422675,4.1059
ECG5000,0.9399,0.9419,-0.002,tie,0.2947,0.6952,-0.4005,win,1.2201,6.7025,-5.4824,loss,423062,4.1073
ECGFiveDays,1.0,1.0,0.0,tie,0.0704,0.0,0.0704,loss,0.1935,4.7579,-4.5644,loss,422675,4.1059
ElectricDevices,0.7083,0.712,-0.0038,tie,0.9543,5.5714,-4.6171,win,0.7201,4.6437,-3.9236,loss,423320,4.1083
FaceAll,0.9251,0.9528,-0.0277,loss,0.3567,0.2954,0.0613,loss,0.2038,3.9975,-3.7937,loss,424223,4.1117
FaceFour,0.9583,0.9591,-0.0008,tie,0.3214,0.468,-0.1466,win,0.4667,6.4735,-6.0068,loss,422933,4.1068
FacesUCR,0.9549,0.9597,-0.0048,tie,0.3453,0.1909,0.1544,loss,0.0317,3.1775,-3.1458,loss,424223,4.1117
FiftyWords,0.8073,0.8352,-0.0278,loss,0.9119,1.0207,-0.1088,win,0.844,3.3053,-2.4613,loss,428867,4.1295
Fish,0.9771,0.9806,-0.0034,tie,0.3592,0.2986,0.0606,loss,1.5129,5.4842,-3.9713,loss,423320,4.1083
FordA,0.9571,0.9541,0.003,tie,0.153,0.4398,-0.2868,win,0.2812,2.7146,-2.4334,loss,422675,4.1059
FordB,0.8399,0.8499,-0.01,loss,0.3765,1.4783,-1.1018,win,0.3685,1.6448,-1.2763,loss,422675,4.1059
GunPoint,0.9867,0.9853,0.0013,tie,0.0991,0.0533,0.0458,loss,0.9129,4.0108,-3.0979,loss,422675,4.1059
Ham,0.7111,0.7086,0.0025,tie,0.5921,1.7929,-1.2007,win,0.7491,3.9279,-3.1788,loss,422675,4.1059
HandOutlines,0.9387,0.9476,-0.0089,loss,0.2321,0.3636,-0.1314,win,1.8474,12.7111,-10.8637,loss,422675,4.1059
Haptics,0.4968,0.524,-0.0273,loss,1.3757,3.2084,-1.8327,win,1.2544,5.9916,-4.7372,loss,423062,4.1073
Herring,0.5833,0.5781,0.0052,win,0.9529,3.3086,-2.3556,win,2.6968,4.6122,-1.9154,loss,422675,4.1059
InlineSkate,0.4182,0.4913,-0.0731,loss,1.6279,2.5766,-0.9487,win,2.0504,8.1641,-6.1137,loss,423320,4.1083
InsectWingbeatSound,0.5966,0.6146,-0.018,loss,1.1098,2.598,-1.4881,win,0.609,2.7342,-2.1252,loss,423836,4.1103
LargeKitchenAppliances,0.904,0.9013,0.0027,tie,0.3432,1.1387,-0.7956,win,1.684,9.5087,-7.8247,loss,422804,4.1064
Lightning2,0.8033,0.8557,-0.0524,loss,0.3895,0.9113,-0.5218,win,0.9603,5.3802,-4.4198,loss,422675,4.1059
Lightning7,0.8036,0.8274,-0.0238,loss,0.6424,0.9538,-0.3114,win,1.3039,4.2526,-2.9487,loss,423320,4.1083
Mallat,0.9605,0.9688,-0.0083,loss,0.3159,0.1333,0.1826,loss,1.757,6.7384,-4.9814,loss,423449,4.1088
Meat,0.9833,0.9867,-0.0033,tie,0.2093,0.0539,0.1553,loss,2.0835,6.1908,-4.1072,loss,422804,4.1064
MedicalImages,0.7544,0.8021,-0.0477,loss,0.7141,1.3284,-0.6143,win,0.9231,2.8937,-1.9706,loss,423707,4.1098
MiddlePhalanxOutlineAgeGroup,0.6061,0.5221,0.084,win,0.9324,4.9601,-4.0277,win,0.861,0.9851,-0.1241,loss,422804,4.1064
MiddlePhalanxOutlineCorrect,0.8007,0.8103,-0.0096,loss,0.4422,1.2175,-0.7753,win,0.1322,2.4532,-2.321,loss,422675,4.1059
MiddlePhalanxTW,0.5887,0.5104,0.0783,win,1.0819,4.0946,-3.0126,win,0.5748,3.4,-2.8252,loss,423191,4.1078
MoteStrain,0.9044,0.9018,0.0027,tie,0.2621,0.6772,-0.4151,win,0.5543,3.5563,-3.002,loss,422675,4.1059
NonInvasiveFetalECGThorax1,0.9426,0.9511,-0.0085,loss,0.3493,0.2659,0.0834,loss,0.2968,-2.2634,2.5602,win,427835,4.1255
NonInvasiveFetalECGThorax2,0.9376,0.9526,-0.015,loss,0.3234,0.2528,0.0706,loss,0.4978,2.9866,-2.4888,loss,427835,4.1255
OliveOil,0.5556,0.8467,-0.2911,loss,1.0405,0.9378,0.1027,loss,3.787,-3.6343,7.4213,win,422933,4.1068
OSULeaf,0.9504,0.9471,0.0033,tie,0.3117,0.2378,0.0739,loss,0.8367,6.5343,-5.6976,loss,423191,4.1078
PhalangesOutlinesCorrect,0.8232,0.8303,-0.0071,loss,0.4041,1.4708,-1.0667,win,0.3292,2.0437,-1.7145,loss,422675,4.1059
Phoneme,0.2679,0.3006,-0.0327,loss,2.7303,7.0359,-4.3057,win,0.5034,4.7834,-4.28,loss,427448,4.1241
Plane,1.0,1.0,0.0,tie,0.1148,0.0,0.1148,loss,0.3079,3.3933,-3.0854,loss,423320,4.1083
ProximalPhalanxOutlineAgeGroup,0.839,0.8537,-0.0146,loss,0.4214,1.2906,-0.8692,win,1.0366,5.6483,-4.6117,loss,422804,4.1064
ProximalPhalanxOutlineCorrect,0.9015,0.923,-0.0216,loss,0.2715,0.5448,-0.2733,win,0.6876,-3.5363,4.2238,win,422675,4.1059
ProximalPhalanxTW,0.7675,0.76,0.0075,win,0.6342,2.0198,-1.3856,win,-2.1743,5.6975,-7.8718,loss,423191,4.1078
RefrigerationDevices,0.5058,0.5099,-0.0041,tie,1.3588,6.1414,-4.7826,win,0.628,4.2486,-3.6206,loss,422804,4.1064
ScreenType,0.5413,0.576,-0.0347,loss,1.0518,3.6402,-2.5884,win,0.6921,4.2157,-3.5236,loss,422804,4.1064
ShapeletSim,0.9981,0.9089,0.0892,win,0.1985,0.2342,-0.0357,win,0.7372,3.429,-2.6918,loss,422675,4.1059
ShapesAll,0.9067,0.9283,-0.0216,loss,0.5891,0.4908,0.0984,loss,1.6437,9.5598,-7.916,loss,430157,4.1344
SmallKitchenAppliances,0.7716,0.7819,-0.0103,loss,0.6683,2.273,-1.6047,win,0.4961,3.9346,-3.4384,loss,422804,4.1064
SonyAIBORobotSurface1,0.9456,0.9338,0.0119,win,0.2173,0.3641,-0.1468,win,0.3093,3.2614,-2.9522,loss,422675,4.1059
SonyAIBORobotSurface2,0.8157,0.8269,-0.0112,loss,0.4283,1.433,-1.0046,win,0.1659,2.9596,-2.7937,loss,422675,4.1059
StarLightCurves,0.9747,0.9769,-0.0022,tie,0.1643,0.2046,-0.0403,win,1.0096,8.4155,-7.4058,loss,422804,4.1064
Strawberry,0.9604,0.9746,-0.0142,loss,0.1546,0.1629,-0.0083,tie,0.5122,6.2246,-5.7124,loss,422675,4.1059
SwedishLeaf,0.9669,0.967,-0.0001,tie,0.2595,0.1892,0.0702,loss,0.4701,4.1636,-3.6935,loss,424352,4.1122
Symbols,0.9259,0.9576,-0.0317,loss,0.3672,0.1578,0.2094,loss,1.1972,2.5618,-1.3646,loss,423191,4.1078
SyntheticControl,0.9989,0.9973,0.0016,tie,0.1292,0.0052,0.124,loss,0.6612,3.3016,-2.6404,loss,423191,4.1078
ToeSegmentation1,0.9576,0.9632,-0.0056,loss,0.184,0.1864,-0.0024,tie,0.3308,2.1806,-1.8498,loss,422675,4.1059
ToeSegmentation2,0.8795,0.9092,-0.0298,loss,0.2901,0.5003,-0.2102,win,0.4134,3.2069,-2.7934,loss,422675,4.1059
Trace,1.0,1.0,0.0,tie,0.1087,0.0,0.1087,loss,1.7559,4.9221,-3.1662,loss,422933,4.1068
TwoLeadECG,0.9991,0.9993,-0.0002,tie,0.0744,0.0066,0.0679,loss,-0.219,4.762,-4.981,loss,422675,4.1059
TwoPatterns,1.0,1.0,0.0,tie,0.1065,0.0,0.1065,loss,1.3514,12.1597,-10.8084,loss,422933,4.1068
UWaveGestureLibraryAll,0.9448,0.9447,0.0002,tie,0.3804,0.3434,0.0369,loss,1.2721,8.0814,-6.8094,loss,423449,4.1088
UWaveGestureLibraryX,0.7881,0.8099,-0.0218,loss,0.7014,1.5956,-0.8942,win,0.8504,4.3044,-3.454,loss,423449,4.1088
UWaveGestureLibraryY,0.7284,0.7528,-0.0245,loss,0.8676,1.8851,-1.0176,win,0.8722,4.101,-3.2287,loss,423449,4.1088
UWaveGestureLibraryZ,0.7316,0.7432,-0.0116,loss,0.793,1.9758,-1.1828,win,0.9195,4.6466,-3.7271,loss,423449,4.1088
Wafer,0.9966,0.998,-0.0014,tie,0.0721,0.017,0.0551,loss,-0.2731,1.1361,-1.4092,loss,422675,4.1059
Wine,0.5,0.8185,-0.3185,loss,0.6936,0.9499,-0.2563,win,0.0344,26.9638,-26.9295,loss,422675,4.1059
WordSynonyms,0.7247,0.7417,-0.017,loss,1.1685,1.8361,-0.6676,win,0.6868,3.0425,-2.3558,loss,425642,4.1172
Worms,0.697,0.7662,-0.0693,loss,0.8648,1.5027,-0.6379,win,0.8895,3.1133,-2.2238,loss,423062,4.1073
WormsTwoClass,0.7143,0.7065,0.0078,win,0.5563,1.8387,-1.2824,win,0.8963,4.3009,-3.4046,loss,422675,4.1059
Yoga,0.848,0.9031,-0.0551,loss,0.3656,0.5236,-0.1579,win,0.6378,6.6224,-5.9846,loss,422675,4.1059
ACSF1,0.8,,,no_baseline,0.6723,,,no_baseline,0.0141,,,no_baseline,423707,4.1098
AllGestureWiimoteX,0.7586,,,no_baseline,0.9121,,,no_baseline,1.3407,,,no_baseline,423707,4.1098
AllGestureWiimoteY,0.7921,,,no_baseline,0.7857,,,no_baseline,1.6161,,,no_baseline,423707,4.1098
AllGestureWiimoteZ,0.7157,,,no_baseline,0.9214,,,no_baseline,1.6265,,,no_baseline,423707,4.1098
BME,0.9933,,,no_baseline,0.1166,,,no_baseline,1.1384,,,no_baseline,422804,4.1064
Crop,0.7017,,,no_baseline,0.9733,,,no_baseline,0.1019,,,no_baseline,425513,4.1167
DodgerLoopDay,0.5,,,no_baseline,1.3255,,,no_baseline,0.9559,,,no_baseline,423320,4.1083
DodgerLoopGame,0.9131,,,no_baseline,0.274,,,no_baseline,1.4616,,,no_baseline,422675,4.1059
DodgerLoopWeekend,0.9674,,,no_baseline,0.1838,,,no_baseline,0.8408,,,no_baseline,422675,4.1059
EOGHorizontalSignal,0.5303,,,no_baseline,1.4891,,,no_baseline,1.7033,,,no_baseline,423965,4.1108
EOGVerticalSignal,0.4572,,,no_baseline,1.797,,,no_baseline,1.7955,,,no_baseline,423965,4.1108
EthanolLevel,0.272,,,no_baseline,1.383,,,no_baseline,0.1768,,,no_baseline,422933,4.1068
FreezerRegularTrain,0.9963,,,no_baseline,0.0738,,,no_baseline,0.9133,,,no_baseline,422675,4.1059
FreezerSmallTrain,0.8918,,,no_baseline,0.2959,,,no_baseline,0.8318,,,no_baseline,422675,4.1059
Fungi,0.9973,,,no_baseline,0.1704,,,no_baseline,1.3632,,,no_baseline,424739,4.1137
