dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.8338,0.8317,0.0021,tie,0.9725,1.028,-0.0555,win,19.6898,15.8906,3.7992,win,427190,4.1231
ArrowHead,0.8343,0.8377,-0.0034,tie,1.0621,1.0053,0.0568,loss,1.9249,3.2005,-1.2756,loss,422804,4.1064
Beef,0.7333,0.8467,-0.1134,loss,1.227,0.965,0.262,loss,6.1249,5.4866,0.6383,win,423062,4.1073
BeetleFly,0.9,0.92,-0.02,loss,0.1586,0.2905,-0.1319,win,1.7067,1.2424,0.4643,win,422675,4.1059
BirdChicken,0.95,0.94,0.01,win,0.1044,0.1447,-0.0403,win,2.3137,3.3665,-1.0528,loss,422675,4.1059
Car,0.9167,0.92,-0.0033,tie,0.2368,0.4259,-0.1891,win,10.5686,6.6173,3.9513,win,422933,4.1068
CBF,1.0,0.9998,0.0002,tie,0.0001,0.0007,-0.0006,tie,3.9887,3.5827,0.406,win,422804,4.1064
ChlorineConcentration,0.8604,0.8576,0.0028,tie,1.0159,0.9747,0.0412,loss,0.5766,2.1418,-1.5652,loss,422804,4.1064
CinCECGTorso,0.8065,0.8239,-0.0174,loss,1.0943,0.9547,0.1396,loss,6.0643,4.7745,1.2898,win,422933,4.1068
Coffee,1.0,1.0,0.0,tie,0.0,0.0,-0.0,tie,1.6716,3.4889,-1.8173,loss,422675,4.1059
Computers,0.788,0.7688,0.0192,win,2.1802,2.1231,0.0571,loss,3.2201,3.4427,-0.2226,loss,422675,4.1059
CricketX,0.8641,0.8267,0.0374,win,0.8199,0.9717,-0.1518,win,5.7872,4.5072,1.28,win,423965,4.1108
CricketY,0.8308,0.8231,0.0077,win,0.9473,0.9759,-0.0286,win,5.6125,4.8896,0.7229,win,423965,4.1108
CricketZ,0.8487,0.8574,-0.0087,loss,0.7425,0.8017,-0.0592,win,5.4784,4.7715,0.7069,win,423965,4.1108
DiatomSizeReduction,0.951,0.9719,-0.0209,loss,0.1746,0.0944,0.0802,loss,-4.8707,1.0258,-5.8965,loss,422933,4.1068
DistalPhalanxOutlineAgeGroup,0.705,0.7151,-0.0101,loss,2.2118,2.5757,-0.3639,win,4.3614,2.4343,1.9271,win,422804,4.1064
DistalPhalanxOutlineCorrect,0.7935,0.7703,0.0232,win,1.7459,2.0843,-0.3384,win,0.7868,0.6399,0.1469,win,422675,4.1059
DistalPhalanxTW,0.6403,0.6604,-0.0201,loss,2.6004,2.8454,-0.245,win,4.9783,3.1209,1.8574,win,423191,4.1078
Earthquakes,0.7338,0.7252,0.0086,win,2.0676,2.0855,-0.0179,win,4.862,3.4927,1.3693,win,422675,4.1059
ECG200,0.88,0.896,-0.016,loss,1.0229,0.8048,0.2181,loss,1.626,2.8601,-1.2341,loss,422675,4.1059
ECG5000,0.9433,0.9419,0.0014,tie,0.6666,0.6952,-0.0286,win,8.2931,6.7025,1.5906,win,423062,4.1073
ECGFiveDays,1.0,1.0,0.0,tie,0.0,0.0,-0.0,tie,2.0822,4.7579,-2.6757,loss,422675,4.1059
ElectricDevices,0.7165,0.712,0.0045,tie,4.7404,5.5714,-0.831,win,3.1798,4.6437,-1.4639,loss,423320,4.1083
FaceAll,0.945,0.9528,-0.0078,loss,0.3682,0.2954,0.0728,loss,3.6739,3.9975,-0.3236,loss,424223,4.1117
FaceFour,0.9659,0.9591,0.0068,win,0.2179,0.468,-0.2501,win,1.4101,6.4735,-5.0634,loss,422933,4.1068
FacesUCR,0.9605,0.9597,0.0008,tie,0.1967,0.1909,0.0058,tie,0.3499,3.1775,-2.8276,loss,424223,4.1117
FiftyWords,0.8286,0.8352,-0.0066,loss,1.1692,1.0207,0.1485,loss,3.7727,3.3053,0.4674,win,428867,4.1295
