dataset,model,encoder,pooling,seed,device,params,model_size_mb,n_train,n_val,n_test,series_length,n_classes,lambda_entropy,test_acc,test_bal_acc,test_auroc,test_loss,test_aopcr,test_ndcg,train_time_s,run_datetime
WebTraffic,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,423707,4.1098,500,0,500,1008,10,0.0,0.92,0.92,0.9944,0.3715,13.2684,0.6612,917.05,2026-08-09 20:15:03
Adiac,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,427190,4.1231,390,0,391,176,37,0.0,0.8338,0.8392,0.9912,0.9725,19.6898,,787.89,2026-08-09 20:32:50
ArrowHead,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,422804,4.1064,36,0,175,251,3,0.0,0.8343,0.8468,0.9719,1.0621,1.9249,,291.27,2026-08-09 20:38:11
Beef,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,423062,4.1073,30,0,30,470,5,0.0,0.7333,0.7333,0.9375,1.227,6.1249,,243.35,2026-08-09 20:42:38
BeetleFly,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,422675,4.1059,20,0,20,512,2,0.0,0.9,0.9,1.0,0.1586,1.7067,,243.77,2026-08-09 20:47:06
BirdChicken,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,422675,4.1059,20,0,20,512,2,0.0,0.95,0.95,0.99,0.1044,2.3137,,239.23,2026-08-09 20:51:31
Car,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,422933,4.1068,60,0,60,577,4,0.0,0.9167,0.916,0.9901,0.2368,10.5686,,259.78,2026-08-09 20:56:17
CBF,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,422804,4.1064,30,0,900,128,3,0.0,1.0,1.0,1.0,0.0001,3.9887,,235.43,2026-08-09 21:00:56
ChlorineConcentration,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,422804,4.1064,467,0,3840,166,3,0.0,0.8604,0.8298,0.9421,1.0159,0.5766,,948.6,2026-08-09 21:18:24
CinCECGTorso,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,422933,4.1068,40,0,1380,1639,4,0.0,0.8065,0.8058,0.9406,1.0943,6.0643,,253.27,2026-08-09 21:23:32
Coffee,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,422675,4.1059,28,0,28,286,2,0.0,1.0,1.0,1.0,0.0,1.6716,,331.26,2026-08-09 21:29:29
Computers,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,422675,4.1059,250,0,250,720,2,0.0,0.788,0.788,0.8156,2.1802,3.2201,,529.46,2026-08-09 21:38:48
CricketX,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,423965,4.1108,390,0,390,300,12,0.0,0.8641,0.8686,0.9846,0.8199,5.7872,,797.19,2026-08-09 21:52:39
CricketY,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,423965,4.1108,390,0,390,300,12,0.0,0.8308,0.8334,0.9818,0.9473,5.6125,,798.53,2026-08-09 22:06:31
CricketZ,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,423965,4.1108,390,0,390,300,12,0.0,0.8487,0.8408,0.9879,0.7425,5.4784,,797.43,2026-08-09 22:20:23
DiatomSizeReduction,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,422933,4.1068,16,0,306,345,4,0.0,0.951,0.9355,0.9995,0.1746,-4.8707,,188.98,2026-08-09 22:24:05
DistalPhalanxOutlineAgeGroup,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,422804,4.1064,400,0,139,80,3,0.0,0.705,0.7254,0.8635,2.2118,4.3614,,768.32,2026-08-09 22:37:20
DistalPhalanxOutlineCorrect,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,422675,4.1059,600,0,276,80,2,0.0,0.7935,0.7807,0.8613,1.7459,0.7868,,1172.03,2026-08-09 22:57:23
DistalPhalanxTW,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,423191,4.1078,400,0,139,80,6,0.0,0.6403,0.498,0.8836,2.6004,4.9783,,779.29,2026-08-09 23:10:50
Earthquakes,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,422675,4.1059,322,0,139,512,2,0.0,0.7338,0.5378,0.6011,2.0676,4.862,,662.25,2026-08-09 23:22:19
ECG200,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,422675,4.1059,100,0,100,96,2,0.0,0.88,0.8637,0.9579,1.0229,1.626,,285.49,2026-08-09 23:27:30
ECG5000,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,423062,4.1073,500,0,4500,140,5,0.0,0.9433,0.581,0.9073,0.6666,8.2931,,1000.1,2026-08-09 23:46:03
ECGFiveDays,millet_paper,mil_inceptiontime,mil_conjunctive,0,cuda,422675,4.1059,23,0,861,136,2,0.0,1.0,1.0,1.0,0.0,2.0822,,282.87,2026-08-09 23:51:26
