dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.757,0.8317,-0.0747,loss,0.9471,1.028,-0.0809,win,0.4522,15.8906,-15.4384,loss,272927,3.5535
ArrowHead,0.8114,0.8377,-0.0263,loss,0.4752,1.0053,-0.5301,win,0.0483,3.2005,-3.1522,loss,268201,3.5355
Beef,0.7667,0.8467,-0.08,loss,0.6801,0.965,-0.2849,win,1.6386,5.4866,-3.848,loss,268479,3.5365
BeetleFly,0.75,0.92,-0.17,loss,0.4323,0.2905,0.1418,loss,0.4237,1.2424,-0.8187,loss,268062,3.535
BirdChicken,0.9,0.94,-0.04,loss,0.2006,0.1447,0.0559,loss,0.9571,3.3665,-2.4094,loss,268062,3.535
Car,0.9333,0.92,0.0133,win,0.2811,0.4259,-0.1448,win,2.0867,6.6173,-4.5306,loss,268340,3.5361
CBF,0.9989,0.9998,-0.0009,tie,0.1095,0.0007,0.1088,loss,0.9815,3.5827,-2.6012,loss,268201,3.5355
ChlorineConcentration,0.7565,0.8576,-0.1011,loss,0.609,0.9747,-0.3657,win,0.228,2.1418,-1.9138,loss,268201,3.5355
CinCECGTorso,0.7514,0.8239,-0.0725,loss,0.6725,0.9547,-0.2822,win,0.7931,4.7745,-3.9814,loss,268340,3.5361
Coffee,1.0,1.0,0.0,tie,0.0718,0.0,0.0718,loss,0.2712,3.4889,-3.2177,loss,268062,3.535
Computers,0.624,0.7688,-0.1448,loss,0.7368,2.1231,-1.3863,win,0.353,3.4427,-3.0897,loss,268062,3.535
CricketX,0.8359,0.8267,0.0092,win,0.6647,0.9717,-0.307,win,1.0688,4.5072,-3.4384,loss,269452,3.5402
CricketY,0.8308,0.8231,0.0077,win,0.6243,0.9759,-0.3516,win,0.8762,4.8896,-4.0134,loss,269452,3.5402
CricketZ,0.8462,0.8574,-0.0112,loss,0.6414,0.8017,-0.1603,win,1.0278,4.7715,-3.7437,loss,269452,3.5402
DiatomSizeReduction,0.9608,0.9719,-0.0111,loss,0.2464,0.0944,0.152,loss,1.0704,1.0258,0.0446,tie,268340,3.5361
DistalPhalanxOutlineAgeGroup,0.7194,0.7151,0.0043,tie,0.5879,2.5757,-1.9878,win,0.2766,2.4343,-2.1577,loss,268201,3.5355
DistalPhalanxOutlineCorrect,0.75,0.7703,-0.0203,loss,0.5539,2.0843,-1.5304,win,-0.0184,0.6399,-0.6583,loss,268062,3.535
DistalPhalanxTW,0.6906,0.6604,0.0302,win,0.8234,2.8454,-2.022,win,0.3555,3.1209,-2.7654,loss,268618,3.5371
Earthquakes,0.7482,0.7252,0.023,win,0.5901,2.0855,-1.4954,win,0.4354,3.4927,-3.0573,loss,268062,3.535
ECG200,0.88,0.896,-0.016,loss,0.3055,0.8048,-0.4993,win,-0.6468,2.8601,-3.5069,loss,268062,3.535
ECG5000,0.946,0.9419,0.0041,tie,0.2441,0.6952,-0.4511,win,0.2446,6.7025,-6.4579,loss,268479,3.5365
ECGFiveDays,1.0,1.0,0.0,tie,0.0646,0.0,0.0646,loss,0.6825,4.7579,-4.0754,loss,268062,3.535
ElectricDevices,0.6943,0.712,-0.0177,loss,1.0931,5.5714,-4.4783,win,0.7683,4.6437,-3.8754,loss,268757,3.5376
FaceAll,0.8201,0.9528,-0.1327,loss,0.8242,0.2954,0.5288,loss,0.2183,3.9975,-3.7792,loss,269730,3.5412
FaceFour,0.9545,0.9591,-0.0046,tie,0.1868,0.468,-0.2812,win,0.8173,6.4735,-5.6562,loss,268340,3.5361
FacesUCR,0.961,0.9597,0.0013,tie,0.2231,0.1909,0.0322,loss,0.2912,3.1775,-2.8863,loss,269730,3.5412
FiftyWords,0.8198,0.8352,-0.0154,loss,0.8931,1.0207,-0.1276,win,1.2518,3.3053,-2.0535,loss,274734,3.5605
Fish,0.9657,0.9806,-0.0149,loss,0.2,0.2986,-0.0986,win,0.761,5.4842,-4.7232,loss,268757,3.5376
FordA,0.9508,0.9541,-0.0033,tie,0.1548,0.4398,-0.285,win,0.2354,2.7146,-2.4792,loss,268062,3.535
FordB,0.8333,0.8499,-0.0166,loss,0.358,1.4783,-1.1203,win,0.1996,1.6448,-1.4452,loss,268062,3.535
GunPoint,0.98,0.9853,-0.0053,loss,0.1035,0.0533,0.0502,loss,0.153,4.0108,-3.8578,loss,268062,3.535
Ham,0.6952,0.7086,-0.0134,loss,0.6982,1.7929,-1.0947,win,0.8765,3.9279,-3.0514,loss,268062,3.535
HandOutlines,0.9027,0.9476,-0.0449,loss,0.3229,0.3636,-0.0407,win,0.8938,12.7111,-11.8173,loss,268062,3.535
Haptics,0.4026,0.524,-0.1214,loss,1.5907,3.2084,-1.6177,win,0.9103,5.9916,-5.0813,loss,268479,3.5365
Herring,0.6719,0.5781,0.0938,win,0.7961,3.3086,-2.5125,win,0.815,4.6122,-3.7972,loss,268062,3.535
InlineSkate,0.3564,0.4913,-0.1349,loss,1.8598,2.5766,-0.7168,win,2.2355,8.1641,-5.9286,loss,268757,3.5376
InsectWingbeatSound,0.6167,0.6146,0.0021,tie,1.0049,2.598,-1.5931,win,0.3726,2.7342,-2.3616,loss,269313,3.5397
ItalyPowerDemand,0.9689,0.9506,0.0183,win,0.14,0.5572,-0.4172,win,0.1702,4.1634,-3.9932,loss,268062,3.535
LargeKitchenAppliances,0.8933,0.9013,-0.008,loss,0.3719,1.1387,-0.7668,win,0.362,9.5087,-9.1467,loss,268201,3.5355
Lightning2,0.8852,0.8557,0.0295,win,0.3046,0.9113,-0.6067,win,0.3392,5.3802,-5.041,loss,268062,3.535
Lightning7,0.8082,0.8274,-0.0192,loss,0.6087,0.9538,-0.3451,win,0.9835,4.2526,-3.2691,loss,268757,3.5376
Mallat,0.9574,0.9688,-0.0114,loss,0.3233,0.1333,0.19,loss,1.9738,6.7384,-4.7646,loss,268896,3.5381
Meat,0.85,0.9867,-0.1367,loss,0.38,0.0539,0.3261,loss,1.2037,6.1908,-4.9871,loss,268201,3.5355
MedicalImages,0.6789,0.8021,-0.1232,loss,0.8466,1.3284,-0.4818,win,0.2421,2.8937,-2.6516,loss,269174,3.5392
MiddlePhalanxOutlineAgeGroup,0.5779,0.5221,0.0558,win,0.9486,4.9601,-4.0115,win,0.0855,0.9851,-0.8996,loss,268201,3.5355
MiddlePhalanxOutlineCorrect,0.7973,0.8103,-0.013,loss,0.4407,1.2175,-0.7768,win,-0.5139,2.4532,-2.9671,loss,268062,3.535
MiddlePhalanxTW,0.5519,0.5104,0.0415,win,1.1287,4.0946,-2.9659,win,-0.4629,3.4,-3.8629,loss,268618,3.5371
MoteStrain,0.8762,0.9018,-0.0256,loss,0.3245,0.6772,-0.3527,win,0.3975,3.5563,-3.1588,loss,268062,3.535
NonInvasiveFetalECGThorax1,0.9074,0.9511,-0.0437,loss,0.4033,0.2659,0.1374,loss,0.6911,-2.2634,2.9545,win,273622,3.5561
NonInvasiveFetalECGThorax2,0.9115,0.9526,-0.0411,loss,0.4223,0.2528,0.1695,loss,0.9144,2.9866,-2.0722,loss,273622,3.5561
OliveOil,0.6667,0.8467,-0.18,loss,0.7651,0.9378,-0.1727,win,3.7687,-3.6343,7.403,win,268340,3.5361
OSULeaf,0.8595,0.9471,-0.0876,loss,0.509,0.2378,0.2712,loss,0.7484,6.5343,-5.7859,loss,268618,3.5371
PhalangesOutlinesCorrect,0.8357,0.8303,0.0054,win,0.3898,1.4708,-1.081,win,0.5394,2.0437,-1.5043,loss,268062,3.535
Phoneme,0.2157,0.3006,-0.0849,loss,2.9885,7.0359,-4.0474,win,1.0803,4.7834,-3.7031,loss,273205,3.5546
Plane,1.0,1.0,0.0,tie,0.1187,0.0,0.1187,loss,0.8633,3.3933,-2.53,loss,268757,3.5376
ProximalPhalanxOutlineAgeGroup,0.8341,0.8537,-0.0196,loss,0.4017,1.2906,-0.8889,win,0.0673,5.6483,-5.581,loss,268201,3.5355
ProximalPhalanxOutlineCorrect,0.9381,0.923,0.0151,win,0.2318,0.5448,-0.313,win,-0.8096,-3.5363,2.7267,win,268062,3.535
ProximalPhalanxTW,0.7951,0.76,0.0351,win,0.6215,2.0198,-1.3983,win,-1.5488,5.6975,-7.2463,loss,268618,3.5371
RefrigerationDevices,0.4773,0.5099,-0.0326,loss,1.3465,6.1414,-4.7949,win,0.4596,4.2486,-3.789,loss,268201,3.5355
ScreenType,0.4587,0.576,-0.1173,loss,1.1795,3.6402,-2.4607,win,0.4311,4.2157,-3.7846,loss,268201,3.5355
ShapeletSim,1.0,0.9089,0.0911,win,0.0915,0.2342,-0.1427,win,1.693,3.429,-1.736,loss,268062,3.535
ShapesAll,0.8633,0.9283,-0.065,loss,0.678,0.4908,0.1872,loss,1.5298,9.5598,-8.03,loss,276124,3.5657
SmallKitchenAppliances,0.824,0.7819,0.0421,win,0.5117,2.273,-1.7613,win,0.2399,3.9346,-3.6947,loss,268201,3.5355
SonyAIBORobotSurface1,0.8769,0.9338,-0.0569,loss,0.2606,0.3641,-0.1035,win,0.1265,3.2614,-3.1349,loss,268062,3.535
SonyAIBORobotSurface2,0.8793,0.8269,0.0524,win,0.2876,1.433,-1.1454,win,0.1562,2.9596,-2.8034,loss,268062,3.535
StarLightCurves,0.9757,0.9769,-0.0012,tie,0.1402,0.2046,-0.0644,win,0.694,8.4155,-7.7215,loss,268201,3.5355
Strawberry,0.9568,0.9746,-0.0178,loss,0.1744,0.1629,0.0115,loss,0.0926,6.2246,-6.132,loss,268062,3.535
SwedishLeaf,0.952,0.967,-0.015,loss,0.2489,0.1892,0.0597,loss,0.9023,4.1636,-3.2613,loss,269869,3.5417
