dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7391,0.8317,-0.0926,loss,1.0099,1.028,-0.0181,win,0.2229,15.8906,-15.6677,loss,276474,3.5668
ArrowHead,0.8286,0.8377,-0.0091,loss,0.4454,1.0053,-0.5599,win,0.214,3.2005,-2.9865,loss,271782,3.5489
Beef,0.9,0.8467,0.0533,win,0.4694,0.965,-0.4956,win,0.9986,5.4866,-4.488,loss,272058,3.5499
BeetleFly,0.8,0.92,-0.12,loss,0.4099,0.2905,0.1194,loss,-0.0716,1.2424,-1.314,loss,271644,3.5484
BirdChicken,0.8,0.94,-0.14,loss,0.4861,0.1447,0.3414,loss,0.2829,3.3665,-3.0836,loss,271644,3.5484
Car,0.9333,0.92,0.0133,win,0.2843,0.4259,-0.1416,win,0.172,6.6173,-6.4453,loss,271920,3.5494
CBF,0.9911,0.9998,-0.0087,loss,0.1477,0.0007,0.147,loss,0.2972,3.5827,-3.2855,loss,271782,3.5489
ChlorineConcentration,0.7891,0.8576,-0.0685,loss,0.5494,0.9747,-0.4253,win,0.253,2.1418,-1.8888,loss,271782,3.5489
CinCECGTorso,0.879,0.8239,0.0551,win,0.3497,0.9547,-0.605,win,0.7285,4.7745,-4.046,loss,271920,3.5494
Coffee,1.0,1.0,0.0,tie,0.0655,0.0,0.0655,loss,0.3361,3.4889,-3.1528,loss,271644,3.5484
Computers,0.596,0.7688,-0.1728,loss,0.6533,2.1231,-1.4698,win,0.0605,3.4427,-3.3822,loss,271644,3.5484
CricketX,0.7974,0.8267,-0.0293,loss,0.716,0.9717,-0.2557,win,0.6036,4.5072,-3.9036,loss,273024,3.5536
CricketY,0.7462,0.8231,-0.0769,loss,0.8765,0.9759,-0.0994,win,0.415,4.8896,-4.4746,loss,273024,3.5536
CricketZ,0.8026,0.8574,-0.0548,loss,0.7488,0.8017,-0.0529,win,0.8498,4.7715,-3.9217,loss,273024,3.5536
DiatomSizeReduction,0.9869,0.9719,0.015,win,0.1329,0.0944,0.0385,loss,-0.7687,1.0258,-1.7945,loss,271920,3.5494
DistalPhalanxOutlineAgeGroup,0.777,0.7151,0.0619,win,0.5391,2.5757,-2.0366,win,0.0381,2.4343,-2.3962,loss,271782,3.5489
DistalPhalanxOutlineCorrect,0.779,0.7703,0.0087,win,0.4921,2.0843,-1.5922,win,-0.1973,0.6399,-0.8372,loss,271644,3.5484
DistalPhalanxTW,0.6835,0.6604,0.0231,win,0.7979,2.8454,-2.0475,win,-0.0931,3.1209,-3.214,loss,272196,3.5505
Earthquakes,0.7482,0.7252,0.023,win,0.5542,2.0855,-1.5313,win,0.0387,3.4927,-3.454,loss,271644,3.5484
ECG200,0.9,0.896,0.004,tie,0.2915,0.8048,-0.5133,win,0.2212,2.8601,-2.6389,loss,271644,3.5484
ECG5000,0.9431,0.9419,0.0012,tie,0.2673,0.6952,-0.4279,win,-0.1959,6.7025,-6.8984,loss,272058,3.5499
