dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7161,0.8317,-0.1156,loss,1.1133,1.028,0.0853,loss,0.5956,15.8906,-15.295,loss,276150,3.5655
ArrowHead,0.76,0.8377,-0.0777,loss,0.6134,1.0053,-0.3919,win,0.1282,3.2005,-3.0723,loss,271764,3.5488
Beef,0.8667,0.8467,0.02,win,0.4076,0.965,-0.5574,win,0.382,5.4866,-5.1046,loss,272022,3.5498
BeetleFly,0.8,0.92,-0.12,loss,0.5189,0.2905,0.2284,loss,-0.4043,1.2424,-1.6467,loss,271635,3.5483
BirdChicken,0.9,0.94,-0.04,loss,0.2442,0.1447,0.0995,loss,0.0499,3.3665,-3.3166,loss,271635,3.5483
Car,0.9333,0.92,0.0133,win,0.2887,0.4259,-0.1372,win,0.1989,6.6173,-6.4184,loss,271893,3.5493
CBF,0.9956,0.9998,-0.0042,tie,0.1257,0.0007,0.125,loss,0.3332,3.5827,-3.2495,loss,271764,3.5488
ChlorineConcentration,0.8049,0.8576,-0.0527,loss,0.5365,0.9747,-0.4382,win,-0.0834,2.1418,-2.2252,loss,271764,3.5488
CinCECGTorso,0.8232,0.8239,-0.0007,tie,0.5197,0.9547,-0.435,win,0.3606,4.7745,-4.4139,loss,271893,3.5493
Coffee,1.0,1.0,0.0,tie,0.0838,0.0,0.0838,loss,0.3623,3.4889,-3.1266,loss,271635,3.5483
Computers,0.612,0.7688,-0.1568,loss,0.7358,2.1231,-1.3873,win,0.1917,3.4427,-3.251,loss,271635,3.5483
CricketX,0.7949,0.8267,-0.0318,loss,0.7375,0.9717,-0.2342,win,0.8522,4.5072,-3.655,loss,272925,3.5532
CricketY,0.7154,0.8231,-0.1077,loss,0.8111,0.9759,-0.1648,win,0.3601,4.8896,-4.5295,loss,272925,3.5532
CricketZ,0.7923,0.8574,-0.0651,loss,0.8335,0.8017,0.0318,loss,0.7829,4.7715,-3.9886,loss,272925,3.5532
DiatomSizeReduction,0.9542,0.9719,-0.0177,loss,0.189,0.0944,0.0946,loss,0.2849,1.0258,-0.7409,loss,271893,3.5493
DistalPhalanxOutlineAgeGroup,0.7338,0.7151,0.0187,win,0.6008,2.5757,-1.9749,win,-0.4493,2.4343,-2.8836,loss,271764,3.5488
DistalPhalanxOutlineCorrect,0.7754,0.7703,0.0051,win,0.4898,2.0843,-1.5945,win,0.0696,0.6399,-0.5703,loss,271635,3.5483
DistalPhalanxTW,0.6763,0.6604,0.0159,win,0.8115,2.8454,-2.0339,win,-0.0918,3.1209,-3.2127,loss,272151,3.5503
Earthquakes,0.7482,0.7252,0.023,win,0.5809,2.0855,-1.5046,win,0.0478,3.4927,-3.4449,loss,271635,3.5483
