dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7954,0.8317,-0.0363,loss,0.8397,1.028,-0.1883,win,0.8244,15.8906,-15.0662,loss,272891,3.5534
ArrowHead,0.8171,0.8377,-0.0206,loss,0.4723,1.0053,-0.533,win,0.2596,3.2005,-2.9409,loss,268199,3.5355
Beef,0.9,0.8467,0.0533,win,0.5817,0.965,-0.3833,win,0.8848,5.4866,-4.6018,loss,268475,3.5365
BeetleFly,0.75,0.92,-0.17,loss,0.4249,0.2905,0.1344,loss,0.3382,1.2424,-0.9042,loss,268061,3.535
BirdChicken,0.7,0.94,-0.24,loss,0.3993,0.1447,0.2546,loss,0.1243,3.3665,-3.2422,loss,268061,3.535
Car,0.8833,0.92,-0.0367,loss,0.4159,0.4259,-0.01,win,1.0926,6.6173,-5.5247,loss,268337,3.5361
CBF,0.9989,0.9998,-0.0009,tie,0.1147,0.0007,0.114,loss,0.7063,3.5827,-2.8764,loss,268199,3.5355
ChlorineConcentration,0.5857,0.8576,-0.2719,loss,0.8774,0.9747,-0.0973,win,0.4267,2.1418,-1.7151,loss,268199,3.5355
CinCECGTorso,0.7906,0.8239,-0.0333,loss,0.5541,0.9547,-0.4006,win,0.7648,4.7745,-4.0097,loss,268337,3.5361
Coffee,1.0,1.0,0.0,tie,0.0666,0.0,0.0666,loss,-0.0989,3.4889,-3.5878,loss,268061,3.535
Computers,0.628,0.7688,-0.1408,loss,0.6623,2.1231,-1.4608,win,0.058,3.4427,-3.3847,loss,268061,3.535
CricketX,0.8308,0.8267,0.0041,tie,0.6876,0.9717,-0.2841,win,0.9941,4.5072,-3.5131,loss,269441,3.5402
CricketY,0.8128,0.8231,-0.0103,loss,0.6506,0.9759,-0.3253,win,1.0136,4.8896,-3.876,loss,269441,3.5402
CricketZ,0.8564,0.8574,-0.001,tie,0.5734,0.8017,-0.2283,win,0.8435,4.7715,-3.928,loss,269441,3.5402
DiatomSizeReduction,0.9771,0.9719,0.0052,win,0.1628,0.0944,0.0684,loss,1.2738,1.0258,0.248,win,268337,3.5361
DistalPhalanxOutlineAgeGroup,0.7338,0.7151,0.0187,win,0.5777,2.5757,-1.998,win,0.3075,2.4343,-2.1268,loss,268199,3.5355
DistalPhalanxOutlineCorrect,0.7464,0.7703,-0.0239,loss,0.5487,2.0843,-1.5356,win,0.1474,0.6399,-0.4925,loss,268061,3.535
DistalPhalanxTW,0.7194,0.6604,0.059,win,0.7888,2.8454,-2.0566,win,0.2218,3.1209,-2.8991,loss,268613,3.5371
Earthquakes,0.705,0.7252,-0.0202,loss,0.5934,2.0855,-1.4921,win,0.3641,3.4927,-3.1286,loss,268061,3.535
ECG200,0.9,0.896,0.004,tie,0.2756,0.8048,-0.5292,win,-0.2177,2.8601,-3.0778,loss,268061,3.535
ECG5000,0.9393,0.9419,-0.0026,tie,0.2925,0.6952,-0.4027,win,0.9064,6.7025,-5.7961,loss,268475,3.5365
ECGFiveDays,1.0,1.0,0.0,tie,0.0603,0.0,0.0603,loss,-0.1982,4.7579,-4.9561,loss,268061,3.535
ElectricDevices,0.7234,0.712,0.0114,win,0.9878,5.5714,-4.5836,win,0.1833,4.6437,-4.4604,loss,268751,3.5376
FaceAll,0.803,0.9528,-0.1498,loss,1.035,0.2954,0.7396,loss,0.2535,3.9975,-3.744,loss,269717,3.5412
FaceFour,0.9773,0.9591,0.0182,win,0.1515,0.468,-0.3165,win,1.0201,6.4735,-5.4534,loss,268337,3.5361
FacesUCR,0.96,0.9597,0.0003,tie,0.2265,0.1909,0.0356,loss,-0.0292,3.1775,-3.2067,loss,269717,3.5412
FiftyWords,0.8,0.8352,-0.0352,loss,0.8322,1.0207,-0.1885,win,1.163,3.3053,-2.1423,loss,274685,3.5603
Fish,0.9714,0.9806,-0.0092,loss,0.1683,0.2986,-0.1303,win,0.9246,5.4842,-4.5596,loss,268751,3.5376
FordA,0.9576,0.9541,0.0035,tie,0.1635,0.4398,-0.2763,win,-0.1742,2.7146,-2.8888,loss,268061,3.535
FordB,0.8123,0.8499,-0.0376,loss,0.4044,1.4783,-1.0739,win,0.0075,1.6448,-1.6373,loss,268061,3.535
GunPoint,0.9867,0.9853,0.0014,tie,0.094,0.0533,0.0407,loss,0.2618,4.0108,-3.749,loss,268061,3.535
Ham,0.7429,0.7086,0.0343,win,0.6588,1.7929,-1.1341,win,0.3336,3.9279,-3.5943,loss,268061,3.535
HandOutlines,0.8703,0.9476,-0.0773,loss,0.3584,0.3636,-0.0052,tie,0.3489,12.7111,-12.3622,loss,268061,3.535
Haptics,0.3799,0.524,-0.1441,loss,1.4949,3.2084,-1.7135,win,0.9442,5.9916,-5.0474,loss,268475,3.5365
Herring,0.6562,0.5781,0.0781,win,0.8331,3.3086,-2.4755,win,0.2008,4.6122,-4.4114,loss,268061,3.535
InlineSkate,0.3818,0.4913,-0.1095,loss,1.8164,2.5766,-0.7602,win,1.6026,8.1641,-6.5615,loss,268751,3.5376
InsectWingbeatSound,0.596,0.6146,-0.0186,loss,1.0656,2.598,-1.5324,win,0.3297,2.7342,-2.4045,loss,269303,3.5397
ItalyPowerDemand,0.9689,0.9506,0.0183,win,0.1393,0.5572,-0.4179,win,0.1588,4.1634,-4.0046,loss,268061,3.535
LargeKitchenAppliances,0.9093,0.9013,0.008,win,0.3579,1.1387,-0.7808,win,1.3996,9.5087,-8.1091,loss,268199,3.5355
Lightning2,0.8689,0.8557,0.0132,win,0.3234,0.9113,-0.5879,win,0.2794,5.3802,-5.1008,loss,268061,3.535
Lightning7,0.863,0.8274,0.0356,win,0.6027,0.9538,-0.3511,win,1.0683,4.2526,-3.1843,loss,268751,3.5376
Mallat,0.9527,0.9688,-0.0161,loss,0.2596,0.1333,0.1263,loss,1.214,6.7384,-5.5244,loss,268889,3.5381
Meat,0.8167,0.9867,-0.17,loss,0.5189,0.0539,0.465,loss,2.4111,6.1908,-3.7797,loss,268199,3.5355
MedicalImages,0.7816,0.8021,-0.0205,loss,0.7214,1.3284,-0.607,win,0.355,2.8937,-2.5387,loss,269165,3.5392
MiddlePhalanxOutlineAgeGroup,0.539,0.5221,0.0169,win,0.9949,4.9601,-3.9652,win,0.0852,0.9851,-0.8999,loss,268199,3.5355
MiddlePhalanxOutlineCorrect,0.8247,0.8103,0.0144,win,0.4283,1.2175,-0.7892,win,0.1144,2.4532,-2.3388,loss,268061,3.535
MiddlePhalanxTW,0.5195,0.5104,0.0091,win,1.1102,4.0946,-2.9844,win,-0.2436,3.4,-3.6436,loss,268613,3.5371
MoteStrain,0.853,0.9018,-0.0488,loss,0.362,0.6772,-0.3152,win,0.2653,3.5563,-3.291,loss,268061,3.535
NonInvasiveFetalECGThorax1,0.9033,0.9511,-0.0478,loss,0.4488,0.2659,0.1829,loss,-0.0915,-2.2634,2.1719,win,273581,3.556
NonInvasiveFetalECGThorax2,0.9303,0.9526,-0.0223,loss,0.3738,0.2528,0.121,loss,0.4075,2.9866,-2.5791,loss,273581,3.556
OliveOil,0.7,0.8467,-0.1467,loss,0.7787,0.9378,-0.1591,win,1.3117,-3.6343,4.946,win,268337,3.5361
OSULeaf,0.8554,0.9471,-0.0917,loss,0.4772,0.2378,0.2394,loss,0.5031,6.5343,-6.0312,loss,268613,3.5371
PhalangesOutlinesCorrect,0.8287,0.8303,-0.0016,tie,0.408,1.4708,-1.0628,win,0.0248,2.0437,-2.0189,loss,268061,3.535
Phoneme,0.2463,0.3006,-0.0543,loss,2.7684,7.0359,-4.2675,win,0.734,4.7834,-4.0494,loss,273167,3.5544
Plane,1.0,1.0,0.0,tie,0.1064,0.0,0.1064,loss,0.3802,3.3933,-3.0131,loss,268751,3.5376
ProximalPhalanxOutlineAgeGroup,0.8488,0.8537,-0.0049,tie,0.4447,1.2906,-0.8459,win,0.5894,5.6483,-5.0589,loss,268199,3.5355
ProximalPhalanxOutlineCorrect,0.9003,0.923,-0.0227,loss,0.2588,0.5448,-0.286,win,-0.5621,-3.5363,2.9742,win,268061,3.535
ProximalPhalanxTW,0.7902,0.76,0.0302,win,0.5935,2.0198,-1.4263,win,-0.7736,5.6975,-6.4711,loss,268613,3.5371
RefrigerationDevices,0.4827,0.5099,-0.0272,loss,1.3602,6.1414,-4.7812,win,-0.0165,4.2486,-4.2651,loss,268199,3.5355
ScreenType,0.48,0.576,-0.096,loss,1.0636,3.6402,-2.5766,win,0.4344,4.2157,-3.7813,loss,268199,3.5355
ShapeletSim,1.0,0.9089,0.0911,win,0.073,0.2342,-0.1612,win,2.0266,3.429,-1.4024,loss,268061,3.535
ShapesAll,0.88,0.9283,-0.0483,loss,0.6096,0.4908,0.1188,loss,0.9332,9.5598,-8.6266,loss,276065,3.5655
SmallKitchenAppliances,0.808,0.7819,0.0261,win,0.5439,2.273,-1.7291,win,0.8709,3.9346,-3.0637,loss,268199,3.5355
SonyAIBORobotSurface1,0.8003,0.9338,-0.1335,loss,0.4081,0.3641,0.044,loss,0.7044,3.2614,-2.557,loss,268061,3.535
SonyAIBORobotSurface2,0.8583,0.8269,0.0314,win,0.318,1.433,-1.115,win,-0.1129,2.9596,-3.0725,loss,268061,3.535
StarLightCurves,0.9746,0.9769,-0.0023,tie,0.1461,0.2046,-0.0585,win,0.3577,8.4155,-8.0578,loss,268199,3.5355
Strawberry,0.9676,0.9746,-0.007,loss,0.1296,0.1629,-0.0333,win,-0.098,6.2246,-6.3226,loss,268061,3.535
SwedishLeaf,0.9584,0.967,-0.0086,loss,0.2232,0.1892,0.034,loss,0.5025,4.1636,-3.6611,loss,269855,3.5417
Symbols,0.9628,0.9576,0.0052,win,0.2669,0.1578,0.1091,loss,0.4446,2.5618,-2.1172,loss,268613,3.5371
SyntheticControl,0.9933,0.9973,-0.004,tie,0.1261,0.0052,0.1209,loss,0.505,3.3016,-2.7966,loss,268613,3.5371
ToeSegmentation1,0.8816,0.9632,-0.0816,loss,0.3211,0.1864,0.1347,loss,0.3458,2.1806,-1.8348,loss,268061,3.535
ToeSegmentation2,0.8615,0.9092,-0.0477,loss,0.3312,0.5003,-0.1691,win,0.2449,3.2069,-2.962,loss,268061,3.535
Trace,1.0,1.0,0.0,tie,0.1024,0.0,0.1024,loss,1.0206,4.9221,-3.9015,loss,268337,3.5361
TwoLeadECG,0.9982,0.9993,-0.0011,tie,0.0737,0.0066,0.0671,loss,0.1286,4.762,-4.6334,loss,268061,3.535
TwoPatterns,1.0,1.0,0.0,tie,0.0957,0.0,0.0957,loss,1.2693,12.1597,-10.8904,loss,268337,3.5361
UWaveGestureLibraryAll,0.9673,0.9447,0.0226,win,0.2488,0.3434,-0.0946,win,1.0392,8.0814,-7.0422,loss,268889,3.5381
UWaveGestureLibraryX,0.8051,0.8099,-0.0048,tie,0.6423,1.5956,-0.9533,win,0.5092,4.3044,-3.7952,loss,268889,3.5381
UWaveGestureLibraryY,0.7577,0.7528,0.0049,tie,0.8282,1.8851,-1.0569,win,0.5574,4.101,-3.5436,loss,268889,3.5381
UWaveGestureLibraryZ,0.7471,0.7432,0.0039,tie,0.7201,1.9758,-1.2557,win,0.8487,4.6466,-3.7979,loss,268889,3.5381
Wafer,0.9976,0.998,-0.0004,tie,0.0775,0.017,0.0605,loss,0.4284,1.1361,-0.7077,loss,268061,3.535
Wine,0.8148,0.8185,-0.0037,tie,0.5288,0.9499,-0.4211,win,0.3007,26.9638,-26.6631,loss,268061,3.535
WordSynonyms,0.7194,0.7417,-0.0223,loss,1.1257,1.8361,-0.7104,win,0.8256,3.0425,-2.2169,loss,271235,3.547
Worms,0.6364,0.7662,-0.1298,loss,0.9581,1.5027,-0.5446,win,0.7173,3.1133,-2.396,loss,268475,3.5365
WormsTwoClass,0.6234,0.7065,-0.0831,loss,0.7612,1.8387,-1.0775,win,0.8253,4.3009,-3.4756,loss,268061,3.535
Yoga,0.8923,0.9031,-0.0108,loss,0.3006,0.5236,-0.223,win,0.1244,6.6224,-6.498,loss,268061,3.535
ACSF1,0.73,,,no_baseline,0.8046,,,no_baseline,0.313,,,no_baseline,269165,3.5392
AllGestureWiimoteX,0.7686,,,no_baseline,0.8702,,,no_baseline,1.5883,,,no_baseline,269165,3.5392
AllGestureWiimoteY,0.7671,,,no_baseline,0.8147,,,no_baseline,1.7414,,,no_baseline,269165,3.5392
AllGestureWiimoteZ,0.76,,,no_baseline,0.8549,,,no_baseline,1.1852,,,no_baseline,269165,3.5392
BME,1.0,,,no_baseline,0.0977,,,no_baseline,0.8649,,,no_baseline,268199,3.5355
