dataset,model,encoder,pooling,seed,device,params,model_size_mb,n_train,n_val,n_test,series_length,n_classes,lambda_entropy,test_acc,test_bal_acc,test_auroc,test_loss,test_aopcr,test_ndcg,train_time_s,run_datetime
WebTraffic,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,272749,3.5528,400,100,500,201,10,0.01,0.714,0.714,0.9559,0.8525,0.4745,,22.58,2026-07-20 18:02:56
Adiac,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,276475,3.5671,328,62,391,35,37,0.01,0.6854,0.6741,0.9772,1.0831,-0.3205,,22.99,2026-07-20 18:03:25
ArrowHead,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271783,3.5492,36,0,175,50,3,0.01,0.8,0.8222,0.9633,0.4811,0.0093,,23.6,2026-07-20 18:03:53
Beef,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,272059,3.5502,30,0,30,94,5,0.01,0.9,0.9,0.9736,0.4042,0.2949,,31.26,2026-07-20 18:04:28
BeetleFly,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271645,3.5487,20,0,20,102,2,0.01,0.9,0.9,0.98,0.2978,0.4062,,11.77,2026-07-20 18:04:42
BirdChicken,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271645,3.5487,20,0,20,102,2,0.01,0.8,0.8,0.79,0.5961,0.882,,14.21,2026-07-20 18:04:59
Car,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271921,3.5497,60,0,60,115,4,0.01,0.95,0.9484,0.9602,0.2833,0.3339,,31.56,2026-07-20 18:05:35
CBF,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271783,3.5492,30,0,900,25,3,0.01,0.9867,0.9867,0.9998,0.144,0.2688,,18.01,2026-07-20 18:06:02
ChlorineConcentration,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271783,3.5492,375,92,3840,33,3,0.01,0.8206,0.7811,0.9111,0.5267,-0.3164,,52.42,2026-07-20 18:07:23
CinCECGTorso,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271921,3.5497,40,0,1380,327,4,0.01,0.9442,0.9444,0.9965,0.2661,-0.0457,,22.87,2026-07-20 18:08:00
Coffee,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271645,3.5487,28,0,28,57,2,0.01,1.0,1.0,1.0,0.0718,0.5298,,26.51,2026-07-20 18:08:29
Computers,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271645,3.5487,200,50,250,144,2,0.01,0.62,0.62,0.6561,0.6543,0.0658,,5.98,2026-07-20 18:08:39
CricketX,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,273025,3.5539,317,73,390,60,12,0.01,0.7769,0.7813,0.9638,0.7442,0.7025,,15.43,2026-07-20 18:08:59
CricketY,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,273025,3.5539,317,73,390,60,12,0.01,0.7718,0.7758,0.959,0.8149,0.2412,,23.08,2026-07-20 18:09:27
CricketZ,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,273025,3.5539,316,74,390,60,12,0.01,0.7821,0.7718,0.9621,0.7866,0.6424,,27.18,2026-07-20 18:09:59
DiatomSizeReduction,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271921,3.5497,16,0,306,69,4,0.01,0.9869,0.9697,0.9917,0.1624,1.2428,,19.1,2026-07-20 18:10:24
DistalPhalanxOutlineAgeGroup,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271783,3.5492,321,79,139,16,3,0.01,0.777,0.7871,0.9076,0.5431,-0.2706,,15.17,2026-07-20 18:10:41
DistalPhalanxOutlineCorrect,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271645,3.5487,481,119,276,16,2,0.01,0.7572,0.7435,0.8423,0.4967,0.1103,,26.22,2026-07-20 18:11:11
DistalPhalanxTW,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,272197,3.5508,323,77,139,16,6,0.01,0.6763,0.5702,0.884,0.814,-0.1949,,17.8,2026-07-20 18:11:32
Earthquakes,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271645,3.5487,259,63,139,102,2,0.01,0.7482,0.5,0.6096,0.5657,0.045,,9.05,2026-07-20 18:11:44
ECG200,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271645,3.5487,81,19,100,19,2,0.01,0.85,0.8524,0.9219,0.3517,0.0883,,6.18,2026-07-20 18:11:52
ECG5000,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,272059,3.5502,401,99,4500,28,5,0.01,0.9429,0.5707,0.9199,0.2694,0.1289,,27.88,2026-07-20 18:12:51
ECGFiveDays,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271645,3.5487,23,0,861,27,2,0.01,0.9733,0.9731,1.0,0.1262,-0.1632,,31.49,2026-07-20 18:13:32
ElectricDevices,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,272335,3.5513,7144,1782,7711,19,7,0.01,0.6615,0.5711,0.8726,1.1283,0.2514,,413.25,2026-07-20 18:21:20
FaceAll,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,273301,3.5549,448,112,1690,26,14,0.01,0.7935,0.8951,0.9946,0.7637,-0.2403,,50.06,2026-07-20 18:22:24
FaceFour,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271921,3.5497,24,0,88,70,4,0.01,0.9545,0.9598,1.0,0.2362,0.2757,,31.89,2026-07-20 18:23:00
FacesUCR,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,273301,3.5549,165,35,2050,26,14,0.01,0.838,0.7922,0.9883,0.5951,0.0579,,13.37,2026-07-20 18:23:29
FiftyWords,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,278269,3.574,365,85,455,54,50,0.01,0.7648,0.6837,0.982,0.9127,0.6157,,18.38,2026-07-20 18:23:53
Fish,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,272335,3.5513,142,33,175,92,7,0.01,0.9371,0.9389,0.9971,0.2567,0.0684,,19.01,2026-07-20 18:24:16
FordA,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271645,3.5487,2881,720,1320,100,2,0.01,0.9553,0.9558,0.9921,0.1582,0.2316,,109.13,2026-07-20 18:26:17
FordB,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271645,3.5487,2909,727,810,100,2,0.01,0.816,0.8154,0.9175,0.3983,-0.165,,208.06,2026-07-20 18:29:54
GunPoint,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271645,3.5487,50,0,150,30,2,0.01,0.9867,0.9867,0.9993,0.096,0.2285,,31.59,2026-07-20 18:30:30
Ham,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271645,3.5487,88,21,105,86,2,0.01,0.7333,0.7315,0.7593,0.634,0.5749,,6.65,2026-07-20 18:30:39
HandOutlines,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271645,3.5487,801,199,370,541,2,0.01,0.9432,0.931,0.9727,0.198,0.036,,84.84,2026-07-20 18:32:11
Haptics,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,272059,3.5502,127,28,308,218,5,0.01,0.4448,0.4398,0.745,1.7149,0.4105,,6.91,2026-07-20 18:32:22
Herring,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271645,3.5487,64,0,64,102,2,0.01,0.5625,0.5709,0.6154,1.0554,0.4282,,37.66,2026-07-20 18:33:04
InlineSkate,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,272335,3.5513,84,16,550,376,7,0.01,0.2091,0.1978,0.6087,1.9167,0.5341,,5.66,2026-07-20 18:33:15
InsectWingbeatSound,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,272887,3.5533,176,44,1980,51,11,0.01,0.6273,0.6273,0.9501,0.9985,-0.0235,,6.49,2026-07-20 18:33:37
ItalyPowerDemand,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271645,3.5487,67,0,1029,4,2,0.01,0.9718,0.9718,0.9944,0.1343,0.1998,,33.26,2026-07-20 18:34:20
LargeKitchenAppliances,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271783,3.5492,300,75,375,144,3,0.01,0.7973,0.7973,0.9137,0.602,0.613,,15.47,2026-07-20 18:34:40
Lightning2,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271645,3.5487,60,0,61,127,2,0.01,0.7377,0.7386,0.8539,0.5465,0.3537,,18.74,2026-07-20 18:35:03
Lightning7,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,272335,3.5513,70,0,73,63,7,0.01,0.7534,0.7624,0.9281,0.9051,-0.0155,,35.75,2026-07-20 18:35:43
Mallat,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,272473,3.5518,55,0,2345,204,8,0.01,0.8904,0.8913,0.9963,0.3623,0.5037,,14.54,2026-07-20 18:36:17
Meat,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271783,3.5492,60,0,60,89,3,0.01,0.9,0.9,0.9992,0.3007,1.1036,,35.09,2026-07-20 18:36:57
MedicalImages,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,272749,3.5528,307,74,760,19,10,0.01,0.6132,0.6039,0.9194,1.0167,0.2426,,12.29,2026-07-20 18:37:15
MiddlePhalanxOutlineAgeGroup,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271783,3.5492,321,79,154,16,3,0.01,0.5779,0.4537,0.6373,0.9655,0.3236,,29.57,2026-07-20 18:37:51
MiddlePhalanxOutlineCorrect,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271645,3.5487,481,119,291,16,2,0.01,0.7904,0.7787,0.8789,0.4298,-0.0064,,36.47,2026-07-20 18:38:31
MiddlePhalanxTW,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,272197,3.5508,321,78,154,16,6,0.01,0.5455,0.38,0.7714,1.1095,0.0033,,25.69,2026-07-20 18:39:00
MoteStrain,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271645,3.5487,20,0,1252,16,2,0.01,0.861,0.8568,0.953,0.3106,0.0295,,24.18,2026-07-20 18:39:36
NonInvasiveFetalECGThorax1,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,277165,3.5697,1452,348,1965,150,42,0.01,0.8997,0.8965,0.9938,0.3966,-0.353,,158.36,2026-07-20 18:42:33
NonInvasiveFetalECGThorax2,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,277165,3.5697,1452,348,1965,150,42,0.01,0.9471,0.9449,0.9976,0.2627,-0.4782,,143.62,2026-07-20 18:45:15
OliveOil,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271921,3.5497,30,0,30,114,4,0.01,0.7333,0.6708,0.8917,0.8833,0.8857,,29.38,2026-07-20 18:45:50
OSULeaf,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,272197,3.5508,163,37,242,85,6,0.01,0.7727,0.7485,0.9558,0.6095,0.4001,,13.71,2026-07-20 18:46:08
PhalangesOutlinesCorrect,seanet_softmax,mstcn_sep,softmax_conjunctive,0,cuda,271645,3.5487,1441,359,858,16,2,0.01,0.8135,0.799,0.8863,0.4167,0.187,,92.96,2026-07-20 18:47:49
