model                                                                             , config                          , params, size_mb, flops_m, infer_ms, throughput, peak_mem_mb, device, batch, length, n_classes
fcn__mil_fcn__mil_conjunctive                                                     , sv1/fcn                         , 266390,  3.4717, 264.84 ,   0.272 ,     3676.5,      67.276, cuda  ,    32,    500,         5
seanet_recon_attnmax__sea_mstcn_sep_recon__sea_attention_max                      , sv4/seanet_recon_attnmax        ,  62560,  1.5089,  59.288,   0.3123,     3202.2,      37.557, cuda  ,    32,    500,         5
seanet_slim_topk__sea_mstcn_sep__sea_topk_conjunctive                             , sv4/seanet_slim_topk            ,  57210,  1.4834,  54.056,   0.3781,     2644.5,      37.532, cuda  ,    32,    500,         5
seanet_recon_adaptive__sea_mstcn_sep_recon__sea_adaptive_classwise                , sv4/seanet_recon_adaptive       ,  62560,  1.5089,  59.288,   0.3831,     2610.1,      37.557, cuda  ,    32,    500,         5
seanet_slim__sea_mstcn_sep__sea_classwise_conjunctive                             , sv4/seanet_slim                 ,  57210,  1.4834,  54.056,   0.3964,     2522.8,      37.532, cuda  ,    32,    500,         5
seanet_bottleneck_attnmax__sea_mstcn_sep_bottleneck__sea_attention_max            , sv4/seanet_bottleneck_attnmax   ,  40959,  1.4272,  37.672,   0.4063,     2461.5,      41.38 , cuda  ,    32,    500,         5
seanet_recon_softmax__sea_mstcn_sep_recon__sea_softmax_conjunctive                , sv4/seanet_recon_softmax        ,  62556,  1.5088,  59.288,   0.429 ,     2330.8,      37.557, cuda  ,    32,    500,         5
seanet_bottleneck__sea_mstcn_sep_bottleneck__sea_classwise_conjunctive            , sv4/seanet_bottleneck           ,  40954,  1.4269,  37.672,   0.4336,     2306.5,      41.379, cuda  ,    32,    500,         5
seanet_acp__sea_mstcn_sep__sea_adaptive_classwise                                 , sv3/seanet_acp                  , 183119,  3.1886, 176.8  ,   0.4944,     2022.6,      66.09 , cuda  ,    32,    500,         5
seanet_slim_softmax__sea_mstcn_sep__sea_softmax_conjunctive                       , sv4/seanet_slim_softmax         ,  57211,  1.4836,  54.056,   0.5428,     1842.5,      37.532, cuda  ,    32,    500,         5
seanet_softmax__sea_mstcn_sep__sea_softmax_conjunctive                            , sv3/seanet_softmax              ,  43259,  1.4201,  40.872,   0.5702,     1753.8,      37.472, cuda  ,    32,    500,         5
seanet_bottleneck_adaptive__sea_mstcn_sep_bottleneck__sea_adaptive_classwise      , sv4/seanet_bottleneck_adaptive  ,  40959,  1.4272,  37.672,   0.5815,     1719.8,      41.38 , cuda  ,    32,    500,         5
seanet_bottleneck_topk__sea_mstcn_sep_bottleneck__sea_topk_conjunctive            , sv4/seanet_bottleneck_topk      ,  40954,  1.4269,  37.672,   0.6306,     1585.9,      41.379, cuda  ,    32,    500,         5
seanet__sea_mstcn_sep__mil_additive                                               , sv2/seanet                      , 268438,  3.5365, 259.08 ,   0.7124,     1403.8,      66.421, cuda  ,    32,    500,         5
resnet__mil_resnet__mil_conjunctive                                               , sv1/resnet                      , 505686,  4.4135, 501.96 ,   0.72  ,     1388.8,      52.142, cuda  ,    32,    500,         5
seanet_recon_topk__sea_mstcn_sep_recon__sea_topk_conjunctive                      , sv4/seanet_recon_topk           ,  62555,  1.5086,  59.288,   0.7368,     1357.2,      37.556, cuda  ,    32,    500,         5
seanet_classwise__sea_mstcn_sep__sea_classwise_conjunctive                        , sv3/seanet_classwise            , 268474,  3.5367, 259.112,   0.7593,     1317.1,      66.421, cuda  ,    32,    500,         5
seanet_slim_attnmax__sea_mstcn_sep__sea_attention_max                             , sv4/seanet_slim_attnmax         ,  57215,  1.4837,  54.056,   0.819 ,     1221.1,      37.532, cuda  ,    32,    500,         5
seanet_bottleneck_softmax__sea_mstcn_sep_bottleneck__sea_softmax_conjunctive      , sv4/seanet_bottleneck_softmax   ,  40955,  1.4271,  37.672,   0.9065,     1103.1,      41.38 , cuda  ,    32,    500,         5
seanet_gated_last_adaptive__sea_mstcn_sep_gated__sea_adaptive_classwise           , sv4/seanet_gated_last_adaptive  ,  61375,  1.5018,  54.064,   0.9307,     1074.5,      37.548, cuda  ,    32,    500,         5
seanet_slim_adaptive__sea_mstcn_sep__sea_adaptive_classwise                       , sv4/seanet_slim_adaptive        ,  57215,  1.4837,  54.056,   0.9539,     1048.3,      37.532, cuda  ,    32,    500,         5
seanet_gated_last__sea_mstcn_sep_gated__sea_classwise_conjunctive                 , sv4/seanet_gated_last           ,  61370,  1.5015,  54.064,   1.0016,      998.4,      37.548, cuda  ,    32,    500,         5
seanet_spiketrend_softmax__sea_mstcn_sep_spiketrend__sea_softmax_conjunctive      , sv4/seanet_spiketrend_softmax   ,  66651,  1.5247,  59.232,   1.002 ,      998.0,      37.572, cuda  ,    32,    500,         5
seanet_gated_max_adaptive__sea_mstcn_sep_gated__sea_adaptive_classwise            , sv4/seanet_gated_max_adaptive   ,  61375,  1.5018,  54.064,   1.0162,      984.1,      37.548, cuda  ,    32,    500,         5
millet__mil_inceptiontime__mil_conjunctive                                        , sv1/millet                      , 423062,  4.1077, 419.816,   1.0308,      970.2,      62.0  , cuda  ,    32,    500,         5
seanet_spiketrend_topk__sea_mstcn_sep_spiketrend__sea_topk_conjunctive            , sv4/seanet_spiketrend_topk      ,  66650,  1.5244,  59.232,   1.0875,      919.5,      37.571, cuda  ,    32,    500,         5
seanet_conjunctive__sea_mstcn_sep__mil_conjunctive                                , sv3/seanet_conjunctive          , 268438,  3.5365, 259.08 ,   1.139 ,      877.9,      66.421, cuda  ,    32,    500,         5
seanet_spiketrend__sea_mstcn_sep_spiketrend__sea_classwise_conjunctive            , sv4/seanet_spiketrend           ,  66650,  1.5244,  59.232,   1.153 ,      867.3,      37.571, cuda  ,    32,    500,         5
seanet_gated_last_topk__sea_mstcn_sep_gated__sea_topk_conjunctive                 , sv4/seanet_gated_last_topk      ,  61370,  1.5015,  54.064,   1.1669,      857.0,      37.548, cuda  ,    32,    500,         5
seanet_gated_last_dualstream__sea_mstcn_sep_gated__sea_dualstream_conjunctive     , sv5/seanet_gated_last_dualstream,  61891,  1.5044,  54.576,   1.2304,      812.7,      37.551, cuda  ,    32,    500,         5
seanet_gated_last_softmax__sea_mstcn_sep_gated__sea_softmax_conjunctive           , sv4/seanet_gated_last_softmax   ,  61371,  1.5018,  54.064,   1.2725,      785.8,      37.548, cuda  ,    32,    500,         5
seanet_slim_dualstream__sea_mstcn_sep__sea_dualstream_conjunctive                 , sv5/seanet_slim_dualstream      ,  57731,  1.4862,  54.568,   1.288 ,      776.4,      37.535, cuda  ,    32,    500,         5
seanet_bottleneck_gatedattn__sea_mstcn_sep_bottleneck__sea_gated_attention        , sv5/seanet_bottleneck_gatedattn ,  41474,  1.4293,  38.184,   1.2924,      773.8,      41.382, cuda  ,    32,    500,         5
seanet_slim_gatedattn__sea_mstcn_sep__sea_gated_attention                         , sv5/seanet_slim_gatedattn       ,  57730,  1.4858,  54.568,   1.3205,      757.3,      37.534, cuda  ,    32,    500,         5
seanet_spiketrend_attnmax__sea_mstcn_sep_spiketrend__sea_attention_max            , sv4/seanet_spiketrend_attnmax   ,  66655,  1.5247,  59.232,   1.3438,      744.2,      37.572, cuda  ,    32,    500,         5
seanet_gated_last_gatedattn__sea_mstcn_sep_gated__sea_gated_attention             , sv5/seanet_gated_last_gatedattn ,  61890,  1.504 ,  54.576,   1.3679,      731.0,      37.55 , cuda  ,    32,    500,         5
seanet_spiketrend_gatedattn__sea_mstcn_sep_spiketrend__sea_gated_attention        , sv5/seanet_spiketrend_gatedattn ,  67170,  1.5268,  59.744,   1.378 ,      725.7,      37.574, cuda  ,    32,    500,         5
seanet_gated_max__sea_mstcn_sep_gated__sea_classwise_conjunctive                  , sv4/seanet_gated_max            ,  61370,  1.5015,  54.064,   1.516 ,      659.6,      37.548, cuda  ,    32,    500,         5
seanet_spiketrend_adaptive__sea_mstcn_sep_spiketrend__sea_adaptive_classwise      , sv4/seanet_spiketrend_adaptive  ,  66655,  1.5247,  59.232,   1.5569,      642.3,      37.572, cuda  ,    32,    500,         5
seanet_gated_last_attnmax__sea_mstcn_sep_gated__sea_attention_max                 , sv4/seanet_gated_last_attnmax   ,  61375,  1.5018,  54.064,   1.7164,      582.6,      37.548, cuda  ,    32,    500,         5
seanet_spiketrend_dualstream__sea_mstcn_sep_spiketrend__sea_dualstream_conjunctive, sv5/seanet_spiketrend_dualstream,  67171,  1.5272,  59.744,   1.8093,      552.7,      37.574, cuda  ,    32,    500,         5
seanet_inputgate_attnmax__sea_mstcn_sep_inputgate__sea_attention_max              , sv4/seanet_inputgate_attnmax    ,  57727,  1.4879,  54.504,   1.927 ,      518.9,      37.535, cuda  ,    32,    500,         5
seanet_inputgate_topk__sea_mstcn_sep_inputgate__sea_topk_conjunctive              , sv4/seanet_inputgate_topk       ,  57722,  1.4876,  54.504,   2.0415,      489.8,      37.534, cuda  ,    32,    500,         5
seanet_gated_max_softmax__sea_mstcn_sep_gated__sea_softmax_conjunctive            , sv4/seanet_gated_max_softmax    ,  61371,  1.5018,  54.064,   2.053 ,      487.1,      37.548, cuda  ,    32,    500,         5
seanet_gated_mean_topk__sea_mstcn_sep_gated__sea_topk_conjunctive                 , sv4/seanet_gated_mean_topk      ,  61370,  1.5015,  54.064,   2.109 ,      474.2,      37.548, cuda  ,    32,    500,         5
seanet_gated_max_attnmax__sea_mstcn_sep_gated__sea_attention_max                  , sv4/seanet_gated_max_attnmax    ,  61375,  1.5018,  54.064,   2.1126,      473.4,      37.548, cuda  ,    32,    500,         5
seanet_gated_mean_softmax__sea_mstcn_sep_gated__sea_softmax_conjunctive           , sv4/seanet_gated_mean_softmax   ,  61371,  1.5018,  54.064,   2.2368,      447.1,      37.548, cuda  ,    32,    500,         5
seanet_bottleneck_dualstream__sea_mstcn_sep_bottleneck__sea_dualstream_conjunctive, sv5/seanet_bottleneck_dualstream,  41475,  1.4297,  38.184,   2.2522,      444.0,      41.382, cuda  ,    32,    500,         5
seanet_inputgate__sea_mstcn_sep_inputgate__sea_classwise_conjunctive              , sv4/seanet_inputgate            ,  57722,  1.4876,  54.504,   2.3125,      432.4,      37.534, cuda  ,    32,    500,         5
seanet_gated_mean_attnmax__sea_mstcn_sep_gated__sea_attention_max                 , sv4/seanet_gated_mean_attnmax   ,  61375,  1.5018,  54.064,   2.3566,      424.3,      37.548, cuda  ,    32,    500,         5
seanet_recon__sea_mstcn_sep_recon__sea_classwise_conjunctive                      , sv4/seanet_recon                ,  62555,  1.5086,  59.288,   2.572 ,      388.8,      37.556, cuda  ,    32,    500,         5
seanet_gated_max_topk__sea_mstcn_sep_gated__sea_topk_conjunctive                  , sv4/seanet_gated_max_topk       ,  61370,  1.5015,  54.064,   2.5722,      388.8,      37.548, cuda  ,    32,    500,         5
seanet_inputgate_adaptive__sea_mstcn_sep_inputgate__sea_adaptive_classwise        , sv4/seanet_inputgate_adaptive   ,  57727,  1.4879,  54.504,   2.5939,      385.5,      37.535, cuda  ,    32,    500,         5
