dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7442,0.8317,-0.0875,loss,0.9554,1.028,-0.0726,win,-0.1955,15.8906,-16.0861,loss,512118,4.4376
ArrowHead,0.8286,0.8377,-0.0091,loss,0.4737,1.0053,-0.5316,win,0.1996,3.2005,-3.0009,loss,507732,4.4209
Beef,0.9,0.8467,0.0533,win,0.3989,0.965,-0.5661,win,1.1831,5.4866,-4.3035,loss,507990,4.4219
BeetleFly,0.85,0.92,-0.07,loss,0.3461,0.2905,0.0556,loss,0.2384,1.2424,-1.004,loss,507603,4.4204
BirdChicken,0.85,0.94,-0.09,loss,0.2971,0.1447,0.1524,loss,0.8721,3.3665,-2.4944,loss,507603,4.4204
Car,0.9333,0.92,0.0133,win,0.3768,0.4259,-0.0491,win,1.217,6.6173,-5.4003,loss,507861,4.4214
CBF,0.99,0.9998,-0.0098,loss,0.205,0.0007,0.2043,loss,0.4538,3.5827,-3.1289,loss,507732,4.4209
ChlorineConcentration,0.749,0.8576,-0.1086,loss,0.655,0.9747,-0.3197,win,1.3105,2.1418,-0.8313,loss,507732,4.4209
CinCECGTorso,0.8406,0.8239,0.0167,win,0.5362,0.9547,-0.4185,win,1.3458,4.7745,-3.4287,loss,507861,4.4214
Coffee,1.0,1.0,0.0,tie,0.0815,0.0,0.0815,loss,0.3103,3.4889,-3.1786,loss,507603,4.4204
Computers,0.628,0.7688,-0.1408,loss,0.68,2.1231,-1.4431,win,0.6001,3.4427,-2.8426,loss,507603,4.4204
CricketX,0.7359,0.8267,-0.0908,loss,0.958,0.9717,-0.0137,win,1.1192,4.5072,-3.388,loss,508893,4.4253
CricketY,0.6846,0.8231,-0.1385,loss,1.0529,0.9759,0.077,loss,0.8988,4.8896,-3.9908,loss,508893,4.4253
CricketZ,0.7615,0.8574,-0.0959,loss,0.8509,0.8017,0.0492,loss,1.1371,4.7715,-3.6344,loss,508893,4.4253
DiatomSizeReduction,0.9608,0.9719,-0.0111,loss,0.2101,0.0944,0.1157,loss,0.2391,1.0258,-0.7867,loss,507861,4.4214
DistalPhalanxOutlineAgeGroup,0.7698,0.7151,0.0547,win,0.5576,2.5757,-2.0181,win,0.4332,2.4343,-2.0011,loss,507732,4.4209
DistalPhalanxOutlineCorrect,0.7536,0.7703,-0.0167,loss,0.5123,2.0843,-1.572,win,0.2226,0.6399,-0.4173,loss,507603,4.4204
DistalPhalanxTW,0.6835,0.6604,0.0231,win,0.7952,2.8454,-2.0502,win,0.4082,3.1209,-2.7127,loss,508119,4.4224
Earthquakes,0.7482,0.7252,0.023,win,0.5718,2.0855,-1.5137,win,0.0134,3.4927,-3.4793,loss,507603,4.4204
ECG200,0.82,0.896,-0.076,loss,0.3493,0.8048,-0.4555,win,0.2114,2.8601,-2.6487,loss,507603,4.4204
ECG5000,0.9329,0.9419,-0.009,loss,0.2947,0.6952,-0.4005,win,0.8837,6.7025,-5.8188,loss,507990,4.4219
ECGFiveDays,0.9756,1.0,-0.0244,loss,0.1474,0.0,0.1474,loss,0.3106,4.7579,-4.4473,loss,507603,4.4204
ElectricDevices,0.6866,0.712,-0.0254,loss,1.015,5.5714,-4.5564,win,0.7494,4.6437,-3.8943,loss,508248,4.4229
FaceAll,0.9308,0.9528,-0.022,loss,0.4405,0.2954,0.1451,loss,0.3995,3.9975,-3.598,loss,509151,4.4263
FaceFour,0.9205,0.9591,-0.0386,loss,0.4906,0.468,0.0226,loss,0.4841,6.4735,-5.9894,loss,507861,4.4214
FacesUCR,0.8863,0.9597,-0.0734,loss,0.6435,0.1909,0.4526,loss,0.4194,3.1775,-2.7581,loss,509151,4.4263
FiftyWords,0.767,0.8352,-0.0682,loss,0.9356,1.0207,-0.0851,win,0.9673,3.3053,-2.338,loss,513795,4.4441
Fish,0.9657,0.9806,-0.0149,loss,0.2249,0.2986,-0.0737,win,1.1752,5.4842,-4.309,loss,508248,4.4229
FordA,0.953,0.9541,-0.0011,tie,0.1789,0.4398,-0.2609,win,0.3607,2.7146,-2.3539,loss,507603,4.4204
FordB,0.8333,0.8499,-0.0166,loss,0.3703,1.4783,-1.108,win,0.2163,1.6448,-1.4285,loss,507603,4.4204
GunPoint,0.9933,0.9853,0.008,win,0.1099,0.0533,0.0566,loss,0.4347,4.0108,-3.5761,loss,507603,4.4204
Ham,0.7048,0.7086,-0.0038,tie,0.5675,1.7929,-1.2254,win,0.9129,3.9279,-3.015,loss,507603,4.4204
HandOutlines,0.927,0.9476,-0.0206,loss,0.2692,0.3636,-0.0944,win,2.7182,12.7111,-9.9929,loss,507603,4.4204
Haptics,0.5162,0.524,-0.0078,loss,1.4072,3.2084,-1.8012,win,2.2597,5.9916,-3.7319,loss,507990,4.4219
Herring,0.5,0.5781,-0.0781,loss,1.035,3.3086,-2.2736,win,5.666,4.6122,1.0538,win,507603,4.4204
InlineSkate,0.3164,0.4913,-0.1749,loss,1.6479,2.5766,-0.9287,win,0.9874,8.1641,-7.1767,loss,508248,4.4229
InsectWingbeatSound,0.5747,0.6146,-0.0399,loss,1.1475,2.598,-1.4505,win,0.4369,2.7342,-2.2973,loss,508764,4.4248
LargeKitchenAppliances,0.84,0.9013,-0.0613,loss,0.4893,1.1387,-0.6494,win,0.9722,9.5087,-8.5365,loss,507732,4.4209
Lightning2,0.8033,0.8557,-0.0524,loss,0.4623,0.9113,-0.449,win,1.0814,5.3802,-4.2988,loss,507603,4.4204
Lightning7,0.6712,0.8274,-0.1562,loss,0.9671,0.9538,0.0133,loss,1.0673,4.2526,-3.1853,loss,508248,4.4229
Mallat,0.9531,0.9688,-0.0157,loss,0.3054,0.1333,0.1721,loss,1.632,6.7384,-5.1064,loss,508377,4.4234
Meat,0.9333,0.9867,-0.0534,loss,0.2454,0.0539,0.1915,loss,2.5342,6.1908,-3.6566,loss,507732,4.4209
MedicalImages,0.7368,0.8021,-0.0653,loss,0.8309,1.3284,-0.4975,win,0.7862,2.8937,-2.1075,loss,508635,4.4243
MiddlePhalanxOutlineAgeGroup,0.5519,0.5221,0.0298,win,0.924,4.9601,-4.0361,win,-0.0551,0.9851,-1.0402,loss,507732,4.4209
MiddlePhalanxOutlineCorrect,0.7938,0.8103,-0.0165,loss,0.4526,1.2175,-0.7649,win,-0.6184,2.4532,-3.0716,loss,507603,4.4204
MiddlePhalanxTW,0.6234,0.5104,0.113,win,1.0724,4.0946,-3.0222,win,0.6071,3.4,-2.7929,loss,508119,4.4224
MoteStrain,0.8634,0.9018,-0.0384,loss,0.3306,0.6772,-0.3466,win,0.4289,3.5563,-3.1274,loss,507603,4.4204
NonInvasiveFetalECGThorax1,0.9201,0.9511,-0.031,loss,0.3984,0.2659,0.1325,loss,0.4606,-2.2634,2.724,win,512763,4.4401
NonInvasiveFetalECGThorax2,0.9272,0.9526,-0.0254,loss,0.3358,0.2528,0.083,loss,-0.3512,2.9866,-3.3378,loss,512763,4.4401
OliveOil,0.4,0.8467,-0.4467,loss,1.2928,0.9378,0.355,loss,0.2583,-3.6343,3.8926,win,507861,4.4214
OSULeaf,0.9256,0.9471,-0.0215,loss,0.4235,0.2378,0.1857,loss,0.9617,6.5343,-5.5726,loss,508119,4.4224
PhalangesOutlinesCorrect,0.8124,0.8303,-0.0179,loss,0.4409,1.4708,-1.0299,win,0.4589,2.0437,-1.5848,loss,507603,4.4204
Phoneme,0.2115,0.3006,-0.0891,loss,2.8728,7.0359,-4.1631,win,0.4298,4.7834,-4.3536,loss,512376,4.4386
Plane,1.0,1.0,0.0,tie,0.1327,0.0,0.1327,loss,0.079,3.3933,-3.3143,loss,508248,4.4229
ProximalPhalanxOutlineAgeGroup,0.8683,0.8537,0.0146,win,0.3914,1.2906,-0.8992,win,1.3728,5.6483,-4.2755,loss,507732,4.4209
ProximalPhalanxOutlineCorrect,0.8935,0.923,-0.0295,loss,0.2895,0.5448,-0.2553,win,1.0193,-3.5363,4.5556,win,507603,4.4204
ProximalPhalanxTW,0.8,0.76,0.04,win,0.5952,2.0198,-1.4246,win,-2.8349,5.6975,-8.5324,loss,508119,4.4224
RefrigerationDevices,0.4347,0.5099,-0.0752,loss,1.3501,6.1414,-4.7913,win,0.791,4.2486,-3.4576,loss,507732,4.4209
ScreenType,0.488,0.576,-0.088,loss,1.077,3.6402,-2.5632,win,0.531,4.2157,-3.6847,loss,507732,4.4209
ShapeletSim,0.9278,0.9089,0.0189,win,0.3161,0.2342,0.0819,loss,0.8611,3.429,-2.5679,loss,507603,4.4204
ShapesAll,0.9133,0.9283,-0.015,loss,0.5572,0.4908,0.0664,loss,1.2432,9.5598,-8.3166,loss,515085,4.4489
SmallKitchenAppliances,0.744,0.7819,-0.0379,loss,0.6359,2.273,-1.6371,win,0.8407,3.9346,-3.0939,loss,507732,4.4209
SonyAIBORobotSurface1,0.8369,0.9338,-0.0969,loss,0.3294,0.3641,-0.0347,win,0.4954,3.2614,-2.766,loss,507603,4.4204
SonyAIBORobotSurface2,0.8258,0.8269,-0.0011,tie,0.3745,1.433,-1.0585,win,0.2604,2.9596,-2.6992,loss,507603,4.4204
StarLightCurves,0.9775,0.9769,0.0006,tie,0.162,0.2046,-0.0426,win,0.5674,8.4155,-7.8481,loss,507732,4.4209
Strawberry,0.9622,0.9746,-0.0124,loss,0.1555,0.1629,-0.0074,tie,0.3391,6.2246,-5.8855,loss,507603,4.4204
SwedishLeaf,0.9408,0.967,-0.0262,loss,0.3202,0.1892,0.131,loss,0.4323,4.1636,-3.7313,loss,509280,4.4268
Symbols,0.9508,0.9576,-0.0068,loss,0.3491,0.1578,0.1913,loss,1.0041,2.5618,-1.5577,loss,508119,4.4224
SyntheticControl,0.9867,0.9973,-0.0106,loss,0.1871,0.0052,0.1819,loss,0.2897,3.3016,-3.0119,loss,508119,4.4224
ToeSegmentation1,0.9737,0.9632,0.0105,win,0.1865,0.1864,0.0001,tie,0.4475,2.1806,-1.7331,loss,507603,4.4204
ToeSegmentation2,0.9615,0.9092,0.0523,win,0.1607,0.5003,-0.3396,win,0.758,3.2069,-2.4489,loss,507603,4.4204
Trace,1.0,1.0,0.0,tie,0.1046,0.0,0.1046,loss,1.0029,4.9221,-3.9192,loss,507861,4.4214
TwoLeadECG,0.8938,0.9993,-0.1055,loss,0.2708,0.0066,0.2642,loss,0.0123,4.762,-4.7497,loss,507603,4.4204
TwoPatterns,1.0,1.0,0.0,tie,0.1055,0.0,0.1055,loss,0.77,12.1597,-11.3897,loss,507861,4.4214
UWaveGestureLibraryAll,0.9277,0.9447,-0.017,loss,0.4246,0.3434,0.0812,loss,1.2661,8.0814,-6.8153,loss,508377,4.4234
UWaveGestureLibraryX,0.8063,0.8099,-0.0036,tie,0.6571,1.5956,-0.9385,win,0.713,4.3044,-3.5914,loss,508377,4.4234
UWaveGestureLibraryY,0.7144,0.7528,-0.0384,loss,0.8467,1.8851,-1.0384,win,0.7902,4.101,-3.3108,loss,508377,4.4234
UWaveGestureLibraryZ,0.7462,0.7432,0.003,tie,0.726,1.9758,-1.2498,win,0.9768,4.6466,-3.6698,loss,508377,4.4234
Wafer,0.9963,0.998,-0.0017,tie,0.081,0.017,0.064,loss,0.0153,1.1361,-1.1208,loss,507603,4.4204
Wine,0.5,0.8185,-0.3185,loss,0.6942,0.9499,-0.2557,win,0.0601,26.9638,-26.9037,loss,507603,4.4204
WordSynonyms,0.685,0.7417,-0.0567,loss,1.334,1.8361,-0.5021,win,0.8447,3.0425,-2.1978,loss,510570,4.4317
Worms,0.6883,0.7662,-0.0779,loss,0.9185,1.5027,-0.5842,win,1.0052,3.1133,-2.1081,loss,507990,4.4219
WormsTwoClass,0.8052,0.7065,0.0987,win,0.4874,1.8387,-1.3513,win,0.3201,4.3009,-3.9808,loss,507603,4.4204
Yoga,0.836,0.9031,-0.0671,loss,0.3908,0.5236,-0.1328,win,0.3124,6.6224,-6.31,loss,507603,4.4204
ACSF1,0.8,,,no_baseline,0.7325,,,no_baseline,1.1027,,,no_baseline,508635,4.4243
AllGestureWiimoteX,0.6429,,,no_baseline,1.2524,,,no_baseline,1.2801,,,no_baseline,508635,4.4243
AllGestureWiimoteY,0.6457,,,no_baseline,1.0974,,,no_baseline,1.6432,,,no_baseline,508635,4.4243
AllGestureWiimoteZ,0.5529,,,no_baseline,1.2201,,,no_baseline,1.7235,,,no_baseline,508635,4.4243
BME,0.9667,,,no_baseline,0.1627,,,no_baseline,0.8627,,,no_baseline,507732,4.4209
Crop,0.7181,,,no_baseline,0.9544,,,no_baseline,0.5055,,,no_baseline,510441,4.4312
DodgerLoopDay,0.4625,,,no_baseline,1.5547,,,no_baseline,0.9264,,,no_baseline,508248,4.4229
DodgerLoopGame,0.6667,,,no_baseline,0.6045,,,no_baseline,0.5291,,,no_baseline,507603,4.4204
DodgerLoopWeekend,0.9783,,,no_baseline,0.1523,,,no_baseline,1.0738,,,no_baseline,507603,4.4204
EOGHorizontalSignal,0.5718,,,no_baseline,1.372,,,no_baseline,1.6093,,,no_baseline,508893,4.4253
EOGVerticalSignal,0.5055,,,no_baseline,1.6578,,,no_baseline,1.4396,,,no_baseline,508893,4.4253
EthanolLevel,0.84,,,no_baseline,0.455,,,no_baseline,2.3817,,,no_baseline,507861,4.4214
FreezerRegularTrain,0.9937,,,no_baseline,0.0831,,,no_baseline,0.8604,,,no_baseline,507603,4.4204
FreezerSmallTrain,0.7179,,,no_baseline,0.6312,,,no_baseline,0.4356,,,no_baseline,507603,4.4204
Fungi,0.9785,,,no_baseline,0.2652,,,no_baseline,1.3409,,,no_baseline,509667,4.4283
GestureMidAirD1,0.6385,,,no_baseline,1.1279,,,no_baseline,1.7443,,,no_baseline,510699,4.4322
GestureMidAirD2,0.6385,,,no_baseline,1.1161,,,no_baseline,1.3473,,,no_baseline,510699,4.4322
GestureMidAirD3,0.3385,,,no_baseline,2.2509,,,no_baseline,1.3393,,,no_baseline,510699,4.4322
GesturePebbleZ1,0.8721,,,no_baseline,0.4642,,,no_baseline,1.2148,,,no_baseline,508119,4.4224
GesturePebbleZ2,0.8861,,,no_baseline,0.4967,,,no_baseline,1.2489,,,no_baseline,508119,4.4224
GunPointAgeSpan,0.9778,,,no_baseline,0.1227,,,no_baseline,0.722,,,no_baseline,507603,4.4204
GunPointMaleVersusFemale,0.9905,,,no_baseline,0.0986,,,no_baseline,0.273,,,no_baseline,507603,4.4204
GunPointOldVersusYoung,0.9365,,,no_baseline,0.1929,,,no_baseline,0.4626,,,no_baseline,507603,4.4204
HouseTwenty,0.9412,,,no_baseline,0.1745,,,no_baseline,1.237,,,no_baseline,507603,4.4204
InsectEPGRegularTrain,1.0,,,no_baseline,0.1674,,,no_baseline,1.2224,,,no_baseline,507732,4.4209
InsectEPGSmallTrain,0.8835,,,no_baseline,0.4127,,,no_baseline,1.0935,,,no_baseline,507732,4.4209
MixedShapesRegularTrain,0.9608,,,no_baseline,0.2442,,,no_baseline,0.8613,,,no_baseline,507990,4.4219
MixedShapesSmallTrain,0.866,,,no_baseline,0.4347,,,no_baseline,1.3896,,,no_baseline,507990,4.4219
PLAID,0.8101,,,no_baseline,0.6509,,,no_baseline,2.6582,,,no_baseline,508764,4.4248
PickupGestureWiimoteZ,0.76,,,no_baseline,0.9599,,,no_baseline,0.7448,,,no_baseline,508635,4.4243
PigAirwayPressure,0.0385,,,no_baseline,3.8342,,,no_baseline,0.054,,,no_baseline,514053,4.445
PigArtPressure,0.9183,,,no_baseline,0.455,,,no_baseline,0.9967,,,no_baseline,514053,4.445
PigCVP,0.7596,,,no_baseline,1.3131,,,no_baseline,0.5994,,,no_baseline,514053,4.445
PowerCons,0.9111,,,no_baseline,0.221,,,no_baseline,0.503,,,no_baseline,507603,4.4204
Rock,0.8,,,no_baseline,0.7295,,,no_baseline,1.5052,,,no_baseline,507861,4.4214
SemgHandGenderCh2,0.7217,,,no_baseline,0.5509,,,no_baseline,1.6906,,,no_baseline,507603,4.4204
SemgHandMovementCh2,0.3289,,,no_baseline,1.5684,,,no_baseline,0.9974,,,no_baseline,508119,4.4224
SemgHandSubjectCh2,0.6222,,,no_baseline,0.9857,,,no_baseline,1.7875,,,no_baseline,507990,4.4219
ShakeGestureWiimoteZ,0.84,,,no_baseline,0.6475,,,no_baseline,0.7589,,,no_baseline,508635,4.4243
UMD,0.9792,,,no_baseline,0.1844,,,no_baseline,0.6675,,,no_baseline,507732,4.4209
