dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.8005,0.8317,-0.0312,loss,0.7871,1.028,-0.2409,win,1.2753,15.8906,-14.6153,loss,509814,4.4289
ArrowHead,0.84,0.8377,0.0023,tie,0.4509,1.0053,-0.5544,win,0.7217,3.2005,-2.4788,loss,505428,4.4121
Beef,0.7,0.8467,-0.1467,loss,0.8005,0.965,-0.1645,win,2.2026,5.4866,-3.284,loss,505686,4.4131
BeetleFly,0.85,0.92,-0.07,loss,0.3279,0.2905,0.0374,loss,3.6253,1.2424,2.3829,win,505299,4.4116
BirdChicken,0.95,0.94,0.01,win,0.1862,0.1447,0.0415,loss,1.7862,3.3665,-1.5803,loss,505299,4.4116
Car,0.9167,0.92,-0.0033,tie,0.3821,0.4259,-0.0438,win,2.229,6.6173,-4.3883,loss,505557,4.4126
CBF,0.9878,0.9998,-0.012,loss,0.1654,0.0007,0.1647,loss,1.0878,3.5827,-2.4949,loss,505428,4.4121
ChlorineConcentration,0.5617,0.8576,-0.2959,loss,0.9412,0.9747,-0.0335,win,0.29,2.1418,-1.8518,loss,505428,4.4121
CinCECGTorso,0.8819,0.8239,0.058,win,0.4539,0.9547,-0.5008,win,1.9363,4.7745,-2.8382,loss,505557,4.4126
Coffee,1.0,1.0,0.0,tie,0.1055,0.0,0.1055,loss,1.6236,3.4889,-1.8653,loss,505299,4.4116
Computers,0.796,0.7688,0.0272,win,0.6239,2.1231,-1.4992,win,0.8535,3.4427,-2.5892,loss,505299,4.4116
CricketX,0.7128,0.8267,-0.1139,loss,0.9306,0.9717,-0.0411,win,1.7129,4.5072,-2.7943,loss,506589,4.4165
CricketY,0.7128,0.8231,-0.1103,loss,0.8842,0.9759,-0.0917,win,1.9512,4.8896,-2.9384,loss,506589,4.4165
CricketZ,0.7333,0.8574,-0.1241,loss,0.8917,0.8017,0.09,loss,1.9089,4.7715,-2.8626,loss,506589,4.4165
DiatomSizeReduction,0.9542,0.9719,-0.0177,loss,0.2376,0.0944,0.1432,loss,0.6636,1.0258,-0.3622,loss,505557,4.4126
DistalPhalanxOutlineAgeGroup,0.7482,0.7151,0.0331,win,0.5759,2.5757,-1.9998,win,0.6664,2.4343,-1.7679,loss,505428,4.4121
DistalPhalanxOutlineCorrect,0.7536,0.7703,-0.0167,loss,0.5019,2.0843,-1.5824,win,0.8189,0.6399,0.179,win,505299,4.4116
DistalPhalanxTW,0.6906,0.6604,0.0302,win,0.8274,2.8454,-2.018,win,0.6985,3.1209,-2.4224,loss,505815,4.4136
Earthquakes,0.7482,0.7252,0.023,win,0.5652,2.0855,-1.5203,win,0.4477,3.4927,-3.045,loss,505299,4.4116
ECG200,0.82,0.896,-0.076,loss,0.4009,0.8048,-0.4039,win,0.2921,2.8601,-2.568,loss,505299,4.4116
ECG5000,0.9378,0.9419,-0.0041,tie,0.2776,0.6952,-0.4176,win,0.9875,6.7025,-5.715,loss,505686,4.4131
ECGFiveDays,0.9919,1.0,-0.0081,loss,0.1423,0.0,0.1423,loss,-0.2211,4.7579,-4.979,loss,505299,4.4116
ElectricDevices,0.7235,0.712,0.0115,win,0.9458,5.5714,-4.6256,win,1.4915,4.6437,-3.1522,loss,505944,4.4141
FaceAll,0.9367,0.9528,-0.0161,loss,0.353,0.2954,0.0576,loss,1.4888,3.9975,-2.5087,loss,506847,4.4175
FaceFour,0.9318,0.9591,-0.0273,loss,0.4133,0.468,-0.0547,win,0.9671,6.4735,-5.5064,loss,505557,4.4126
FacesUCR,0.9385,0.9597,-0.0212,loss,0.4173,0.1909,0.2264,loss,1.0158,3.1775,-2.1617,loss,506847,4.4175
FiftyWords,0.6813,0.8352,-0.1539,loss,1.3525,1.0207,0.3318,loss,1.9933,3.3053,-1.312,loss,511491,4.4353
Fish,0.96,0.9806,-0.0206,loss,0.4634,0.2986,0.1648,loss,1.9356,5.4842,-3.5486,loss,505944,4.4141
