dataset                     , model , settings, run_at             , seed, device, params, model_size_mb, n_train, n_val, n_test, series_length, n_classes, lambda_entropy, test_acc, test_bal_acc, test_auroc, test_loss, test_aopcr, test_ndcg, train_time_s
WebTraffic                  , seanet, 9eb2ac03, 2026-07-15 18:02:17,    0, cuda  , 269083,        3.5386,     400,   100,    500,          1008,        10,           0.01,   0.958 ,       0.958 ,     0.9967,    0.2513, 1.6227    ,    0.6984,       188.5
ACSF1                       , seanet, 9eb2ac03, 2026-07-15 18:02:50,    0, cuda  , 269083,        3.5386,      80,    20,    100,          1460,        10,           0.01,   0.77  ,       0.77  ,     0.9759,    0.7727, -0.3744   ,          ,        26.84
Adiac                       , seanet, 9eb2ac03, 2026-07-15 18:03:59,    0, cuda  , 272566,        3.5519,     328,    62,    391,           176,        37,           0.01,   0.7673,       0.7736,     0.971 ,    0.9379, 1.5436    ,          ,        57.88
AllGestureWiimoteX          , seanet, 9eb2ac03, 2026-07-15 18:04:51,    0, cuda  , 269083,        3.5386,     240,    60,    700,           500,        10,           0.01,   0.7414,       0.7414,     0.9327,    0.9033, 1.7235    ,          ,        38.21
AllGestureWiimoteY          , seanet, 9eb2ac03, 2026-07-15 18:06:34,    0, cuda  , 269083,        3.5386,     240,    60,    700,           500,        10,           0.01,   0.8057,       0.8057,     0.9523,    0.7575, 1.7488    ,          ,        87.55
AllGestureWiimoteZ          , seanet, 9eb2ac03, 2026-07-15 18:07:49,    0, cuda  , 269083,        3.5386,     240,    60,    700,           500,        10,           0.01,   0.7443,       0.7443,     0.944 ,    0.8824, 1.3806    ,          ,        60.61
ArrowHead                   , seanet, 9eb2ac03, 2026-07-15 18:08:27,    0, cuda  , 268180,        3.5351,      36,     0,    175,           251,         3,           0.01,   0.8743,       0.8835,     0.9768,    0.3767, 0.2167    ,          ,        31.4
BME                         , seanet, 9eb2ac03, 2026-07-15 18:09:09,    0, cuda  , 268180,        3.5351,      30,     0,    150,           128,         3,           0.01,   1.0   ,       1.0   ,     1.0   ,    0.0922, 0.0855    ,          ,        35.27
Beef                        , seanet, 9eb2ac03, 2026-07-15 18:10:08,    0, cuda  , 268438,        3.5361,      30,     0,     30,           470,         5,           0.01,   0.8667,       0.8667,     0.9847,    0.4049, 0.8539    ,          ,        51.48
BeetleFly                   , seanet, 9eb2ac03, 2026-07-15 18:10:48,    0, cuda  , 268051,        3.5347,      20,     0,     20,           512,         2,           0.01,   0.85  ,       0.85  ,     0.97  ,    0.3702, 0.0989    ,          ,        33.88
BirdChicken                 , seanet, 9eb2ac03, 2026-07-15 18:11:16,    0, cuda  , 268051,        3.5347,      20,     0,     20,           512,         2,           0.01,   1.0   ,       1.0   ,     1.0   ,    0.1755, 0.6422    ,          ,        24.16
CBF                         , seanet, 9eb2ac03, 2026-07-15 18:11:51,    0, cuda  , 268180,        3.5351,      30,     0,    900,           128,         3,           0.01,   1.0   ,       1.0   ,     1.0   ,    0.0965, 0.2179    ,          ,        19.65
Car                         , seanet, 9eb2ac03, 2026-07-15 18:12:35,    0, cuda  , 268309,        3.5356,      60,     0,     60,           577,         4,           0.01,   0.9333,       0.9231,     0.9832,    0.2523, 0.5257    ,          ,        36.8
Chinatown                   , seanet, 9eb2ac03, 2026-07-15 18:13:20,    0, cuda  , 268051,        3.5347,      20,     0,    343,            24,         2,           0.01,   0.9767,       0.9839,     0.9951,    0.1191, -0.0213   ,          ,        36.13
ChlorineConcentration       , seanet, 9eb2ac03, 2026-07-15 18:15:47,    0, cuda  , 268180,        3.5351,     375,    92,   3840,           166,         3,           0.01,   0.7263,       0.6872,     0.853 ,    0.6938, 0.2572    ,          ,        82.9
CinCECGTorso                , seanet, 9eb2ac03, 2026-07-15 18:17:11,    0, cuda  , 268309,        3.5356,      40,     0,   1380,          1639,         4,           0.01,   0.8123,       0.812 ,     0.9401,    0.5958, 1.217     ,          ,        36.27
Coffee                      , seanet, 9eb2ac03, 2026-07-15 18:17:35,    0, cuda  , 268051,        3.5347,      28,     0,     28,           286,         2,           0.01,   1.0   ,       1.0   ,     1.0   ,    0.0775, 0.5251    ,          ,        20.09
Computers                   , seanet, 9eb2ac03, 2026-07-15 18:18:12,    0, cuda  , 268051,        3.5347,     200,    50,    250,           720,         2,           0.01,   0.664 ,       0.664 ,     0.7458,    0.7621, 0.4049    ,          ,        30.07
CricketX                    , seanet, 9eb2ac03, 2026-07-15 18:19:16,    0, cuda  , 269341,        3.5395,     317,    73,    390,           300,        12,           0.01,   0.8128,       0.819 ,     0.965 ,    0.7259, 1.4905    ,          ,        54.47
CricketY                    , seanet, 9eb2ac03, 2026-07-15 18:20:15,    0, cuda  , 269341,        3.5395,     317,    73,    390,           300,        12,           0.01,   0.8462,       0.848 ,     0.9765,    0.5819, 1.4847    ,          ,        49.5
CricketZ                    , seanet, 9eb2ac03, 2026-07-15 18:20:59,    0, cuda  , 269341,        3.5395,     316,    74,    390,           300,        12,           0.01,   0.841 ,       0.8325,     0.9659,    0.6141, 1.5165    ,          ,        35.95
Crop                        , seanet, 9eb2ac03, 2026-07-15 18:32:16,    0, cuda  , 270889,        3.5455,    5760,  1440,  16800,            46,        24,           0.01,   0.7066,       0.7066,     0.973 ,    0.9391, 0.2178    ,          ,       426.19
DiatomSizeReduction         , seanet, 9eb2ac03, 2026-07-15 18:33:05,    0, cuda  , 268309,        3.5356,      16,     0,    306,           345,         4,           0.01,   0.9739,       0.9443,     0.9999,    0.1815, 0.3858    ,          ,        38.93
DistalPhalanxOutlineAgeGroup, seanet, 9eb2ac03, 2026-07-15 18:33:38,    0, cuda  , 268180,        3.5351,     321,    79,    139,            80,         3,           0.01,   0.7338,       0.7351,     0.9052,    0.5453, 0.2151    ,          ,        28.84
DistalPhalanxOutlineCorrect , seanet, 9eb2ac03, 2026-07-15 18:34:23,    0, cuda  , 268051,        3.5347,     481,   119,    276,            80,         2,           0.01,   0.7899,       0.7752,     0.8284,    0.5167, 0.0585    ,          ,        38.24
DistalPhalanxTW             , seanet, 9eb2ac03, 2026-07-15 18:34:55,    0, cuda  , 268567,        3.5366,     323,    77,    139,            80,         6,           0.01,   0.6691,       0.484 ,     0.8882,    0.7776, 0.1673    ,          ,        27.67
DodgerLoopDay               , seanet, 9eb2ac03, 2026-07-15 18:36:08,    0, cuda  , 268696,        3.5371,      78,     0,     80,           288,         7,           0.01,   0.6125,       0.5977,     0.8686,    1.1978, 0.6876    ,          ,        65.11
DodgerLoopGame              , seanet, 9eb2ac03, 2026-07-15 18:36:43,    0, cuda  , 268051,        3.5347,      20,     0,    138,           288,         2,           0.01,   0.942 ,       0.9413,     0.9794,    0.2086, 0.3378    ,          ,        28.32
DodgerLoopWeekend           , seanet, 9eb2ac03, 2026-07-15 18:37:06,    0, cuda  , 268051,        3.5347,      20,     0,    138,           288,         2,           0.01,   0.9783,       0.9853,     0.9973,    0.1253, 1.1006    ,          ,        16.83
