dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.6471,0.8317,-0.1846,loss,1.2464,1.028,0.2184,loss,0.2544,15.8906,-15.6362,loss,276150,3.5655
ArrowHead,0.7886,0.8377,-0.0491,loss,0.5471,1.0053,-0.4582,win,-0.0083,3.2005,-3.2088,loss,271764,3.5488
Beef,0.8667,0.8467,0.02,win,0.4474,0.965,-0.5176,win,0.2647,5.4866,-5.2219,loss,272022,3.5498
BeetleFly,0.85,0.92,-0.07,loss,0.3877,0.2905,0.0972,loss,0.0164,1.2424,-1.226,loss,271635,3.5483
BirdChicken,0.8,0.94,-0.14,loss,0.3213,0.1447,0.1766,loss,0.2696,3.3665,-3.0969,loss,271635,3.5483
Car,0.8833,0.92,-0.0367,loss,0.4098,0.4259,-0.0161,win,0.3571,6.6173,-6.2602,loss,271893,3.5493
CBF,0.9844,0.9998,-0.0154,loss,0.1354,0.0007,0.1347,loss,0.4045,3.5827,-3.1782,loss,271764,3.5488
ChlorineConcentration,0.7812,0.8576,-0.0764,loss,0.5799,0.9747,-0.3948,win,-0.0247,2.1418,-2.1665,loss,271764,3.5488
CinCECGTorso,0.8326,0.8239,0.0087,win,0.4941,0.9547,-0.4606,win,0.4786,4.7745,-4.2959,loss,271893,3.5493
Coffee,1.0,1.0,0.0,tie,0.0727,0.0,0.0727,loss,1.0443,3.4889,-2.4446,loss,271635,3.5483
Computers,0.584,0.7688,-0.1848,loss,0.7994,2.1231,-1.3237,win,0.1174,3.4427,-3.3253,loss,271635,3.5483
CricketX,0.8154,0.8267,-0.0113,loss,0.6902,0.9717,-0.2815,win,0.7345,4.5072,-3.7727,loss,272925,3.5532
CricketY,0.7923,0.8231,-0.0308,loss,0.7737,0.9759,-0.2022,win,0.6969,4.8896,-4.1927,loss,272925,3.5532
CricketZ,0.7846,0.8574,-0.0728,loss,0.8378,0.8017,0.0361,loss,0.6548,4.7715,-4.1167,loss,272925,3.5532
DiatomSizeReduction,0.9673,0.9719,-0.0046,tie,0.1699,0.0944,0.0755,loss,0.6618,1.0258,-0.364,loss,271893,3.5493
DistalPhalanxOutlineAgeGroup,0.7482,0.7151,0.0331,win,0.5924,2.5757,-1.9833,win,-0.5137,2.4343,-2.948,loss,271764,3.5488
DistalPhalanxOutlineCorrect,0.7609,0.7703,-0.0094,loss,0.4852,2.0843,-1.5991,win,0.0782,0.6399,-0.5617,loss,271635,3.5483
DistalPhalanxTW,0.6763,0.6604,0.0159,win,0.7957,2.8454,-2.0497,win,-0.2858,3.1209,-3.4067,loss,272151,3.5503
Earthquakes,0.7482,0.7252,0.023,win,0.5881,2.0855,-1.4974,win,0.0483,3.4927,-3.4444,loss,271635,3.5483
ECG200,0.87,0.896,-0.026,loss,0.329,0.8048,-0.4758,win,0.117,2.8601,-2.7431,loss,271635,3.5483
ECG5000,0.9447,0.9419,0.0028,tie,0.2753,0.6952,-0.4199,win,0.2295,6.7025,-6.473,loss,272022,3.5498
ECGFiveDays,0.9803,1.0,-0.0197,loss,0.1253,0.0,0.1253,loss,-0.102,4.7579,-4.8599,loss,271635,3.5483
ElectricDevices,0.6495,0.712,-0.0625,loss,1.1366,5.5714,-4.4348,win,0.0688,4.6437,-4.5749,loss,272280,3.5508
FaceAll,0.787,0.9528,-0.1658,loss,0.7332,0.2954,0.4378,loss,0.0411,3.9975,-3.9564,loss,273183,3.5542
FaceFour,0.9773,0.9591,0.0182,win,0.2662,0.468,-0.2018,win,0.1629,6.4735,-6.3106,loss,271893,3.5493
FacesUCR,0.8268,0.9597,-0.1329,loss,0.6228,0.1909,0.4319,loss,0.1665,3.1775,-3.011,loss,273183,3.5542
FiftyWords,0.778,0.8352,-0.0572,loss,0.9117,1.0207,-0.109,win,0.5571,3.3053,-2.7482,loss,277827,3.572
Fish,0.9371,0.9806,-0.0435,loss,0.2741,0.2986,-0.0245,win,0.2362,5.4842,-5.248,loss,272280,3.5508
FordA,0.9644,0.9541,0.0103,win,0.1626,0.4398,-0.2772,win,-0.0855,2.7146,-2.8001,loss,271635,3.5483
FordB,0.8494,0.8499,-0.0005,tie,0.3418,1.4783,-1.1365,win,0.0272,1.6448,-1.6176,loss,271635,3.5483
GunPoint,0.9733,0.9853,-0.012,loss,0.1191,0.0533,0.0658,loss,0.0105,4.0108,-4.0003,loss,271635,3.5483
Ham,0.7238,0.7086,0.0152,win,0.6633,1.7929,-1.1296,win,0.0638,3.9279,-3.8641,loss,271635,3.5483
