dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7775,0.8317,-0.0542,loss,0.824,1.028,-0.204,win,3.4045,15.8906,-12.4861,loss,272566,3.5519
ArrowHead,0.8343,0.8377,-0.0034,tie,0.4713,1.0053,-0.534,win,0.1722,3.2005,-3.0283,loss,268180,3.5351
Beef,0.8333,0.8467,-0.0134,loss,0.4669,0.965,-0.4981,win,0.6789,5.4866,-4.8077,loss,268438,3.5361
BeetleFly,0.8,0.92,-0.12,loss,0.397,0.2905,0.1065,loss,0.1441,1.2424,-1.0983,loss,268051,3.5347
BirdChicken,1.0,0.94,0.06,win,0.1813,0.1447,0.0366,loss,0.4761,3.3665,-2.8904,loss,268051,3.5347
Car,0.95,0.92,0.03,win,0.2713,0.4259,-0.1546,win,0.4946,6.6173,-6.1227,loss,268309,3.5356
CBF,1.0,0.9998,0.0002,tie,0.1106,0.0007,0.1099,loss,0.2083,3.5827,-3.3744,loss,268180,3.5351
ChlorineConcentration,0.7292,0.8576,-0.1284,loss,0.6949,0.9747,-0.2798,win,0.2343,2.1418,-1.9075,loss,268180,3.5351
CinCECGTorso,0.8225,0.8239,-0.0014,tie,0.5606,0.9547,-0.3941,win,0.9309,4.7745,-3.8436,loss,268309,3.5356
Coffee,1.0,1.0,0.0,tie,0.0736,0.0,0.0736,loss,0.3859,3.4889,-3.103,loss,268051,3.5347
Computers,0.668,0.7688,-0.1008,loss,0.7857,2.1231,-1.3374,win,0.3448,3.4427,-3.0979,loss,268051,3.5347
CricketX,0.8128,0.8267,-0.0139,loss,0.6601,0.9717,-0.3116,win,1.7137,4.5072,-2.7935,loss,269341,3.5395
CricketY,0.8615,0.8231,0.0384,win,0.5781,0.9759,-0.3978,win,1.4968,4.8896,-3.3928,loss,269341,3.5395
CricketZ,0.8513,0.8574,-0.0061,loss,0.6014,0.8017,-0.2003,win,1.5721,4.7715,-3.1994,loss,269341,3.5395
DiatomSizeReduction,0.9706,0.9719,-0.0013,tie,0.18,0.0944,0.0856,loss,0.6688,1.0258,-0.357,loss,268309,3.5356
DistalPhalanxOutlineAgeGroup,0.7554,0.7151,0.0403,win,0.5406,2.5757,-2.0351,win,0.0557,2.4343,-2.3786,loss,268180,3.5351
DistalPhalanxOutlineCorrect,0.7572,0.7703,-0.0131,loss,0.6233,2.0843,-1.461,win,-0.053,0.6399,-0.6929,loss,268051,3.5347
DistalPhalanxTW,0.705,0.6604,0.0446,win,0.8038,2.8454,-2.0416,win,0.4533,3.1209,-2.6676,loss,268567,3.5366
Earthquakes,0.7482,0.7252,0.023,win,0.5747,2.0855,-1.5108,win,1.2568,3.4927,-2.2359,loss,268051,3.5347
ECG200,0.89,0.896,-0.006,loss,0.2824,0.8048,-0.5224,win,0.0185,2.8601,-2.8416,loss,268051,3.5347
ECG5000,0.9313,0.9419,-0.0106,loss,0.2867,0.6952,-0.4085,win,1.1228,6.7025,-5.5797,loss,268438,3.5361
ECGFiveDays,1.0,1.0,0.0,tie,0.0618,0.0,0.0618,loss,0.2776,4.7579,-4.4803,loss,268051,3.5347
ElectricDevices,0.7214,0.712,0.0094,win,0.976,5.5714,-4.5954,win,0.4013,4.6437,-4.2424,loss,268696,3.5371
FaceAll,0.8107,0.9528,-0.1421,loss,0.8701,0.2954,0.5747,loss,0.2602,3.9975,-3.7373,loss,269599,3.5405
FaceFour,0.9773,0.9591,0.0182,win,0.1651,0.468,-0.3029,win,0.8601,6.4735,-5.6134,loss,268309,3.5356
FacesUCR,0.9702,0.9597,0.0105,win,0.2144,0.1909,0.0235,loss,0.1984,3.1775,-2.9791,loss,269599,3.5405
FiftyWords,0.8242,0.8352,-0.011,loss,0.7616,1.0207,-0.2591,win,0.6527,3.3053,-2.6526,loss,274243,3.5583
Fish,0.9829,0.9806,0.0023,tie,0.1626,0.2986,-0.136,win,0.6895,5.4842,-4.7947,loss,268696,3.5371
FordA,0.9591,0.9541,0.005,win,0.1587,0.4398,-0.2811,win,0.1078,2.7146,-2.6068,loss,268051,3.5347
FordB,0.8235,0.8499,-0.0264,loss,0.364,1.4783,-1.1143,win,0.577,1.6448,-1.0678,loss,268051,3.5347
GunPoint,0.9867,0.9853,0.0014,tie,0.088,0.0533,0.0347,loss,0.3808,4.0108,-3.63,loss,268051,3.5347
Ham,0.6381,0.7086,-0.0705,loss,0.6688,1.7929,-1.1241,win,0.6418,3.9279,-3.2861,loss,268051,3.5347
HandOutlines,0.9378,0.9476,-0.0098,loss,0.2178,0.3636,-0.1458,win,0.0754,12.7111,-12.6357,loss,268051,3.5347
Haptics,0.4838,0.524,-0.0402,loss,1.4225,3.2084,-1.7859,win,1.315,5.9916,-4.6766,loss,268438,3.5361
Herring,0.5781,0.5781,-0.0,tie,0.9313,3.3086,-2.3773,win,0.8873,4.6122,-3.7249,loss,268051,3.5347
InlineSkate,0.3909,0.4913,-0.1004,loss,1.7918,2.5766,-0.7848,win,1.5756,8.1641,-6.5885,loss,268696,3.5371
InsectWingbeatSound,0.5646,0.6146,-0.05,loss,1.1155,2.598,-1.4825,win,0.2231,2.7342,-2.5111,loss,269212,3.5391
ItalyPowerDemand,0.967,0.9506,0.0164,win,0.1408,0.5572,-0.4164,win,0.2385,4.1634,-3.9249,loss,268051,3.5347
LargeKitchenAppliances,0.9013,0.9013,-0.0,tie,0.3299,1.1387,-0.8088,win,1.3876,9.5087,-8.1211,loss,268180,3.5351
Lightning2,0.8197,0.8557,-0.036,loss,0.3636,0.9113,-0.5477,win,0.8601,5.3802,-4.5201,loss,268051,3.5347
Lightning7,0.8356,0.8274,0.0082,win,0.5553,0.9538,-0.3985,win,1.1525,4.2526,-3.1001,loss,268696,3.5371
Mallat,0.9706,0.9688,0.0018,tie,0.2171,0.1333,0.0838,loss,1.42,6.7384,-5.3184,loss,268825,3.5376
Meat,0.8667,0.9867,-0.12,loss,0.3623,0.0539,0.3084,loss,2.158,6.1908,-4.0328,loss,268180,3.5351
MedicalImages,0.7263,0.8021,-0.0758,loss,0.8135,1.3284,-0.5149,win,0.2952,2.8937,-2.5985,loss,269083,3.5386
MiddlePhalanxOutlineAgeGroup,0.5714,0.5221,0.0493,win,0.9502,4.9601,-4.0099,win,0.0932,0.9851,-0.8919,loss,268180,3.5351
MiddlePhalanxOutlineCorrect,0.8488,0.8103,0.0385,win,0.3794,1.2175,-0.8381,win,0.2596,2.4532,-2.1936,loss,268051,3.5347
MiddlePhalanxTW,0.5455,0.5104,0.0351,win,1.0804,4.0946,-3.0142,win,0.1521,3.4,-3.2479,loss,268567,3.5366
MoteStrain,0.8794,0.9018,-0.0224,loss,0.3008,0.6772,-0.3764,win,0.1743,3.5563,-3.382,loss,268051,3.5347
NonInvasiveFetalECGThorax1,0.9125,0.9511,-0.0386,loss,0.3572,0.2659,0.0913,loss,-0.6499,-2.2634,1.6135,win,273211,3.5543
NonInvasiveFetalECGThorax2,0.9181,0.9526,-0.0345,loss,0.3705,0.2528,0.1177,loss,-0.5831,2.9866,-3.5697,loss,273211,3.5543
OliveOil,0.7333,0.8467,-0.1134,loss,0.8665,0.9378,-0.0713,win,0.8439,-3.6343,4.4782,win,268309,3.5356
OSULeaf,0.8884,0.9471,-0.0587,loss,0.4031,0.2378,0.1653,loss,0.4125,6.5343,-6.1218,loss,268567,3.5366
PhalangesOutlinesCorrect,0.8415,0.8303,0.0112,win,0.3842,1.4708,-1.0866,win,0.0851,2.0437,-1.9586,loss,268051,3.5347
Phoneme,0.2874,0.3006,-0.0132,loss,2.6598,7.0359,-4.3761,win,0.4926,4.7834,-4.2908,loss,272824,3.5528
Plane,1.0,1.0,0.0,tie,0.0996,0.0,0.0996,loss,0.2571,3.3933,-3.1362,loss,268696,3.5371
ProximalPhalanxOutlineAgeGroup,0.8293,0.8537,-0.0244,loss,0.4157,1.2906,-0.8749,win,0.0522,5.6483,-5.5961,loss,268180,3.5351
ProximalPhalanxOutlineCorrect,0.9141,0.923,-0.0089,loss,0.2347,0.5448,-0.3101,win,-0.4494,-3.5363,3.0869,win,268051,3.5347
ProximalPhalanxTW,0.7707,0.76,0.0107,win,0.6045,2.0198,-1.4153,win,-0.7238,5.6975,-6.4213,loss,268567,3.5366
RefrigerationDevices,0.496,0.5099,-0.0139,loss,1.0477,6.1414,-5.0937,win,0.0148,4.2486,-4.2338,loss,268180,3.5351
ScreenType,0.5173,0.576,-0.0587,loss,1.1762,3.6402,-2.464,win,0.7795,4.2157,-3.4362,loss,268180,3.5351
ShapeletSim,0.9944,0.9089,0.0855,win,0.0937,0.2342,-0.1405,win,0.4598,3.429,-2.9692,loss,268051,3.5347
ShapesAll,0.895,0.9283,-0.0333,loss,0.5574,0.4908,0.0666,loss,0.5371,9.5598,-9.0227,loss,275533,3.5632
SmallKitchenAppliances,0.7627,0.7819,-0.0192,loss,0.5909,2.273,-1.6821,win,1.5993,3.9346,-2.3353,loss,268180,3.5351
SonyAIBORobotSurface1,0.8636,0.9338,-0.0702,loss,0.3076,0.3641,-0.0565,win,0.067,3.2614,-3.1944,loss,268051,3.5347
SonyAIBORobotSurface2,0.8814,0.8269,0.0545,win,0.2605,1.433,-1.1725,win,-0.0114,2.9596,-2.971,loss,268051,3.5347
StarLightCurves,0.9667,0.9769,-0.0102,loss,0.1719,0.2046,-0.0327,win,0.4169,8.4155,-7.9986,loss,268180,3.5351
Strawberry,0.9541,0.9746,-0.0205,loss,0.1687,0.1629,0.0058,tie,0.0881,6.2246,-6.1365,loss,268051,3.5347
SwedishLeaf,0.9648,0.967,-0.0022,tie,0.2367,0.1892,0.0475,loss,0.518,4.1636,-3.6456,loss,269728,3.541
Symbols,0.9698,0.9576,0.0122,win,0.213,0.1578,0.0552,loss,0.6644,2.5618,-1.8974,loss,268567,3.5366
