dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.6854,0.8317,-0.1463,loss,1.1264,1.028,0.0984,loss,-0.286,15.8906,-16.1766,loss,276511,3.5672
ArrowHead,0.8114,0.8377,-0.0263,loss,0.4994,1.0053,-0.5059,win,-0.0931,3.2005,-3.2936,loss,271785,3.5492
Beef,0.9,0.8467,0.0533,win,0.4281,0.965,-0.5369,win,0.6965,5.4866,-4.7901,loss,272063,3.5502
BeetleFly,0.85,0.92,-0.07,loss,0.3567,0.2905,0.0662,loss,0.1397,1.2424,-1.1027,loss,271646,3.5487
BirdChicken,0.8,0.94,-0.14,loss,0.4605,0.1447,0.3158,loss,1.6066,3.3665,-1.7599,loss,271646,3.5487
Car,0.9167,0.92,-0.0033,tie,0.3364,0.4259,-0.0895,win,0.1064,6.6173,-6.5109,loss,271924,3.5497
CBF,0.9889,0.9998,-0.0109,loss,0.1389,0.0007,0.1382,loss,0.4822,3.5827,-3.1005,loss,271785,3.5492
ChlorineConcentration,0.8198,0.8576,-0.0378,loss,0.5007,0.9747,-0.474,win,0.498,2.1418,-1.6438,loss,271785,3.5492
CinCECGTorso,0.8703,0.8239,0.0464,win,0.388,0.9547,-0.5667,win,0.2387,4.7745,-4.5358,loss,271924,3.5497
Coffee,1.0,1.0,0.0,tie,0.0761,0.0,0.0761,loss,0.4758,3.4889,-3.0131,loss,271646,3.5487
Computers,0.632,0.7688,-0.1368,loss,0.6383,2.1231,-1.4848,win,0.0912,3.4427,-3.3515,loss,271646,3.5487
CricketX,0.7974,0.8267,-0.0293,loss,0.7384,0.9717,-0.2333,win,0.7429,4.5072,-3.7643,loss,273036,3.5539
CricketY,0.7462,0.8231,-0.0769,loss,0.8726,0.9759,-0.1033,win,0.2916,4.8896,-4.598,loss,273036,3.5539
CricketZ,0.7974,0.8574,-0.06,loss,0.7124,0.8017,-0.0893,win,0.7452,4.7715,-4.0263,loss,273036,3.5539
DiatomSizeReduction,0.9771,0.9719,0.0052,win,0.2465,0.0944,0.1521,loss,1.3959,1.0258,0.3701,win,271924,3.5497
DistalPhalanxOutlineAgeGroup,0.7554,0.7151,0.0403,win,0.5992,2.5757,-1.9765,win,0.0728,2.4343,-2.3615,loss,271785,3.5492
DistalPhalanxOutlineCorrect,0.7826,0.7703,0.0123,win,0.4929,2.0843,-1.5914,win,-0.0046,0.6399,-0.6445,loss,271646,3.5487
DistalPhalanxTW,0.6978,0.6604,0.0374,win,0.8078,2.8454,-2.0376,win,-0.0352,3.1209,-3.1561,loss,272202,3.5508
Earthquakes,0.7482,0.7252,0.023,win,0.5553,2.0855,-1.5302,win,0.0282,3.4927,-3.4645,loss,271646,3.5487
ECG200,0.84,0.896,-0.056,loss,0.3735,0.8048,-0.4313,win,-0.1475,2.8601,-3.0076,loss,271646,3.5487
ECG5000,0.9409,0.9419,-0.001,tie,0.2759,0.6952,-0.4193,win,0.0751,6.7025,-6.6274,loss,272063,3.5502
ECGFiveDays,0.9803,1.0,-0.0197,loss,0.1251,0.0,0.1251,loss,0.0366,4.7579,-4.7213,loss,271646,3.5487
ElectricDevices,0.6527,0.712,-0.0593,loss,1.1178,5.5714,-4.4536,win,0.2134,4.6437,-4.4303,loss,272341,3.5513
FaceAll,0.8077,0.9528,-0.1451,loss,0.7516,0.2954,0.4562,loss,0.1855,3.9975,-3.812,loss,273314,3.5549
FaceFour,0.9545,0.9591,-0.0046,tie,0.3433,0.468,-0.1247,win,0.0934,6.4735,-6.3801,loss,271924,3.5497
FacesUCR,0.8185,0.9597,-0.1412,loss,0.6267,0.1909,0.4358,loss,0.1385,3.1775,-3.039,loss,273314,3.5549
FiftyWords,0.8066,0.8352,-0.0286,loss,0.9052,1.0207,-0.1155,win,0.7576,3.3053,-2.5477,loss,278318,3.5741
Fish,0.9371,0.9806,-0.0435,loss,0.2689,0.2986,-0.0297,win,0.3161,5.4842,-5.1681,loss,272341,3.5513
FordA,0.9614,0.9541,0.0073,win,0.1509,0.4398,-0.2889,win,0.4368,2.7146,-2.2778,loss,271646,3.5487
FordB,0.8407,0.8499,-0.0092,loss,0.4039,1.4783,-1.0744,win,0.28,1.6448,-1.3648,loss,271646,3.5487
GunPoint,0.9867,0.9853,0.0014,tie,0.0951,0.0533,0.0418,loss,0.1398,4.0108,-3.871,loss,271646,3.5487
Ham,0.7143,0.7086,0.0057,win,0.708,1.7929,-1.0849,win,0.1694,3.9279,-3.7585,loss,271646,3.5487
HandOutlines,0.9378,0.9476,-0.0098,loss,0.1817,0.3636,-0.1819,win,-0.1074,12.7111,-12.8185,loss,271646,3.5487
Haptics,0.4026,0.524,-0.1214,loss,1.5834,3.2084,-1.625,win,0.6465,5.9916,-5.3451,loss,272063,3.5502
Herring,0.5781,0.5781,-0.0,tie,0.969,3.3086,-2.3396,win,0.0925,4.6122,-4.5197,loss,271646,3.5487
InlineSkate,0.3255,0.4913,-0.1658,loss,1.9137,2.5766,-0.6629,win,1.1128,8.1641,-7.0513,loss,272341,3.5513
InsectWingbeatSound,0.6096,0.6146,-0.005,loss,1.0301,2.598,-1.5679,win,0.0867,2.7342,-2.6475,loss,272897,3.5533
ItalyPowerDemand,0.9621,0.9506,0.0115,win,0.1444,0.5572,-0.4128,win,0.1767,4.1634,-3.9867,loss,271646,3.5487
LargeKitchenAppliances,0.7973,0.9013,-0.104,loss,0.557,1.1387,-0.5817,win,-0.1597,9.5087,-9.6684,loss,271785,3.5492
Lightning2,0.7377,0.8557,-0.118,loss,0.5612,0.9113,-0.3501,win,-0.015,5.3802,-5.3952,loss,271646,3.5487
Lightning7,0.7397,0.8274,-0.0877,loss,0.9444,0.9538,-0.0094,tie,0.3978,4.2526,-3.8548,loss,272341,3.5513
Mallat,0.9143,0.9688,-0.0545,loss,0.3383,0.1333,0.205,loss,0.6315,6.7384,-6.1069,loss,272480,3.5518
Meat,0.9167,0.9867,-0.07,loss,0.2679,0.0539,0.214,loss,1.2999,6.1908,-4.8909,loss,271785,3.5492
MedicalImages,0.7118,0.8021,-0.0903,loss,0.8538,1.3284,-0.4746,win,0.3869,2.8937,-2.5068,loss,272758,3.5528
MiddlePhalanxOutlineAgeGroup,0.5714,0.5221,0.0493,win,0.9555,4.9601,-4.0046,win,0.1657,0.9851,-0.8194,loss,271785,3.5492
MiddlePhalanxOutlineCorrect,0.7973,0.8103,-0.013,loss,0.4234,1.2175,-0.7941,win,0.1544,2.4532,-2.2988,loss,271646,3.5487
MiddlePhalanxTW,0.5584,0.5104,0.048,win,1.0771,4.0946,-3.0175,win,0.373,3.4,-3.027,loss,272202,3.5508
MoteStrain,0.8546,0.9018,-0.0472,loss,0.3224,0.6772,-0.3548,win,0.1835,3.5563,-3.3728,loss,271646,3.5487
NonInvasiveFetalECGThorax1,0.9038,0.9511,-0.0473,loss,0.3632,0.2659,0.0973,loss,-0.4546,-2.2634,1.8088,win,277206,3.5698
NonInvasiveFetalECGThorax2,0.9359,0.9526,-0.0167,loss,0.2838,0.2528,0.031,loss,-0.5827,2.9866,-3.5693,loss,277206,3.5698
OliveOil,0.4,0.8467,-0.4467,loss,1.3014,0.9378,0.3636,loss,-0.0081,-3.6343,3.6262,win,271924,3.5497
OSULeaf,0.7769,0.9471,-0.1702,loss,0.6641,0.2378,0.4263,loss,0.4871,6.5343,-6.0472,loss,272202,3.5508
PhalangesOutlinesCorrect,0.7984,0.8303,-0.0319,loss,0.4422,1.4708,-1.0286,win,0.0407,2.0437,-2.003,loss,271646,3.5487
Phoneme,0.1904,0.3006,-0.1102,loss,3.0165,7.0359,-4.0194,win,0.1346,4.7834,-4.6488,loss,276789,3.5682
Plane,1.0,1.0,0.0,tie,0.0945,0.0,0.0945,loss,-0.2678,3.3933,-3.6611,loss,272341,3.5513
ProximalPhalanxOutlineAgeGroup,0.8341,0.8537,-0.0196,loss,0.4404,1.2906,-0.8502,win,-0.1154,5.6483,-5.7637,loss,271785,3.5492
ProximalPhalanxOutlineCorrect,0.9003,0.923,-0.0227,loss,0.2777,0.5448,-0.2671,win,0.0746,-3.5363,3.6109,win,271646,3.5487
ProximalPhalanxTW,0.7463,0.76,-0.0137,loss,0.641,2.0198,-1.3788,win,-1.6754,5.6975,-7.3729,loss,272202,3.5508
RefrigerationDevices,0.3813,0.5099,-0.1286,loss,1.0944,6.1414,-5.047,win,0.0733,4.2486,-4.1753,loss,271785,3.5492
ScreenType,0.4027,0.576,-0.1733,loss,1.1063,3.6402,-2.5339,win,0.361,4.2157,-3.8547,loss,271785,3.5492
ShapeletSim,0.6111,0.9089,-0.2978,loss,0.6921,0.2342,0.4579,loss,0.0694,3.429,-3.3596,loss,271646,3.5487
ShapesAll,0.87,0.9283,-0.0583,loss,0.6064,0.4908,0.1156,loss,0.85,9.5598,-8.7098,loss,279708,3.5793
SmallKitchenAppliances,0.7387,0.7819,-0.0432,loss,0.6907,2.273,-1.5823,win,0.373,3.9346,-3.5616,loss,271785,3.5492
SonyAIBORobotSurface1,0.8386,0.9338,-0.0952,loss,0.3747,0.3641,0.0106,loss,0.2294,3.2614,-3.032,loss,271646,3.5487
SonyAIBORobotSurface2,0.8594,0.8269,0.0325,win,0.3267,1.433,-1.1063,win,0.1005,2.9596,-2.8591,loss,271646,3.5487
StarLightCurves,0.9756,0.9769,-0.0013,tie,0.1407,0.2046,-0.0639,win,0.4828,8.4155,-7.9327,loss,271785,3.5492
Strawberry,0.9541,0.9746,-0.0205,loss,0.1676,0.1629,0.0047,tie,0.2356,6.2246,-5.989,loss,271646,3.5487
SwedishLeaf,0.9312,0.967,-0.0358,loss,0.2859,0.1892,0.0967,loss,0.3379,4.1636,-3.8257,loss,273453,3.5554
Symbols,0.9638,0.9576,0.0062,win,0.2371,0.1578,0.0793,loss,0.8111,2.5618,-1.7507,loss,272202,3.5508
SyntheticControl,0.9933,0.9973,-0.004,tie,0.1111,0.0052,0.1059,loss,0.1679,3.3016,-3.1337,loss,272202,3.5508
ToeSegmentation1,0.8772,0.9632,-0.086,loss,0.3021,0.1864,0.1157,loss,-0.0059,2.1806,-2.1865,loss,271646,3.5487
ToeSegmentation2,0.9077,0.9092,-0.0015,tie,0.267,0.5003,-0.2333,win,0.2452,3.2069,-2.9617,loss,271646,3.5487
Trace,1.0,1.0,0.0,tie,0.0935,0.0,0.0935,loss,0.8165,4.9221,-4.1056,loss,271924,3.5497
TwoLeadECG,0.9025,0.9993,-0.0968,loss,0.2433,0.0066,0.2367,loss,0.1034,4.762,-4.6586,loss,271646,3.5487
TwoPatterns,0.9995,1.0,-0.0005,tie,0.0941,0.0,0.0941,loss,1.8881,12.1597,-10.2716,loss,271924,3.5497
UWaveGestureLibraryAll,0.983,0.9447,0.0383,win,0.1603,0.3434,-0.1831,win,1.0066,8.0814,-7.0748,loss,272480,3.5518
UWaveGestureLibraryX,0.811,0.8099,0.0011,tie,0.5763,1.5956,-1.0193,win,0.388,4.3044,-3.9164,loss,272480,3.5518
UWaveGestureLibraryY,0.7353,0.7528,-0.0175,loss,0.848,1.8851,-1.0371,win,0.5068,4.101,-3.5942,loss,272480,3.5518
UWaveGestureLibraryZ,0.7627,0.7432,0.0195,win,0.7294,1.9758,-1.2464,win,0.4056,4.6466,-4.241,loss,272480,3.5518
Wafer,0.9964,0.998,-0.0016,tie,0.0723,0.017,0.0553,loss,0.1659,1.1361,-0.9702,loss,271646,3.5487
Wine,0.5185,0.8185,-0.3,loss,0.6697,0.9499,-0.2802,win,2.981,26.9638,-23.9828,loss,271646,3.5487
WordSynonyms,0.7241,0.7417,-0.0176,loss,1.1847,1.8361,-0.6514,win,0.5162,3.0425,-2.5263,loss,274843,3.5608
Worms,0.5974,0.7662,-0.1688,loss,1.1114,1.5027,-0.3913,win,0.6214,3.1133,-2.4919,loss,272063,3.5502
WormsTwoClass,0.7013,0.7065,-0.0052,loss,0.5639,1.8387,-1.2748,win,0.4216,4.3009,-3.8793,loss,271646,3.5487
Yoga,0.8933,0.9031,-0.0098,loss,0.264,0.5236,-0.2596,win,0.2919,6.6224,-6.3305,loss,271646,3.5487
ACSF1,0.66,,,no_baseline,1.1385,,,no_baseline,0.0157,,,no_baseline,272758,3.5528
AllGestureWiimoteX,0.69,,,no_baseline,1.0697,,,no_baseline,0.6941,,,no_baseline,272758,3.5528
AllGestureWiimoteY,0.7,,,no_baseline,0.9946,,,no_baseline,0.3943,,,no_baseline,272758,3.5528
AllGestureWiimoteZ,0.6143,,,no_baseline,1.1981,,,no_baseline,-0.5507,,,no_baseline,272758,3.5528
BME,0.9467,,,no_baseline,0.1815,,,no_baseline,0.8146,,,no_baseline,271785,3.5492
Chinatown,0.9796,,,no_baseline,0.1123,,,no_baseline,0.1318,,,no_baseline,271646,3.5487
Crop,0.7208,,,no_baseline,0.9067,,,no_baseline,0.016,,,no_baseline,274704,3.5603
DodgerLoopDay,0.525,,,no_baseline,1.3845,,,no_baseline,0.3566,,,no_baseline,272341,3.5513
DodgerLoopGame,0.8406,,,no_baseline,0.3458,,,no_baseline,0.0997,,,no_baseline,271646,3.5487
DodgerLoopWeekend,0.9855,,,no_baseline,0.1152,,,no_baseline,0.0194,,,no_baseline,271646,3.5487
EOGHorizontalSignal,0.558,,,no_baseline,1.553,,,no_baseline,0.7078,,,no_baseline,273036,3.5539
EOGVerticalSignal,0.558,,,no_baseline,1.6605,,,no_baseline,0.4853,,,no_baseline,273036,3.5539
EthanolLevel,0.772,,,no_baseline,0.6709,,,no_baseline,0.7535,,,no_baseline,271924,3.5497
FreezerRegularTrain,0.9916,,,no_baseline,0.0731,,,no_baseline,-0.294,,,no_baseline,271646,3.5487
FreezerSmallTrain,0.6519,,,no_baseline,0.8582,,,no_baseline,0.3597,,,no_baseline,271646,3.5487
Fungi,1.0,,,no_baseline,0.1364,,,no_baseline,0.1766,,,no_baseline,273870,3.5572
GestureMidAirD1,0.5769,,,no_baseline,1.2316,,,no_baseline,0.4622,,,no_baseline,274982,3.5613
GestureMidAirD2,0.6,,,no_baseline,1.0874,,,no_baseline,0.9757,,,no_baseline,274982,3.5613
GestureMidAirD3,0.3923,,,no_baseline,2.1535,,,no_baseline,0.6822,,,no_baseline,274982,3.5613
GesturePebbleZ1,0.907,,,no_baseline,0.4056,,,no_baseline,0.39,,,no_baseline,272202,3.5508
GesturePebbleZ2,0.9114,,,no_baseline,0.3202,,,no_baseline,0.7892,,,no_baseline,272202,3.5508
GunPointAgeSpan,0.943,,,no_baseline,0.152,,,no_baseline,0.3522,,,no_baseline,271646,3.5487
GunPointMaleVersusFemale,0.9905,,,no_baseline,0.0893,,,no_baseline,0.4628,,,no_baseline,271646,3.5487
GunPointOldVersusYoung,0.9651,,,no_baseline,0.1333,,,no_baseline,0.3912,,,no_baseline,271646,3.5487
HouseTwenty,0.8992,,,no_baseline,0.2758,,,no_baseline,1.7956,,,no_baseline,271646,3.5487
InsectEPGRegularTrain,0.8635,,,no_baseline,0.4238,,,no_baseline,0.887,,,no_baseline,271785,3.5492
InsectEPGSmallTrain,0.7831,,,no_baseline,0.5455,,,no_baseline,0.4371,,,no_baseline,271785,3.5492
MelbournePedestrian,0.8815,,,no_baseline,0.434,,,no_baseline,0.0954,,,no_baseline,272758,3.5528
MixedShapesRegularTrain,0.9493,,,no_baseline,0.2231,,,no_baseline,0.3321,,,no_baseline,272063,3.5502
MixedShapesSmallTrain,0.8816,,,no_baseline,0.4108,,,no_baseline,0.7489,,,no_baseline,272063,3.5502
PLAID,0.7858,,,no_baseline,0.7824,,,no_baseline,0.8653,,,no_baseline,272897,3.5533
PickupGestureWiimoteZ,0.66,,,no_baseline,1.0194,,,no_baseline,-0.3788,,,no_baseline,272758,3.5528
PigAirwayPressure,0.0385,,,no_baseline,3.9062,,,no_baseline,0.2329,,,no_baseline,278596,3.5752
PigArtPressure,0.7548,,,no_baseline,1.0461,,,no_baseline,0.4406,,,no_baseline,278596,3.5752
PigCVP,0.3413,,,no_baseline,2.5293,,,no_baseline,0.6463,,,no_baseline,278596,3.5752
PowerCons,0.9722,,,no_baseline,0.134,,,no_baseline,-0.0229,,,no_baseline,271646,3.5487
Rock,0.76,,,no_baseline,0.5868,,,no_baseline,1.3667,,,no_baseline,271924,3.5497
SemgHandGenderCh2,0.8233,,,no_baseline,0.4055,,,no_baseline,0.4319,,,no_baseline,271646,3.5487
SemgHandMovementCh2,0.3067,,,no_baseline,1.6436,,,no_baseline,0.596,,,no_baseline,272202,3.5508
SemgHandSubjectCh2,0.88,,,no_baseline,0.3767,,,no_baseline,0.3332,,,no_baseline,272063,3.5502
ShakeGestureWiimoteZ,0.88,,,no_baseline,0.5496,,,no_baseline,0.0074,,,no_baseline,272758,3.5528
SmoothSubspace,0.8933,,,no_baseline,0.3288,,,no_baseline,0.0033,,,no_baseline,271785,3.5492
UMD,0.9375,,,no_baseline,0.1952,,,no_baseline,0.4926,,,no_baseline,271785,3.5492
