dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7724,0.8317,-0.0593,loss,0.8947,1.028,-0.1333,win,0.4011,15.8906,-15.4895,loss,188335,3.2081
ArrowHead,0.8457,0.8377,0.008,win,0.4414,1.0053,-0.5639,win,0.6338,3.2005,-2.5667,loss,182793,3.187
Beef,0.8667,0.8467,0.02,win,0.5509,0.965,-0.4141,win,1.4359,5.4866,-4.0507,loss,183119,3.1882
BeetleFly,0.85,0.92,-0.07,loss,0.394,0.2905,0.1035,loss,1.1443,1.2424,-0.0981,tie,182630,3.1864
BirdChicken,0.8,0.94,-0.14,loss,0.3181,0.1447,0.1734,loss,1.0436,3.3665,-2.3229,loss,182630,3.1864
Car,0.8833,0.92,-0.0367,loss,0.4269,0.4259,0.001,tie,1.312,6.6173,-5.3053,loss,182956,3.1876
CBF,0.9989,0.9998,-0.0009,tie,0.0983,0.0007,0.0976,loss,1.2827,3.5827,-2.3,loss,182793,3.187
ChlorineConcentration,0.5326,0.8576,-0.325,loss,0.9274,0.9747,-0.0473,win,0.3624,2.1418,-1.7794,loss,182793,3.187
CinCECGTorso,0.7652,0.8239,-0.0587,loss,0.605,0.9547,-0.3497,win,1.9288,4.7745,-2.8457,loss,182956,3.1876
Coffee,1.0,1.0,0.0,tie,0.0697,0.0,0.0697,loss,0.2901,3.4889,-3.1988,loss,182630,3.1864
Computers,0.772,0.7688,0.0032,tie,0.657,2.1231,-1.4661,win,0.715,3.4427,-2.7277,loss,182630,3.1864
CricketX,0.8333,0.8267,0.0066,win,0.6146,0.9717,-0.3571,win,1.8261,4.5072,-2.6811,loss,184260,3.1925
CricketY,0.8538,0.8231,0.0307,win,0.5944,0.9759,-0.3815,win,1.8086,4.8896,-3.081,loss,184260,3.1925
CricketZ,0.8462,0.8574,-0.0112,loss,0.5682,0.8017,-0.2335,win,1.7789,4.7715,-2.9926,loss,184260,3.1925
DiatomSizeReduction,0.9641,0.9719,-0.0078,loss,0.1665,0.0944,0.0721,loss,2.2668,1.0258,1.241,win,182956,3.1876
DistalPhalanxOutlineAgeGroup,0.7626,0.7151,0.0475,win,0.5775,2.5757,-1.9982,win,0.2754,2.4343,-2.1589,loss,182793,3.187
DistalPhalanxOutlineCorrect,0.7645,0.7703,-0.0058,loss,0.4984,2.0843,-1.5859,win,-0.5661,0.6399,-1.206,loss,182630,3.1864
DistalPhalanxTW,0.6835,0.6604,0.0231,win,0.8343,2.8454,-2.0111,win,0.5482,3.1209,-2.5727,loss,183282,3.1888
Earthquakes,0.7482,0.7252,0.023,win,0.6048,2.0855,-1.4807,win,1.6036,3.4927,-1.8891,loss,182630,3.1864
ECG200,0.89,0.896,-0.006,loss,0.3026,0.8048,-0.5022,win,0.071,2.8601,-2.7891,loss,182630,3.1864
ECG5000,0.9358,0.9419,-0.0061,loss,0.274,0.6952,-0.4212,win,2.2526,6.7025,-4.4499,loss,183119,3.1882
ECGFiveDays,1.0,1.0,0.0,tie,0.0522,0.0,0.0522,loss,1.2219,4.7579,-3.536,loss,182630,3.1864
ElectricDevices,0.7105,0.712,-0.0015,tie,1.0142,5.5714,-4.5572,win,0.4342,4.6437,-4.2095,loss,183445,3.1894
FaceAll,0.797,0.9528,-0.1558,loss,0.9001,0.2954,0.6047,loss,0.7493,3.9975,-3.2482,loss,184586,3.1937
FaceFour,0.9773,0.9591,0.0182,win,0.1898,0.468,-0.2782,win,1.2362,6.4735,-5.2373,loss,182956,3.1876
FacesUCR,0.9663,0.9597,0.0066,win,0.2083,0.1909,0.0174,loss,0.3006,3.1775,-2.8769,loss,184586,3.1937
FiftyWords,0.7956,0.8352,-0.0396,loss,0.8777,1.0207,-0.143,win,1.4574,3.3053,-1.8479,loss,190454,3.2162
Fish,0.9829,0.9806,0.0023,tie,0.1386,0.2986,-0.16,win,1.2751,5.4842,-4.2091,loss,183445,3.1894
FordA,0.9636,0.9541,0.0095,win,0.1257,0.4398,-0.3141,win,0.8598,2.7146,-1.8548,loss,182630,3.1864
FordB,0.8432,0.8499,-0.0067,loss,0.3558,1.4783,-1.1225,win,0.4503,1.6448,-1.1945,loss,182630,3.1864
GunPoint,0.9867,0.9853,0.0014,tie,0.0863,0.0533,0.033,loss,0.8157,4.0108,-3.1951,loss,182630,3.1864
Ham,0.781,0.7086,0.0724,win,0.5562,1.7929,-1.2367,win,0.8724,3.9279,-3.0555,loss,182630,3.1864
HandOutlines,0.9622,0.9476,0.0146,win,0.1601,0.3636,-0.2035,win,-0.363,12.7111,-13.0741,loss,182630,3.1864
Haptics,0.4838,0.524,-0.0402,loss,1.679,3.2084,-1.5294,win,1.5758,5.9916,-4.4158,loss,183119,3.1882
Herring,0.5938,0.5781,0.0157,win,0.6777,3.3086,-2.6309,win,0.1173,4.6122,-4.4949,loss,182630,3.1864
InlineSkate,0.2818,0.4913,-0.2095,loss,1.7667,2.5766,-0.8099,win,1.6375,8.1641,-6.5266,loss,183445,3.1894
InsectWingbeatSound,0.5879,0.6146,-0.0267,loss,1.0693,2.598,-1.5287,win,0.5409,2.7342,-2.1933,loss,184097,3.1919
ItalyPowerDemand,0.9689,0.9506,0.0183,win,0.1286,0.5572,-0.4286,win,0.068,4.1634,-4.0954,loss,182630,3.1864
LargeKitchenAppliances,0.9013,0.9013,-0.0,tie,0.3552,1.1387,-0.7835,win,1.5381,9.5087,-7.9706,loss,182793,3.187
Lightning2,0.8852,0.8557,0.0295,win,0.3227,0.9113,-0.5886,win,0.7391,5.3802,-4.6411,loss,182630,3.1864
Lightning7,0.8082,0.8274,-0.0192,loss,0.5922,0.9538,-0.3616,win,2.4637,4.2526,-1.7889,loss,183445,3.1894
Mallat,0.8064,0.9688,-0.1624,loss,0.6685,0.1333,0.5352,loss,2.4758,6.7384,-4.2626,loss,183608,3.19
Meat,0.85,0.9867,-0.1367,loss,0.3211,0.0539,0.2672,loss,2.1709,6.1908,-4.0199,loss,182793,3.187
MedicalImages,0.7645,0.8021,-0.0376,loss,0.7712,1.3284,-0.5572,win,0.3635,2.8937,-2.5302,loss,183934,3.1913
MiddlePhalanxOutlineAgeGroup,0.5455,0.5221,0.0234,win,0.957,4.9601,-4.0031,win,0.4017,0.9851,-0.5834,loss,182793,3.187
MiddlePhalanxOutlineCorrect,0.8316,0.8103,0.0213,win,0.4099,1.2175,-0.8076,win,-1.7089,2.4532,-4.1621,loss,182630,3.1864
MiddlePhalanxTW,0.6169,0.5104,0.1065,win,1.063,4.0946,-3.0316,win,-0.3337,3.4,-3.7337,loss,183282,3.1888
MoteStrain,0.8898,0.9018,-0.012,loss,0.2779,0.6772,-0.3993,win,0.17,3.5563,-3.3863,loss,182630,3.1864
NonInvasiveFetalECGThorax1,0.917,0.9511,-0.0341,loss,0.3746,0.2659,0.1087,loss,0.8066,-2.2634,3.07,win,189150,3.2111
NonInvasiveFetalECGThorax2,0.9267,0.9526,-0.0259,loss,0.3359,0.2528,0.0831,loss,0.888,2.9866,-2.0986,loss,189150,3.2111
OliveOil,0.4333,0.8467,-0.4134,loss,1.2425,0.9378,0.3047,loss,0.9619,-3.6343,4.5962,win,182956,3.1876
