dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7391,0.8317,-0.0926,loss,0.9596,1.028,-0.0684,win,0.6171,15.8906,-15.2735,loss,43842,1.4379
ArrowHead,0.8229,0.8377,-0.0148,loss,0.544,1.0053,-0.4613,win,0.4768,3.2005,-2.7237,loss,41326,1.4283
Beef,0.7333,0.8467,-0.1134,loss,0.5783,0.965,-0.3867,win,1.4246,5.4866,-4.062,loss,41474,1.4288
BeetleFly,0.7,0.92,-0.22,loss,0.476,0.2905,0.1855,loss,-0.2998,1.2424,-1.5422,loss,41252,1.428
BirdChicken,0.8,0.94,-0.14,loss,0.2962,0.1447,0.1515,loss,0.0245,3.3665,-3.342,loss,41252,1.428
Car,0.8333,0.92,-0.0867,loss,0.4259,0.4259,-0.0,tie,1.0776,6.6173,-5.5397,loss,41400,1.4286
CBF,0.9944,0.9998,-0.0054,loss,0.1053,0.0007,0.1046,loss,0.773,3.5827,-2.8097,loss,41326,1.4283
ChlorineConcentration,0.6997,0.8576,-0.1579,loss,0.6926,0.9747,-0.2821,win,-0.0553,2.1418,-2.1971,loss,41326,1.4283
CinCECGTorso,0.7877,0.8239,-0.0362,loss,0.6209,0.9547,-0.3338,win,0.6891,4.7745,-4.0854,loss,41400,1.4286
Coffee,1.0,1.0,0.0,tie,0.0686,0.0,0.0686,loss,0.0148,3.4889,-3.4741,loss,41252,1.428
Computers,0.7,0.7688,-0.0688,loss,0.641,2.1231,-1.4821,win,0.2736,3.4427,-3.1691,loss,41252,1.428
CricketX,0.841,0.8267,0.0143,win,0.6323,0.9717,-0.3394,win,1.7886,4.5072,-2.7186,loss,41992,1.4308
CricketY,0.7692,0.8231,-0.0539,loss,0.7158,0.9759,-0.2601,win,1.3852,4.8896,-3.5044,loss,41992,1.4308
CricketZ,0.8077,0.8574,-0.0497,loss,0.7263,0.8017,-0.0754,win,1.625,4.7715,-3.1465,loss,41992,1.4308
DiatomSizeReduction,0.9314,0.9719,-0.0405,loss,0.1965,0.0944,0.1021,loss,1.3183,1.0258,0.2925,win,41400,1.4286
DistalPhalanxOutlineAgeGroup,0.7482,0.7151,0.0331,win,0.5394,2.5757,-2.0363,win,0.1243,2.4343,-2.31,loss,41326,1.4283
DistalPhalanxOutlineCorrect,0.7645,0.7703,-0.0058,loss,0.4781,2.0843,-1.6062,win,0.2439,0.6399,-0.396,loss,41252,1.428
