dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7187,0.8317,-0.113,loss,0.8996,1.028,-0.1284,win,1.2561,15.8906,-14.6345,loss,43323,1.4357
ArrowHead,0.8,0.8377,-0.0377,loss,0.4763,1.0053,-0.529,win,-0.2833,3.2005,-3.4838,loss,40807,1.4261
Beef,0.9,0.8467,0.0533,win,0.5093,0.965,-0.4557,win,1.1339,5.4866,-4.3527,loss,40955,1.4267
BeetleFly,0.85,0.92,-0.07,loss,0.4474,0.2905,0.1569,loss,0.0711,1.2424,-1.1713,loss,40733,1.4259
BirdChicken,0.95,0.94,0.01,win,0.2787,0.1447,0.134,loss,0.8367,3.3665,-2.5298,loss,40733,1.4259
Car,0.9,0.92,-0.02,loss,0.384,0.4259,-0.0419,win,1.0114,6.6173,-5.6059,loss,40881,1.4264
CBF,0.9956,0.9998,-0.0042,tie,0.1135,0.0007,0.1128,loss,1.354,3.5827,-2.2287,loss,40807,1.4261
ChlorineConcentration,0.6398,0.8576,-0.2178,loss,0.8294,0.9747,-0.1453,win,0.219,2.1418,-1.9228,loss,40807,1.4261
CinCECGTorso,0.7768,0.8239,-0.0471,loss,0.605,0.9547,-0.3497,win,1.8972,4.7745,-2.8773,loss,40881,1.4264
Coffee,1.0,1.0,0.0,tie,0.0697,0.0,0.0697,loss,2.4837,3.4889,-1.0052,loss,40733,1.4259
Computers,0.72,0.7688,-0.0488,loss,0.5809,2.1231,-1.5422,win,0.6019,3.4427,-2.8408,loss,40733,1.4259
CricketX,0.8333,0.8267,0.0066,win,0.6537,0.9717,-0.318,win,1.8604,4.5072,-2.6468,loss,41473,1.4286
CricketY,0.8051,0.8231,-0.018,loss,0.6927,0.9759,-0.2832,win,1.676,4.8896,-3.2136,loss,41473,1.4286
CricketZ,0.8385,0.8574,-0.0189,loss,0.5796,0.8017,-0.2221,win,2.0329,4.7715,-2.7386,loss,41473,1.4286
DiatomSizeReduction,0.9935,0.9719,0.0216,win,0.1091,0.0944,0.0147,loss,-4.0016,1.0258,-5.0274,loss,40881,1.4264
DistalPhalanxOutlineAgeGroup,0.7122,0.7151,-0.0029,tie,0.567,2.5757,-2.0087,win,0.9068,2.4343,-1.5275,loss,40807,1.4261
DistalPhalanxOutlineCorrect,0.779,0.7703,0.0087,win,0.5115,2.0843,-1.5728,win,0.2101,0.6399,-0.4298,loss,40733,1.4259
DistalPhalanxTW,0.6978,0.6604,0.0374,win,0.7496,2.8454,-2.0958,win,0.4512,3.1209,-2.6697,loss,41029,1.427
Earthquakes,0.7482,0.7252,0.023,win,0.5706,2.0855,-1.5149,win,0.0973,3.4927,-3.3954,loss,40733,1.4259
ECG200,0.9,0.896,0.004,tie,0.285,0.8048,-0.5198,win,0.496,2.8601,-2.3641,loss,40733,1.4259
ECG5000,0.9473,0.9419,0.0054,win,0.2659,0.6952,-0.4293,win,1.6256,6.7025,-5.0769,loss,40955,1.4267
ECGFiveDays,1.0,1.0,0.0,tie,0.0639,0.0,0.0639,loss,0.5923,4.7579,-4.1656,loss,40733,1.4259
ElectricDevices,0.714,0.712,0.002,tie,0.9537,5.5714,-4.6177,win,0.7669,4.6437,-3.8768,loss,41103,1.4272
FaceAll,0.7994,0.9528,-0.1534,loss,0.7735,0.2954,0.4781,loss,0.6702,3.9975,-3.3273,loss,41621,1.4292
FaceFour,0.9773,0.9591,0.0182,win,0.1607,0.468,-0.3073,win,0.9294,6.4735,-5.5441,loss,40881,1.4264
FacesUCR,0.9278,0.9597,-0.0319,loss,0.347,0.1909,0.1561,loss,0.483,3.1775,-2.6945,loss,41621,1.4292
FiftyWords,0.7868,0.8352,-0.0484,loss,0.8531,1.0207,-0.1676,win,1.3839,3.3053,-1.9214,loss,44285,1.4395
Fish,0.9371,0.9806,-0.0435,loss,0.2434,0.2986,-0.0552,win,1.017,5.4842,-4.4672,loss,41103,1.4272
FordA,0.9508,0.9541,-0.0033,tie,0.1608,0.4398,-0.279,win,0.5038,2.7146,-2.2108,loss,40733,1.4259
FordB,0.842,0.8499,-0.0079,loss,0.3758,1.4783,-1.1025,win,-0.0274,1.6448,-1.6722,loss,40733,1.4259
GunPoint,0.98,0.9853,-0.0053,loss,0.1049,0.0533,0.0516,loss,0.7223,4.0108,-3.2885,loss,40733,1.4259
Ham,0.7238,0.7086,0.0152,win,0.705,1.7929,-1.0879,win,0.6439,3.9279,-3.284,loss,40733,1.4259
HandOutlines,0.9378,0.9476,-0.0098,loss,0.2228,0.3636,-0.1408,win,-0.5668,12.7111,-13.2779,loss,40733,1.4259
Haptics,0.4643,0.524,-0.0597,loss,1.4034,3.2084,-1.805,win,0.9716,5.9916,-5.02,loss,40955,1.4267
Herring,0.625,0.5781,0.0469,win,0.9733,3.3086,-2.3353,win,0.6952,4.6122,-3.917,loss,40733,1.4259
InlineSkate,0.2527,0.4913,-0.2386,loss,1.9548,2.5766,-0.6218,win,0.8968,8.1641,-7.2673,loss,41103,1.4272
InsectWingbeatSound,0.5975,0.6146,-0.0171,loss,1.0376,2.598,-1.5604,win,0.4764,2.7342,-2.2578,loss,41399,1.4283
ItalyPowerDemand,0.967,0.9506,0.0164,win,0.1494,0.5572,-0.4078,win,0.133,4.1634,-4.0304,loss,40733,1.4259
LargeKitchenAppliances,0.9067,0.9013,0.0054,win,0.3638,1.1387,-0.7749,win,2.2613,9.5087,-7.2474,loss,40807,1.4261
Lightning2,0.7705,0.8557,-0.0852,loss,0.4633,0.9113,-0.448,win,0.8576,5.3802,-4.5226,loss,40733,1.4259
Lightning7,0.7945,0.8274,-0.0329,loss,0.6418,0.9538,-0.312,win,1.613,4.2526,-2.6396,loss,41103,1.4272
Mallat,0.939,0.9688,-0.0298,loss,0.3306,0.1333,0.1973,loss,1.667,6.7384,-5.0714,loss,41177,1.4275
Meat,0.8833,0.9867,-0.1034,loss,0.3026,0.0539,0.2487,loss,1.1306,6.1908,-5.0602,loss,40807,1.4261
MedicalImages,0.7211,0.8021,-0.081,loss,0.7676,1.3284,-0.5608,win,0.9872,2.8937,-1.9065,loss,41325,1.4281
MiddlePhalanxOutlineAgeGroup,0.6039,0.5221,0.0818,win,0.9366,4.9601,-4.0235,win,0.0616,0.9851,-0.9235,loss,40807,1.4261
MiddlePhalanxOutlineCorrect,0.8351,0.8103,0.0248,win,0.3901,1.2175,-0.8274,win,0.1018,2.4532,-2.3514,loss,40733,1.4259
MiddlePhalanxTW,0.5649,0.5104,0.0545,win,1.0974,4.0946,-2.9972,win,0.2263,3.4,-3.1737,loss,41029,1.427
MoteStrain,0.8794,0.9018,-0.0224,loss,0.3006,0.6772,-0.3766,win,0.6324,3.5563,-2.9239,loss,40733,1.4259
NonInvasiveFetalECGThorax1,0.8891,0.9511,-0.062,loss,0.4239,0.2659,0.158,loss,0.5786,-2.2634,2.842,win,43693,1.4371
NonInvasiveFetalECGThorax2,0.8906,0.9526,-0.062,loss,0.4627,0.2528,0.2099,loss,1.2666,2.9866,-1.72,loss,43693,1.4371
OliveOil,0.4,0.8467,-0.4467,loss,1.2737,0.9378,0.3359,loss,1.2328,-3.6343,4.8671,win,40881,1.4264
OSULeaf,0.8843,0.9471,-0.0628,loss,0.4198,0.2378,0.182,loss,0.7505,6.5343,-5.7838,loss,41029,1.427
PhalangesOutlinesCorrect,0.8287,0.8303,-0.0016,tie,0.4061,1.4708,-1.0647,win,0.3648,2.0437,-1.6789,loss,40733,1.4259
Phoneme,0.2305,0.3006,-0.0701,loss,2.8662,7.0359,-4.1697,win,0.9551,4.7834,-3.8283,loss,43471,1.4363
Plane,1.0,1.0,0.0,tie,0.1013,0.0,0.1013,loss,0.9156,3.3933,-2.4777,loss,41103,1.4272
ProximalPhalanxOutlineAgeGroup,0.8293,0.8537,-0.0244,loss,0.4471,1.2906,-0.8435,win,0.7919,5.6483,-4.8564,loss,40807,1.4261
ProximalPhalanxOutlineCorrect,0.9003,0.923,-0.0227,loss,0.2851,0.5448,-0.2597,win,0.7984,-3.5363,4.3347,win,40733,1.4259
ProximalPhalanxTW,0.7951,0.76,0.0351,win,0.6629,2.0198,-1.3569,win,-0.7533,5.6975,-6.4508,loss,41029,1.427
RefrigerationDevices,0.448,0.5099,-0.0619,loss,1.7109,6.1414,-4.4305,win,0.5502,4.2486,-3.6984,loss,40807,1.4261
ScreenType,0.4907,0.576,-0.0853,loss,1.0703,3.6402,-2.5699,win,0.673,4.2157,-3.5427,loss,40807,1.4261
ShapeletSim,1.0,0.9089,0.0911,win,0.0714,0.2342,-0.1628,win,1.6339,3.429,-1.7951,loss,40733,1.4259
ShapesAll,0.8433,0.9283,-0.085,loss,0.7217,0.4908,0.2309,loss,1.9165,9.5598,-7.6433,loss,45025,1.4422
SmallKitchenAppliances,0.832,0.7819,0.0501,win,0.4695,2.273,-1.8035,win,0.5366,3.9346,-3.398,loss,40807,1.4261
SonyAIBORobotSurface1,0.787,0.9338,-0.1468,loss,0.3977,0.3641,0.0336,loss,0.3396,3.2614,-2.9218,loss,40733,1.4259
SonyAIBORobotSurface2,0.8678,0.8269,0.0409,win,0.3729,1.433,-1.0601,win,0.1674,2.9596,-2.7922,loss,40733,1.4259
StarLightCurves,0.9774,0.9769,0.0005,tie,0.1349,0.2046,-0.0697,win,0.7219,8.4155,-7.6936,loss,40807,1.4261
Strawberry,0.9595,0.9746,-0.0151,loss,0.1659,0.1629,0.003,tie,0.2148,6.2246,-6.0098,loss,40733,1.4259
SwedishLeaf,0.9408,0.967,-0.0262,loss,0.2844,0.1892,0.0952,loss,1.0777,4.1636,-3.0859,loss,41695,1.4294
Symbols,0.9397,0.9576,-0.0179,loss,0.2799,0.1578,0.1221,loss,0.904,2.5618,-1.6578,loss,41029,1.427
SyntheticControl,0.9967,0.9973,-0.0006,tie,0.1205,0.0052,0.1153,loss,0.19,3.3016,-3.1116,loss,41029,1.427
ToeSegmentation1,0.8772,0.9632,-0.086,loss,0.2619,0.1864,0.0755,loss,0.2716,2.1806,-1.909,loss,40733,1.4259
ToeSegmentation2,0.9231,0.9092,0.0139,win,0.2403,0.5003,-0.26,win,-0.1171,3.2069,-3.324,loss,40733,1.4259
Trace,1.0,1.0,0.0,tie,0.0971,0.0,0.0971,loss,2.3122,4.9221,-2.6099,loss,40881,1.4264
TwoLeadECG,0.9939,0.9993,-0.0054,loss,0.0843,0.0066,0.0777,loss,0.469,4.762,-4.293,loss,40733,1.4259
TwoPatterns,1.0,1.0,0.0,tie,0.0984,0.0,0.0984,loss,1.1144,12.1597,-11.0453,loss,40881,1.4264
UWaveGestureLibraryAll,0.9581,0.9447,0.0134,win,0.2617,0.3434,-0.0817,win,1.2778,8.0814,-6.8036,loss,41177,1.4275
UWaveGestureLibraryX,0.8076,0.8099,-0.0023,tie,0.5778,1.5956,-1.0178,win,0.9269,4.3044,-3.3775,loss,41177,1.4275
UWaveGestureLibraryY,0.7155,0.7528,-0.0373,loss,0.8231,1.8851,-1.062,win,0.5769,4.101,-3.5241,loss,41177,1.4275
UWaveGestureLibraryZ,0.739,0.7432,-0.0042,tie,0.7243,1.9758,-1.2515,win,0.8514,4.6466,-3.7952,loss,41177,1.4275
Wafer,0.9961,0.998,-0.0019,tie,0.0866,0.017,0.0696,loss,0.536,1.1361,-0.6001,loss,40733,1.4259
Wine,0.4815,0.8185,-0.337,loss,0.6851,0.9499,-0.2648,win,0.3021,26.9638,-26.6617,loss,40733,1.4259
WordSynonyms,0.6818,0.7417,-0.0599,loss,1.3018,1.8361,-0.5343,win,1.1511,3.0425,-1.8914,loss,42435,1.4323
Worms,0.5974,0.7662,-0.1688,loss,1.0571,1.5027,-0.4456,win,1.7625,3.1133,-1.3508,loss,40955,1.4267
WormsTwoClass,0.6104,0.7065,-0.0961,loss,0.858,1.8387,-0.9807,win,0.5133,4.3009,-3.7876,loss,40733,1.4259
Yoga,0.8997,0.9031,-0.0034,tie,0.2664,0.5236,-0.2572,win,0.9874,6.6224,-5.635,loss,40733,1.4259
ACSF1,0.75,,,no_baseline,0.7471,,,no_baseline,1.2244,,,no_baseline,41325,1.4281
AllGestureWiimoteX,0.75,,,no_baseline,0.8496,,,no_baseline,1.8882,,,no_baseline,41325,1.4281
AllGestureWiimoteY,0.7443,,,no_baseline,0.8005,,,no_baseline,2.3179,,,no_baseline,41325,1.4281
AllGestureWiimoteZ,0.6943,,,no_baseline,0.8524,,,no_baseline,2.2019,,,no_baseline,41325,1.4281
BME,0.9933,,,no_baseline,0.1009,,,no_baseline,1.6284,,,no_baseline,40807,1.4261
Chinatown,0.9825,,,no_baseline,0.1088,,,no_baseline,0.0919,,,no_baseline,40733,1.4259
Crop,0.7068,,,no_baseline,0.9484,,,no_baseline,0.5784,,,no_baseline,42361,1.4321
DodgerLoopDay,0.5875,,,no_baseline,1.3902,,,no_baseline,0.6971,,,no_baseline,41103,1.4272
DodgerLoopGame,0.9638,,,no_baseline,0.1734,,,no_baseline,1.3687,,,no_baseline,40733,1.4259
DodgerLoopWeekend,0.9638,,,no_baseline,0.1711,,,no_baseline,1.9721,,,no_baseline,40733,1.4259
EOGHorizontalSignal,0.5249,,,no_baseline,1.6313,,,no_baseline,2.0302,,,no_baseline,41473,1.4286
EOGVerticalSignal,0.4917,,,no_baseline,1.8745,,,no_baseline,2.7814,,,no_baseline,41473,1.4286
EthanolLevel,0.826,,,no_baseline,0.4507,,,no_baseline,0.4327,,,no_baseline,40881,1.4264
FreezerRegularTrain,0.9933,,,no_baseline,0.0767,,,no_baseline,0.3197,,,no_baseline,40733,1.4259
FreezerSmallTrain,0.6642,,,no_baseline,0.9232,,,no_baseline,0.1404,,,no_baseline,40733,1.4259
Fungi,0.9247,,,no_baseline,0.372,,,no_baseline,0.9749,,,no_baseline,41917,1.4304
GestureMidAirD1,0.6923,,,no_baseline,1.1182,,,no_baseline,1.9164,,,no_baseline,42509,1.4326
GestureMidAirD2,0.6154,,,no_baseline,1.0098,,,no_baseline,1.4012,,,no_baseline,42509,1.4326
GestureMidAirD3,0.3308,,,no_baseline,2.154,,,no_baseline,1.901,,,no_baseline,42509,1.4326
GesturePebbleZ1,0.8953,,,no_baseline,0.4329,,,no_baseline,1.849,,,no_baseline,41029,1.427
GesturePebbleZ2,0.9051,,,no_baseline,0.3528,,,no_baseline,2.4671,,,no_baseline,41029,1.427
GunPointAgeSpan,0.9842,,,no_baseline,0.087,,,no_baseline,0.7209,,,no_baseline,40733,1.4259
GunPointMaleVersusFemale,0.9905,,,no_baseline,0.0829,,,no_baseline,1.152,,,no_baseline,40733,1.4259
GunPointOldVersusYoung,0.9841,,,no_baseline,0.1066,,,no_baseline,0.9531,,,no_baseline,40733,1.4259
HouseTwenty,0.9748,,,no_baseline,0.1285,,,no_baseline,1.9585,,,no_baseline,40733,1.4259
InsectEPGRegularTrain,0.992,,,no_baseline,0.1136,,,no_baseline,1.5397,,,no_baseline,40807,1.4261
InsectEPGSmallTrain,0.9076,,,no_baseline,0.2984,,,no_baseline,1.3697,,,no_baseline,40807,1.4261
MelbournePedestrian,0.8868,,,no_baseline,0.3993,,,no_baseline,0.2561,,,no_baseline,41325,1.4281
MixedShapesRegularTrain,0.9625,,,no_baseline,0.2034,,,no_baseline,0.7306,,,no_baseline,40955,1.4267
MixedShapesSmallTrain,0.8693,,,no_baseline,0.435,,,no_baseline,1.8665,,,no_baseline,40955,1.4267
PLAID,0.8939,,,no_baseline,0.4226,,,no_baseline,1.5014,,,no_baseline,41399,1.4283
PickupGestureWiimoteZ,0.74,,,no_baseline,0.8063,,,no_baseline,1.4243,,,no_baseline,41325,1.4281
PigAirwayPressure,0.0385,,,no_baseline,3.8772,,,no_baseline,0.2313,,,no_baseline,44433,1.44
PigArtPressure,0.8125,,,no_baseline,0.7657,,,no_baseline,0.9188,,,no_baseline,44433,1.44
PigCVP,0.5192,,,no_baseline,2.3041,,,no_baseline,1.8631,,,no_baseline,44433,1.44
PowerCons,0.9278,,,no_baseline,0.1634,,,no_baseline,0.4335,,,no_baseline,40733,1.4259
Rock,0.56,,,no_baseline,1.0757,,,no_baseline,1.8238,,,no_baseline,40881,1.4264
SemgHandGenderCh2,0.9433,,,no_baseline,0.1889,,,no_baseline,1.0078,,,no_baseline,40733,1.4259
