dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7366,0.8317,-0.0951,loss,0.9187,1.028,-0.1093,win,-1.6048,15.8906,-17.4954,loss,43322,1.4355
ArrowHead,0.8514,0.8377,0.0137,win,0.5199,1.0053,-0.4854,win,0.2187,3.2005,-2.9818,loss,40806,1.4259
Beef,0.9333,0.8467,0.0866,win,0.399,0.965,-0.566,win,0.9379,5.4866,-4.5487,loss,40954,1.4265
BeetleFly,0.9,0.92,-0.02,loss,0.33,0.2905,0.0395,loss,0.459,1.2424,-0.7834,loss,40732,1.4257
BirdChicken,0.8,0.94,-0.14,loss,0.6461,0.1447,0.5014,loss,2.3753,3.3665,-0.9912,loss,40732,1.4257
Car,0.8333,0.92,-0.0867,loss,0.4617,0.4259,0.0358,loss,0.4046,6.6173,-6.2127,loss,40880,1.4262
CBF,0.9867,0.9998,-0.0131,loss,0.1234,0.0007,0.1227,loss,2.932,3.5827,-0.6507,loss,40806,1.4259
ChlorineConcentration,0.7273,0.8576,-0.1303,loss,0.6916,0.9747,-0.2831,win,1.198,2.1418,-0.9438,loss,40806,1.4259
CinCECGTorso,0.6993,0.8239,-0.1246,loss,0.7527,0.9547,-0.202,win,3.2224,4.7745,-1.5521,loss,40880,1.4262
Coffee,1.0,1.0,0.0,tie,0.0605,0.0,0.0605,loss,1.0136,3.4889,-2.4753,loss,40732,1.4257
Computers,0.696,0.7688,-0.0728,loss,0.6496,2.1231,-1.4735,win,1.0569,3.4427,-2.3858,loss,40732,1.4257
CricketX,0.8051,0.8267,-0.0216,loss,0.7186,0.9717,-0.2531,win,2.4208,4.5072,-2.0864,loss,41472,1.4284
CricketY,0.8128,0.8231,-0.0103,loss,0.6684,0.9759,-0.3075,win,1.7699,4.8896,-3.1197,loss,41472,1.4284
CricketZ,0.8231,0.8574,-0.0343,loss,0.6219,0.8017,-0.1798,win,1.5963,4.7715,-3.1752,loss,41472,1.4284
DiatomSizeReduction,0.9869,0.9719,0.015,win,0.1307,0.0944,0.0363,loss,2.6287,1.0258,1.6029,win,40880,1.4262
DistalPhalanxOutlineAgeGroup,0.7626,0.7151,0.0475,win,0.5541,2.5757,-2.0216,win,0.3676,2.4343,-2.0667,loss,40806,1.4259
DistalPhalanxOutlineCorrect,0.7971,0.7703,0.0268,win,0.4512,2.0843,-1.6331,win,0.3111,0.6399,-0.3288,loss,40732,1.4257
DistalPhalanxTW,0.705,0.6604,0.0446,win,0.7986,2.8454,-2.0468,win,0.9334,3.1209,-2.1875,loss,41028,1.4268
Earthquakes,0.7482,0.7252,0.023,win,0.536,2.0855,-1.5495,win,0.2218,3.4927,-3.2709,loss,40732,1.4257
ECG200,0.9,0.896,0.004,tie,0.2828,0.8048,-0.522,win,0.3746,2.8601,-2.4855,loss,40732,1.4257
ECG5000,0.9453,0.9419,0.0034,tie,0.2307,0.6952,-0.4645,win,2.1414,6.7025,-4.5611,loss,40954,1.4265
ECGFiveDays,1.0,1.0,0.0,tie,0.0627,0.0,0.0627,loss,1.1889,4.7579,-3.569,loss,40732,1.4257
ElectricDevices,0.7216,0.712,0.0096,win,0.9377,5.5714,-4.6337,win,1.3753,4.6437,-3.2684,loss,41102,1.427
FaceAll,0.8142,0.9528,-0.1386,loss,0.7726,0.2954,0.4772,loss,0.8676,3.9975,-3.1299,loss,41620,1.429
FaceFour,0.9545,0.9591,-0.0046,tie,0.2021,0.468,-0.2659,win,1.0393,6.4735,-5.4342,loss,40880,1.4262
FacesUCR,0.9527,0.9597,-0.007,loss,0.2453,0.1909,0.0544,loss,1.0267,3.1775,-2.1508,loss,41620,1.429
FiftyWords,0.7824,0.8352,-0.0528,loss,0.935,1.0207,-0.0857,win,1.9932,3.3053,-1.3121,loss,44284,1.4392
Fish,0.9429,0.9806,-0.0377,loss,0.2191,0.2986,-0.0795,win,0.0163,5.4842,-5.4679,loss,41102,1.427
FordA,0.9568,0.9541,0.0027,tie,0.142,0.4398,-0.2978,win,1.2895,2.7146,-1.4251,loss,40732,1.4257
FordB,0.8543,0.8499,0.0044,tie,0.3569,1.4783,-1.1214,win,1.1071,1.6448,-0.5377,loss,40732,1.4257
GunPoint,0.9867,0.9853,0.0014,tie,0.093,0.0533,0.0397,loss,0.6264,4.0108,-3.3844,loss,40732,1.4257
Ham,0.7714,0.7086,0.0628,win,0.5755,1.7929,-1.2174,win,0.9475,3.9279,-2.9804,loss,40732,1.4257
HandOutlines,0.9486,0.9476,0.001,tie,0.1983,0.3636,-0.1653,win,1.5868,12.7111,-11.1243,loss,40732,1.4257
Haptics,0.5,0.524,-0.024,loss,1.482,3.2084,-1.7264,win,1.5489,5.9916,-4.4427,loss,40954,1.4265
Herring,0.7031,0.5781,0.125,win,0.88,3.3086,-2.4286,win,1.6687,4.6122,-2.9435,loss,40732,1.4257
InlineSkate,0.3091,0.4913,-0.1822,loss,1.8223,2.5766,-0.7543,win,1.8504,8.1641,-6.3137,loss,41102,1.427
InsectWingbeatSound,0.6167,0.6146,0.0021,tie,1.0418,2.598,-1.5562,win,1.3635,2.7342,-1.3707,loss,41398,1.4281
ItalyPowerDemand,0.964,0.9506,0.0134,win,0.1447,0.5572,-0.4125,win,0.486,4.1634,-3.6774,loss,40732,1.4257
LargeKitchenAppliances,0.9093,0.9013,0.008,win,0.3372,1.1387,-0.8015,win,1.9968,9.5087,-7.5119,loss,40806,1.4259
Lightning2,0.7541,0.8557,-0.1016,loss,0.5139,0.9113,-0.3974,win,1.2639,5.3802,-4.1163,loss,40732,1.4257
Lightning7,0.7671,0.8274,-0.0603,loss,0.6877,0.9538,-0.2661,win,2.1623,4.2526,-2.0903,loss,41102,1.427
Mallat,0.7284,0.9688,-0.2404,loss,0.8639,0.1333,0.7306,loss,1.7085,6.7384,-5.0299,loss,41176,1.4273
Meat,0.8667,0.9867,-0.12,loss,0.3386,0.0539,0.2847,loss,1.1152,6.1908,-5.0756,loss,40806,1.4259
MedicalImages,0.7382,0.8021,-0.0639,loss,0.7698,1.3284,-0.5586,win,0.8339,2.8937,-2.0598,loss,41324,1.4279
MiddlePhalanxOutlineAgeGroup,0.5909,0.5221,0.0688,win,0.9359,4.9601,-4.0242,win,0.5978,0.9851,-0.3873,loss,40806,1.4259
