metric,value
model,seanet_bottleneck_topk__sea_mstcn_sep_bottleneck__sea_topk_conjunctive
millet85_datasets,85
mean_acc_ours,0.8097
mean_acc_millet,0.8445
acc_win_tie_loss,20/15/50
mean_loss_ours,0.5506
mean_loss_millet,1.2241
loss_win_tie_loss,58/1/26
mean_aopcr_ours,1.0909
mean_aopcr_millet,4.5532
aopcr_win_tie_loss,4/0/81
overall_ucr_datasets,128
overall_mean_acc,0.8058
overall_mean_loss,0.599
overall_mean_aopcr,1.3239
webtraffic_acc,0.9307
webtraffic_ndcg,0.7652
params,41324
model_size_mb,1.428
