dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7494,0.8317,-0.0823,loss,0.8147,1.028,-0.2133,win,0.8605,15.8906,-15.0301,loss,63738,1.5102
ArrowHead,0.7943,0.8377,-0.0434,loss,0.4946,1.0053,-0.5107,win,-0.0678,3.2005,-3.2683,loss,61222,1.5006
Beef,0.8667,0.8467,0.02,win,0.4504,0.965,-0.5146,win,1.4899,5.4866,-3.9967,loss,61370,1.5011
BeetleFly,0.65,0.92,-0.27,loss,0.7427,0.2905,0.4522,loss,0.0616,1.2424,-1.1808,loss,61148,1.5003
BirdChicken,0.8,0.94,-0.14,loss,0.5302,0.1447,0.3855,loss,0.38,3.3665,-2.9865,loss,61148,1.5003
Car,0.85,0.92,-0.07,loss,0.4273,0.4259,0.0014,tie,0.3197,6.6173,-6.2976,loss,61296,1.5009
CBF,0.9644,0.9998,-0.0354,loss,0.1828,0.0007,0.1821,loss,0.0548,3.5827,-3.5279,loss,61222,1.5006
ChlorineConcentration,0.7169,0.8576,-0.1407,loss,0.6619,0.9747,-0.3128,win,0.303,2.1418,-1.8388,loss,61222,1.5006
CinCECGTorso,0.6188,0.8239,-0.2051,loss,0.9165,0.9547,-0.0382,win,0.4461,4.7745,-4.3284,loss,61296,1.5009
Coffee,1.0,1.0,0.0,tie,0.0733,0.0,0.0733,loss,0.4936,3.4889,-2.9953,loss,61148,1.5003
Computers,0.612,0.7688,-0.1568,loss,0.7909,2.1231,-1.3322,win,-0.0292,3.4427,-3.4719,loss,61148,1.5003
CricketX,0.8128,0.8267,-0.0139,loss,0.6879,0.9717,-0.2838,win,1.4503,4.5072,-3.0569,loss,61888,1.5031
CricketY,0.8359,0.8231,0.0128,win,0.6423,0.9759,-0.3336,win,1.4583,4.8896,-3.4313,loss,61888,1.5031
CricketZ,0.8333,0.8574,-0.0241,loss,0.5935,0.8017,-0.2082,win,1.3551,4.7715,-3.4164,loss,61888,1.5031
DiatomSizeReduction,0.9183,0.9719,-0.0536,loss,0.256,0.0944,0.1616,loss,0.4267,1.0258,-0.5991,loss,61296,1.5009
DistalPhalanxOutlineAgeGroup,0.7554,0.7151,0.0403,win,0.5533,2.5757,-2.0224,win,-0.0723,2.4343,-2.5066,loss,61222,1.5006
DistalPhalanxOutlineCorrect,0.7645,0.7703,-0.0058,loss,0.5562,2.0843,-1.5281,win,0.1551,0.6399,-0.4848,loss,61148,1.5003
DistalPhalanxTW,0.6763,0.6604,0.0159,win,0.8145,2.8454,-2.0309,win,-0.0138,3.1209,-3.1347,loss,61444,1.5014
Earthquakes,0.741,0.7252,0.0158,win,0.6003,2.0855,-1.4852,win,0.1933,3.4927,-3.2994,loss,61148,1.5003
ECG200,0.73,0.896,-0.166,loss,0.4266,0.8048,-0.3782,win,0.3093,2.8601,-2.5508,loss,61148,1.5003
ECG5000,0.9353,0.9419,-0.0066,loss,0.2931,0.6952,-0.4021,win,1.5056,6.7025,-5.1969,loss,61370,1.5011
ECGFiveDays,0.9942,1.0,-0.0058,loss,0.0805,0.0,0.0805,loss,0.1608,4.7579,-4.5971,loss,61148,1.5003
ElectricDevices,0.714,0.712,0.002,tie,0.9667,5.5714,-4.6047,win,0.4828,4.6437,-4.1609,loss,61518,1.5017
FaceAll,0.8249,0.9528,-0.1279,loss,0.8044,0.2954,0.509,loss,0.3073,3.9975,-3.6902,loss,62036,1.5036
FaceFour,0.625,0.9591,-0.3341,loss,0.9079,0.468,0.4399,loss,0.4642,6.4735,-6.0093,loss,61296,1.5009
FacesUCR,0.942,0.9597,-0.0177,loss,0.2722,0.1909,0.0813,loss,0.533,3.1775,-2.6445,loss,62036,1.5036
FiftyWords,0.8088,0.8352,-0.0264,loss,0.8532,1.0207,-0.1675,win,0.5273,3.3053,-2.778,loss,64700,1.5139
Fish,0.9771,0.9806,-0.0035,tie,0.2231,0.2986,-0.0755,win,0.5103,5.4842,-4.9739,loss,61518,1.5017
FordA,0.9591,0.9541,0.005,win,0.151,0.4398,-0.2888,win,0.0506,2.7146,-2.664,loss,61148,1.5003
FordB,0.8457,0.8499,-0.0042,tie,0.3704,1.4783,-1.1079,win,0.0422,1.6448,-1.6026,loss,61148,1.5003
GunPoint,0.98,0.9853,-0.0053,loss,0.1014,0.0533,0.0481,loss,0.2562,4.0108,-3.7546,loss,61148,1.5003
Ham,0.7429,0.7086,0.0343,win,0.5373,1.7929,-1.2556,win,1.0566,3.9279,-2.8713,loss,61148,1.5003
HandOutlines,0.9459,0.9476,-0.0017,tie,0.2055,0.3636,-0.1581,win,0.089,12.7111,-12.6221,loss,61148,1.5003
Haptics,0.3994,0.524,-0.1246,loss,1.5281,3.2084,-1.6803,win,1.4479,5.9916,-4.5437,loss,61370,1.5011
Herring,0.5781,0.5781,-0.0,tie,0.8757,3.3086,-2.4329,win,0.7133,4.6122,-3.8989,loss,61148,1.5003
InlineSkate,0.2582,0.4913,-0.2331,loss,2.032,2.5766,-0.5446,win,1.2414,8.1641,-6.9227,loss,61518,1.5017
InsectWingbeatSound,0.5934,0.6146,-0.0212,loss,1.057,2.598,-1.541,win,0.1137,2.7342,-2.6205,loss,61814,1.5028
ItalyPowerDemand,0.9592,0.9506,0.0086,win,0.1596,0.5572,-0.3976,win,0.6521,4.1634,-3.5113,loss,61148,1.5003
LargeKitchenAppliances,0.8827,0.9013,-0.0186,loss,0.3432,1.1387,-0.7955,win,1.5171,9.5087,-7.9916,loss,61222,1.5006
Lightning2,0.7213,0.8557,-0.1344,loss,0.5906,0.9113,-0.3207,win,0.15,5.3802,-5.2302,loss,61148,1.5003
Lightning7,0.7808,0.8274,-0.0466,loss,0.69,0.9538,-0.2638,win,0.6292,4.2526,-3.6234,loss,61518,1.5017
Mallat,0.9369,0.9688,-0.0319,loss,0.3228,0.1333,0.1895,loss,1.5739,6.7384,-5.1645,loss,61592,1.502
Meat,0.95,0.9867,-0.0367,loss,0.2181,0.0539,0.1642,loss,0.9196,6.1908,-5.2712,loss,61222,1.5006
MedicalImages,0.775,0.8021,-0.0271,loss,0.6811,1.3284,-0.6473,win,0.4254,2.8937,-2.4683,loss,61740,1.5025
MiddlePhalanxOutlineAgeGroup,0.6104,0.5221,0.0883,win,0.9163,4.9601,-4.0438,win,0.4211,0.9851,-0.564,loss,61222,1.5006
MiddlePhalanxOutlineCorrect,0.8144,0.8103,0.0041,tie,0.39,1.2175,-0.8275,win,0.3719,2.4532,-2.0813,loss,61148,1.5003
MiddlePhalanxTW,0.5844,0.5104,0.074,win,1.088,4.0946,-3.0066,win,-0.0784,3.4,-3.4784,loss,61444,1.5014
MoteStrain,0.8466,0.9018,-0.0552,loss,0.37,0.6772,-0.3072,win,0.1334,3.5563,-3.4229,loss,61148,1.5003
NonInvasiveFetalECGThorax1,0.9181,0.9511,-0.033,loss,0.3842,0.2659,0.1183,loss,-0.4957,-2.2634,1.7677,win,64108,1.5116
