dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7852,0.8317,-0.0465,loss,0.775,1.028,-0.253,win,1.4926,15.8906,-14.398,loss,63738,1.5102
ArrowHead,0.8,0.8377,-0.0377,loss,0.5624,1.0053,-0.4429,win,0.1055,3.2005,-3.095,loss,61222,1.5006
Beef,0.8667,0.8467,0.02,win,0.4853,0.965,-0.4797,win,1.5062,5.4866,-3.9804,loss,61370,1.5011
BeetleFly,0.65,0.92,-0.27,loss,0.767,0.2905,0.4765,loss,0.1122,1.2424,-1.1302,loss,61148,1.5003
BirdChicken,0.85,0.94,-0.09,loss,0.5065,0.1447,0.3618,loss,0.8489,3.3665,-2.5176,loss,61148,1.5003
Car,0.8333,0.92,-0.0867,loss,0.4673,0.4259,0.0414,loss,0.5087,6.6173,-6.1086,loss,61296,1.5009
CBF,0.9644,0.9998,-0.0354,loss,0.1874,0.0007,0.1867,loss,0.4429,3.5827,-3.1398,loss,61222,1.5006
ChlorineConcentration,0.7482,0.8576,-0.1094,loss,0.638,0.9747,-0.3367,win,0.1969,2.1418,-1.9449,loss,61222,1.5006
CinCECGTorso,0.6348,0.8239,-0.1891,loss,0.9134,0.9547,-0.0413,win,0.3524,4.7745,-4.4221,loss,61296,1.5009
Coffee,1.0,1.0,0.0,tie,0.0693,0.0,0.0693,loss,0.1545,3.4889,-3.3344,loss,61148,1.5003
Computers,0.62,0.7688,-0.1488,loss,0.7395,2.1231,-1.3836,win,0.2136,3.4427,-3.2291,loss,61148,1.5003
CricketX,0.8026,0.8267,-0.0241,loss,0.7492,0.9717,-0.2225,win,1.7373,4.5072,-2.7699,loss,61888,1.5031
CricketY,0.8385,0.8231,0.0154,win,0.6204,0.9759,-0.3555,win,1.2705,4.8896,-3.6191,loss,61888,1.5031
CricketZ,0.8385,0.8574,-0.0189,loss,0.561,0.8017,-0.2407,win,1.389,4.7715,-3.3825,loss,61888,1.5031
DiatomSizeReduction,0.9608,0.9719,-0.0111,loss,0.1946,0.0944,0.1002,loss,0.5452,1.0258,-0.4806,loss,61296,1.5009
DistalPhalanxOutlineAgeGroup,0.741,0.7151,0.0259,win,0.5732,2.5757,-2.0025,win,0.0018,2.4343,-2.4325,loss,61222,1.5006
DistalPhalanxOutlineCorrect,0.7717,0.7703,0.0014,tie,0.513,2.0843,-1.5713,win,-0.0103,0.6399,-0.6502,loss,61148,1.5003
DistalPhalanxTW,0.705,0.6604,0.0446,win,0.793,2.8454,-2.0524,win,0.5002,3.1209,-2.6207,loss,61444,1.5014
Earthquakes,0.7338,0.7252,0.0086,win,0.6658,2.0855,-1.4197,win,0.1476,3.4927,-3.3451,loss,61148,1.5003
ECG200,0.74,0.896,-0.156,loss,0.5005,0.8048,-0.3043,win,0.2178,2.8601,-2.6423,loss,61148,1.5003
ECG5000,0.9324,0.9419,-0.0095,loss,0.3031,0.6952,-0.3921,win,0.9481,6.7025,-5.7544,loss,61370,1.5011
ECGFiveDays,0.9977,1.0,-0.0023,tie,0.0832,0.0,0.0832,loss,0.1391,4.7579,-4.6188,loss,61148,1.5003
ElectricDevices,0.7008,0.712,-0.0112,loss,1.0385,5.5714,-4.5329,win,0.5831,4.6437,-4.0606,loss,61518,1.5017
FaceAll,0.8183,0.9528,-0.1345,loss,0.864,0.2954,0.5686,loss,0.3775,3.9975,-3.62,loss,62036,1.5036
FaceFour,0.6477,0.9591,-0.3114,loss,0.7946,0.468,0.3266,loss,0.2548,6.4735,-6.2187,loss,61296,1.5009
FacesUCR,0.9317,0.9597,-0.028,loss,0.3382,0.1909,0.1473,loss,0.6521,3.1775,-2.5254,loss,62036,1.5036
FiftyWords,0.8066,0.8352,-0.0286,loss,0.8468,1.0207,-0.1739,win,0.4725,3.3053,-2.8328,loss,64700,1.5139
Fish,0.9714,0.9806,-0.0092,loss,0.2082,0.2986,-0.0904,win,0.5184,5.4842,-4.9658,loss,61518,1.5017
FordA,0.9621,0.9541,0.008,win,0.1423,0.4398,-0.2975,win,0.3168,2.7146,-2.3978,loss,61148,1.5003
FordB,0.8444,0.8499,-0.0055,loss,0.3571,1.4783,-1.1212,win,0.1603,1.6448,-1.4845,loss,61148,1.5003
GunPoint,0.9867,0.9853,0.0014,tie,0.0971,0.0533,0.0438,loss,0.2745,4.0108,-3.7363,loss,61148,1.5003
Ham,0.7143,0.7086,0.0057,win,0.5516,1.7929,-1.2413,win,0.9843,3.9279,-2.9436,loss,61148,1.5003
HandOutlines,0.9541,0.9476,0.0065,win,0.1908,0.3636,-0.1728,win,0.4881,12.7111,-12.223,loss,61148,1.5003
Haptics,0.4838,0.524,-0.0402,loss,1.4239,3.2084,-1.7845,win,1.1566,5.9916,-4.835,loss,61370,1.5011
Herring,0.6406,0.5781,0.0625,win,0.8019,3.3086,-2.5067,win,0.9566,4.6122,-3.6556,loss,61148,1.5003
InlineSkate,0.2818,0.4913,-0.2095,loss,2.0465,2.5766,-0.5301,win,1.4928,8.1641,-6.6713,loss,61518,1.5017
InsectWingbeatSound,0.5944,0.6146,-0.0202,loss,1.0584,2.598,-1.5396,win,0.183,2.7342,-2.5512,loss,61814,1.5028
ItalyPowerDemand,0.9602,0.9506,0.0096,win,0.158,0.5572,-0.3992,win,0.5704,4.1634,-3.593,loss,61148,1.5003
LargeKitchenAppliances,0.8907,0.9013,-0.0106,loss,0.3888,1.1387,-0.7499,win,1.5557,9.5087,-7.953,loss,61222,1.5006
Lightning2,0.7541,0.8557,-0.1016,loss,0.5166,0.9113,-0.3947,win,0.2931,5.3802,-5.0871,loss,61148,1.5003
Lightning7,0.7397,0.8274,-0.0877,loss,0.7595,0.9538,-0.1943,win,0.63,4.2526,-3.6226,loss,61518,1.5017
Mallat,0.9548,0.9688,-0.014,loss,0.2855,0.1333,0.1522,loss,1.2572,6.7384,-5.4812,loss,61592,1.502
Meat,0.85,0.9867,-0.1367,loss,0.3171,0.0539,0.2632,loss,2.191,6.1908,-3.9998,loss,61222,1.5006
MedicalImages,0.7487,0.8021,-0.0534,loss,0.7423,1.3284,-0.5861,win,0.6759,2.8937,-2.2178,loss,61740,1.5025
MiddlePhalanxOutlineAgeGroup,0.6299,0.5221,0.1078,win,0.9094,4.9601,-4.0507,win,-0.3745,0.9851,-1.3596,loss,61222,1.5006
MiddlePhalanxOutlineCorrect,0.8007,0.8103,-0.0096,loss,0.4146,1.2175,-0.8029,win,0.567,2.4532,-1.8862,loss,61148,1.5003
MiddlePhalanxTW,0.5455,0.5104,0.0351,win,1.1188,4.0946,-2.9758,win,0.379,3.4,-3.021,loss,61444,1.5014
MoteStrain,0.8474,0.9018,-0.0544,loss,0.3606,0.6772,-0.3166,win,0.3552,3.5563,-3.2011,loss,61148,1.5003
NonInvasiveFetalECGThorax1,0.9069,0.9511,-0.0442,loss,0.4533,0.2659,0.1874,loss,-0.3429,-2.2634,1.9205,win,64108,1.5116
NonInvasiveFetalECGThorax2,0.9323,0.9526,-0.0203,loss,0.2977,0.2528,0.0449,loss,-0.344,2.9866,-3.3306,loss,64108,1.5116
OliveOil,0.4,0.8467,-0.4467,loss,1.2647,0.9378,0.3269,loss,0.04,-3.6343,3.6743,win,61296,1.5009
OSULeaf,0.9008,0.9471,-0.0463,loss,0.4284,0.2378,0.1906,loss,0.5058,6.5343,-6.0285,loss,61444,1.5014
PhalangesOutlinesCorrect,0.8112,0.8303,-0.0191,loss,0.4197,1.4708,-1.0511,win,0.1785,2.0437,-1.8652,loss,61148,1.5003
Phoneme,0.2605,0.3006,-0.0401,loss,2.7808,7.0359,-4.2551,win,0.5441,4.7834,-4.2393,loss,63886,1.5107
Plane,1.0,1.0,0.0,tie,0.1078,0.0,0.1078,loss,0.1917,3.3933,-3.2016,loss,61518,1.5017
ProximalPhalanxOutlineAgeGroup,0.8244,0.8537,-0.0293,loss,0.445,1.2906,-0.8456,win,1.0209,5.6483,-4.6274,loss,61222,1.5006
ProximalPhalanxOutlineCorrect,0.9072,0.923,-0.0158,loss,0.2637,0.5448,-0.2811,win,-1.6239,-3.5363,1.9124,win,61148,1.5003
ProximalPhalanxTW,0.7805,0.76,0.0205,win,0.6149,2.0198,-1.4049,win,-0.0827,5.6975,-5.7802,loss,61444,1.5014
RefrigerationDevices,0.496,0.5099,-0.0139,loss,1.5112,6.1414,-4.6302,win,0.1397,4.2486,-4.1089,loss,61222,1.5006
ScreenType,0.4,0.576,-0.176,loss,1.1613,3.6402,-2.4789,win,0.4888,4.2157,-3.7269,loss,61222,1.5006
ShapeletSim,0.4833,0.9089,-0.4256,loss,0.9154,0.2342,0.6812,loss,0.0999,3.429,-3.3291,loss,61148,1.5003
ShapesAll,0.89,0.9283,-0.0383,loss,0.5904,0.4908,0.0996,loss,0.8597,9.5598,-8.7001,loss,65440,1.5166
SmallKitchenAppliances,0.7867,0.7819,0.0048,tie,0.6042,2.273,-1.6688,win,0.688,3.9346,-3.2466,loss,61222,1.5006
SonyAIBORobotSurface1,0.6988,0.9338,-0.235,loss,0.6459,0.3641,0.2818,loss,0.1671,3.2614,-3.0943,loss,61148,1.5003
