dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7391,0.8317,-0.0926,loss,0.9747,1.028,-0.0533,win,0.6057,15.8906,-15.2849,loss,63738,1.5102
ArrowHead,0.8343,0.8377,-0.0034,tie,0.4705,1.0053,-0.5348,win,0.4872,3.2005,-2.7133,loss,61222,1.5006
Beef,0.8,0.8467,-0.0467,loss,0.5032,0.965,-0.4618,win,1.7526,5.4866,-3.734,loss,61370,1.5011
BeetleFly,0.75,0.92,-0.17,loss,0.4068,0.2905,0.1163,loss,0.9638,1.2424,-0.2786,loss,61148,1.5003
BirdChicken,0.8,0.94,-0.14,loss,0.3808,0.1447,0.2361,loss,1.3084,3.3665,-2.0581,loss,61148,1.5003
Car,0.9,0.92,-0.02,loss,0.3877,0.4259,-0.0382,win,1.4548,6.6173,-5.1625,loss,61296,1.5009
CBF,0.9933,0.9998,-0.0065,loss,0.1134,0.0007,0.1127,loss,0.7285,3.5827,-2.8542,loss,61222,1.5006
ChlorineConcentration,0.7539,0.8576,-0.1037,loss,0.6335,0.9747,-0.3412,win,0.3333,2.1418,-1.8085,loss,61222,1.5006
CinCECGTorso,0.792,0.8239,-0.0319,loss,0.5661,0.9547,-0.3886,win,2.0408,4.7745,-2.7337,loss,61296,1.5009
Coffee,1.0,1.0,0.0,tie,0.0605,0.0,0.0605,loss,0.553,3.4889,-2.9359,loss,61148,1.5003
Computers,0.66,0.7688,-0.1088,loss,0.6418,2.1231,-1.4813,win,0.6789,3.4427,-2.7638,loss,61148,1.5003
CricketX,0.8205,0.8267,-0.0062,loss,0.6968,0.9717,-0.2749,win,1.5955,4.5072,-2.9117,loss,61888,1.5031
CricketY,0.8308,0.8231,0.0077,win,0.6361,0.9759,-0.3398,win,1.5033,4.8896,-3.3863,loss,61888,1.5031
CricketZ,0.8282,0.8574,-0.0292,loss,0.6653,0.8017,-0.1364,win,1.0428,4.7715,-3.7287,loss,61888,1.5031
DiatomSizeReduction,0.9706,0.9719,-0.0013,tie,0.1629,0.0944,0.0685,loss,-0.1865,1.0258,-1.2123,loss,61296,1.5009
DistalPhalanxOutlineAgeGroup,0.7554,0.7151,0.0403,win,0.563,2.5757,-2.0127,win,0.3578,2.4343,-2.0765,loss,61222,1.5006
DistalPhalanxOutlineCorrect,0.7862,0.7703,0.0159,win,0.475,2.0843,-1.6093,win,0.6218,0.6399,-0.0181,tie,61148,1.5003
DistalPhalanxTW,0.6691,0.6604,0.0087,win,0.7629,2.8454,-2.0825,win,0.572,3.1209,-2.5489,loss,61444,1.5014
Earthquakes,0.777,0.7252,0.0518,win,0.4843,2.0855,-1.6012,win,0.1084,3.4927,-3.3843,loss,61148,1.5003
ECG200,0.82,0.896,-0.076,loss,0.3458,0.8048,-0.459,win,0.7339,2.8601,-2.1262,loss,61148,1.5003
ECG5000,0.9371,0.9419,-0.0048,tie,0.2941,0.6952,-0.4011,win,0.4412,6.7025,-6.2613,loss,61370,1.5011
ECGFiveDays,1.0,1.0,0.0,tie,0.0569,0.0,0.0569,loss,-0.359,4.7579,-5.1169,loss,61148,1.5003
ElectricDevices,0.7004,0.712,-0.0116,loss,1.0515,5.5714,-4.5199,win,1.0918,4.6437,-3.5519,loss,61518,1.5017
FaceAll,0.8219,0.9528,-0.1309,loss,0.6838,0.2954,0.3884,loss,0.7398,3.9975,-3.2577,loss,62036,1.5036
FaceFour,0.9205,0.9591,-0.0386,loss,0.3633,0.468,-0.1047,win,0.2564,6.4735,-6.2171,loss,61296,1.5009
FacesUCR,0.9624,0.9597,0.0027,tie,0.2638,0.1909,0.0729,loss,0.9526,3.1775,-2.2249,loss,62036,1.5036
FiftyWords,0.8066,0.8352,-0.0286,loss,0.846,1.0207,-0.1747,win,1.6497,3.3053,-1.6556,loss,64700,1.5139
Fish,0.9714,0.9806,-0.0092,loss,0.1574,0.2986,-0.1412,win,0.7404,5.4842,-4.7438,loss,61518,1.5017
FordA,0.9598,0.9541,0.0057,win,0.1397,0.4398,-0.3001,win,0.2436,2.7146,-2.471,loss,61148,1.5003
FordB,0.8519,0.8499,0.002,tie,0.3886,1.4783,-1.0897,win,0.4465,1.6448,-1.1983,loss,61148,1.5003
GunPoint,0.9867,0.9853,0.0014,tie,0.0853,0.0533,0.032,loss,0.3082,4.0108,-3.7026,loss,61148,1.5003
Ham,0.7429,0.7086,0.0343,win,0.5536,1.7929,-1.2393,win,1.3312,3.9279,-2.5967,loss,61148,1.5003
HandOutlines,0.9514,0.9476,0.0038,tie,0.1874,0.3636,-0.1762,win,0.7508,12.7111,-11.9603,loss,61148,1.5003
Haptics,0.3312,0.524,-0.1928,loss,1.5899,3.2084,-1.6185,win,1.5843,5.9916,-4.4073,loss,61370,1.5011
Herring,0.5625,0.5781,-0.0156,loss,1.037,3.3086,-2.2716,win,2.9766,4.6122,-1.6356,loss,61148,1.5003
InlineSkate,0.24,0.4913,-0.2513,loss,1.8936,2.5766,-0.683,win,2.1153,8.1641,-6.0488,loss,61518,1.5017
InsectWingbeatSound,0.6258,0.6146,0.0112,win,1.0157,2.598,-1.5823,win,1.4581,2.7342,-1.2761,loss,61814,1.5028
