dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7621,0.8317,-0.0696,loss,0.8105,1.028,-0.2175,win,1.6839,15.8906,-14.2067,loss,63738,1.5102
ArrowHead,0.8057,0.8377,-0.032,loss,0.4522,1.0053,-0.5531,win,0.0949,3.2005,-3.1056,loss,61222,1.5006
Beef,0.8333,0.8467,-0.0134,loss,0.4368,0.965,-0.5282,win,1.4583,5.4866,-4.0283,loss,61370,1.5011
BeetleFly,0.75,0.92,-0.17,loss,0.4064,0.2905,0.1159,loss,0.1892,1.2424,-1.0532,loss,61148,1.5003
BirdChicken,0.9,0.94,-0.04,loss,0.2599,0.1447,0.1152,loss,0.8427,3.3665,-2.5238,loss,61148,1.5003
Car,0.9,0.92,-0.02,loss,0.3952,0.4259,-0.0307,win,0.1991,6.6173,-6.4182,loss,61296,1.5009
CBF,1.0,0.9998,0.0002,tie,0.1104,0.0007,0.1097,loss,0.5517,3.5827,-3.031,loss,61222,1.5006
ChlorineConcentration,0.6456,0.8576,-0.212,loss,0.8035,0.9747,-0.1712,win,0.6554,2.1418,-1.4864,loss,61222,1.5006
CinCECGTorso,0.7891,0.8239,-0.0348,loss,0.5894,0.9547,-0.3653,win,1.1567,4.7745,-3.6178,loss,61296,1.5009
Coffee,1.0,1.0,0.0,tie,0.0763,0.0,0.0763,loss,0.2943,3.4889,-3.1946,loss,61148,1.5003
Computers,0.744,0.7688,-0.0248,loss,0.5452,2.1231,-1.5779,win,0.2664,3.4427,-3.1763,loss,61148,1.5003
CricketX,0.8103,0.8267,-0.0164,loss,0.6961,0.9717,-0.2756,win,1.4939,4.5072,-3.0133,loss,61888,1.5031
CricketY,0.8462,0.8231,0.0231,win,0.6491,0.9759,-0.3268,win,1.2856,4.8896,-3.604,loss,61888,1.5031
CricketZ,0.8077,0.8574,-0.0497,loss,0.6507,0.8017,-0.151,win,1.4238,4.7715,-3.3477,loss,61888,1.5031
DiatomSizeReduction,0.9837,0.9719,0.0118,win,0.1808,0.0944,0.0864,loss,1.5684,1.0258,0.5426,win,61296,1.5009
DistalPhalanxOutlineAgeGroup,0.7554,0.7151,0.0403,win,0.5611,2.5757,-2.0146,win,-0.1514,2.4343,-2.5857,loss,61222,1.5006
