dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7903,0.8317,-0.0414,loss,0.8048,1.028,-0.2232,win,-0.9698,15.8906,-16.8604,loss,63738,1.5102
ArrowHead,0.8571,0.8377,0.0194,win,0.4441,1.0053,-0.5612,win,0.7135,3.2005,-2.487,loss,61222,1.5006
Beef,0.8333,0.8467,-0.0134,loss,0.4775,0.965,-0.4875,win,1.6773,5.4866,-3.8093,loss,61370,1.5011
BeetleFly,0.8,0.92,-0.12,loss,0.3778,0.2905,0.0873,loss,1.6419,1.2424,0.3995,win,61148,1.5003
BirdChicken,0.85,0.94,-0.09,loss,0.2765,0.1447,0.1318,loss,3.5221,3.3665,0.1556,win,61148,1.5003
Car,0.8667,0.92,-0.0533,loss,0.4052,0.4259,-0.0207,win,1.0546,6.6173,-5.5627,loss,61296,1.5009
CBF,0.9744,0.9998,-0.0254,loss,0.127,0.0007,0.1263,loss,1.3216,3.5827,-2.2611,loss,61222,1.5006
ChlorineConcentration,0.5878,0.8576,-0.2698,loss,0.9002,0.9747,-0.0745,win,0.4732,2.1418,-1.6686,loss,61222,1.5006
CinCECGTorso,0.6652,0.8239,-0.1587,loss,0.9055,0.9547,-0.0492,win,2.7497,4.7745,-2.0248,loss,61296,1.5009
Coffee,1.0,1.0,0.0,tie,0.0518,0.0,0.0518,loss,0.8689,3.4889,-2.62,loss,61148,1.5003
Computers,0.688,0.7688,-0.0808,loss,0.6043,2.1231,-1.5188,win,0.3777,3.4427,-3.065,loss,61148,1.5003
CricketX,0.841,0.8267,0.0143,win,0.6208,0.9717,-0.3509,win,1.4407,4.5072,-3.0665,loss,61888,1.5031
CricketY,0.8077,0.8231,-0.0154,loss,0.7101,0.9759,-0.2658,win,1.5376,4.8896,-3.352,loss,61888,1.5031
CricketZ,0.8205,0.8574,-0.0369,loss,0.6123,0.8017,-0.1894,win,1.185,4.7715,-3.5865,loss,61888,1.5031
DiatomSizeReduction,0.9379,0.9719,-0.034,loss,0.2299,0.0944,0.1355,loss,-1.5455,1.0258,-2.5713,loss,61296,1.5009
DistalPhalanxOutlineAgeGroup,0.7554,0.7151,0.0403,win,0.5853,2.5757,-1.9904,win,0.1639,2.4343,-2.2704,loss,61222,1.5006
DistalPhalanxOutlineCorrect,0.8007,0.7703,0.0304,win,0.4777,2.0843,-1.6066,win,0.5495,0.6399,-0.0904,tie,61148,1.5003
DistalPhalanxTW,0.6906,0.6604,0.0302,win,0.7698,2.8454,-2.0756,win,0.3797,3.1209,-2.7412,loss,61444,1.5014
Earthquakes,0.7482,0.7252,0.023,win,0.5222,2.0855,-1.5633,win,-0.0693,3.4927,-3.562,loss,61148,1.5003
ECG200,0.85,0.896,-0.046,loss,0.3154,0.8048,-0.4894,win,0.467,2.8601,-2.3931,loss,61148,1.5003
ECG5000,0.9411,0.9419,-0.0008,tie,0.2687,0.6952,-0.4265,win,1.2256,6.7025,-5.4769,loss,61370,1.5011
ECGFiveDays,1.0,1.0,0.0,tie,0.0608,0.0,0.0608,loss,-0.6136,4.7579,-5.3715,loss,61148,1.5003
ElectricDevices,0.7179,0.712,0.0059,win,1.0404,5.5714,-4.531,win,0.538,4.6437,-4.1057,loss,61518,1.5017
FaceAll,0.8249,0.9528,-0.1279,loss,0.7942,0.2954,0.4988,loss,0.772,3.9975,-3.2255,loss,62036,1.5036
FaceFour,0.9091,0.9591,-0.05,loss,0.2839,0.468,-0.1841,win,0.5553,6.4735,-5.9182,loss,61296,1.5009
FacesUCR,0.9566,0.9597,-0.0031,tie,0.2417,0.1909,0.0508,loss,0.9443,3.1775,-2.2332,loss,62036,1.5036
FiftyWords,0.8088,0.8352,-0.0264,loss,0.8578,1.0207,-0.1629,win,1.8404,3.3053,-1.4649,loss,64700,1.5139
Fish,0.9771,0.9806,-0.0035,tie,0.1461,0.2986,-0.1525,win,-0.3571,5.4842,-5.8413,loss,61518,1.5017
FordA,0.9636,0.9541,0.0095,win,0.1451,0.4398,-0.2947,win,1.0265,2.7146,-1.6881,loss,61148,1.5003
FordB,0.8333,0.8499,-0.0166,loss,0.3965,1.4783,-1.0818,win,0.0531,1.6448,-1.5917,loss,61148,1.5003
