dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7877,0.8317,-0.044,loss,0.7731,1.028,-0.2549,win,-0.016,15.8906,-15.9066,loss,63738,1.5102
ArrowHead,0.8286,0.8377,-0.0091,loss,0.4642,1.0053,-0.5411,win,0.4527,3.2005,-2.7478,loss,61222,1.5006
Beef,0.8667,0.8467,0.02,win,0.4869,0.965,-0.4781,win,1.9453,5.4866,-3.5413,loss,61370,1.5011
BeetleFly,0.75,0.92,-0.17,loss,0.5893,0.2905,0.2988,loss,2.3532,1.2424,1.1108,win,61148,1.5003
BirdChicken,0.8,0.94,-0.14,loss,0.3245,0.1447,0.1798,loss,2.7744,3.3665,-0.5921,loss,61148,1.5003
Car,0.8833,0.92,-0.0367,loss,0.5021,0.4259,0.0762,loss,1.8094,6.6173,-4.8079,loss,61296,1.5009
CBF,0.9467,0.9998,-0.0531,loss,0.1836,0.0007,0.1829,loss,1.5802,3.5827,-2.0025,loss,61222,1.5006
ChlorineConcentration,0.7,0.8576,-0.1576,loss,0.7123,0.9747,-0.2624,win,0.3051,2.1418,-1.8367,loss,61222,1.5006
CinCECGTorso,0.7493,0.8239,-0.0746,loss,0.6821,0.9547,-0.2726,win,2.4284,4.7745,-2.3461,loss,61296,1.5009
Coffee,1.0,1.0,0.0,tie,0.0823,0.0,0.0823,loss,0.2244,3.4889,-3.2645,loss,61148,1.5003
Computers,0.64,0.7688,-0.1288,loss,0.7112,2.1231,-1.4119,win,0.6496,3.4427,-2.7931,loss,61148,1.5003
CricketX,0.8333,0.8267,0.0066,win,0.6591,0.9717,-0.3126,win,1.3971,4.5072,-3.1101,loss,61888,1.5031
CricketY,0.7718,0.8231,-0.0513,loss,0.7583,0.9759,-0.2176,win,1.7968,4.8896,-3.0928,loss,61888,1.5031
CricketZ,0.8,0.8574,-0.0574,loss,0.6944,0.8017,-0.1073,win,1.1367,4.7715,-3.6348,loss,61888,1.5031
