dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7903,0.8317,-0.0414,loss,0.7641,1.028,-0.2639,win,0.2207,15.8906,-15.6699,loss,60127,1.4967
ArrowHead,0.8171,0.8377,-0.0206,loss,0.4538,1.0053,-0.5515,win,0.9111,3.2005,-2.2894,loss,57577,1.487
Beef,0.8333,0.8467,-0.0134,loss,0.693,0.965,-0.272,win,1.4544,5.4866,-4.0322,loss,57727,1.4875
BeetleFly,0.75,0.92,-0.17,loss,0.4993,0.2905,0.2088,loss,1.6419,1.2424,0.3995,win,57502,1.4867
BirdChicken,1.0,0.94,0.06,win,0.1941,0.1447,0.0494,loss,1.7736,3.3665,-1.5929,loss,57502,1.4867
Car,0.85,0.92,-0.07,loss,0.3876,0.4259,-0.0383,win,1.8155,6.6173,-4.8018,loss,57652,1.4873
CBF,0.9989,0.9998,-0.0009,tie,0.1001,0.0007,0.0994,loss,1.0082,3.5827,-2.5745,loss,57577,1.487
ChlorineConcentration,0.6969,0.8576,-0.1607,loss,0.7447,0.9747,-0.23,win,1.5654,2.1418,-0.5764,loss,57577,1.487
CinCECGTorso,0.7036,0.8239,-0.1203,loss,0.7186,0.9547,-0.2361,win,1.6381,4.7745,-3.1364,loss,57652,1.4873
Coffee,1.0,1.0,0.0,tie,0.077,0.0,0.077,loss,1.1072,3.4889,-2.3817,loss,57502,1.4867
Computers,0.712,0.7688,-0.0568,loss,0.7098,2.1231,-1.4133,win,0.9085,3.4427,-2.5342,loss,57502,1.4867
CricketX,0.8359,0.8267,0.0092,win,0.6831,0.9717,-0.2886,win,1.6487,4.5072,-2.8585,loss,58252,1.4895
CricketY,0.8256,0.8231,0.0025,tie,0.6818,0.9759,-0.2941,win,1.4415,4.8896,-3.4481,loss,58252,1.4895
CricketZ,0.8179,0.8574,-0.0395,loss,0.7019,0.8017,-0.0998,win,1.554,4.7715,-3.2175,loss,58252,1.4895
DiatomSizeReduction,0.9837,0.9719,0.0118,win,0.1616,0.0944,0.0672,loss,0.2587,1.0258,-0.7671,loss,57652,1.4873
DistalPhalanxOutlineAgeGroup,0.741,0.7151,0.0259,win,0.5771,2.5757,-1.9986,win,0.3252,2.4343,-2.1091,loss,57577,1.487
DistalPhalanxOutlineCorrect,0.7536,0.7703,-0.0167,loss,0.4985,2.0843,-1.5858,win,0.29,0.6399,-0.3499,loss,57502,1.4867
DistalPhalanxTW,0.6619,0.6604,0.0015,tie,0.8395,2.8454,-2.0059,win,0.8821,3.1209,-2.2388,loss,57802,1.4878
Earthquakes,0.7482,0.7252,0.023,win,0.5626,2.0855,-1.5229,win,0.0625,3.4927,-3.4302,loss,57502,1.4867
ECG200,0.87,0.896,-0.026,loss,0.3217,0.8048,-0.4831,win,0.5416,2.8601,-2.3185,loss,57502,1.4867
ECG5000,0.938,0.9419,-0.0039,tie,0.2604,0.6952,-0.4348,win,0.1856,6.7025,-6.5169,loss,57727,1.4875
ECGFiveDays,1.0,1.0,0.0,tie,0.0647,0.0,0.0647,loss,-0.1201,4.7579,-4.878,loss,57502,1.4867
ElectricDevices,0.6929,0.712,-0.0191,loss,1.0834,5.5714,-4.488,win,0.3146,4.6437,-4.3291,loss,57877,1.4881
FaceAll,0.8183,0.9528,-0.1345,loss,0.8331,0.2954,0.5377,loss,0.7405,3.9975,-3.257,loss,58402,1.49
FaceFour,0.9545,0.9591,-0.0046,tie,0.2284,0.468,-0.2396,win,0.7273,6.4735,-5.7462,loss,57652,1.4873
FacesUCR,0.9624,0.9597,0.0027,tie,0.2311,0.1909,0.0402,loss,0.6432,3.1775,-2.5343,loss,58402,1.49
FiftyWords,0.7736,0.8352,-0.0616,loss,0.9839,1.0207,-0.0368,win,1.5212,3.3053,-1.7841,loss,61102,1.5005
Fish,0.9714,0.9806,-0.0092,loss,0.1833,0.2986,-0.1153,win,1.4189,5.4842,-4.0653,loss,57877,1.4881
FordA,0.9568,0.9541,0.0027,tie,0.1459,0.4398,-0.2939,win,0.192,2.7146,-2.5226,loss,57502,1.4867
FordB,0.8284,0.8499,-0.0215,loss,0.3676,1.4783,-1.1107,win,0.6422,1.6448,-1.0026,loss,57502,1.4867
GunPoint,0.9867,0.9853,0.0014,tie,0.0863,0.0533,0.033,loss,0.8778,4.0108,-3.133,loss,57502,1.4867
Ham,0.7238,0.7086,0.0152,win,0.5246,1.7929,-1.2683,win,0.76,3.9279,-3.1679,loss,57502,1.4867
HandOutlines,0.9541,0.9476,0.0065,win,0.1684,0.3636,-0.1952,win,2.2582,12.7111,-10.4529,loss,57502,1.4867
Haptics,0.4545,0.524,-0.0695,loss,1.4596,3.2084,-1.7488,win,1.6037,5.9916,-4.3879,loss,57727,1.4875
Herring,0.5781,0.5781,-0.0,tie,0.9383,3.3086,-2.3703,win,0.708,4.6122,-3.9042,loss,57502,1.4867
InlineSkate,0.2836,0.4913,-0.2077,loss,1.8017,2.5766,-0.7749,win,2.3784,8.1641,-5.7857,loss,57877,1.4881
InsectWingbeatSound,0.5096,0.6146,-0.105,loss,1.1817,2.598,-1.4163,win,0.6608,2.7342,-2.0734,loss,58177,1.4892
ItalyPowerDemand,0.9689,0.9506,0.0183,win,0.1427,0.5572,-0.4145,win,0.2385,4.1634,-3.9249,loss,57502,1.4867
LargeKitchenAppliances,0.9147,0.9013,0.0134,win,0.3259,1.1387,-0.8128,win,1.4244,9.5087,-8.0843,loss,57577,1.487
Lightning2,0.7869,0.8557,-0.0688,loss,0.4708,0.9113,-0.4405,win,0.9132,5.3802,-4.467,loss,57502,1.4867
Lightning7,0.8219,0.8274,-0.0055,loss,0.635,0.9538,-0.3188,win,1.0821,4.2526,-3.1705,loss,57877,1.4881
Mallat,0.8507,0.9688,-0.1181,loss,0.7189,0.1333,0.5856,loss,2.586,6.7384,-4.1524,loss,57952,1.4884
Meat,0.8833,0.9867,-0.1034,loss,0.3154,0.0539,0.2615,loss,2.3316,6.1908,-3.8592,loss,57577,1.487
MedicalImages,0.7566,0.8021,-0.0455,loss,0.7277,1.3284,-0.6007,win,0.4805,2.8937,-2.4132,loss,58102,1.4889
MiddlePhalanxOutlineAgeGroup,0.6039,0.5221,0.0818,win,0.9434,4.9601,-4.0167,win,0.2458,0.9851,-0.7393,loss,57577,1.487
MiddlePhalanxOutlineCorrect,0.8076,0.8103,-0.0027,tie,0.4587,1.2175,-0.7588,win,0.4942,2.4532,-1.959,loss,57502,1.4867
MiddlePhalanxTW,0.5844,0.5104,0.074,win,1.1225,4.0946,-2.9721,win,0.2322,3.4,-3.1678,loss,57802,1.4878
MoteStrain,0.8834,0.9018,-0.0184,loss,0.2904,0.6772,-0.3868,win,0.7779,3.5563,-2.7784,loss,57502,1.4867
NonInvasiveFetalECGThorax1,0.8494,0.9511,-0.1017,loss,0.6342,0.2659,0.3683,loss,1.9624,-2.2634,4.2258,win,60502,1.4981
NonInvasiveFetalECGThorax2,0.8748,0.9526,-0.0778,loss,0.5185,0.2528,0.2657,loss,2.051,2.9866,-0.9356,loss,60502,1.4981
OliveOil,0.7,0.8467,-0.1467,loss,0.776,0.9378,-0.1618,win,1.3322,-3.6343,4.9665,win,57652,1.4873
OSULeaf,0.8636,0.9471,-0.0835,loss,0.4516,0.2378,0.2138,loss,0.9651,6.5343,-5.5692,loss,57802,1.4878
PhalangesOutlinesCorrect,0.824,0.8303,-0.0063,loss,0.3983,1.4708,-1.0725,win,0.112,2.0437,-1.9317,loss,57502,1.4867
Phoneme,0.2089,0.3006,-0.0917,loss,2.8611,7.0359,-4.1748,win,0.8334,4.7834,-3.95,loss,60277,1.4972
Plane,1.0,1.0,0.0,tie,0.0879,0.0,0.0879,loss,1.062,3.3933,-2.3313,loss,57877,1.4881
ProximalPhalanxOutlineAgeGroup,0.839,0.8537,-0.0147,loss,0.4379,1.2906,-0.8527,win,0.7032,5.6483,-4.9451,loss,57577,1.487
ProximalPhalanxOutlineCorrect,0.8935,0.923,-0.0295,loss,0.2782,0.5448,-0.2666,win,0.078,-3.5363,3.6143,win,57502,1.4867
ProximalPhalanxTW,0.761,0.76,0.001,tie,0.6436,2.0198,-1.3762,win,-2.4046,5.6975,-8.1021,loss,57802,1.4878
RefrigerationDevices,0.424,0.5099,-0.0859,loss,1.1762,6.1414,-4.9652,win,0.2573,4.2486,-3.9913,loss,57577,1.487
ScreenType,0.4267,0.576,-0.1493,loss,1.1083,3.6402,-2.5319,win,0.6118,4.2157,-3.6039,loss,57577,1.487
ShapeletSim,1.0,0.9089,0.0911,win,0.0771,0.2342,-0.1571,win,2.3931,3.429,-1.0359,loss,57502,1.4867
ShapesAll,0.8567,0.9283,-0.0716,loss,0.7504,0.4908,0.2596,loss,2.1092,9.5598,-7.4506,loss,61852,1.5032
SmallKitchenAppliances,0.792,0.7819,0.0101,win,0.5557,2.273,-1.7173,win,0.4233,3.9346,-3.5113,loss,57577,1.487
SonyAIBORobotSurface1,0.8652,0.9338,-0.0686,loss,0.3119,0.3641,-0.0522,win,-0.1851,3.2614,-3.4465,loss,57502,1.4867
SonyAIBORobotSurface2,0.8678,0.8269,0.0409,win,0.2886,1.433,-1.1444,win,0.5247,2.9596,-2.4349,loss,57502,1.4867
StarLightCurves,0.9762,0.9769,-0.0007,tie,0.1323,0.2046,-0.0723,win,2.0769,8.4155,-6.3386,loss,57577,1.487
Strawberry,0.9378,0.9746,-0.0368,loss,0.1869,0.1629,0.024,loss,0.7649,6.2246,-5.4597,loss,57502,1.4867
SwedishLeaf,0.9472,0.967,-0.0198,loss,0.2813,0.1892,0.0921,loss,0.9778,4.1636,-3.1858,loss,58477,1.4903
Symbols,0.9698,0.9576,0.0122,win,0.2198,0.1578,0.062,loss,1.5935,2.5618,-0.9683,loss,57802,1.4878
SyntheticControl,0.9933,0.9973,-0.004,tie,0.1076,0.0052,0.1024,loss,0.6478,3.3016,-2.6538,loss,57802,1.4878
ToeSegmentation1,0.943,0.9632,-0.0202,loss,0.1966,0.1864,0.0102,loss,0.5764,2.1806,-1.6042,loss,57502,1.4867
ToeSegmentation2,0.9692,0.9092,0.06,win,0.169,0.5003,-0.3313,win,0.5999,3.2069,-2.607,loss,57502,1.4867
Trace,1.0,1.0,0.0,tie,0.0871,0.0,0.0871,loss,1.5405,4.9221,-3.3816,loss,57652,1.4873
TwoLeadECG,0.9877,0.9993,-0.0116,loss,0.1068,0.0066,0.1002,loss,0.6655,4.762,-4.0965,loss,57502,1.4867
TwoPatterns,1.0,1.0,0.0,tie,0.0914,0.0,0.0914,loss,2.3704,12.1597,-9.7893,loss,57652,1.4873
UWaveGestureLibraryAll,0.9595,0.9447,0.0148,win,0.2621,0.3434,-0.0813,win,1.9075,8.0814,-6.1739,loss,57952,1.4884
