dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7826,0.8317,-0.0491,loss,0.882,1.028,-0.146,win,-1.5017,15.8906,-17.3923,loss,64960,1.5176
ArrowHead,0.8171,0.8377,-0.0206,loss,0.5224,1.0053,-0.4829,win,0.4954,3.2005,-2.7051,loss,62410,1.5079
Beef,0.8,0.8467,-0.0467,loss,0.5616,0.965,-0.4034,win,1.3216,5.4866,-4.165,loss,62560,1.5085
BeetleFly,0.8,0.92,-0.12,loss,0.4019,0.2905,0.1114,loss,1.3633,1.2424,0.1209,win,62335,1.5077
BirdChicken,0.75,0.94,-0.19,loss,0.5243,0.1447,0.3796,loss,1.9525,3.3665,-1.414,loss,62335,1.5077
Car,0.9167,0.92,-0.0033,tie,0.2921,0.4259,-0.1338,win,2.7522,6.6173,-3.8651,loss,62485,1.5082
CBF,1.0,0.9998,0.0002,tie,0.1004,0.0007,0.0997,loss,1.2988,3.5827,-2.2839,loss,62410,1.5079
ChlorineConcentration,0.7211,0.8576,-0.1365,loss,0.6877,0.9747,-0.287,win,0.6807,2.1418,-1.4611,loss,62410,1.5079
CinCECGTorso,0.7072,0.8239,-0.1167,loss,0.7503,0.9547,-0.2044,win,1.8068,4.7745,-2.9677,loss,62485,1.5082
Coffee,1.0,1.0,0.0,tie,0.062,0.0,0.062,loss,0.2824,3.4889,-3.2065,loss,62335,1.5077
Computers,0.744,0.7688,-0.0248,loss,0.5517,2.1231,-1.5714,win,0.7049,3.4427,-2.7378,loss,62335,1.5077
CricketX,0.8333,0.8267,0.0066,win,0.648,0.9717,-0.3237,win,1.6118,4.5072,-2.8954,loss,63085,1.5104
CricketY,0.8103,0.8231,-0.0128,loss,0.6417,0.9759,-0.3342,win,1.8849,4.8896,-3.0047,loss,63085,1.5104
CricketZ,0.8282,0.8574,-0.0292,loss,0.6686,0.8017,-0.1331,win,1.4249,4.7715,-3.3466,loss,63085,1.5104
DiatomSizeReduction,0.9706,0.9719,-0.0013,tie,0.2666,0.0944,0.1722,loss,0.8521,1.0258,-0.1737,loss,62485,1.5082
DistalPhalanxOutlineAgeGroup,0.7554,0.7151,0.0403,win,0.5555,2.5757,-2.0202,win,0.2936,2.4343,-2.1407,loss,62410,1.5079
DistalPhalanxOutlineCorrect,0.7862,0.7703,0.0159,win,0.4779,2.0843,-1.6064,win,0.1116,0.6399,-0.5283,loss,62335,1.5077
DistalPhalanxTW,0.6763,0.6604,0.0159,win,0.7771,2.8454,-2.0683,win,0.2006,3.1209,-2.9203,loss,62635,1.5088
Earthquakes,0.7482,0.7252,0.023,win,0.5331,2.0855,-1.5524,win,0.1499,3.4927,-3.3428,loss,62335,1.5077
ECG200,0.89,0.896,-0.006,loss,0.2937,0.8048,-0.5111,win,0.2479,2.8601,-2.6122,loss,62335,1.5077
ECG5000,0.9298,0.9419,-0.0121,loss,0.3173,0.6952,-0.3779,win,0.6134,6.7025,-6.0891,loss,62560,1.5085
ECGFiveDays,1.0,1.0,0.0,tie,0.0672,0.0,0.0672,loss,-0.2476,4.7579,-5.0055,loss,62335,1.5077
ElectricDevices,0.7076,0.712,-0.0044,tie,1.0204,5.5714,-4.551,win,0.3485,4.6437,-4.2952,loss,62710,1.509
FaceAll,0.8243,0.9528,-0.1285,loss,0.8822,0.2954,0.5868,loss,0.5802,3.9975,-3.4173,loss,63235,1.511
FaceFour,0.9318,0.9591,-0.0273,loss,0.2775,0.468,-0.1905,win,1.358,6.4735,-5.1155,loss,62485,1.5082
FacesUCR,0.9551,0.9597,-0.0046,tie,0.2641,0.1909,0.0732,loss,0.7052,3.1775,-2.4723,loss,63235,1.511
