dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7852,0.8317,-0.0465,loss,0.7946,1.028,-0.2334,win,-2.6321,15.8906,-18.5227,loss,64923,1.5172
ArrowHead,0.8743,0.8377,0.0366,win,0.3772,1.0053,-0.6281,win,0.5266,3.2005,-2.6739,loss,62407,1.5076
Beef,0.8333,0.8467,-0.0134,loss,0.6244,0.965,-0.3406,win,3.1117,5.4866,-2.3749,loss,62555,1.5082
BeetleFly,0.8,0.92,-0.12,loss,0.3176,0.2905,0.0271,loss,0.9388,1.2424,-0.3036,loss,62333,1.5074
BirdChicken,0.7,0.94,-0.24,loss,0.5715,0.1447,0.4268,loss,1.146,3.3665,-2.2205,loss,62333,1.5074
Car,0.95,0.92,0.03,win,0.2623,0.4259,-0.1636,win,1.166,6.6173,-5.4513,loss,62481,1.5079
CBF,0.9978,0.9998,-0.002,tie,0.1054,0.0007,0.1047,loss,0.8459,3.5827,-2.7368,loss,62407,1.5076
ChlorineConcentration,0.6328,0.8576,-0.2248,loss,0.8063,0.9747,-0.1684,win,1.8598,2.1418,-0.282,loss,62407,1.5076
CinCECGTorso,0.7254,0.8239,-0.0985,loss,0.6992,0.9547,-0.2555,win,1.6834,4.7745,-3.0911,loss,62481,1.5079
Coffee,1.0,1.0,0.0,tie,0.0692,0.0,0.0692,loss,1.2025,3.4889,-2.2864,loss,62333,1.5074
Computers,0.728,0.7688,-0.0408,loss,0.6612,2.1231,-1.4619,win,1.0985,3.4427,-2.3442,loss,62333,1.5074
CricketX,0.8308,0.8267,0.0041,tie,0.6551,0.9717,-0.3166,win,1.0977,4.5072,-3.4095,loss,63073,1.5101
CricketY,0.8385,0.8231,0.0154,win,0.6105,0.9759,-0.3654,win,0.7352,4.8896,-4.1544,loss,63073,1.5101
CricketZ,0.8205,0.8574,-0.0369,loss,0.6969,0.8017,-0.1048,win,1.0511,4.7715,-3.7204,loss,63073,1.5101
DiatomSizeReduction,0.951,0.9719,-0.0209,loss,0.2443,0.0944,0.1499,loss,0.7445,1.0258,-0.2813,loss,62481,1.5079
DistalPhalanxOutlineAgeGroup,0.7482,0.7151,0.0331,win,0.5858,2.5757,-1.9899,win,1.4725,2.4343,-0.9618,loss,62407,1.5076
DistalPhalanxOutlineCorrect,0.7717,0.7703,0.0014,tie,0.4835,2.0843,-1.6008,win,0.1983,0.6399,-0.4416,loss,62333,1.5074
DistalPhalanxTW,0.6906,0.6604,0.0302,win,0.8126,2.8454,-2.0328,win,0.1387,3.1209,-2.9822,loss,62629,1.5085
Earthquakes,0.7482,0.7252,0.023,win,0.5521,2.0855,-1.5334,win,0.151,3.4927,-3.3417,loss,62333,1.5074
ECG200,0.89,0.896,-0.006,loss,0.2834,0.8048,-0.5214,win,0.0916,2.8601,-2.7685,loss,62333,1.5074
ECG5000,0.9384,0.9419,-0.0035,tie,0.2738,0.6952,-0.4214,win,1.6215,6.7025,-5.081,loss,62555,1.5082
ECGFiveDays,1.0,1.0,0.0,tie,0.069,0.0,0.069,loss,0.0135,4.7579,-4.7444,loss,62333,1.5074
ElectricDevices,0.6696,0.712,-0.0424,loss,1.1254,5.5714,-4.446,win,0.7073,4.6437,-3.9364,loss,62703,1.5087
FaceAll,0.8391,0.9528,-0.1137,loss,0.7106,0.2954,0.4152,loss,0.5204,3.9975,-3.4771,loss,63221,1.5107
FaceFour,0.9545,0.9591,-0.0046,tie,0.2068,0.468,-0.2612,win,0.8598,6.4735,-5.6137,loss,62481,1.5079
FacesUCR,0.9663,0.9597,0.0066,win,0.2253,0.1909,0.0344,loss,0.9098,3.1775,-2.2677,loss,63221,1.5107
FiftyWords,0.7538,0.8352,-0.0814,loss,0.9334,1.0207,-0.0873,win,2.3905,3.3053,-0.9148,loss,65885,1.5209
Fish,0.9657,0.9806,-0.0149,loss,0.2097,0.2986,-0.0889,win,0.784,5.4842,-4.7002,loss,62703,1.5087
FordA,0.9614,0.9541,0.0073,win,0.1583,0.4398,-0.2815,win,0.5903,2.7146,-2.1243,loss,62333,1.5074
FordB,0.8457,0.8499,-0.0042,tie,0.3796,1.4783,-1.0987,win,1.2793,1.6448,-0.3655,loss,62333,1.5074
GunPoint,0.9867,0.9853,0.0014,tie,0.0862,0.0533,0.0329,loss,1.5352,4.0108,-2.4756,loss,62333,1.5074
Ham,0.6857,0.7086,-0.0229,loss,0.7096,1.7929,-1.0833,win,1.5705,3.9279,-2.3574,loss,62333,1.5074
HandOutlines,0.9459,0.9476,-0.0017,tie,0.1948,0.3636,-0.1688,win,4.1883,12.7111,-8.5228,loss,62333,1.5074
Haptics,0.4481,0.524,-0.0759,loss,1.3896,3.2084,-1.8188,win,1.3719,5.9916,-4.6197,loss,62555,1.5082
Herring,0.6406,0.5781,0.0625,win,0.8364,3.3086,-2.4722,win,4.9579,4.6122,0.3457,win,62333,1.5074
InlineSkate,0.2545,0.4913,-0.2368,loss,1.9082,2.5766,-0.6684,win,1.8603,8.1641,-6.3038,loss,62703,1.5087
InsectWingbeatSound,0.6071,0.6146,-0.0075,loss,1.0154,2.598,-1.5826,win,0.9098,2.7342,-1.8244,loss,62999,1.5098
ItalyPowerDemand,0.965,0.9506,0.0144,win,0.146,0.5572,-0.4112,win,0.3266,4.1634,-3.8368,loss,62333,1.5074
LargeKitchenAppliances,0.9013,0.9013,-0.0,tie,0.3302,1.1387,-0.8085,win,2.1413,9.5087,-7.3674,loss,62407,1.5076
Lightning2,0.9016,0.8557,0.0459,win,0.328,0.9113,-0.5833,win,0.6852,5.3802,-4.695,loss,62333,1.5074
Lightning7,0.7534,0.8274,-0.074,loss,0.6689,0.9538,-0.2849,win,1.681,4.2526,-2.5716,loss,62703,1.5087
Mallat,0.7458,0.9688,-0.223,loss,0.8342,0.1333,0.7009,loss,2.0792,6.7384,-4.6592,loss,62777,1.509
Meat,0.9333,0.9867,-0.0534,loss,0.2655,0.0539,0.2116,loss,1.5988,6.1908,-4.592,loss,62407,1.5076
MedicalImages,0.7053,0.8021,-0.0968,loss,0.8544,1.3284,-0.474,win,0.8685,2.8937,-2.0252,loss,62925,1.5096
MiddlePhalanxOutlineAgeGroup,0.6429,0.5221,0.1208,win,0.9078,4.9601,-4.0523,win,0.3075,0.9851,-0.6776,loss,62407,1.5076
MiddlePhalanxOutlineCorrect,0.8144,0.8103,0.0041,tie,0.3891,1.2175,-0.8284,win,3.3692,2.4532,0.916,win,62333,1.5074
MiddlePhalanxTW,0.5714,0.5104,0.061,win,1.0591,4.0946,-3.0355,win,0.2494,3.4,-3.1506,loss,62629,1.5085
MoteStrain,0.8642,0.9018,-0.0376,loss,0.3301,0.6772,-0.3471,win,1.7721,3.5563,-1.7842,loss,62333,1.5074
NonInvasiveFetalECGThorax1,0.8687,0.9511,-0.0824,loss,0.4522,0.2659,0.1863,loss,1.71,-2.2634,3.9734,win,65293,1.5186
NonInvasiveFetalECGThorax2,0.8524,0.9526,-0.1002,loss,0.6366,0.2528,0.3838,loss,1.7491,2.9866,-1.2375,loss,65293,1.5186
OliveOil,0.4,0.8467,-0.4467,loss,1.2988,0.9378,0.361,loss,0.8172,-3.6343,4.4515,win,62481,1.5079
OSULeaf,0.9008,0.9471,-0.0463,loss,0.4013,0.2378,0.1635,loss,0.8985,6.5343,-5.6358,loss,62629,1.5085
PhalangesOutlinesCorrect,0.8042,0.8303,-0.0261,loss,0.43,1.4708,-1.0408,win,0.8968,2.0437,-1.1469,loss,62333,1.5074
Phoneme,0.1872,0.3006,-0.1134,loss,3.0262,7.0359,-4.0097,win,1.3169,4.7834,-3.4665,loss,65071,1.5178
Plane,1.0,1.0,0.0,tie,0.09,0.0,0.09,loss,0.9207,3.3933,-2.4726,loss,62703,1.5087
ProximalPhalanxOutlineAgeGroup,0.8293,0.8537,-0.0244,loss,0.414,1.2906,-0.8766,win,0.1079,5.6483,-5.5404,loss,62407,1.5076
ProximalPhalanxOutlineCorrect,0.9141,0.923,-0.0089,loss,0.2422,0.5448,-0.3026,win,0.9229,-3.5363,4.4592,win,62333,1.5074
ProximalPhalanxTW,0.7659,0.76,0.0059,win,0.6113,2.0198,-1.4085,win,-0.1806,5.6975,-5.8781,loss,62629,1.5085
RefrigerationDevices,0.44,0.5099,-0.0699,loss,1.3941,6.1414,-4.7473,win,0.901,4.2486,-3.3476,loss,62407,1.5076
ScreenType,0.512,0.576,-0.064,loss,1.0336,3.6402,-2.6066,win,0.7212,4.2157,-3.4945,loss,62407,1.5076
ShapeletSim,1.0,0.9089,0.0911,win,0.0772,0.2342,-0.157,win,2.1199,3.429,-1.3091,loss,62333,1.5074
ShapesAll,0.8633,0.9283,-0.065,loss,0.6534,0.4908,0.1626,loss,2.0518,9.5598,-7.508,loss,66625,1.5237
SmallKitchenAppliances,0.792,0.7819,0.0101,win,0.5732,2.273,-1.6998,win,1.2278,3.9346,-2.7068,loss,62407,1.5076
SonyAIBORobotSurface1,0.7587,0.9338,-0.1751,loss,0.5003,0.3641,0.1362,loss,1.3702,3.2614,-1.8912,loss,62333,1.5074
SonyAIBORobotSurface2,0.8657,0.8269,0.0388,win,0.3007,1.433,-1.1323,win,0.4134,2.9596,-2.5462,loss,62333,1.5074
StarLightCurves,0.9652,0.9769,-0.0117,loss,0.1581,0.2046,-0.0465,win,2.422,8.4155,-5.9935,loss,62407,1.5076
Strawberry,0.9622,0.9746,-0.0124,loss,0.1306,0.1629,-0.0323,win,0.5281,6.2246,-5.6965,loss,62333,1.5074
SwedishLeaf,0.9472,0.967,-0.0198,loss,0.2741,0.1892,0.0849,loss,0.9596,4.1636,-3.204,loss,63295,1.5109
Symbols,0.9497,0.9576,-0.0079,loss,0.2951,0.1578,0.1373,loss,1.8742,2.5618,-0.6876,loss,62629,1.5085
SyntheticControl,0.9933,0.9973,-0.004,tie,0.1135,0.0052,0.1083,loss,1.2897,3.3016,-2.0119,loss,62629,1.5085
ToeSegmentation1,0.9167,0.9632,-0.0465,loss,0.2407,0.1864,0.0543,loss,1.036,2.1806,-1.1446,loss,62333,1.5074
ToeSegmentation2,0.9154,0.9092,0.0062,win,0.2425,0.5003,-0.2578,win,1.0728,3.2069,-2.1341,loss,62333,1.5074
Trace,1.0,1.0,0.0,tie,0.0887,0.0,0.0887,loss,1.6386,4.9221,-3.2835,loss,62481,1.5079
TwoLeadECG,0.9745,0.9993,-0.0248,loss,0.1197,0.0066,0.1131,loss,0.6922,4.762,-4.0698,loss,62333,1.5074
TwoPatterns,1.0,1.0,0.0,tie,0.0931,0.0,0.0931,loss,1.8799,12.1597,-10.2798,loss,62481,1.5079
UWaveGestureLibraryAll,0.9598,0.9447,0.0151,win,0.255,0.3434,-0.0884,win,1.3163,8.0814,-6.7651,loss,62777,1.509
UWaveGestureLibraryX,0.8088,0.8099,-0.0011,tie,0.6458,1.5956,-0.9498,win,1.1272,4.3044,-3.1772,loss,62777,1.509
UWaveGestureLibraryY,0.7376,0.7528,-0.0152,loss,0.846,1.8851,-1.0391,win,1.0752,4.101,-3.0258,loss,62777,1.509
UWaveGestureLibraryZ,0.7432,0.7432,-0.0,tie,0.7549,1.9758,-1.2209,win,1.2093,4.6466,-3.4373,loss,62777,1.509
Wafer,0.9985,0.998,0.0005,tie,0.0724,0.017,0.0554,loss,0.6082,1.1361,-0.5279,loss,62333,1.5074
Wine,0.4444,0.8185,-0.3741,loss,0.7092,0.9499,-0.2407,win,1.1606,26.9638,-25.8032,loss,62333,1.5074
WordSynonyms,0.6944,0.7417,-0.0473,loss,1.2179,1.8361,-0.6182,win,1.3067,3.0425,-1.7358,loss,64035,1.5138
Worms,0.6234,0.7662,-0.1428,loss,1.0044,1.5027,-0.4983,win,1.7054,3.1133,-1.4079,loss,62555,1.5082
WormsTwoClass,0.6883,0.7065,-0.0182,loss,0.5606,1.8387,-1.2781,win,0.9839,4.3009,-3.317,loss,62333,1.5074
Yoga,0.88,0.9031,-0.0231,loss,0.2927,0.5236,-0.2309,win,4.2501,6.6224,-2.3723,loss,62333,1.5074
ACSF1,0.67,,,no_baseline,0.8685,,,no_baseline,1.289,,,no_baseline,62925,1.5096
AllGestureWiimoteX,0.7657,,,no_baseline,0.8151,,,no_baseline,2.0202,,,no_baseline,62925,1.5096
AllGestureWiimoteY,0.7671,,,no_baseline,0.7604,,,no_baseline,2.5811,,,no_baseline,62925,1.5096
AllGestureWiimoteZ,0.7486,,,no_baseline,0.886,,,no_baseline,1.4738,,,no_baseline,62925,1.5096
BME,1.0,,,no_baseline,0.0933,,,no_baseline,1.1874,,,no_baseline,62407,1.5076
Chinatown,0.9825,,,no_baseline,0.1163,,,no_baseline,0.3283,,,no_baseline,62333,1.5074
Crop,0.7305,,,no_baseline,0.9069,,,no_baseline,0.9781,,,no_baseline,63961,1.5136
DodgerLoopDay,0.5875,,,no_baseline,1.2044,,,no_baseline,1.0599,,,no_baseline,62703,1.5087
DodgerLoopGame,0.9348,,,no_baseline,0.2128,,,no_baseline,2.163,,,no_baseline,62333,1.5074
DodgerLoopWeekend,0.9855,,,no_baseline,0.1161,,,no_baseline,3.0714,,,no_baseline,62333,1.5074
EOGHorizontalSignal,0.5055,,,no_baseline,1.6338,,,no_baseline,2.455,,,no_baseline,63073,1.5101
EOGVerticalSignal,0.453,,,no_baseline,1.8326,,,no_baseline,1.1018,,,no_baseline,63073,1.5101
EthanolLevel,0.736,,,no_baseline,0.6462,,,no_baseline,0.8628,,,no_baseline,62481,1.5079
FreezerRegularTrain,0.993,,,no_baseline,0.0788,,,no_baseline,0.3091,,,no_baseline,62333,1.5074
FreezerSmallTrain,0.7421,,,no_baseline,0.5327,,,no_baseline,0.5457,,,no_baseline,62333,1.5074
Fungi,0.9785,,,no_baseline,0.1422,,,no_baseline,1.2622,,,no_baseline,63517,1.5119
GestureMidAirD1,0.7077,,,no_baseline,1.1922,,,no_baseline,1.1143,,,no_baseline,64109,1.5141
GestureMidAirD2,0.6077,,,no_baseline,1.0779,,,no_baseline,1.8984,,,no_baseline,64109,1.5141
GestureMidAirD3,0.3,,,no_baseline,2.2293,,,no_baseline,2.0494,,,no_baseline,64109,1.5141
GesturePebbleZ1,0.9244,,,no_baseline,0.3089,,,no_baseline,1.5153,,,no_baseline,62629,1.5085
GesturePebbleZ2,0.9304,,,no_baseline,0.3067,,,no_baseline,2.2645,,,no_baseline,62629,1.5085
GunPointAgeSpan,0.9778,,,no_baseline,0.101,,,no_baseline,1.8119,,,no_baseline,62333,1.5074
GunPointMaleVersusFemale,0.981,,,no_baseline,0.1087,,,no_baseline,1.317,,,no_baseline,62333,1.5074
GunPointOldVersusYoung,0.9873,,,no_baseline,0.1069,,,no_baseline,1.6689,,,no_baseline,62333,1.5074
