dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7494,0.8317,-0.0823,loss,0.7883,1.028,-0.2397,win,2.8871,15.8906,-13.0035,loss,45627,1.4287
ArrowHead,0.7943,0.8377,-0.0434,loss,0.6124,1.0053,-0.3929,win,0.166,3.2005,-3.0345,loss,43111,1.4191
Beef,0.8333,0.8467,-0.0134,loss,0.7178,0.965,-0.2472,win,2.5601,5.4866,-2.9265,loss,43259,1.4196
BeetleFly,0.85,0.92,-0.07,loss,0.4688,0.2905,0.1783,loss,1.0512,1.2424,-0.1912,loss,43037,1.4189
BirdChicken,0.95,0.94,0.01,win,0.0958,0.1447,-0.0489,win,-0.0131,3.3665,-3.3796,loss,43037,1.4189
Car,0.8667,0.92,-0.0533,loss,0.5593,0.4259,0.1334,loss,3.6334,6.6173,-2.9839,loss,43185,1.4194
CBF,0.9989,0.9998,-0.0009,tie,0.0163,0.0007,0.0156,loss,1.8833,3.5827,-1.6994,loss,43111,1.4191
ChlorineConcentration,0.7057,0.8576,-0.1519,loss,0.7503,0.9747,-0.2244,win,0.5879,2.1418,-1.5539,loss,43111,1.4191
CinCECGTorso,0.6913,0.8239,-0.1326,loss,1.1026,0.9547,0.1479,loss,3.2517,4.7745,-1.5228,loss,43185,1.4194
Coffee,1.0,1.0,0.0,tie,0.0077,0.0,0.0077,tie,0.4404,3.4889,-3.0485,loss,43037,1.4189
Computers,0.76,0.7688,-0.0088,loss,0.7534,2.1231,-1.3697,win,0.6181,3.4427,-2.8246,loss,43037,1.4189
CricketX,0.7872,0.8267,-0.0395,loss,0.6406,0.9717,-0.3311,win,3.9192,4.5072,-0.588,loss,43777,1.4216
CricketY,0.7974,0.8231,-0.0257,loss,0.5981,0.9759,-0.3778,win,2.639,4.8896,-2.2506,loss,43777,1.4216
CricketZ,0.7974,0.8574,-0.06,loss,0.6348,0.8017,-0.1669,win,3.6374,4.7715,-1.1341,loss,43777,1.4216
DiatomSizeReduction,0.9575,0.9719,-0.0144,loss,0.1102,0.0944,0.0158,loss,0.3068,1.0258,-0.719,loss,43185,1.4194
DistalPhalanxOutlineAgeGroup,0.7626,0.7151,0.0475,win,0.5552,2.5757,-2.0205,win,0.5211,2.4343,-1.9132,loss,43111,1.4191
DistalPhalanxOutlineCorrect,0.7464,0.7703,-0.0239,loss,0.5733,2.0843,-1.511,win,0.8786,0.6399,0.2387,win,43037,1.4189
DistalPhalanxTW,0.7194,0.6604,0.059,win,0.7974,2.8454,-2.048,win,0.807,3.1209,-2.3139,loss,43333,1.4199
Earthquakes,0.7482,0.7252,0.023,win,0.5364,2.0855,-1.5491,win,0.0534,3.4927,-3.4393,loss,43037,1.4189
ECG200,0.87,0.896,-0.026,loss,0.3752,0.8048,-0.4296,win,0.7879,2.8601,-2.0722,loss,43037,1.4189
ECG5000,0.9453,0.9419,0.0034,tie,0.198,0.6952,-0.4972,win,0.7611,6.7025,-5.9414,loss,43259,1.4196
ECGFiveDays,1.0,1.0,0.0,tie,0.0059,0.0,0.0059,tie,0.7119,4.7579,-4.046,loss,43037,1.4189
ElectricDevices,0.7127,0.712,0.0007,tie,1.0498,5.5714,-4.5216,win,1.086,4.6437,-3.5577,loss,43407,1.4202
FaceAll,0.797,0.9528,-0.1558,loss,1.3573,0.2954,1.0619,loss,1.4742,3.9975,-2.5233,loss,43925,1.4221
FaceFour,0.9318,0.9591,-0.0273,loss,0.1712,0.468,-0.2968,win,1.3946,6.4735,-5.0789,loss,43185,1.4194
FacesUCR,0.9273,0.9597,-0.0324,loss,0.2848,0.1909,0.0939,loss,1.4064,3.1775,-1.7711,loss,43925,1.4221
FiftyWords,0.7209,0.8352,-0.1143,loss,1.0979,1.0207,0.0772,loss,2.7727,3.3053,-0.5326,loss,46589,1.4324
Fish,0.9371,0.9806,-0.0435,loss,0.1436,0.2986,-0.155,win,2.2763,5.4842,-3.2079,loss,43407,1.4202
FordA,0.9311,0.9541,-0.023,loss,0.1837,0.4398,-0.2561,win,0.3576,2.7146,-2.357,loss,43037,1.4189
FordB,0.816,0.8499,-0.0339,loss,0.4228,1.4783,-1.0555,win,0.4646,1.6448,-1.1802,loss,43037,1.4189
GunPoint,0.9867,0.9853,0.0014,tie,0.0411,0.0533,-0.0122,win,-0.3134,4.0108,-4.3242,loss,43037,1.4189
Ham,0.7714,0.7086,0.0628,win,0.4508,1.7929,-1.3421,win,1.0636,3.9279,-2.8643,loss,43037,1.4189
HandOutlines,0.8649,0.9476,-0.0827,loss,0.3379,0.3636,-0.0257,win,0.458,12.7111,-12.2531,loss,43037,1.4189
Haptics,0.4221,0.524,-0.1019,loss,1.5501,3.2084,-1.6583,win,1.6638,5.9916,-4.3278,loss,43259,1.4196
Herring,0.6094,0.5781,0.0313,win,1.4447,3.3086,-1.8639,win,0.3913,4.6122,-4.2209,loss,43037,1.4189
InlineSkate,0.2018,0.4913,-0.2895,loss,1.9249,2.5766,-0.6517,win,0.8559,8.1641,-7.3082,loss,43407,1.4202
InsectWingbeatSound,0.5899,0.6146,-0.0247,loss,1.0533,2.598,-1.5447,win,0.8971,2.7342,-1.8371,loss,43703,1.4213
ItalyPowerDemand,0.9708,0.9506,0.0202,win,0.132,0.5572,-0.4252,win,0.3875,4.1634,-3.7759,loss,43037,1.4189
LargeKitchenAppliances,0.896,0.9013,-0.0053,loss,0.3691,1.1387,-0.7696,win,2.667,9.5087,-6.8417,loss,43111,1.4191
Lightning2,0.918,0.8557,0.0623,win,0.2274,0.9113,-0.6839,win,0.6342,5.3802,-4.746,loss,43037,1.4189
Lightning7,0.8219,0.8274,-0.0055,loss,0.4656,0.9538,-0.4882,win,3.0433,4.2526,-1.2093,loss,43407,1.4202
Mallat,0.9638,0.9688,-0.005,tie,0.1475,0.1333,0.0142,loss,1.8126,6.7384,-4.9258,loss,43481,1.4205
Meat,0.9167,0.9867,-0.07,loss,0.2218,0.0539,0.1679,loss,2.1878,6.1908,-4.003,loss,43111,1.4191
MedicalImages,0.7355,0.8021,-0.0666,loss,0.6751,1.3284,-0.6533,win,0.9594,2.8937,-1.9343,loss,43629,1.421
MiddlePhalanxOutlineAgeGroup,0.6169,0.5221,0.0948,win,0.9098,4.9601,-4.0503,win,0.0491,0.9851,-0.936,loss,43111,1.4191
MiddlePhalanxOutlineCorrect,0.8522,0.8103,0.0419,win,0.3992,1.2175,-0.8183,win,0.3262,2.4532,-2.127,loss,43037,1.4189
MiddlePhalanxTW,0.5584,0.5104,0.048,win,1.0801,4.0946,-3.0145,win,0.4897,3.4,-2.9103,loss,43333,1.4199
MoteStrain,0.8802,0.9018,-0.0216,loss,0.338,0.6772,-0.3392,win,0.8626,3.5563,-2.6937,loss,43037,1.4189
NonInvasiveFetalECGThorax1,0.8941,0.9511,-0.057,loss,0.3471,0.2659,0.0812,loss,2.4813,-2.2634,4.7447,win,45997,1.4301
NonInvasiveFetalECGThorax2,0.8595,0.9526,-0.0931,loss,0.4435,0.2528,0.1907,loss,2.7106,2.9866,-0.276,loss,45997,1.4301
OliveOil,0.7333,0.8467,-0.1134,loss,0.7005,0.9378,-0.2373,win,0.6271,-3.6343,4.2614,win,43185,1.4194
OSULeaf,0.8471,0.9471,-0.1,loss,0.4784,0.2378,0.2406,loss,1.7348,6.5343,-4.7995,loss,43333,1.4199
PhalangesOutlinesCorrect,0.7995,0.8303,-0.0308,loss,0.4373,1.4708,-1.0335,win,-0.8097,2.0437,-2.8534,loss,43037,1.4189
Phoneme,0.2648,0.3006,-0.0358,loss,2.8057,7.0359,-4.2302,win,0.9237,4.7834,-3.8597,loss,45775,1.4292
Plane,1.0,1.0,0.0,tie,0.0091,0.0,0.0091,tie,1.8695,3.3933,-1.5238,loss,43407,1.4202
ProximalPhalanxOutlineAgeGroup,0.839,0.8537,-0.0147,loss,0.3911,1.2906,-0.8995,win,0.1157,5.6483,-5.5326,loss,43111,1.4191
ProximalPhalanxOutlineCorrect,0.89,0.923,-0.033,loss,0.2364,0.5448,-0.3084,win,-0.1255,-3.5363,3.4108,win,43037,1.4189
ProximalPhalanxTW,0.7756,0.76,0.0156,win,0.5304,2.0198,-1.4894,win,-1.4454,5.6975,-7.1429,loss,43333,1.4199
RefrigerationDevices,0.472,0.5099,-0.0379,loss,1.9868,6.1414,-4.1546,win,0.2602,4.2486,-3.9884,loss,43111,1.4191
ScreenType,0.432,0.576,-0.144,loss,1.1244,3.6402,-2.5158,win,0.3415,4.2157,-3.8742,loss,43111,1.4191
ShapeletSim,1.0,0.9089,0.0911,win,0.0087,0.2342,-0.2255,win,2.2162,3.429,-1.2128,loss,43037,1.4189
ShapesAll,0.8183,0.9283,-0.11,loss,0.7805,0.4908,0.2897,loss,3.7006,9.5598,-5.8592,loss,47329,1.4351
SmallKitchenAppliances,0.7707,0.7819,-0.0112,loss,0.5452,2.273,-1.7278,win,0.6751,3.9346,-3.2595,loss,43111,1.4191
SonyAIBORobotSurface1,0.9667,0.9338,0.0329,win,0.1099,0.3641,-0.2542,win,0.9153,3.2614,-2.3461,loss,43037,1.4189
SonyAIBORobotSurface2,0.9087,0.8269,0.0818,win,0.2793,1.433,-1.1537,win,0.4301,2.9596,-2.5295,loss,43037,1.4189
