dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7928,0.8317,-0.0389,loss,0.819,1.028,-0.209,win,-0.5078,15.8906,-16.3984,loss,69538,1.5354
ArrowHead,0.7429,0.8377,-0.0948,loss,0.6887,1.0053,-0.3166,win,0.1663,3.2005,-3.0342,loss,67022,1.5258
Beef,0.8333,0.8467,-0.0134,loss,0.4959,0.965,-0.4691,win,0.391,5.4866,-5.0956,loss,67170,1.5264
BeetleFly,0.7,0.92,-0.22,loss,0.5774,0.2905,0.2869,loss,0.026,1.2424,-1.2164,loss,66948,1.5256
BirdChicken,0.85,0.94,-0.09,loss,0.3036,0.1447,0.1589,loss,1.3193,3.3665,-2.0472,loss,66948,1.5256
Car,0.8667,0.92,-0.0533,loss,0.3905,0.4259,-0.0354,win,2.518,6.6173,-4.0993,loss,67096,1.5261
CBF,0.9978,0.9998,-0.002,tie,0.1219,0.0007,0.1212,loss,0.6299,3.5827,-2.9528,loss,67022,1.5258
ChlorineConcentration,0.6974,0.8576,-0.1602,loss,0.7177,0.9747,-0.257,win,0.1103,2.1418,-2.0315,loss,67022,1.5258
CinCECGTorso,0.8152,0.8239,-0.0087,loss,0.5619,0.9547,-0.3928,win,1.1508,4.7745,-3.6237,loss,67096,1.5261
Coffee,1.0,1.0,0.0,tie,0.0672,0.0,0.0672,loss,-0.1293,3.4889,-3.6182,loss,66948,1.5256
Computers,0.668,0.7688,-0.1008,loss,0.7167,2.1231,-1.4064,win,0.3561,3.4427,-3.0866,loss,66948,1.5256
CricketX,0.8333,0.8267,0.0066,win,0.6766,0.9717,-0.2951,win,1.2304,4.5072,-3.2768,loss,67688,1.5283
CricketY,0.8308,0.8231,0.0077,win,0.6257,0.9759,-0.3502,win,1.6414,4.8896,-3.2482,loss,67688,1.5283
CricketZ,0.8462,0.8574,-0.0112,loss,0.558,0.8017,-0.2437,win,1.7236,4.7715,-3.0479,loss,67688,1.5283
DiatomSizeReduction,0.9542,0.9719,-0.0177,loss,0.2254,0.0944,0.131,loss,1.6547,1.0258,0.6289,win,67096,1.5261
DistalPhalanxOutlineAgeGroup,0.7698,0.7151,0.0547,win,0.5376,2.5757,-2.0381,win,-0.057,2.4343,-2.4913,loss,67022,1.5258
DistalPhalanxOutlineCorrect,0.7681,0.7703,-0.0022,tie,0.4869,2.0843,-1.5974,win,-0.2922,0.6399,-0.9321,loss,66948,1.5256
DistalPhalanxTW,0.6978,0.6604,0.0374,win,0.806,2.8454,-2.0394,win,0.4103,3.1209,-2.7106,loss,67244,1.5267
Earthquakes,0.6906,0.7252,-0.0346,loss,0.6719,2.0855,-1.4136,win,0.0772,3.4927,-3.4155,loss,66948,1.5256
ECG200,0.79,0.896,-0.106,loss,0.407,0.8048,-0.3978,win,-0.0034,2.8601,-2.8635,loss,66948,1.5256
ECG5000,0.9296,0.9419,-0.0123,loss,0.3301,0.6952,-0.3651,win,1.0689,6.7025,-5.6336,loss,67170,1.5264
ECGFiveDays,0.9837,1.0,-0.0163,loss,0.0926,0.0,0.0926,loss,-0.05,4.7579,-4.8079,loss,66948,1.5256
ElectricDevices,0.7191,0.712,0.0071,win,0.9609,5.5714,-4.6105,win,-0.0314,4.6437,-4.6751,loss,67318,1.5269
FaceAll,0.8148,0.9528,-0.138,loss,0.8198,0.2954,0.5244,loss,0.4784,3.9975,-3.5191,loss,67836,1.5289
FaceFour,0.8636,0.9591,-0.0955,loss,0.3747,0.468,-0.0933,win,0.3617,6.4735,-6.1118,loss,67096,1.5261
FacesUCR,0.962,0.9597,0.0023,tie,0.2377,0.1909,0.0468,loss,0.078,3.1775,-3.0995,loss,67836,1.5289
FiftyWords,0.789,0.8352,-0.0462,loss,0.9512,1.0207,-0.0695,win,1.6872,3.3053,-1.6181,loss,70500,1.5391
Fish,0.9657,0.9806,-0.0149,loss,0.207,0.2986,-0.0916,win,1.0314,5.4842,-4.4528,loss,67318,1.5269
FordA,0.9568,0.9541,0.0027,tie,0.1701,0.4398,-0.2697,win,0.9841,2.7146,-1.7305,loss,66948,1.5256
FordB,0.8272,0.8499,-0.0227,loss,0.4055,1.4783,-1.0728,win,0.3176,1.6448,-1.3272,loss,66948,1.5256
GunPoint,0.9933,0.9853,0.008,win,0.0919,0.0533,0.0386,loss,0.4586,4.0108,-3.5522,loss,66948,1.5256
Ham,0.7905,0.7086,0.0819,win,0.4855,1.7929,-1.3074,win,0.9102,3.9279,-3.0177,loss,66948,1.5256
HandOutlines,0.9027,0.9476,-0.0449,loss,0.2817,0.3636,-0.0819,win,0.728,12.7111,-11.9831,loss,66948,1.5256
Haptics,0.5162,0.524,-0.0078,loss,1.4806,3.2084,-1.7278,win,1.9456,5.9916,-4.046,loss,67170,1.5264
Herring,0.5938,0.5781,0.0157,win,0.9136,3.3086,-2.395,win,0.7804,4.6122,-3.8318,loss,66948,1.5256
InlineSkate,0.3982,0.4913,-0.0931,loss,2.1726,2.5766,-0.404,win,1.6516,8.1641,-6.5125,loss,67318,1.5269
InsectWingbeatSound,0.6126,0.6146,-0.002,tie,1.015,2.598,-1.583,win,0.5951,2.7342,-2.1391,loss,67614,1.528
ItalyPowerDemand,0.9689,0.9506,0.0183,win,0.1403,0.5572,-0.4169,win,0.1042,4.1634,-4.0592,loss,66948,1.5256
LargeKitchenAppliances,0.8933,0.9013,-0.008,loss,0.3591,1.1387,-0.7796,win,1.2879,9.5087,-8.2208,loss,67022,1.5258
Lightning2,0.8525,0.8557,-0.0032,tie,0.4109,0.9113,-0.5004,win,0.7562,5.3802,-4.624,loss,66948,1.5256
Lightning7,0.7671,0.8274,-0.0603,loss,0.6824,0.9538,-0.2714,win,0.4769,4.2526,-3.7757,loss,67318,1.5269
Mallat,0.9714,0.9688,0.0026,tie,0.181,0.1333,0.0477,loss,1.7964,6.7384,-4.942,loss,67392,1.5272
Meat,0.9167,0.9867,-0.07,loss,0.2989,0.0539,0.245,loss,2.2188,6.1908,-3.972,loss,67022,1.5258
MedicalImages,0.7132,0.8021,-0.0889,loss,0.8081,1.3284,-0.5203,win,0.7464,2.8937,-2.1473,loss,67540,1.5278
