model,acc,loss,aopcr,ndcg,params,size_mb
seanet_gated_mean_topk__sea_mstcn_sep_gated__sea_topk_conjunctive,0.954,0.2546,2.2926,0.7721,61740,1.5025
seanet_conjunctive__sea_mstcn_sep__mil_conjunctive,0.954,0.2623,1.5019,0.6983,269083,3.5386
seanet_gated_max_topk__sea_mstcn_sep_gated__sea_topk_conjunctive,0.952,0.3076,2.2684,0.7185,61740,1.5025
seanet_spiketrend_topk__sea_mstcn_sep_spiketrend__sea_topk_conjunctive,0.95,0.2877,2.316,0.756,67020,1.5254
seanet_classwise__sea_mstcn_sep__sea_classwise_conjunctive,0.946,0.2917,1.7219,0.686,269164,3.5389
seanet_recon_adaptive__sea_mstcn_sep_recon__sea_adaptive_classwise,0.946,0.2962,2.601,0.7679,62935,1.5099
seanet_inputgate_topk__sea_mstcn_sep_inputgate__sea_topk_conjunctive,0.946,0.2605,2.8031,0.7482,58092,1.4886
seanet_gated_max__sea_mstcn_sep_gated__sea_classwise_conjunctive,0.944,0.3063,1.8892,0.5924,61740,1.5025
seanet_gated_last__sea_mstcn_sep_gated__sea_classwise_conjunctive,0.942,0.3272,2.5202,0.7417,61740,1.5025
seanet__sea_mstcn_sep__mil_additive,0.942,0.2597,1.5791,0.7291,269083,3.5386
seanet_gated_last_topk__sea_mstcn_sep_gated__sea_topk_conjunctive,0.942,0.3276,2.3122,0.7483,61740,1.5025
seanet_bottleneck_softmax__sea_mstcn_sep_bottleneck__sea_softmax_conjunctive,0.94,0.3446,1.6846,0.7401,41325,1.4281
seanet_recon_topk__sea_mstcn_sep_recon__sea_topk_conjunctive,0.94,0.3206,2.5052,0.6984,62925,1.5096
seanet_bottleneck_topk__sea_mstcn_sep_bottleneck__sea_topk_conjunctive,0.938,0.2992,2.7784,0.7768,41324,1.4279
seanet_gated_last_adaptive__sea_mstcn_sep_gated__sea_adaptive_classwise,0.938,0.2888,2.3874,0.7929,61750,1.5028
seanet_inputgate_adaptive__sea_mstcn_sep_inputgate__sea_adaptive_classwise,0.938,0.2749,3.1259,0.7767,58102,1.4889
seanet_spiketrend_adaptive__sea_mstcn_sep_spiketrend__sea_adaptive_classwise,0.934,0.3014,1.9128,0.7471,67030,1.5256
seanet_recon_softmax__sea_mstcn_sep_recon__sea_softmax_conjunctive,0.932,0.3414,1.6417,0.723,62926,1.5098
seanet_slim_topk__sea_mstcn_sep__sea_topk_conjunctive,0.932,0.3059,2.6911,0.7776,57580,1.4843
seanet_spiketrend_gatedattn__sea_mstcn_sep_spiketrend__sea_gated_attention,0.93,0.3503,1.5926,0.7205,67540,1.5278
seanet_slim_adaptive__sea_mstcn_sep__sea_adaptive_classwise,0.93,0.3355,2.448,0.7928,57590,1.4846
seanet_gated__sea_mstcn_sep_gated__sea_classwise_conjunctive,0.93,0.3591,2.4077,0.6374,61740,1.5025
seanet_bottleneck_gatedattn__sea_mstcn_sep_bottleneck__sea_gated_attention,0.93,0.3131,2.2315,0.7413,41844,1.4302
seanet_gated_last_softmax__sea_mstcn_sep_gated__sea_softmax_conjunctive,0.92,0.3806,1.9895,0.7378,61741,1.5028
seanet_gated_last_gatedattn__sea_mstcn_sep_gated__sea_gated_attention,0.918,0.3653,1.3542,0.757,62260,1.5049
seanet_acp__sea_mstcn_sep__sea_adaptive_classwise,0.918,0.3601,1.6081,0.6188,269174,3.5392
seanet_slim__sea_mstcn_sep__sea_classwise_conjunctive,0.916,0.3826,2.4782,0.7185,57580,1.4843
seanet_gated_max_softmax__sea_mstcn_sep_gated__sea_softmax_conjunctive,0.914,0.3722,1.8836,0.776,61741,1.5028
seanet_inputgate__sea_mstcn_sep_inputgate__sea_classwise_conjunctive,0.914,0.3976,2.4805,0.7145,58092,1.4886
seanet_gated_mean_softmax__sea_mstcn_sep_gated__sea_softmax_conjunctive,0.912,0.3684,2.0929,0.7651,61741,1.5028
seanet_recon__sea_mstcn_sep_recon__sea_classwise_conjunctive,0.91,0.4172,2.5041,0.6804,62925,1.5096
seanet_gated_max_adaptive__sea_mstcn_sep_gated__sea_adaptive_classwise,0.906,0.4437,2.0712,0.7286,61750,1.5028
seanet_spiketrend__sea_mstcn_sep_spiketrend__sea_classwise_conjunctive,0.904,0.3954,2.1545,0.6985,67020,1.5254
seanet_bottleneck__sea_mstcn_sep_bottleneck__sea_classwise_conjunctive,0.902,0.3952,2.5717,0.7325,41324,1.4279
seanet_gated_mean__sea_mstcn_sep_gated__sea_classwise_conjunctive,0.902,0.3929,2.4928,0.7139,61740,1.5025
seanet_inputgate_softmax__sea_mstcn_sep_inputgate__sea_softmax_conjunctive,0.894,0.4539,1.6363,0.6955,58093,1.4889
millet__mil_inceptiontime__mil_conjunctive,0.894,0.515,1.5936,0.6711,423707,4.1098
