dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.6854,0.8317,-0.1463,loss,1.0831,1.028,0.0551,loss,-0.3205,15.8906,-16.2111,loss,276475,3.5671
ArrowHead,0.8,0.8377,-0.0377,loss,0.4811,1.0053,-0.5242,win,0.0093,3.2005,-3.1912,loss,271783,3.5492
Beef,0.9,0.8467,0.0533,win,0.4042,0.965,-0.5608,win,0.2949,5.4866,-5.1917,loss,272059,3.5502
BeetleFly,0.9,0.92,-0.02,loss,0.2978,0.2905,0.0073,tie,0.4062,1.2424,-0.8362,loss,271645,3.5487
BirdChicken,0.8,0.94,-0.14,loss,0.5961,0.1447,0.4514,loss,0.882,3.3665,-2.4845,loss,271645,3.5487
Car,0.95,0.92,0.03,win,0.2833,0.4259,-0.1426,win,0.3339,6.6173,-6.2834,loss,271921,3.5497
CBF,0.9867,0.9998,-0.0131,loss,0.144,0.0007,0.1433,loss,0.2688,3.5827,-3.3139,loss,271783,3.5492
ChlorineConcentration,0.8206,0.8576,-0.037,loss,0.5267,0.9747,-0.448,win,-0.3164,2.1418,-2.4582,loss,271783,3.5492
CinCECGTorso,0.9442,0.8239,0.1203,win,0.2661,0.9547,-0.6886,win,-0.0457,4.7745,-4.8202,loss,271921,3.5497
Coffee,1.0,1.0,0.0,tie,0.0718,0.0,0.0718,loss,0.5298,3.4889,-2.9591,loss,271645,3.5487
Computers,0.62,0.7688,-0.1488,loss,0.6543,2.1231,-1.4688,win,0.0658,3.4427,-3.3769,loss,271645,3.5487
CricketX,0.7769,0.8267,-0.0498,loss,0.7442,0.9717,-0.2275,win,0.7025,4.5072,-3.8047,loss,273025,3.5539
CricketY,0.7718,0.8231,-0.0513,loss,0.8149,0.9759,-0.161,win,0.2412,4.8896,-4.6484,loss,273025,3.5539
CricketZ,0.7821,0.8574,-0.0753,loss,0.7866,0.8017,-0.0151,win,0.6424,4.7715,-4.1291,loss,273025,3.5539
DiatomSizeReduction,0.9869,0.9719,0.015,win,0.1624,0.0944,0.068,loss,1.2428,1.0258,0.217,win,271921,3.5497
DistalPhalanxOutlineAgeGroup,0.777,0.7151,0.0619,win,0.5431,2.5757,-2.0326,win,-0.2706,2.4343,-2.7049,loss,271783,3.5492
DistalPhalanxOutlineCorrect,0.7572,0.7703,-0.0131,loss,0.4967,2.0843,-1.5876,win,0.1103,0.6399,-0.5296,loss,271645,3.5487
DistalPhalanxTW,0.6763,0.6604,0.0159,win,0.814,2.8454,-2.0314,win,-0.1949,3.1209,-3.3158,loss,272197,3.5508
Earthquakes,0.7482,0.7252,0.023,win,0.5657,2.0855,-1.5198,win,0.045,3.4927,-3.4477,loss,271645,3.5487
ECG200,0.85,0.896,-0.046,loss,0.3517,0.8048,-0.4531,win,0.0883,2.8601,-2.7718,loss,271645,3.5487
ECG5000,0.9429,0.9419,0.001,tie,0.2694,0.6952,-0.4258,win,0.1289,6.7025,-6.5736,loss,272059,3.5502
ECGFiveDays,0.9733,1.0,-0.0267,loss,0.1262,0.0,0.1262,loss,-0.1632,4.7579,-4.9211,loss,271645,3.5487
ElectricDevices,0.6615,0.712,-0.0505,loss,1.1283,5.5714,-4.4431,win,0.2514,4.6437,-4.3923,loss,272335,3.5513
FaceAll,0.7935,0.9528,-0.1593,loss,0.7637,0.2954,0.4683,loss,-0.2403,3.9975,-4.2378,loss,273301,3.5549
FaceFour,0.9545,0.9591,-0.0046,tie,0.2362,0.468,-0.2318,win,0.2757,6.4735,-6.1978,loss,271921,3.5497
FacesUCR,0.838,0.9597,-0.1217,loss,0.5951,0.1909,0.4042,loss,0.0579,3.1775,-3.1196,loss,273301,3.5549
FiftyWords,0.7648,0.8352,-0.0704,loss,0.9127,1.0207,-0.108,win,0.6157,3.3053,-2.6896,loss,278269,3.574
Fish,0.9371,0.9806,-0.0435,loss,0.2567,0.2986,-0.0419,win,0.0684,5.4842,-5.4158,loss,272335,3.5513
FordA,0.9553,0.9541,0.0012,tie,0.1582,0.4398,-0.2816,win,0.2316,2.7146,-2.483,loss,271645,3.5487
FordB,0.816,0.8499,-0.0339,loss,0.3983,1.4783,-1.08,win,-0.165,1.6448,-1.8098,loss,271645,3.5487
GunPoint,0.9867,0.9853,0.0014,tie,0.096,0.0533,0.0427,loss,0.2285,4.0108,-3.7823,loss,271645,3.5487
Ham,0.7333,0.7086,0.0247,win,0.634,1.7929,-1.1589,win,0.5749,3.9279,-3.353,loss,271645,3.5487
HandOutlines,0.9432,0.9476,-0.0044,tie,0.198,0.3636,-0.1656,win,0.036,12.7111,-12.6751,loss,271645,3.5487
Haptics,0.4448,0.524,-0.0792,loss,1.7149,3.2084,-1.4935,win,0.4105,5.9916,-5.5811,loss,272059,3.5502
Herring,0.5625,0.5781,-0.0156,loss,1.0554,3.3086,-2.2532,win,0.4282,4.6122,-4.184,loss,271645,3.5487
InlineSkate,0.2091,0.4913,-0.2822,loss,1.9167,2.5766,-0.6599,win,0.5341,8.1641,-7.63,loss,272335,3.5513
InsectWingbeatSound,0.6273,0.6146,0.0127,win,0.9985,2.598,-1.5995,win,-0.0235,2.7342,-2.7577,loss,272887,3.5533
ItalyPowerDemand,0.9718,0.9506,0.0212,win,0.1343,0.5572,-0.4229,win,0.1998,4.1634,-3.9636,loss,271645,3.5487
LargeKitchenAppliances,0.7973,0.9013,-0.104,loss,0.602,1.1387,-0.5367,win,0.613,9.5087,-8.8957,loss,271783,3.5492
Lightning2,0.7377,0.8557,-0.118,loss,0.5465,0.9113,-0.3648,win,0.3537,5.3802,-5.0265,loss,271645,3.5487
Lightning7,0.7534,0.8274,-0.074,loss,0.9051,0.9538,-0.0487,win,-0.0155,4.2526,-4.2681,loss,272335,3.5513
Mallat,0.8904,0.9688,-0.0784,loss,0.3623,0.1333,0.229,loss,0.5037,6.7384,-6.2347,loss,272473,3.5518
Meat,0.9,0.9867,-0.0867,loss,0.3007,0.0539,0.2468,loss,1.1036,6.1908,-5.0872,loss,271783,3.5492
MedicalImages,0.6132,0.8021,-0.1889,loss,1.0167,1.3284,-0.3117,win,0.2426,2.8937,-2.6511,loss,272749,3.5528
MiddlePhalanxOutlineAgeGroup,0.5779,0.5221,0.0558,win,0.9655,4.9601,-3.9946,win,0.3236,0.9851,-0.6615,loss,271783,3.5492
MiddlePhalanxOutlineCorrect,0.7904,0.8103,-0.0199,loss,0.4298,1.2175,-0.7877,win,-0.0064,2.4532,-2.4596,loss,271645,3.5487
MiddlePhalanxTW,0.5455,0.5104,0.0351,win,1.1095,4.0946,-2.9851,win,0.0033,3.4,-3.3967,loss,272197,3.5508
MoteStrain,0.861,0.9018,-0.0408,loss,0.3106,0.6772,-0.3666,win,0.0295,3.5563,-3.5268,loss,271645,3.5487
NonInvasiveFetalECGThorax1,0.8997,0.9511,-0.0514,loss,0.3966,0.2659,0.1307,loss,-0.353,-2.2634,1.9104,win,277165,3.5697
NonInvasiveFetalECGThorax2,0.9471,0.9526,-0.0055,loss,0.2627,0.2528,0.0099,tie,-0.4782,2.9866,-3.4648,loss,277165,3.5697
OliveOil,0.7333,0.8467,-0.1134,loss,0.8833,0.9378,-0.0545,win,0.8857,-3.6343,4.52,win,271921,3.5497
OSULeaf,0.7727,0.9471,-0.1744,loss,0.6095,0.2378,0.3717,loss,0.4001,6.5343,-6.1342,loss,272197,3.5508
PhalangesOutlinesCorrect,0.8135,0.8303,-0.0168,loss,0.4167,1.4708,-1.0541,win,0.187,2.0437,-1.8567,loss,271645,3.5487
