Dataset,GAPFCN 0,GAPFCN 1,GAPFCN 2,GAPFCN 3,GAPFCN 4,InstanceFCN 0,InstanceFCN 1,InstanceFCN 2,InstanceFCN 3,InstanceFCN 4,AttentionFCN 0,AttentionFCN 1,AttentionFCN 2,AttentionFCN 3,AttentionFCN 4,AdditiveFCN 0,AdditiveFCN 1,AdditiveFCN 2,AdditiveFCN 3,AdditiveFCN 4,ConjunctiveFCN 0,ConjunctiveFCN 1,ConjunctiveFCN 2,ConjunctiveFCN 3,ConjunctiveFCN 4,GAPFCNEnsemble 0,InstanceFCNEnsemble 0,AttentionFCNEnsemble 0,AdditiveFCNEnsemble 0,ConjunctiveFCNEnsemble 0
Adiac,8.816934585571289,10.52634334564209,8.645691871643066,6.217533111572266,8.545867919921875,14.845855712890623,11.033035278320312,15.817523002624512,16.487459182739258,14.865645408630373,-16.929340362548828,-17.07575035095215,-12.836668968200684,-13.865405082702637,-17.242359161376953,7.435819625854492,14.040867805480955,16.301240921020508,13.965620040893556,14.696359634399414,17.57650375366211,8.946946144104004,11.693316459655762,15.17164707183838,16.718536376953125,8.126466751098633,14.450358390808104,-14.906502723693848,13.216889381408691,13.863313674926758
ArrowHead,3.76686692237854,3.2037625312805176,2.848540782928467,3.307199239730835,1.9961730241775515,4.526602268218994,4.624246597290039,6.004398345947266,5.228950500488281,3.678542137145996,-1.4994139671325684,-0.0480664186179637,-2.343178033828736,-0.1111159026622772,0.6722174286842346,2.9424452781677246,5.232284069061279,3.6534945964813232,4.925654888153076,2.9564194679260254,5.9168314933776855,3.7809672355651855,3.2579238414764404,2.9463560581207275,2.987182378768921,2.816401720046997,4.295300006866455,-0.5379335284233093,3.353563070297241,3.719094276428223
Beef,4.504361629486084,6.2677388191223145,6.209359645843506,4.93206787109375,6.57658052444458,5.737395286560059,5.70026969909668,5.06367301940918,4.391122341156006,4.694710731506348,-3.841629981994629,-0.8868210315704346,-3.246603488922119,0.4684260487556457,-0.6232852935791016,5.724760055541992,5.055290699005127,4.820578098297119,5.613993644714356,4.217803955078125,5.533829212188721,5.360328674316406,2.917008876800537,7.480884075164795,4.711968421936035,5.634644508361816,5.130513668060303,0.6552239656448364,4.641086101531982,4.808804988861084
BeetleFly,5.7752766609191895,5.819589138031006,3.122600078582764,5.366507053375244,6.082871913909912,4.655041217803955,3.989403486251831,3.101065158843994,4.6340532302856445,5.201871395111084,-3.279810667037964,-7.914188385009766,-3.544394254684448,-3.05271053314209,-1.5355522632598877,-2.193946361541748,1.4589135646820068,4.34872579574585,2.5171031951904297,-0.625379204750061,7.0956878662109375,4.373702049255371,3.721480846405029,3.161947011947632,0.9000417590141296,4.658299446105957,4.756255626678467,-2.8604369163513184,-0.1250379085540771,2.484726667404175
BirdChicken,7.028626918792725,8.538002014160156,5.977072238922119,10.642452239990234,6.7137885093688965,10.237226486206056,17.609691619873047,15.492886543273926,9.057334899902344,11.82105541229248,1.1464166641235352,0.6324102282524109,-1.0106666088104248,-0.5899065732955933,-0.915264904499054,9.827741622924805,4.06130313873291,8.988996505737305,3.0591378211975098,2.905485153198242,2.70597505569458,7.654232025146484,2.367775678634644,3.467308759689331,3.709578037261963,6.87109899520874,12.42603874206543,-0.3553282618522644,3.60723876953125,3.1856791973114014
Car,9.309513092041016,7.561813831329346,9.6077299118042,6.640752792358398,6.925277233123779,12.168497085571287,11.254852294921877,10.955044746398926,13.077406883239746,11.525174140930176,-2.4688799381256104,7.624483108520508,11.655888557434082,2.6025376319885254,0.2046016156673431,6.57849645614624,12.69545841217041,14.296825408935549,10.86826229095459,9.906847953796388,14.07491397857666,4.5818634033203125,19.76603126525879,12.551666259765623,21.24698829650879,7.910842895507812,11.945731163024902,2.805613279342652,10.165708541870115,13.982586860656738
CBF,2.191901683807373,2.6602723598480225,2.3812174797058105,2.958235263824463,2.59036922454834,2.8336219787597656,2.72674298286438,2.413503408432007,2.3680641651153564,3.876462459564209,0.0027467170730233,-0.6443156599998474,0.3305210471153259,-0.3455735445022583,-0.3950295150279999,2.140294313430786,3.0020320415496826,2.608284473419189,3.032064914703369,2.5969130992889404,2.9264633655548096,1.9148924350738523,2.368577480316162,2.559612274169922,3.155209541320801,2.40128755569458,2.6421051025390625,-0.151559829711914,2.628059864044189,2.487933158874512
ChlorineConcentration,5.506396293640137,5.90629768371582,6.883944988250732,6.58465576171875,6.3977885246276855,5.961038589477539,6.963519096374512,6.169913291931152,5.734071731567383,6.982688426971436,-1.5021467208862305,-0.4430256187915802,-1.6450703144073486,-0.1335549056529998,-0.8390722870826721,5.454236507415772,6.790045261383057,4.515430450439453,4.766698360443115,5.548145294189453,5.03446626663208,4.701702117919922,5.450557231903076,5.842351913452148,4.9833831787109375,6.481777667999268,6.6614298820495605,-0.3037699460983276,5.6811933517456055,5.22259521484375
CinCECGTorso,5.992445468902588,6.265829563140869,5.232377529144287,5.5123395919799805,5.928792476654053,5.669139862060547,6.126370429992676,5.984518051147461,6.132006645202637,6.652952671051025,0.3673644661903381,-0.409788429737091,-0.3248188197612762,0.2473045885562896,-2.3008480072021484,5.795282363891602,5.659487724304199,5.035390853881836,5.616847038269043,6.653685092926025,5.509000778198242,6.240105152130127,5.5379958152771,5.064146518707275,4.733948707580566,5.761021137237549,5.881401062011719,-0.3101929724216461,5.427337646484375,4.915306091308594
Coffee,7.868576049804687,7.148810863494873,2.159589529037476,5.199398040771484,3.076714038848877,4.369494915008545,4.7469024658203125,4.049730777740479,4.596023082733154,5.415439605712891,4.391221046447754,6.633404731750488,6.412681579589844,3.961216449737549,5.865124225616455,6.047444343566895,3.907495260238648,4.111535549163818,3.951143741607666,3.2299046516418457,6.978762626647949,4.34812593460083,3.814497709274292,5.993120670318604,4.508326053619385,5.297045707702637,4.63726806640625,5.1929802894592285,3.841084718704224,4.867615699768066
