Dataset,GAPFCN 0,GAPFCN 1,GAPFCN 2,GAPFCN 3,GAPFCN 4,InstanceFCN 0,InstanceFCN 1,InstanceFCN 2,InstanceFCN 3,InstanceFCN 4,AttentionFCN 0,AttentionFCN 1,AttentionFCN 2,AttentionFCN 3,AttentionFCN 4,AdditiveFCN 0,AdditiveFCN 1,AdditiveFCN 2,AdditiveFCN 3,AdditiveFCN 4,ConjunctiveFCN 0,ConjunctiveFCN 1,ConjunctiveFCN 2,ConjunctiveFCN 3,ConjunctiveFCN 4,GAPFCNEnsemble 0,InstanceFCNEnsemble 0,AttentionFCNEnsemble 0,AdditiveFCNEnsemble 0,ConjunctiveFCNEnsemble 0
Adiac,0.00994732696563,0.0081987287849187,0.010218490846455,0.0096150040626525,0.0114110233262181,0.0141962990164756,0.0140805039554834,0.0190092138946056,0.0122415823861956,0.0113089252263307,0.024246972054243,0.0137938940897583,0.0183562394231557,0.0187755934894084,0.0258237514644861,0.0167613234370946,0.0129108382388949,0.013068052008748,0.0167414806783199,0.0205922778695821,0.0159433577209711,0.0233346037566661,0.0169219020754098,0.0191137623041868,0.0208843555301427,0.0081442119553685,0.0110561354085803,0.0150851067155599,0.0121515179052948,0.0132899237796664
ArrowHead,0.0002905315195675,9.195649909088388e-05,0.0001236453972524,0.0001535267074359,0.0002012513868976,0.0003518471785355,0.0003443489840719,0.0002321314241271,0.0002492678177077,0.000305303488858,8.104754670057446e-05,0.0002284941001562,5.75038320675958e-05,9.415510430699214e-05,3.330718391225673e-05,0.0001343357726,4.362704567029141e-05,7.884870865382254e-05,4.968953726347536e-05,5.782294101663865e-05,3.796619057538919e-05,0.0001267249754164,8.342303044628352e-05,9.923389734467492e-05,8.246929792221636e-05,0.0001399775792378,0.0002467260637786,5.959895861451514e-05,5.132911974214949e-05,6.235517503228039e-05
Beef,0.0087033258751034,0.0095938025042414,0.0083092851564288,0.0125123709440231,0.0080517940223217,0.0178836621344089,0.0121377343311905,0.0120568610727787,0.0095347128808498,0.0119360741227865,0.0060350429266691,0.0022516786120831,0.0022702789865434,0.0041907974518835,0.00302001577802,0.0251231882721185,0.0029599205590784,0.0029453472234308,0.0063567883335053,0.0027638629544526,0.00857022870332,0.0030348219443112,0.0029451923910528,0.0044579147361218,0.0016039207112044,0.0079312277957797,0.0101933581754565,0.0026347832754254,0.0038732127286493,0.0028766805771738
BeetleFly,0.0002756072790361,0.0001008494728012,0.0001424122310709,9.191773278871553e-05,0.0001010087580652,0.0002153061504941,0.0002815297048073,0.0002464166027493,0.0002918760001193,0.000181730982149,1.922201772686094e-05,4.710315988631919e-05,1.3673025932803284e-05,1.3702854630537333e-05,4.106745564058656e-06,7.408792498608818e-06,1.605116449354682e-05,2.697632953641005e-05,3.914652188541368e-05,5.008269727113657e-05,2.022308581217657e-05,5.45953334949445e-05,2.670279855010449e-06,5.537211109185591e-06,4.7717185225337744e-05,0.0001103362083085,0.0002120373101206,1.1759850167436524e-05,1.8816808733390644e-05,1.1598905075516086e-05
BirdChicken,3.030071638931986e-05,1.8769113012240268e-05,1.4000848750583827e-05,1.013864402921172e-05,6.782965101592708e-06,2.3769778636051345e-05,8.14785835245857e-06,6.98560234013712e-06,4.869889380643144e-05,6.264352123253048e-06,3.974899300374091e-05,4.988881300960202e-06,2.3674219846725464e-05,2.5498022296233103e-05,4.553770850179717e-06,6.073668828321388e-06,3.266320618422469e-06,1.088360841094982e-05,2.586834398243809e-06,3.1947952265909407e-06,1.563402656756807e-05,2.3799268092261627e-05,2.878894974855939e-06,3.2961220313154627e-06,2.177276837755926e-05,1.1247261682001408e-05,9.763075468072202e-06,1.0883710274356416e-05,3.3497690310468897e-06,6.562429916812107e-06
Car,8.010947931325063e-05,5.052169944974594e-05,6.934538396308199e-05,4.34971516369842e-05,8.521396375726908e-05,8.157358388416469e-05,9.077775030164048e-05,0.0002386025589657,0.0001128276708186,0.0001005348822218,4.341564635979012e-05,8.0015481216833e-05,0.0001289885112782,8.125068416120484e-05,7.639500836376101e-05,0.0001646952150622,8.542175055481493e-05,0.0001199634716613,0.000203795498237,0.000119571101095,9.412821236765012e-05,0.0001997620856855,4.892859578831121e-05,6.974673306103796e-05,0.0001398485328536,5.132852311362512e-05,9.06209897948429e-05,6.221234070835635e-05,0.0001123958281823,8.297171007143334e-05
CBF,5.749825959355803e-06,3.973632374254521e-06,6.703504823235562e-06,2.729886091401568e-06,4.414696832100162e-06,3.67557959179976e-06,4.617355898517417e-06,6.469058916991344e-06,9.016138392325956e-06,2.6702803097578e-06,7.617375558766071e-06,5.876986051589483e-06,6.15914302670717e-07,8.380361578019802e-06,2.2411306872527348e-06,6.274349289014936e-06,1.7046896800820832e-06,1.1404346196286497e-06,4.132568847126095e-06,8.225433134612103e-07,1.7603200603844016e-06,8.133990377245937e-06,2.9603575057990383e-06,7.708858902333304e-07,2.725910007939092e-06,3.492823680062429e-06,3.588189429137856e-06,2.7298874556436203e-06,1.7523739188618492e-06,1.966949866982759e-06
ChlorineConcentration,0.0002997513802256,0.0004539747023954,0.0003954404091928,0.0005732391728088,0.0002965231251437,0.000335561519023,0.0005610585794784,0.0006039023282937,0.0003313211491331,0.0003031157539226,0.0002808821736834,0.0002721125201787,0.0002779745846055,0.000214846120798,8.532008359907195e-05,0.00014739499602,9.288368164561688e-05,0.0002590885560493,0.0003047334321308,0.0001797550066839,0.0003495528362691,0.000363595521776,0.0001384260540362,0.0001913669839268,0.0002269169781357,0.0002746452519204,0.0002737084287218,0.000158960421686,0.0001284444151679,0.0001759255828801
CinCECGTorso,0.0016448777168989,0.0014973509823903,0.0019582067616283,0.002042508451268,0.0013081382494419,0.0017280938336625,0.0015589386457577,0.0019870686810463,0.0018247843254357,0.0020703584887087,0.0003573363064788,0.0003405074821785,0.0002512873033992,0.0001927437551785,0.0001455628080293,0.0002895111101679,0.0002615489356685,0.0003173255827277,0.0002249112294521,0.0001273422676604,0.0003672132734209,0.000117148461868,0.0001401509944116,0.0003396712709218,0.0002988951164297,0.0015452075749635,0.0017044948181137,0.0001826300722314,0.0001658781256992,0.0001400395121891
Coffee,6.428782626244356e-07,2.247939619337558e-06,4.295769485906931e-06,3.163293740726658e-06,6.177564500831068e-06,6.811910679971334e-06,7.280277145582659e-07,2.456555876051425e-06,4.951416030962719e-06,4.231915681884857e-06,1.7498194893050822e-06,1.2772423119145062e-08,6.599080393243639e-07,7.535720101259358e-07,2.086161714487389e-07,1.0822340300364884e-05,3.533702397362504e-07,8.046618518164905e-07,6.8289505179564e-06,3.874298215578165e-07,3.320828625419381e-07,1.7527756426716223e-05,1.5922915963528794e-06,8.004041092135594e-07,5.449564923765138e-07,2.235169858977315e-06,2.6694306143326685e-06,2.469334674515267e-07,1.064367324943305e-06,1.0303075441697729e-06
Computers,0.0007916041649878,0.0007728709024377,0.0008100161794573,0.0010118096834048,0.0005716886371374,0.0007941784569993,0.0004937081248499,0.000820490065962,0.0006373802316375,0.0007383121992461,0.0002277961175423,0.0002486021548975,0.0002897254598792,0.0002892649499699,0.0003866450570058,0.0001958883221959,0.0003942291659768,0.0002400041703367,0.000299290579278,0.0003211828006897,0.0001532763126306,0.0002955898235086,0.0003282996767666,0.0001835314178606,0.000290363561362,0.0006964089698158,0.0005795444012619,0.0001998462394112,0.0002140408323612,0.0001921126677189
CricketX,3.9181923057185486e-05,2.7790674721472897e-05,3.345005461596884e-05,3.181094507453963e-05,4.251270729582757e-05,4.0483762859366834e-05,4.567126597976312e-05,6.001348083373159e-05,3.788200410781428e-05,3.599186675273813e-05,3.089478923357092e-05,3.604145240387879e-05,5.300216798787005e-05,4.42280106653925e-05,3.6000019463244826e-05,6.081658284529112e-05,2.529806624806952e-05,4.490362334763631e-05,2.1403306163847446e-05,5.751000571763143e-05,2.889154893637169e-05,4.696125688496977e-05,3.339261093060486e-05,4.38455244875513e-05,3.5735843994189054e-05,2.548413976910524e-05,3.024511352123227e-05,2.868003139155917e-05,2.8107850084779784e-05,2.694647446332965e-05
CricketY,2.952466456918046e-05,5.969128687866032e-05,3.741566979442723e-05,4.9012927775038406e-05,2.935963311756496e-05,4.330949013819918e-05,8.514926594216377e-05,3.4707038139458746e-05,5.168138159206137e-05,6.352445052471012e-05,5.049976607551798e-05,4.752874519908801e-05,7.395566353807226e-05,3.43382271239534e-05,5.6343295000260696e-05,5.770619827671908e-05,3.934841151931323e-05,4.479376002564095e-05,2.95054996968247e-05,5.452337791211903e-05,6.0538317484315485e-05,2.8598315111594275e-05,5.8669684221968055e-05,4.893014192930423e-05,5.3808118536835536e-05,2.902195228671189e-05,4.105248081032187e-05,3.8758047594456e-05,3.2492531317984685e-05,3.609091436374001e-05
CricketZ,4.2959531128872186e-05,4.250519486959092e-05,4.55312110716477e-05,6.875010149087757e-05,4.3071438994957134e-05,3.2983771234285086e-05,2.774103995761834e-05,2.32673846767284e-05,6.247418787097558e-05,4.11631481256336e-05,4.703141894424334e-05,5.090908598504029e-05,3.0290089853224345e-05,4.664446896640584e-05,5.084792792331427e-05,5.253445124253631e-05,4.122333120903932e-05,4.2633197153918445e-05,7.875753362895921e-05,6.054358163964935e-05,5.543093357118778e-05,4.550741141429171e-05,4.347810317995027e-05,3.4121967473765835e-05,4.34796093031764e-05,3.406281757634133e-05,2.538897024351172e-05,3.198200647602789e-05,3.930296952603385e-05,3.167041722917929e-05
DiatomSizeReduction,3.941090835724026e-05,8.885703573469073e-05,0.0001317406567977,0.0003009566280525,4.873722355114296e-05,0.0001494251482654,0.0005568094202317,0.0002178774011554,0.0003258404321968,0.0001320692535955,9.357993258163332e-05,2.338694321224466e-05,0.0004607237351592,2.737983231781982e-05,4.236910899635404e-05,3.664028918137774e-05,0.0001459897321183,4.496948895393871e-05,3.4323787986068055e-05,1.9266593881184235e-05,5.339546623872593e-05,8.346774848178029e-05,5.262875856715255e-05,0.0001445435191271,8.516745583619922e-05,8.426117710769176e-05,0.0002256133884657,4.543151953839697e-05,3.539622048265301e-05,6.829490303061903e-05
DistalPhalanxOutlineAgeGroup,1.3326757652976085e-05,1.4999458244346895e-06,6.861254860268673e-06,2.273905693073175e-06,8.68151164468145e-06,1.4812322660873178e-05,6.456890332628973e-06,2.0946041331626475e-05,1.0370397831138687e-05,1.637073546589818e-05,1.872770553745795e-05,1.353156130790012e-05,2.604446854093112e-05,6.0962720453972e-06,8.856752174324356e-06,2.0160556232440285e-05,6.321584805846214e-06,1.992630132008344e-05,1.315172266913578e-05,1.656273889238946e-05,1.0290788850397805e-05,8.82664153323276e-06,1.5159949725784829e-05,1.7262591427424923e-05,9.773166311788373e-06,3.7249556044116616e-06,9.19893409445649e-06,9.307357686338946e-06,9.943955774360802e-06,8.166311999957543e-06
DistalPhalanxOutlineCorrect,1.821444311644882e-05,2.3613307348568924e-05,2.767086698440835e-05,2.0002611563540995e-05,1.9375454940018244e-05,1.260394219571026e-05,2.128421328961849e-05,2.391124689893332e-05,3.776343874051236e-05,3.590405322029255e-05,5.138814594829455e-05,7.267041655723006e-05,1.776938916009385e-05,1.083516235667048e-05,4.324410474509932e-05,2.8867902074125595e-05,9.406174649484456e-05,4.279183121980168e-05,3.674631807371043e-05,3.615799869294278e-05,2.741724529187195e-05,2.666629552550148e-05,2.8689713872154243e-05,3.919789742212743e-05,2.7199006581213325e-05,1.551495006424375e-05,1.725553192954976e-05,2.056339872069657e-05,2.772652624116745e-05,1.973991675185971e-05
