Dataset,GAPInceptionTime 0,GAPInceptionTime 1,GAPInceptionTime 2,GAPInceptionTime 3,GAPInceptionTime 4,InstanceInceptionTime 0,InstanceInceptionTime 1,InstanceInceptionTime 2,InstanceInceptionTime 3,InstanceInceptionTime 4,AttentionInceptionTime 0,AttentionInceptionTime 1,AttentionInceptionTime 2,AttentionInceptionTime 3,AttentionInceptionTime 4,AdditiveInceptionTime 0,AdditiveInceptionTime 1,AdditiveInceptionTime 2,AdditiveInceptionTime 3,AdditiveInceptionTime 4,ConjunctiveInceptionTime 0,ConjunctiveInceptionTime 1,ConjunctiveInceptionTime 2,ConjunctiveInceptionTime 3,ConjunctiveInceptionTime 4,GAPInceptionTimeEnsemble 0,InstanceInceptionTimeEnsemble 0,AttentionInceptionTimeEnsemble 0,AdditiveInceptionTimeEnsemble 0,ConjunctiveInceptionTimeEnsemble 0
Adiac,13.912567138671877,15.375935554504396,18.6360092163086,13.281773567199709,10.014275550842283,18.32496452331543,10.943710327148438,13.975709915161133,16.192068099975586,25.34984970092773,-10.848821640014648,-16.374431610107422,-16.868026733398438,-5.787635326385498,-9.514803886413574,21.44991683959961,14.10472297668457,17.127046585083008,15.844449043273926,33.72884750366211,16.106525421142578,21.19485664367676,19.77195930480957,18.69810485839844,19.5592041015625,12.764327049255373,15.540023803710938,-11.904332160949709,18.0696964263916,16.782716751098633
ArrowHead,5.713063716888428,3.5453481674194336,4.560580730438232,4.170563697814941,4.070082187652588,4.680548191070557,5.555355072021484,2.7155444622039795,5.469320297241211,3.776768684387207,0.4513679146766662,0.5607485175132751,0.5370587706565857,0.2912175953388214,0.1040569394826889,4.093985557556152,4.125465393066406,4.724984645843506,4.770883560180664,4.0985212326049805,3.696965932846069,5.1564555168151855,4.88491153717041,3.737192869186402,3.948332071304321,3.944656372070313,4.858672618865967,0.4404694139957428,4.547451496124268,4.376073837280273
Beef,6.18052339553833,5.56488847732544,5.624472618103027,5.277761936187744,2.7421252727508545,6.768721580505371,6.718419551849365,4.205913543701172,2.934921741485596,4.164262771606445,1.134746789932251,-3.8025736808776855,0.3972543478012085,3.134823799133301,2.1057281494140625,4.586970806121826,4.000998973846436,5.578967571258545,3.221235752105713,6.690290927886963,6.115993976593018,5.143011569976807,4.227495193481445,4.144065380096436,1.051029086112976,5.232821464538574,5.033252239227295,0.94171541929245,4.484567165374756,3.401824712753296
BeetleFly,0.7594448328018188,0.3168253004550934,1.6822669506072998,1.9019800424575808,0.6580122113227844,1.807638168334961,2.1677141189575195,1.7760250568389893,4.869826793670654,1.201079487800598,-0.2333608120679855,-2.170074224472046,-1.4731087684631348,-2.12713360786438,-2.647714614868164,1.611788034439087,0.9136947393417358,0.7638616561889648,1.7451883554458618,1.5575668811798096,1.7504745721817017,1.4290125370025637,0.4848933219909668,3.7350144386291504,0.5593007206916809,1.0543675422668457,1.4608795642852783,-2.1240622997283936,0.7881681323051453,0.8421989679336548
BirdChicken,7.41883373260498,2.105276584625244,4.173165321350098,2.898604154586792,5.6064982414245605,3.77627182006836,2.4260048866271973,2.172311782836914,3.9565491676330566,7.1743645668029785,0.2957397997379303,2.511096954345703,0.8085421323776245,2.333540678024292,2.1616528034210205,2.186846971511841,3.713502168655396,4.640386581420898,2.9481277465820312,6.367873191833496,4.353384494781494,2.590509414672852,4.805638790130615,3.19022536277771,3.904575347900391,4.052179336547852,3.948789596557617,2.0159449577331543,3.0095925331115723,3.4756290912628174
Car,10.865062713623049,24.11164283752441,4.738345623016357,4.673214435577393,10.202817916870115,5.4155802726745605,4.629780292510986,3.473897695541382,25.43777275085449,14.9342679977417,1.425098538398743,5.429640769958496,0.6551549434661865,21.033071517944336,42.83186340332031,33.28751754760742,5.587536811828613,11.604120254516602,2.8686437606811523,6.071730136871338,13.041061401367188,7.88803243637085,26.6097354888916,10.94251537322998,17.438634872436523,9.965645790100098,9.807538986206056,12.213634490966797,12.778398513793944,15.304800987243652
CBF,3.537949800491333,2.435166358947754,3.006305932998657,3.4993064403533936,2.672095775604248,2.7944412231445312,3.418267011642456,3.146559238433838,2.78387188911438,3.450558423995972,-0.6086294651031494,-0.3982189893722534,-0.3809858858585357,-0.1428281217813491,-0.0237639583647251,4.269313335418701,3.166181325912476,3.8091940879821777,3.960756778717041,3.0192582607269287,4.049641609191895,3.981770277023315,3.751037359237671,3.5352728366851807,4.398431777954102,2.9735267162323,2.936891794204712,-0.3085229694843292,3.2345082759857178,3.438274383544922
ChlorineConcentration,2.671811580657959,2.6008925437927246,1.389072299003601,1.7719135284423828,1.752834677696228,3.549760580062866,1.3240103721618652,1.5871514081954956,2.354788303375244,2.232675790786743,-0.458391934633255,-0.5974175930023193,-1.3696582317352295,-0.831752359867096,-1.0460772514343262,1.5113290548324585,2.157424211502075,1.8207461833953853,1.3890501260757446,2.470786094665528,0.8206023573875427,2.3199381828308105,1.5295169353485107,2.076720952987671,3.658555746078491,1.971799373626709,2.3795204162597656,-0.9164366126060486,1.9277327060699463,1.852978467941284
CinCECGTorso,4.839206218719482,4.478833198547363,4.695488929748535,2.9181101322174072,5.11932897567749,4.432010650634766,3.977146625518799,4.476512908935547,4.189797878265381,3.221064805984497,-4.319453239440918,-1.6895723342895508,-3.280525684356689,0.7050875425338745,-4.195555686950684,5.919735908508301,4.855724334716797,3.360302448272705,3.6333045959472656,4.269091606140137,6.224981784820557,2.4317069053649902,3.247720003128052,5.30037784576416,3.5405497550964355,4.732672691345215,4.230237007141113,-4.958962917327881,4.624249458312988,4.350621700286865
Coffee,5.49030065536499,2.239409923553467,1.7875988483428955,2.971940279006958,3.827705383300781,4.067136287689209,5.260055065155029,4.259774208068848,2.88232159614563,2.1986987590789795,3.1302497386932373,3.963279485702514,2.693489551544189,3.088170289993286,4.291122913360596,5.201537132263184,3.2461397647857666,6.348343372344971,2.757155179977417,4.793912410736084,3.208667516708374,3.148310899734497,4.987361907958984,2.2937569618225098,5.257426738739014,3.026300430297852,3.5417401790618896,3.259948253631592,3.2331042289733887,2.9889910221099854
