Dataset,GAPInceptionTime 0,GAPInceptionTime 1,GAPInceptionTime 2,GAPInceptionTime 3,GAPInceptionTime 4,InstanceInceptionTime 0,InstanceInceptionTime 1,InstanceInceptionTime 2,InstanceInceptionTime 3,InstanceInceptionTime 4,AttentionInceptionTime 0,AttentionInceptionTime 1,AttentionInceptionTime 2,AttentionInceptionTime 3,AttentionInceptionTime 4,AdditiveInceptionTime 0,AdditiveInceptionTime 1,AdditiveInceptionTime 2,AdditiveInceptionTime 3,AdditiveInceptionTime 4,ConjunctiveInceptionTime 0,ConjunctiveInceptionTime 1,ConjunctiveInceptionTime 2,ConjunctiveInceptionTime 3,ConjunctiveInceptionTime 4,GAPInceptionTimeEnsemble 0,InstanceInceptionTimeEnsemble 0,AttentionInceptionTimeEnsemble 0,AdditiveInceptionTimeEnsemble 0,ConjunctiveInceptionTimeEnsemble 0
Adiac,2.464643694111146e-05,2.760731877060607e-05,2.320352905371692e-05,3.7106430681888014e-05,2.4809913156786934e-05,2.22831113205757e-05,1.3881932318327015e-05,2.3528920792159624e-05,3.632752486737445e-05,1.497102221037494e-05,3.664526593638584e-05,2.8594524337677285e-05,2.967454020108562e-05,1.4250906133383978e-05,2.371365371800493e-05,2.1502713934751227e-05,2.1977126380079422e-05,2.9093653211020865e-05,2.0093468265258707e-05,1.945303301909007e-05,3.1362880690721795e-05,1.978746149688959e-05,2.25693074753508e-05,2.0206514818710275e-05,2.3431959562003613e-05,1.0429614121676424e-05,7.726153853582218e-06,9.073643923329657e-06,8.480385986331385e-06,1.013533074001316e-05
ArrowHead,5.761778538726503e-07,1.7285312878811965e-06,7.053212129903841e-07,7.285011349722481e-08,1.589456957162838e-07,3.642504964318505e-07,2.5497536171315005e-07,6.887643735353777e-07,3.3113689568153866e-08,7.119440397218568e-07,1.72191164438118e-07,2.6490949878166248e-08,2.9802318834981644e-08,4.2716632719930203e-07,0.0,0.0,3.311368956815386e-09,0.0,0.0,0.0,1.9868213740892315e-08,3.311368956815386e-09,2.092780960083473e-06,9.934106870446158e-09,6.986983862589113e-07,2.947118105112168e-07,2.317958092135087e-07,5.6293270489504734e-08,0.0,5.6293270489504734e-08
Beef,4.473712033359334e-05,6.048257273505442e-05,4.704482489614748e-05,4.406938751344569e-05,7.04620688338764e-05,2.6999863621313125e-05,4.2416038922965527e-05,6.652039155596867e-05,4.963190076523461e-05,2.3964412321220152e-05,3.2864812965271994e-05,9.683659300208092e-06,2.558939195296261e-05,9.373728971695527e-06,1.9319406419526786e-05,2.4151009711204097e-05,5.198201324674301e-05,6.867905176477507e-05,3.017893322976306e-05,3.032595122931525e-05,5.036234870203771e-05,9.043926183949225e-06,6.469026629929431e-06,1.3557906640926376e-05,3.604077164709452e-06,4.199136310489848e-05,2.766770012385677e-05,1.1845287190226372e-05,2.719075382628944e-05,7.569735771539854e-06
BeetleFly,1.567599383633933e-06,1.293418677050795e-06,1.0132788474948029e-07,5.9604641222676954e-09,1.728534471112653e-07,3.457067521139834e-07,2.384185080472889e-07,4.708764151928335e-07,3.4451354622433428e-06,2.2292060748441145e-06,0.0,0.0,0.0,0.0,0.0,5.9604641222676954e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6093252952487094e-07,6.437297770389705e-07,0.0,0.0,0.0
BirdChicken,5.9604637669963294e-08,5.960455382592045e-07,2.1398022909124848e-06,2.098079221468652e-06,2.7418121817390784e-07,1.0132774832527502e-06,2.8108916012570265e-05,1.0550002116360702e-06,5.996190338919405e-06,1.609325153140162e-07,3.159042876177409e-07,2.384185080472889e-07,2.3484174107579747e-06,1.4901158351676713e-07,3.45706723692274e-07,1.5318325949920109e-06,1.2338139185885666e-06,2.074232270388165e-06,8.940694584680386e-08,4.172324707951702e-08,5.9604641222676954e-09,1.0132787053862561e-07,2.9802318834981644e-08,3.397461227905296e-07,8.940694584680386e-08,4.172323713191872e-07,1.263617036784126e-06,2.682208162241295e-07,2.8610219260372105e-07,5.364417532405241e-08
Car,8.443976753369498e-07,1.4563368040398927e-06,1.607331682862423e-06,7.748591315248632e-07,1.076854800885485e-06,1.4463945490206245e-06,1.6331629240085022e-06,2.417940095256199e-06,8.14594329767715e-07,1.4861385579933994e-06,5.094153038953664e-06,4.591494416672504e-06,5.189527655602433e-06,3.1013878469821066e-06,3.7232805425446713e-06,2.1417838524939725e-06,1.2318272410993814e-06,1.1265253760939231e-06,3.391447535250336e-06,3.570290346033289e-06,1.5755439335407573e-06,2.0682723516074475e-06,2.2570218334294623e-06,1.5556753396595011e-06,3.784867885769927e-06,6.099532470216218e-07,1.0013551445808844e-06,2.9027273740211967e-06,1.452360720577417e-06,1.5099798247319995e-06
CBF,0.0,7.94728478581419e-08,7.947285496356926e-09,0.0,9.536742595628313e-08,3.059704454244639e-07,1.6649537428747865e-06,0.0,3.6557500493472617e-07,3.973642748178463e-09,0.0,0.0,9.139377965539097e-08,0.0,0.0,0.0,5.165735217360634e-08,0.0,0.0,7.152556946721236e-08,0.0,0.0,0.0,3.973642748178463e-09,0.0,7.947284608178506e-09,1.271565537308561e-07,3.973642748178463e-09,0.0,0.0
ChlorineConcentration,1.507551769464044e-05,3.089488745899871e-05,3.334663779241964e-05,3.1976647733245045e-05,2.684406172193121e-05,5.147632327862084e-05,6.172529538162053e-05,2.4105773263727315e-05,9.304990817327052e-05,4.07541410822887e-05,1.8570337488199584e-05,1.5824594811419956e-05,1.1218055988138076e-05,1.3841752661392093e-05,2.542231050028932e-05,2.7637755920295604e-05,1.5369341781479307e-05,1.3119850336806849e-05,1.8027687474386767e-05,1.1288105270068629e-05,2.236052932858001e-05,1.7562613720656373e-05,1.025623259920394e-05,2.415631388430484e-05,2.4037495677475818e-05,1.3927165127824992e-05,2.372940980421845e-05,6.706835847580805e-06,7.458438176399795e-06,8.916370461520273e-06
CinCECGTorso,7.608460236951942e-06,1.827122650865931e-05,1.7937058146344498e-05,2.663290433702059e-05,1.3434600077744108e-05,1.997875733650289e-05,2.2261661797529086e-05,1.5833689758437686e-05,2.0041183233843185e-05,6.282372487476096e-05,2.369270760027576e-06,2.6406825782032683e-05,1.4438848666031843e-05,2.436844442854636e-05,9.995450454880483e-06,7.104789347067708e-06,2.9726987122558057e-05,2.089975896524265e-05,1.1548253496584948e-05,2.1242381990305148e-05,3.2694701076252386e-05,2.964625855383929e-05,1.0528990060265642e-05,6.0319393924146425e-06,1.668273216637317e-05,1.1706135410349816e-05,1.723130844766274e-05,8.240240276791155e-06,1.1423077921790536e-05,1.0919401574938092e-05
Coffee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Computers,2.5849005851341644e-06,4.9013101488526445e-06,1.645073439249245e-06,4.5589395085698925e-06,2.958256573037943e-06,1.8739514189292093e-06,3.877460585499648e-06,1.1935144357266836e-06,4.9107261475001e-06,8.64558660396142e-06,4.238984274707036e-06,7.026269940979546e-06,3.1127490274229785e-06,1.0939070307358634e-05,1.8720443222264287e-06,4.050625648233108e-06,4.380562131700572e-06,2.3798511392669752e-06,2.50857829087181e-06,4.623593667929526e-06,1.0733490398706635e-06,5.635115940094693e-06,3.0183414310158696e-06,7.219215945042379e-07,3.525638703649747e-06,1.6398332718381423e-06,1.6469724641865469e-06,2.081375214402214e-06,1.472461235607625e-06,9.67496930570633e-07
CricketX,1.5249470379785637e-06,2.958499862870667e-06,2.6992697712557856e-06,2.549210194047191e-06,2.420221790089272e-06,1.8807438664225629e-06,1.8553623704065103e-06,1.1679392173391534e-06,1.7807846006689942e-06,9.622272045817226e-07,3.1638849122828105e-06,2.666891987246345e-06,1.4891918453940889e-06,1.9232243175792973e-06,1.7282120552408742e-06,2.0806353404623223e-06,3.140358330711024e-06,8.952894745561935e-07,1.229682538905763e-06,1.6521038332939495e-06,1.440592427570664e-06,2.4746354938542936e-06,1.2672784350797883e-06,1.7401365539626568e-06,3.3011390314641176e-06,7.323701538552996e-07,5.291045113153814e-07,5.82290226702753e-07,5.236025231170061e-07,6.486191637122829e-07
CricketY,1.965407363968552e-06,1.5643804545106832e-06,3.247341282985872e-06,1.7771138800526387e-06,1.5530716837020009e-06,1.6961183746388997e-06,1.5646829751858604e-06,2.033262717304752e-06,1.2623892189367325e-06,3.6516739783110097e-06,3.2751493108662544e-06,2.382621687502251e-06,1.435692979612213e-06,2.4651362764416263e-06,1.9305584828543942e-06,3.021121528945514e-06,3.6724854908243287e-06,2.731376525844098e-06,3.0415696983254747e-06,1.4457817769653047e-06,3.0422206691582687e-06,4.4595194594876375e-06,1.32199102154118e-06,3.1791714718565345e-06,2.475842165949871e-06,7.546817073489365e-07,7.250328053487465e-07,8.25287770567229e-07,1.0279447906214043e-06,9.90042281046044e-07
