Dataset,GAPResNet 0,GAPResNet 1,GAPResNet 2,GAPResNet 3,GAPResNet 4,InstanceResNet 0,InstanceResNet 1,InstanceResNet 2,InstanceResNet 3,InstanceResNet 4,AttentionResNet 0,AttentionResNet 1,AttentionResNet 2,AttentionResNet 3,AttentionResNet 4,AdditiveResNet 0,AdditiveResNet 1,AdditiveResNet 2,AdditiveResNet 3,AdditiveResNet 4,ConjunctiveResNet 0,ConjunctiveResNet 1,ConjunctiveResNet 2,ConjunctiveResNet 3,ConjunctiveResNet 4,GAPResNetEnsemble 0,InstanceResNetEnsemble 0,AttentionResNetEnsemble 0,AdditiveResNetEnsemble 0,ConjunctiveResNetEnsemble 0
Adiac,9.983002662658691,9.805627822875977,5.568976402282715,5.5553059577941895,7.507884979248047,11.412029266357422,8.008768081665039,10.088702201843262,5.632720947265625,9.360921859741213,1.7089849710464478,-1.9507818222045896,-0.6265778541564941,-4.492588996887207,-0.1880116462707519,5.9744977951049805,10.152443885803224,10.711803436279297,6.186721324920654,9.669702529907228,6.8044047355651855,6.399766445159912,7.65538740158081,6.853251457214356,8.60098648071289,7.426431179046631,8.727675437927246,0.0065560950897634,7.979424476623535,6.808423042297363
ArrowHead,3.1133949756622314,4.650280475616455,4.167769908905029,4.897424221038818,4.862185955047607,3.7525110244750977,3.594557046890259,2.7027268409729004,5.41804313659668,3.3370046615600586,0.3108782172203064,-0.0120716160163283,-0.000345981796272,0.0177068449556827,-1.0502471923828125,3.866344451904297,3.710008382797241,3.417952537536621,5.971417427062988,4.451192855834961,4.376879692077637,4.533859729766846,3.857668876647949,3.1652579307556152,3.9627766609191895,4.103774070739746,3.3513901233673096,0.2701193392276764,4.067300796508789,3.666948080062866
Beef,4.2202630043029785,4.582173824310303,3.372919797897339,4.164509296417236,4.88948392868042,4.6469573974609375,4.3398637771606445,4.156917572021484,4.725144386291504,4.716103076934815,0.4175286889076233,0.0793088898062706,-0.3366041779518127,-0.3841647803783417,0.0669501349329948,4.4020304679870605,4.176363468170166,4.063043594360352,5.098280906677246,4.320547103881836,3.802545070648194,5.0433220863342285,4.679807662963867,4.43379545211792,5.076002597808838,3.7903800010681152,4.245513916015625,-0.068742349743843,3.6719539165496826,4.143394947052002
BeetleFly,2.13039779663086,3.129779815673828,3.498594284057617,4.254862785339356,2.961538791656494,2.607722520828247,3.415435791015625,4.0534491539001465,6.157242774963379,3.51832127571106,0.9058175086975098,-0.7072836756706238,-0.2320795953273773,-1.2166786193847656,0.3332359194755554,4.4438347816467285,-0.5115879774093628,4.077641487121582,5.093118190765381,2.697695255279541,5.203646659851074,4.434010028839111,3.7246460914611816,5.75740909576416,4.234423637390137,2.4356348514556885,3.127114534378052,-0.5875850915908813,3.455654621124268,3.911814212799072
BirdChicken,4.855213165283203,1.7520084381103516,3.53015661239624,3.4685657024383545,1.857526779174805,1.6225521564483645,3.5063910484313965,3.4346232414245605,1.5075461864471436,-1.94425368309021,2.4330739974975586,-0.0497204288840293,1.9526386260986328,-0.3794881701469421,-1.9642353057861328,1.1766445636749268,3.255063533782959,2.606784582138061,2.0263733863830566,2.4584527015686035,3.787720441818237,3.6523280143737793,2.96026873588562,4.097261428833008,3.8273539543151855,3.127262592315674,1.9421558380126955,-0.2585434913635254,1.98844850063324,3.126950025558472
Car,12.49332046508789,21.21535873413086,21.97783470153809,9.938706398010254,11.201680183410645,15.090394020080566,15.405776023864746,9.387755393981934,18.46664810180664,20.806127548217773,19.542604446411133,6.803700923919678,3.1718735694885254,19.6051082611084,24.31615829467773,13.365548133850098,14.95248317718506,7.689682483673096,11.82650661468506,11.819498062133787,14.17286491394043,8.730416297912598,13.430005073547363,6.284156799316406,22.424842834472656,16.23297119140625,16.732593536376953,13.687588691711426,11.585562705993652,12.30247688293457
CBF,3.169251680374145,2.509819269180298,2.423943281173706,2.5051400661468506,3.2213380336761475,2.0249626636505127,3.0018346309661865,2.627998352050781,2.277784824371338,1.8079321384429927,-0.6041571497917175,0.0144640291109681,-0.2168284505605697,-0.6941970586776733,-1.1282365322113037,2.947737455368042,3.816042900085449,3.246742010116577,3.094984769821167,3.2794997692108154,5.133498668670654,2.8328747749328613,4.933045864105225,2.716456174850464,2.625229358673096,2.628551959991455,2.1701149940490723,0.0070465407334268,3.089251756668091,3.032853841781616
ChlorineConcentration,4.482395172119141,3.711237668991089,4.257053375244141,4.959298133850098,3.8316164016723633,4.959306240081787,4.131993293762207,4.365879058837891,4.657567501068115,5.379229545593262,-0.7815137505531311,0.9809319376945496,-1.6777087450027466,-0.2641895711421966,-0.0378283187747001,4.601258277893066,4.595014572143555,2.6468377113342285,3.5216381549835205,4.271079063415527,5.085801601409912,3.69108510017395,3.300048351287842,4.228958606719971,3.834005832672119,3.825080156326294,4.329184055328369,-0.4718181192874908,3.505732297897339,3.905080556869507
CinCECGTorso,5.745020389556885,5.017841339111328,3.618264675140381,5.179394721984863,4.5007004737854,4.30477237701416,3.926628828048706,4.204849243164063,2.998817205429077,2.5331151485443115,-8.502426147460938,-3.534074306488037,-1.2105791568756104,-9.830589294433594,-2.869190692901612,5.322852611541748,4.881901741027832,4.48220682144165,4.720912933349609,6.011495113372803,6.175261497497559,2.1702330112457275,6.093195915222168,5.448240756988525,4.669702053070068,4.740090370178223,3.3554434776306152,-4.216559410095215,4.909997940063477,4.52899169921875
Coffee,4.890695095062256,6.791656017303467,4.2651214599609375,5.869118690490723,3.789231538772583,3.410245656967163,5.460713863372803,2.5051424503326416,4.102905750274658,5.29929256439209,4.53089714050293,5.2687087059021,4.846710205078125,3.6134533882141113,4.871125221252441,6.031376838684082,3.0012307167053223,5.418323993682861,3.995359897613525,9.583544731140137,4.876247882843018,6.395702362060547,6.919023036956787,4.500950813293457,5.755185604095459,4.889560699462891,4.4622321128845215,5.111483097076416,4.749642372131348,5.460834503173828
