Dataset,GAPResNet 0,GAPResNet 1,GAPResNet 2,GAPResNet 3,GAPResNet 4,InstanceResNet 0,InstanceResNet 1,InstanceResNet 2,InstanceResNet 3,InstanceResNet 4,AttentionResNet 0,AttentionResNet 1,AttentionResNet 2,AttentionResNet 3,AttentionResNet 4,AdditiveResNet 0,AdditiveResNet 1,AdditiveResNet 2,AdditiveResNet 3,AdditiveResNet 4,ConjunctiveResNet 0,ConjunctiveResNet 1,ConjunctiveResNet 2,ConjunctiveResNet 3,ConjunctiveResNet 4,GAPResNetEnsemble 0,InstanceResNetEnsemble 0,AttentionResNetEnsemble 0,AdditiveResNetEnsemble 0,ConjunctiveResNetEnsemble 0
Adiac,1.8056018234347e-05,2.8325708626653068e-05,3.0759008950553834e-05,2.321159627172165e-05,1.843515747168567e-05,1.5753596017020755e-05,2.11205187952146e-05,2.758643313427456e-05,1.843671634560451e-05,2.219132511527277e-05,2.0208259229548275e-05,1.0907356227107812e-05,2.155442780349404e-05,3.594154986785725e-05,3.002748235303443e-05,3.073906191275455e-05,2.041740481217857e-05,1.9872788470820524e-05,1.4861305317026565e-05,2.631031566124875e-05,3.199607817805372e-05,1.7531363482703455e-05,2.1956046111881733e-05,2.2084313968662173e-05,1.33628291223431e-05,1.1303161045361776e-05,1.1447596989455631e-05,1.0736805052147249e-05,1.0554686923569534e-05,1.0127459972864015e-05
ArrowHead,1.0785002814373e-05,1.8874801810397925e-07,7.616148423039706e-08,2.8146632757852785e-07,5.9604637669963294e-08,1.81758041435387e-05,4.331254331191303e-06,2.921208761108573e-05,4.572964826365933e-06,5.927346933276567e-07,2.980231101901154e-07,6.513397238450125e-06,1.178846446237003e-06,5.533247076527914e-06,1.5795205854374217e-06,5.000165970159287e-07,9.285013220505787e-06,2.9802117751387414e-06,2.152389697585022e-07,1.9205938883715135e-07,7.384347213701403e-07,3.808073927302758e-07,4.566358256852254e-06,2.1225826003501425e-06,2.9934681151644327e-06,2.582867750788864e-07,4.086213721166132e-06,1.264941829504096e-06,6.126031166786561e-07,1.0861282362384372e-06
Beef,4.811408143723384e-05,7.417295273626223e-05,0.0001029270861181,7.823098712833598e-05,4.526976044871845e-05,5.675607098964974e-05,4.9672453314997256e-05,4.424487633514218e-05,3.627401019912213e-05,1.0677029422367925e-05,3.01789023069432e-05,2.5812218154896985e-05,6.989882967900485e-05,3.944091440644115e-05,2.5967152396333404e-05,2.6654530302039348e-05,7.907493454695214e-06,7.752387318760157e-05,3.252723399782553e-05,3.5578865208663046e-05,3.6597130019799806e-06,0.0001098477732739,4.903453827864723e-06,9.397608664585276e-05,0.0001231197384186,5.520292688743211e-05,2.749695340753533e-05,2.906650297518354e-05,2.2418862499762326e-05,2.2804311811341904e-05
BeetleFly,3.239409124944359e-05,0.0001003376892185,1.4870864106342196e-05,2.3084277927409858e-05,1.7785405361792073e-05,8.267067642009351e-06,4.785312194144353e-05,6.604147529287729e-06,0.0002666328509803,7.297260890481994e-05,4.428598913364112e-06,2.085519372485578e-05,1.5937883290462196e-05,1.2993528798688205e-05,2.032514657912543e-06,2.7357737053534947e-05,2.7835249056806788e-06,7.933277629490476e-06,2.146313272533007e-05,1.882228571048472e-05,5.686222266376717e-06,2.698832577152644e-05,5.167697054275777e-06,3.06180227198638e-05,1.4191542504704556e-05,1.9365133994142525e-05,2.279813816130627e-05,5.972352937533287e-06,8.97635800356511e-06,1.013864493870642e-05
BirdChicken,3.4570603020256385e-06,1.309496565227164e-05,3.27453417412471e-05,9.053837857209146e-06,2.0283097910578363e-05,1.8333925254410133e-05,8.374350727535784e-06,1.382825985274394e-06,2.139802745659836e-06,6.329962161544245e-06,2.920627082403371e-07,2.443789810513408e-07,2.281612614751793e-05,1.6331648566847434e-06,3.993450263806153e-06,9.89435875453637e-07,1.4525414371746592e-05,1.5067827007442249e-05,1.7147631297120824e-05,3.933904224595608e-07,3.64779339179222e-06,2.592795226519229e-06,2.826359195751138e-05,9.030026376422027e-06,6.616111818402715e-07,9.27442124520894e-06,3.3974574762396514e-06,1.072882923836005e-06,2.6643217552191345e-06,3.123275746474974e-06
Car,2.2232404717215104e-06,2.5749081942194607e-06,2.370265747231315e-06,2.394110197201371e-06,3.917953563359333e-06,3.6060512229596497e-06,3.5742718864639755e-06,4.728591648017755e-06,3.506709845169098e-06,8.898688065528404e-06,5.300789325701771e-06,4.345150045992341e-06,4.821972197532887e-06,2.616632173157996e-06,2.018604845943628e-06,4.89153035232448e-06,5.064378001407022e-06,3.0457802040473325e-06,7.071042546158424e-06,8.735873961995821e-06,1.513954771326098e-06,2.992132067447528e-06,8.145814717863686e-06,5.292854439176153e-06,1.2552472071547529e-05,1.8020396055362653e-06,3.176902055201936e-06,2.531198788346956e-06,4.1285920815425925e-06,3.852420832117787e-06
CBF,3.973642748178463e-08,1.5894570992713852e-08,3.576278118089249e-07,1.370905351905094e-06,8.034577149373945e-06,5.086261580800056e-07,6.75519231663202e-08,2.1855034049167449e-07,9.417525461685728e-07,1.5298505786631722e-06,5.086261012365867e-07,6.357823281177843e-07,1.351038463326404e-07,1.549720423099643e-07,4.3710070229963094e-08,4.7683712978141583e-08,1.2540436728158966e-05,1.9868213740892315e-08,7.510178079428442e-07,7.947285496356926e-09,4.569685359001596e-07,2.702076926652808e-07,5.165735217360634e-08,3.814696469817136e-07,2.582867750788864e-07,2.66234053469816e-07,3.576278118089249e-07,1.3907748552810517e-07,1.430511389344247e-07,1.788139201153172e-07
ChlorineConcentration,1.8137005099561065e-05,2.8150983780506067e-05,4.3884574552066624e-05,4.5305696403374895e-05,5.2832041546935216e-05,4.605490539688617e-05,3.945209755329415e-05,4.391995389596559e-05,4.519182039075531e-05,4.1267790948040783e-05,4.3082556658191606e-05,1.7007518181344494e-05,3.913101318175905e-05,5.231990508036688e-05,5.691453770850785e-05,4.921983418171294e-05,3.605431629694067e-05,4.69142796646338e-05,3.124475551885553e-05,6.698612560285255e-05,3.835228562820703e-05,2.436249633319676e-05,3.918487709597685e-05,6.391955685103312e-05,1.3648881576955318e-05,1.5674366295570508e-05,1.7656455383985303e-05,1.6832316759973764e-05,1.6820989912957884e-05,1.2329606761340983e-05
CinCECGTorso,0.0001362896582577,6.166669481899589e-05,4.645869921660051e-05,0.0001274813548661,0.0001080614892998,0.0001201987397507,5.35690451215487e-05,8.038254600251094e-05,0.0001102411624742,7.059800554998219e-05,5.304144724505022e-05,8.684243221068755e-05,7.079423812683672e-05,3.4607830457389355e-05,5.569567292695865e-05,6.436144758481532e-05,7.148726581363007e-05,5.406379932537675e-05,2.7855141524923965e-05,4.3128202378284186e-05,5.677605076925829e-05,8.667197835166007e-05,2.702979327295907e-05,1.3398834198596887e-05,4.129110311623663e-05,6.451958324760199e-05,6.035128535586409e-05,3.060607559746131e-05,3.025135993084405e-05,2.5548706616973504e-05
Coffee,1.570977838127874e-05,5.705007311007648e-07,1.839605283748824e-05,1.498628648732847e-06,9.79218157226569e-07,2.869524905690924e-06,8.668101145303808e-06,7.633590030309279e-06,2.780124987111776e-06,2.833601683960296e-05,4.257474373048353e-09,4.853513928537723e-07,2.1287271465553204e-06,4.044597119445825e-07,4.640643851416826e-07,1.7029897492193413e-08,1.1920927533992653e-07,2.128737008888493e-07,1.8775397165882168e-06,2.5970584260903706e-07,4.512920099841722e-07,9.409008612237812e-07,9.792189814561425e-08,2.069129322990193e-06,2.0478364604059607e-06,1.928631490955013e-06,4.844979685003636e-06,1.9584378208037378e-07,1.2772422053330956e-07,5.875311330783006e-07
