model,web_acc,params,size_mb,flops_m,infer_ms,throughput,peak_mem_mb
sea_gated-me…ea_topk_conj,0.9547,61740,1.503,109.711,0.1279,7821.2,64.871
sea_mstcn__mil_conj,0.954,269083,3.539,523.596,0.3584,2790.0,123.735
sea_gated-ma…ea_topk_conj,0.952,61740,1.502,109.711,0.1279,7820.5,64.871
sea_bottlene…ea_topk_conj,0.95,41324,1.428,76.673,0.1301,7683.7,179.015
sea_spiketre…ea_topk_conj,0.95,67020,1.525,120.13,0.1322,7564.1,64.894
sea_channels…ea_topk_conj,0.948,69768,1.536,134.088,0.138,7244.5,66.626
sea_channels…ea_topk_conj,0.948,67592,1.527,121.452,0.135,7408.4,66.618
sea_mstcn-cl…sea_cls_conj,0.946,269164,3.539,523.741,0.3591,2784.6,123.735
sea_inputgat…ea_topk_conj,0.946,58092,1.489,110.606,0.1298,7702.5,64.857
sea_recon__sea_adapt_cls,0.946,62935,1.51,120.25,0.1285,7779.4,145.752
sea_gated-ma…sea_cls_conj,0.944,61740,1.502,109.711,0.1248,8011.0,64.871
sea_gated-la…sea_cls_conj,0.942,61740,1.502,109.711,0.1243,8047.0,64.871
sea_gated-la…ea_topk_conj,0.942,61740,1.502,109.711,0.1275,7846.2,64.871
sea_mstcn__mil_add,0.942,269083,3.539,523.596,0.3601,2776.9,123.735
sea_bottlene…ea_topk_conj,0.94,41324,1.428,76.673,0.1314,7607.6,179.015
