dataset                       , source    , used_adjusted_folder, n_train, n_test, series_length, n_classes, train_class_counts                                                                                                                                                                 , min_class_frac, max_class_frac, imbalance_ratio, train_raw_nan, test_raw_nan, sanity_ok
WebTraffic                    , WebTraffic, False               ,     500,    500,          1008,        10, 50 50 50 50 50 50 50 50 50 50                                                                                                                                                      ,         0.1   ,         0.1   ,            1.0 ,             0,            0, True
Adiac                         , UCR       , False               ,     390,    391,           176,        37, 13 10 5 14 4 12 10 13 9 11 10 12 6 11 12 10 11 9 14 9 8 10 9 15 13 9 13 13 9 13 9 13 13 9 10 11 8                                                                                  ,         0.0103,         0.0385,            3.75,             0,            0, True
ArrowHead                     , UCR       , False               ,      36,    175,           251,         3, 12 12 12                                                                                                                                                                           ,         0.3333,         0.3333,            1.0 ,             0,            0, True
Beef                          , UCR       , False               ,      30,     30,           470,         5, 6 6 6 6 6                                                                                                                                                                          ,         0.2   ,         0.2   ,            1.0 ,             0,            0, True
BeetleFly                     , UCR       , False               ,      20,     20,           512,         2, 10 10                                                                                                                                                                              ,         0.5   ,         0.5   ,            1.0 ,             0,            0, True
BirdChicken                   , UCR       , False               ,      20,     20,           512,         2, 10 10                                                                                                                                                                              ,         0.5   ,         0.5   ,            1.0 ,             0,            0, True
Car                           , UCR       , False               ,      60,     60,           577,         4, 16 16 11 17                                                                                                                                                                        ,         0.1833,         0.2833,            1.55,             0,            0, True
CBF                           , UCR       , False               ,      30,    900,           128,         3, 10 12 8                                                                                                                                                                            ,         0.2667,         0.4   ,            1.5 ,             0,            0, True
ChlorineConcentration         , UCR       , False               ,     467,   3840,           166,         3, 114 91 262                                                                                                                                                                         ,         0.1949,         0.561 ,            2.88,             0,            0, True
CinCECGTorso                  , UCR       , False               ,      40,   1380,          1639,         4, 5 13 12 10                                                                                                                                                                         ,         0.125 ,         0.325 ,            2.6 ,             0,            0, True
Coffee                        , UCR       , False               ,      28,     28,           286,         2, 14 14                                                                                                                                                                              ,         0.5   ,         0.5   ,            1.0 ,             0,            0, True
Computers                     , UCR       , False               ,     250,    250,           720,         2, 125 125                                                                                                                                                                            ,         0.5   ,         0.5   ,            1.0 ,             0,            0, True
CricketX                      , UCR       , False               ,     390,    390,           300,        12, 38 31 34 35 27 34 36 31 25 28 39 32                                                                                                                                                ,         0.0641,         0.1   ,            1.56,             0,            0, True
CricketY                      , UCR       , False               ,     390,    390,           300,        12, 28 34 36 30 36 32 32 33 31 32 32 34                                                                                                                                                ,         0.0718,         0.0923,            1.29,             0,            0, True
