dataset,acc__seanet_bottleneck_topk,acc__seanet_inputgate_adaptive,acc__soft_vote,acc__hard_vote,n_members
Adiac,0.7749360613810742,0.7621483375959079,0.782608695652174,0.7851662404092071,4
ArrowHead,0.8571428571428571,0.8457142857142858,0.8628571428571429,0.8628571428571429,4
Beef,0.7666666666666667,0.7666666666666667,0.7333333333333333,0.7333333333333333,4
BeetleFly,0.8,0.8,0.8,0.8,4
BirdChicken,0.8,1.0,0.9,0.95,4
Car,0.85,0.8666666666666667,0.8666666666666667,0.8666666666666667,4
CBF,0.9944444444444445,1.0,1.0,1.0,4
ChlorineConcentration,0.6966145833333334,0.8044270833333333,0.7908854166666667,0.79140625,4
CinCECGTorso,0.7905797101449276,0.6934782608695652,0.7804347826086957,0.7855072463768116,4
Coffee,1.0,1.0,1.0,1.0,4
Computers,0.76,0.784,0.804,0.8,4
CricketX,0.8282051282051283,0.841025641025641,0.8384615384615385,0.8461538461538461,4
CricketY,0.8358974358974359,0.8051282051282052,0.8256410256410256,0.8256410256410256,4
CricketZ,0.8487179487179487,0.8487179487179487,0.8487179487179487,0.8538461538461538,4
DiatomSizeReduction,0.9705882352941176,0.9771241830065359,0.9673202614379085,0.9673202614379085,4
DistalPhalanxOutlineAgeGroup,0.7841726618705036,0.7410071942446043,0.7697841726618705,0.7553956834532374,4
DistalPhalanxOutlineCorrect,0.7789855072463768,0.7572463768115942,0.7463768115942029,0.75,4
DistalPhalanxTW,0.7050359712230215,0.6834532374100719,0.7050359712230215,0.7050359712230215,4
Earthquakes,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,4
ECG200,0.9,0.91,0.91,0.91,4
ECG5000,0.9455555555555556,0.9411111111111111,0.9444444444444444,0.9431111111111111,4
ECGFiveDays,1.0,1.0,1.0,1.0,4
ElectricDevices,0.7219556477759046,0.7178057320710673,0.7229931267021139,0.7222150175074569,4
FaceAll,0.8005917159763314,0.8023668639053254,0.8041420118343195,0.8041420118343195,4
FaceFour,0.9772727272727273,0.9431818181818182,0.9659090909090909,0.9659090909090909,4
FacesUCR,0.9492682926829268,0.9609756097560975,0.9580487804878048,0.9580487804878048,4
FiftyWords,0.8241758241758241,0.8043956043956044,0.8263736263736263,0.8263736263736263,4
Fish,0.96,0.9714285714285714,0.9657142857142857,0.9657142857142857,4
FordA,0.9651515151515152,0.9666666666666667,0.9659090909090909,0.9666666666666667,4
FordB,0.8444444444444444,0.8493827160493828,0.8419753086419753,0.8432098765432099,4
GunPoint,0.9866666666666667,0.9933333333333333,0.9933333333333333,0.9933333333333333,4
Ham,0.7047619047619048,0.6952380952380952,0.7047619047619048,0.7047619047619048,4
