dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7877,0.8317,-0.044,loss,0.7905,1.028,-0.2375,win,1.7289,15.8906,-14.1617,loss,270518,3.487
ArrowHead,0.84,0.8377,0.0023,tie,0.5017,1.0053,-0.5036,win,1.3053,3.2005,-1.8952,loss,266132,3.4703
Beef,0.7333,0.8467,-0.1134,loss,0.8967,0.965,-0.0683,win,1.626,5.4866,-3.8606,loss,266390,3.4713
BeetleFly,0.7,0.92,-0.22,loss,0.474,0.2905,0.1835,loss,1.3504,1.2424,0.108,win,266003,3.4698
BirdChicken,0.9,0.94,-0.04,loss,0.3578,0.1447,0.2131,loss,1.3598,3.3665,-2.0067,loss,266003,3.4698
Car,0.8833,0.92,-0.0367,loss,0.3896,0.4259,-0.0363,win,3.6632,6.6173,-2.9541,loss,266261,3.4708
CBF,0.9967,0.9998,-0.0031,tie,0.1805,0.0007,0.1798,loss,0.8512,3.5827,-2.7315,loss,266132,3.4703
ChlorineConcentration,0.7797,0.8576,-0.0779,loss,0.606,0.9747,-0.3687,win,1.1278,2.1418,-1.014,loss,266132,3.4703
CinCECGTorso,0.8971,0.8239,0.0732,win,0.3833,0.9547,-0.5714,win,1.969,4.7745,-2.8055,loss,266261,3.4708
Coffee,1.0,1.0,0.0,tie,0.0896,0.0,0.0896,loss,0.642,3.4889,-2.8469,loss,266003,3.4698
Computers,0.828,0.7688,0.0592,win,0.4933,2.1231,-1.6298,win,0.4736,3.4427,-2.9691,loss,266003,3.4698
CricketX,0.7103,0.8267,-0.1164,loss,0.9638,0.9717,-0.0079,tie,1.8729,4.5072,-2.6343,loss,267293,3.4747
CricketY,0.7154,0.8231,-0.1077,loss,0.9274,0.9759,-0.0485,win,1.9389,4.8896,-2.9507,loss,267293,3.4747
CricketZ,0.7641,0.8574,-0.0933,loss,0.8455,0.8017,0.0438,loss,1.9306,4.7715,-2.8409,loss,267293,3.4747
DiatomSizeReduction,0.9216,0.9719,-0.0503,loss,0.2444,0.0944,0.15,loss,0.9866,1.0258,-0.0392,tie,266261,3.4708
DistalPhalanxOutlineAgeGroup,0.7338,0.7151,0.0187,win,0.5642,2.5757,-2.0115,win,0.8084,2.4343,-1.6259,loss,266132,3.4703
DistalPhalanxOutlineCorrect,0.7319,0.7703,-0.0384,loss,0.5093,2.0843,-1.575,win,0.7345,0.6399,0.0946,tie,266003,3.4698
