model,config,params,size_mb,flops_m,infer_ms,throughput,peak_mem_mb,device,batch,length,n_classes
fcn__mil_fcn__mil_conjunctive,sv1/fcn,267035,3.4737,535.208,0.068,14703.8,132.153,cuda,32,1008,10
seanet_bottleneck_shallow__sea_mstcn_sep_bottleneck__sea_topk_conjunctive,sv6/seanet_bottleneck_shallow,21548,1.3289,40.03,0.0689,14510.2,178.923,cuda,32,1008,10
seanet_softmax__sea_mstcn_sep__sea_softmax_conjunctive,sv3/seanet_softmax,43629,1.421,83.124,0.0939,10645.4,64.794,cuda,32,1008,10
seanet_slim__sea_mstcn_sep__sea_classwise_conjunctive,sv4/seanet_slim,57580,1.4843,109.703,0.1229,8135.7,64.854,cuda,32,1008,10
seanet_slim_adaptive__sea_mstcn_sep__sea_adaptive_classwise,sv4/seanet_slim_adaptive,57590,1.4846,109.703,0.1238,8075.8,64.855,cuda,32,1008,10
seanet_slim_softmax__sea_mstcn_sep__sea_softmax_conjunctive,sv4/seanet_slim_softmax,57581,1.4846,109.703,0.1241,8056.6,64.855,cuda,32,1008,10
seanet_slim_attnmax__sea_mstcn_sep__sea_attention_max,sv4/seanet_slim_attnmax,57590,1.4846,109.703,0.1243,8047.4,64.855,cuda,32,1008,10
seanet_gated_last__sea_mstcn_sep_gated__sea_classwise_conjunctive,sv4/seanet_gated_last,61740,1.5025,109.711,0.1243,8047.0,64.871,cuda,32,1008,10
seanet_gated_mean__sea_mstcn_sep_gated__sea_classwise_conjunctive,sv4/seanet_gated_mean,61740,1.5025,109.711,0.1244,8035.9,64.871,cuda,32,1008,10
seanet_gated_max__sea_mstcn_sep_gated__sea_classwise_conjunctive,sv4/seanet_gated_max,61740,1.5025,109.711,0.1248,8011.0,64.871,cuda,32,1008,10
seanet_slim_gatedattn__sea_mstcn_sep__sea_gated_attention,sv5/seanet_slim_gatedattn,58100,1.4868,110.735,0.125,8002.6,64.857,cuda,32,1008,10
seanet_gated_last_softmax__sea_mstcn_sep_gated__sea_softmax_conjunctive,sv4/seanet_gated_last_softmax,61741,1.5028,109.711,0.1251,7991.4,64.871,cuda,32,1008,10
seanet_gated_mean_softmax__sea_mstcn_sep_gated__sea_softmax_conjunctive,sv4/seanet_gated_mean_softmax,61741,1.5028,109.711,0.1253,7979.5,64.871,cuda,32,1008,10
seanet_gated_last_adaptive__sea_mstcn_sep_gated__sea_adaptive_classwise,sv4/seanet_gated_last_adaptive,61750,1.5028,109.711,0.1253,7978.5,64.871,cuda,32,1008,10
