dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7852,0.8317,-0.0465,loss,0.9401,1.028,-0.0879,win,-2.052,15.8906,-17.9426,loss,509814,4.4289
ArrowHead,0.8857,0.8377,0.048,win,0.4282,1.0053,-0.5771,win,0.8374,3.2005,-2.3631,loss,505428,4.4121
Beef,0.8,0.8467,-0.0467,loss,0.7472,0.965,-0.2178,win,2.067,5.4866,-3.4196,loss,505686,4.4131
BeetleFly,0.85,0.92,-0.07,loss,0.324,0.2905,0.0335,loss,2.2938,1.2424,1.0514,win,505299,4.4116
BirdChicken,1.0,0.94,0.06,win,0.176,0.1447,0.0313,loss,1.154,3.3665,-2.2125,loss,505299,4.4116
Car,0.9333,0.92,0.0133,win,0.3287,0.4259,-0.0972,win,2.5543,6.6173,-4.063,loss,505557,4.4126
CBF,0.9889,0.9998,-0.0109,loss,0.1917,0.0007,0.191,loss,0.9694,3.5827,-2.6133,loss,505428,4.4121
ChlorineConcentration,0.5896,0.8576,-0.268,loss,0.9187,0.9747,-0.056,win,0.1981,2.1418,-1.9437,loss,505428,4.4121
CinCECGTorso,0.8601,0.8239,0.0362,win,0.49,0.9547,-0.4647,win,1.7998,4.7745,-2.9747,loss,505557,4.4126
Coffee,1.0,1.0,0.0,tie,0.1176,0.0,0.1176,loss,1.0481,3.4889,-2.4408,loss,505299,4.4116
Computers,0.732,0.7688,-0.0368,loss,0.6919,2.1231,-1.4312,win,0.7428,3.4427,-2.6999,loss,505299,4.4116
CricketX,0.7179,0.8267,-0.1088,loss,1.0278,0.9717,0.0561,loss,1.7768,4.5072,-2.7304,loss,506589,4.4165
CricketY,0.6795,0.8231,-0.1436,loss,0.9001,0.9759,-0.0758,win,1.9453,4.8896,-2.9443,loss,506589,4.4165
CricketZ,0.7744,0.8574,-0.083,loss,0.7743,0.8017,-0.0274,win,2.1343,4.7715,-2.6372,loss,506589,4.4165
DiatomSizeReduction,0.951,0.9719,-0.0209,loss,0.2285,0.0944,0.1341,loss,0.6674,1.0258,-0.3584,loss,505557,4.4126
