dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7749,0.8317,-0.0568,loss,0.8419,1.028,-0.1861,win,1.941,15.8906,-13.9496,loss,272566,3.5519
ArrowHead,0.8571,0.8377,0.0194,win,0.4525,1.0053,-0.5528,win,0.2032,3.2005,-2.9973,loss,268180,3.5351
Beef,0.8,0.8467,-0.0467,loss,0.5494,0.965,-0.4156,win,1.1962,5.4866,-4.2904,loss,268438,3.5361
BeetleFly,0.7,0.92,-0.22,loss,0.4279,0.2905,0.1374,loss,-0.0434,1.2424,-1.2858,loss,268051,3.5347
BirdChicken,1.0,0.94,0.06,win,0.1519,0.1447,0.0072,tie,0.6509,3.3665,-2.7156,loss,268051,3.5347
Car,0.95,0.92,0.03,win,0.2819,0.4259,-0.144,win,0.4461,6.6173,-6.1712,loss,268309,3.5356
CBF,1.0,0.9998,0.0002,tie,0.1032,0.0007,0.1025,loss,0.1775,3.5827,-3.4052,loss,268180,3.5351
ChlorineConcentration,0.7271,0.8576,-0.1305,loss,0.6787,0.9747,-0.296,win,0.3152,2.1418,-1.8266,loss,268180,3.5351
CinCECGTorso,0.8007,0.8239,-0.0232,loss,0.6139,0.9547,-0.3408,win,0.9704,4.7745,-3.8041,loss,268309,3.5356
Coffee,1.0,1.0,0.0,tie,0.0699,0.0,0.0699,loss,0.1779,3.4889,-3.311,loss,268051,3.5347
Computers,0.66,0.7688,-0.1088,loss,0.6618,2.1231,-1.4613,win,0.4033,3.4427,-3.0394,loss,268051,3.5347
CricketX,0.8256,0.8267,-0.0011,tie,0.7355,0.9717,-0.2362,win,1.53,4.5072,-2.9772,loss,269341,3.5395
CricketY,0.8359,0.8231,0.0128,win,0.5668,0.9759,-0.4091,win,1.3998,4.8896,-3.4898,loss,269341,3.5395
CricketZ,0.8538,0.8574,-0.0036,tie,0.5885,0.8017,-0.2132,win,1.4571,4.7715,-3.3144,loss,269341,3.5395
DiatomSizeReduction,0.951,0.9719,-0.0209,loss,0.2029,0.0944,0.1085,loss,3.1596,1.0258,2.1338,win,268309,3.5356
DistalPhalanxOutlineAgeGroup,0.7482,0.7151,0.0331,win,0.5605,2.5757,-2.0152,win,0.1565,2.4343,-2.2778,loss,268180,3.5351
DistalPhalanxOutlineCorrect,0.7609,0.7703,-0.0094,loss,0.6233,2.0843,-1.461,win,-0.156,0.6399,-0.7959,loss,268051,3.5347
DistalPhalanxTW,0.6978,0.6604,0.0374,win,0.8066,2.8454,-2.0388,win,0.0935,3.1209,-3.0274,loss,268567,3.5366
Earthquakes,0.741,0.7252,0.0158,win,0.5218,2.0855,-1.5637,win,0.6566,3.4927,-2.8361,loss,268051,3.5347
ECG200,0.89,0.896,-0.006,loss,0.2675,0.8048,-0.5373,win,0.548,2.8601,-2.3121,loss,268051,3.5347
ECG5000,0.9413,0.9419,-0.0006,tie,0.2658,0.6952,-0.4294,win,1.1335,6.7025,-5.569,loss,268438,3.5361
ECGFiveDays,1.0,1.0,0.0,tie,0.0678,0.0,0.0678,loss,0.3409,4.7579,-4.417,loss,268051,3.5347
ElectricDevices,0.7191,0.712,0.0071,win,0.9696,5.5714,-4.6018,win,0.271,4.6437,-4.3727,loss,268696,3.5371
FaceAll,0.8107,0.9528,-0.1421,loss,0.8738,0.2954,0.5784,loss,0.2198,3.9975,-3.7777,loss,269599,3.5405
FaceFour,0.9545,0.9591,-0.0046,tie,0.195,0.468,-0.273,win,0.7908,6.4735,-5.6827,loss,268309,3.5356
FacesUCR,0.9546,0.9597,-0.0051,loss,0.2278,0.1909,0.0369,loss,0.4142,3.1775,-2.7633,loss,269599,3.5405
FiftyWords,0.8198,0.8352,-0.0154,loss,0.7761,1.0207,-0.2446,win,0.7761,3.3053,-2.5292,loss,274243,3.5583
Fish,0.9543,0.9806,-0.0263,loss,0.2086,0.2986,-0.09,win,0.8741,5.4842,-4.6101,loss,268696,3.5371
FordA,0.9606,0.9541,0.0065,win,0.1362,0.4398,-0.3036,win,0.0732,2.7146,-2.6414,loss,268051,3.5347
FordB,0.842,0.8499,-0.0079,loss,0.3704,1.4783,-1.1079,win,0.3724,1.6448,-1.2724,loss,268051,3.5347
GunPoint,1.0,0.9853,0.0147,win,0.0809,0.0533,0.0276,loss,0.5523,4.0108,-3.4585,loss,268051,3.5347
Ham,0.6857,0.7086,-0.0229,loss,0.7127,1.7929,-1.0802,win,0.6748,3.9279,-3.2531,loss,268051,3.5347
HandOutlines,0.9216,0.9476,-0.026,loss,0.2608,0.3636,-0.1028,win,0.2729,12.7111,-12.4382,loss,268051,3.5347
Haptics,0.4448,0.524,-0.0792,loss,1.4088,3.2084,-1.7996,win,1.9257,5.9916,-4.0659,loss,268438,3.5361
Herring,0.6562,0.5781,0.0781,win,0.9525,3.3086,-2.3561,win,0.9837,4.6122,-3.6285,loss,268051,3.5347
InlineSkate,0.4182,0.4913,-0.0731,loss,1.7126,2.5766,-0.864,win,1.4852,8.1641,-6.6789,loss,268696,3.5371
InsectWingbeatSound,0.5924,0.6146,-0.0222,loss,1.0827,2.598,-1.5153,win,0.2477,2.7342,-2.4865,loss,269212,3.5391
ItalyPowerDemand,0.965,0.9506,0.0144,win,0.1422,0.5572,-0.415,win,0.2344,4.1634,-3.929,loss,268051,3.5347
LargeKitchenAppliances,0.904,0.9013,0.0027,tie,0.3367,1.1387,-0.802,win,1.5444,9.5087,-7.9643,loss,268180,3.5351
Lightning2,0.8361,0.8557,-0.0196,loss,0.3699,0.9113,-0.5414,win,0.6272,5.3802,-4.753,loss,268051,3.5347
Lightning7,0.8219,0.8274,-0.0055,loss,0.5713,0.9538,-0.3825,win,1.0676,4.2526,-3.185,loss,268696,3.5371
Mallat,0.9608,0.9688,-0.008,loss,0.2169,0.1333,0.0836,loss,1.2692,6.7384,-5.4692,loss,268825,3.5376
Meat,0.9,0.9867,-0.0867,loss,0.3063,0.0539,0.2524,loss,1.5076,6.1908,-4.6832,loss,268180,3.5351
MedicalImages,0.7408,0.8021,-0.0613,loss,0.8354,1.3284,-0.493,win,0.4866,2.8937,-2.4071,loss,269083,3.5386
MiddlePhalanxOutlineAgeGroup,0.539,0.5221,0.0169,win,0.9512,4.9601,-4.0089,win,-0.2682,0.9851,-1.2533,loss,268180,3.5351
MiddlePhalanxOutlineCorrect,0.8179,0.8103,0.0076,win,0.4235,1.2175,-0.794,win,0.2368,2.4532,-2.2164,loss,268051,3.5347
MiddlePhalanxTW,0.5325,0.5104,0.0221,win,1.1408,4.0946,-2.9538,win,0.0673,3.4,-3.3327,loss,268567,3.5366
MoteStrain,0.881,0.9018,-0.0208,loss,0.2936,0.6772,-0.3836,win,0.2212,3.5563,-3.3351,loss,268051,3.5347
NonInvasiveFetalECGThorax1,0.9053,0.9511,-0.0458,loss,0.4182,0.2659,0.1523,loss,-0.4785,-2.2634,1.7849,win,273211,3.5543
NonInvasiveFetalECGThorax2,0.9288,0.9526,-0.0238,loss,0.3085,0.2528,0.0557,loss,-0.5751,2.9866,-3.5617,loss,273211,3.5543
OliveOil,0.4,0.8467,-0.4467,loss,1.2613,0.9378,0.3235,loss,3.7268,-3.6343,7.3611,win,268309,3.5356
OSULeaf,0.8678,0.9471,-0.0793,loss,0.3897,0.2378,0.1519,loss,0.7797,6.5343,-5.7546,loss,268567,3.5366
PhalangesOutlinesCorrect,0.8263,0.8303,-0.004,tie,0.4281,1.4708,-1.0427,win,-0.0122,2.0437,-2.0559,loss,268051,3.5347
Phoneme,0.2648,0.3006,-0.0358,loss,2.7949,7.0359,-4.241,win,0.4863,4.7834,-4.2971,loss,272824,3.5528
Plane,1.0,1.0,0.0,tie,0.1071,0.0,0.1071,loss,0.4699,3.3933,-2.9234,loss,268696,3.5371
ProximalPhalanxOutlineAgeGroup,0.839,0.8537,-0.0147,loss,0.4238,1.2906,-0.8668,win,-0.2009,5.6483,-5.8492,loss,268180,3.5351
ProximalPhalanxOutlineCorrect,0.9038,0.923,-0.0192,loss,0.2629,0.5448,-0.2819,win,0.0299,-3.5363,3.5662,win,268051,3.5347
ProximalPhalanxTW,0.761,0.76,0.001,tie,0.6119,2.0198,-1.4079,win,0.164,5.6975,-5.5335,loss,268567,3.5366
