dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7647,0.8317,-0.067,loss,0.8566,1.028,-0.1714,win,-0.2859,15.8906,-16.1765,loss,63775,1.5106
ArrowHead,0.8171,0.8377,-0.0206,loss,0.4778,1.0053,-0.5275,win,0.9913,3.2005,-2.2092,loss,61225,1.5009
Beef,0.9,0.8467,0.0533,win,0.4278,0.965,-0.5372,win,1.0805,5.4866,-4.4061,loss,61375,1.5014
BeetleFly,0.7,0.92,-0.22,loss,0.4456,0.2905,0.1551,loss,1.1637,1.2424,-0.0787,tie,61150,1.5006
BirdChicken,0.75,0.94,-0.19,loss,0.3584,0.1447,0.2137,loss,1.7578,3.3665,-1.6087,loss,61150,1.5006
Car,0.85,0.92,-0.07,loss,0.4482,0.4259,0.0223,loss,1.6949,6.6173,-4.9224,loss,61300,1.5012
CBF,0.9989,0.9998,-0.0009,tie,0.1263,0.0007,0.1256,loss,0.5037,3.5827,-3.079,loss,61225,1.5009
ChlorineConcentration,0.7594,0.8576,-0.0982,loss,0.6455,0.9747,-0.3292,win,0.4339,2.1418,-1.7079,loss,61225,1.5009
CinCECGTorso,0.7435,0.8239,-0.0804,loss,0.7095,0.9547,-0.2452,win,1.4464,4.7745,-3.3281,loss,61300,1.5012
Coffee,1.0,1.0,0.0,tie,0.0717,0.0,0.0717,loss,0.4465,3.4889,-3.0424,loss,61150,1.5006
Computers,0.68,0.7688,-0.0888,loss,0.577,2.1231,-1.5461,win,0.4691,3.4427,-2.9736,loss,61150,1.5006
CricketX,0.8308,0.8267,0.0041,tie,0.6795,0.9717,-0.2922,win,1.5027,4.5072,-3.0045,loss,61900,1.5034
CricketY,0.8231,0.8231,0.0,tie,0.7184,0.9759,-0.2575,win,1.6446,4.8896,-3.245,loss,61900,1.5034
CricketZ,0.8308,0.8574,-0.0266,loss,0.6531,0.8017,-0.1486,win,1.4114,4.7715,-3.3601,loss,61900,1.5034
DiatomSizeReduction,0.9412,0.9719,-0.0307,loss,0.2686,0.0944,0.1742,loss,1.1531,1.0258,0.1273,win,61300,1.5012
DistalPhalanxOutlineAgeGroup,0.7554,0.7151,0.0403,win,0.5813,2.5757,-1.9944,win,0.0765,2.4343,-2.3578,loss,61225,1.5009
DistalPhalanxOutlineCorrect,0.7862,0.7703,0.0159,win,0.4755,2.0843,-1.6088,win,-0.3171,0.6399,-0.957,loss,61150,1.5006
DistalPhalanxTW,0.6835,0.6604,0.0231,win,0.7863,2.8454,-2.0591,win,0.6477,3.1209,-2.4732,loss,61450,1.5017
Earthquakes,0.7266,0.7252,0.0014,tie,0.6025,2.0855,-1.483,win,0.2574,3.4927,-3.2353,loss,61150,1.5006
ECG200,0.8,0.896,-0.096,loss,0.4693,0.8048,-0.3355,win,0.3248,2.8601,-2.5353,loss,61150,1.5006
ECG5000,0.9342,0.9419,-0.0077,loss,0.3061,0.6952,-0.3891,win,0.16,6.7025,-6.5425,loss,61375,1.5014
ECGFiveDays,1.0,1.0,0.0,tie,0.0708,0.0,0.0708,loss,0.0829,4.7579,-4.675,loss,61150,1.5006
ElectricDevices,0.6991,0.712,-0.0129,loss,1.0866,5.5714,-4.4848,win,0.458,4.6437,-4.1857,loss,61525,1.502
FaceAll,0.8189,0.9528,-0.1339,loss,0.7767,0.2954,0.4813,loss,0.7289,3.9975,-3.2686,loss,62050,1.5039
FaceFour,0.7955,0.9591,-0.1636,loss,0.5208,0.468,0.0528,loss,0.2162,6.4735,-6.2573,loss,61300,1.5012
FacesUCR,0.9322,0.9597,-0.0275,loss,0.344,0.1909,0.1531,loss,0.497,3.1775,-2.6805,loss,62050,1.5039
FiftyWords,0.7912,0.8352,-0.044,loss,0.9691,1.0207,-0.0516,win,1.5569,3.3053,-1.7484,loss,64750,1.5144
Fish,0.9714,0.9806,-0.0092,loss,0.181,0.2986,-0.1176,win,1.5064,5.4842,-3.9778,loss,61525,1.502
FordA,0.9576,0.9541,0.0035,tie,0.146,0.4398,-0.2938,win,0.6806,2.7146,-2.034,loss,61150,1.5006
FordB,0.8407,0.8499,-0.0092,loss,0.3584,1.4783,-1.1199,win,0.4728,1.6448,-1.172,loss,61150,1.5006
GunPoint,0.9933,0.9853,0.008,win,0.0906,0.0533,0.0373,loss,0.5627,4.0108,-3.4481,loss,61150,1.5006
Ham,0.7143,0.7086,0.0057,win,0.5678,1.7929,-1.2251,win,0.7376,3.9279,-3.1903,loss,61150,1.5006
HandOutlines,0.9378,0.9476,-0.0098,loss,0.2059,0.3636,-0.1577,win,-0.0984,12.7111,-12.8095,loss,61150,1.5006
Haptics,0.4156,0.524,-0.1084,loss,1.4695,3.2084,-1.7389,win,1.0981,5.9916,-4.8935,loss,61375,1.5014
Herring,0.6406,0.5781,0.0625,win,0.9853,3.3086,-2.3233,win,1.1771,4.6122,-3.4351,loss,61150,1.5006
InlineSkate,0.2473,0.4913,-0.244,loss,2.0856,2.5766,-0.491,win,2.3785,8.1641,-5.7856,loss,61525,1.502
InsectWingbeatSound,0.5909,0.6146,-0.0237,loss,1.0976,2.598,-1.5004,win,0.8024,2.7342,-1.9318,loss,61825,1.5031
ItalyPowerDemand,0.965,0.9506,0.0144,win,0.1474,0.5572,-0.4098,win,-0.1836,4.1634,-4.347,loss,61150,1.5006
LargeKitchenAppliances,0.8933,0.9013,-0.008,loss,0.3625,1.1387,-0.7762,win,0.9878,9.5087,-8.5209,loss,61225,1.5009
Lightning2,0.8689,0.8557,0.0132,win,0.4735,0.9113,-0.4378,win,1.0157,5.3802,-4.3645,loss,61150,1.5006
Lightning7,0.8082,0.8274,-0.0192,loss,0.6374,0.9538,-0.3164,win,0.6743,4.2526,-3.5783,loss,61525,1.502
Mallat,0.8299,0.9688,-0.1389,loss,0.6494,0.1333,0.5161,loss,2.3426,6.7384,-4.3958,loss,61600,1.5023
Meat,0.9167,0.9867,-0.07,loss,0.2885,0.0539,0.2346,loss,1.1677,6.1908,-5.0231,loss,61225,1.5009
MedicalImages,0.7066,0.8021,-0.0955,loss,0.787,1.3284,-0.5414,win,0.3144,2.8937,-2.5793,loss,61750,1.5028
MiddlePhalanxOutlineAgeGroup,0.6104,0.5221,0.0883,win,0.9398,4.9601,-4.0203,win,-0.0327,0.9851,-1.0178,loss,61225,1.5009
MiddlePhalanxOutlineCorrect,0.811,0.8103,0.0007,tie,0.4146,1.2175,-0.8029,win,0.4708,2.4532,-1.9824,loss,61150,1.5006
MiddlePhalanxTW,0.5714,0.5104,0.061,win,1.0956,4.0946,-2.999,win,-0.0933,3.4,-3.4933,loss,61450,1.5017
MoteStrain,0.8546,0.9018,-0.0472,loss,0.3309,0.6772,-0.3463,win,0.4094,3.5563,-3.1469,loss,61150,1.5006
NonInvasiveFetalECGThorax1,0.915,0.9511,-0.0361,loss,0.418,0.2659,0.1521,loss,1.3112,-2.2634,3.5746,win,64150,1.512
NonInvasiveFetalECGThorax2,0.9338,0.9526,-0.0188,loss,0.3429,0.2528,0.0901,loss,1.4195,2.9866,-1.5671,loss,64150,1.512
OliveOil,0.5,0.8467,-0.3467,loss,0.8959,0.9378,-0.0419,win,0.7063,-3.6343,4.3406,win,61300,1.5012
OSULeaf,0.8719,0.9471,-0.0752,loss,0.508,0.2378,0.2702,loss,0.8207,6.5343,-5.7136,loss,61450,1.5017
PhalangesOutlinesCorrect,0.8275,0.8303,-0.0028,tie,0.3957,1.4708,-1.0751,win,0.5254,2.0437,-1.5183,loss,61150,1.5006
Phoneme,0.2363,0.3006,-0.0643,loss,2.8262,7.0359,-4.2097,win,0.8582,4.7834,-3.9252,loss,63925,1.5111
Plane,1.0,1.0,0.0,tie,0.0944,0.0,0.0944,loss,0.9376,3.3933,-2.4557,loss,61525,1.502
ProximalPhalanxOutlineAgeGroup,0.8244,0.8537,-0.0293,loss,0.4495,1.2906,-0.8411,win,-0.3246,5.6483,-5.9729,loss,61225,1.5009
ProximalPhalanxOutlineCorrect,0.8969,0.923,-0.0261,loss,0.2712,0.5448,-0.2736,win,-0.6266,-3.5363,2.9097,win,61150,1.5006
ProximalPhalanxTW,0.7854,0.76,0.0254,win,0.6284,2.0198,-1.3914,win,-0.3441,5.6975,-6.0416,loss,61450,1.5017
RefrigerationDevices,0.4907,0.5099,-0.0192,loss,1.4585,6.1414,-4.6829,win,0.2272,4.2486,-4.0214,loss,61225,1.5009
ScreenType,0.4267,0.576,-0.1493,loss,1.1759,3.6402,-2.4643,win,0.729,4.2157,-3.4867,loss,61225,1.5009
ShapeletSim,0.5111,0.9089,-0.3978,loss,0.7824,0.2342,0.5482,loss,0.0969,3.429,-3.3321,loss,61150,1.5006
ShapesAll,0.8567,0.9283,-0.0716,loss,0.766,0.4908,0.2752,loss,1.8245,9.5598,-7.7353,loss,65500,1.5171
SmallKitchenAppliances,0.7973,0.7819,0.0154,win,0.6033,2.273,-1.6697,win,0.5279,3.9346,-3.4067,loss,61225,1.5009
SonyAIBORobotSurface1,0.8003,0.9338,-0.1335,loss,0.4465,0.3641,0.0824,loss,0.1664,3.2614,-3.095,loss,61150,1.5006
SonyAIBORobotSurface2,0.8793,0.8269,0.0524,win,0.2849,1.433,-1.1481,win,0.008,2.9596,-2.9516,loss,61150,1.5006
StarLightCurves,0.9762,0.9769,-0.0007,tie,0.1475,0.2046,-0.0571,win,0.9828,8.4155,-7.4327,loss,61225,1.5009
Strawberry,0.9649,0.9746,-0.0097,loss,0.1384,0.1629,-0.0245,win,0.6063,6.2246,-5.6183,loss,61150,1.5006
SwedishLeaf,0.9344,0.967,-0.0326,loss,0.2772,0.1892,0.088,loss,1.0326,4.1636,-3.131,loss,62125,1.5042
Symbols,0.9487,0.9576,-0.0089,loss,0.3093,0.1578,0.1515,loss,1.3184,2.5618,-1.2434,loss,61450,1.5017
SyntheticControl,0.9933,0.9973,-0.004,tie,0.1237,0.0052,0.1185,loss,0.7738,3.3016,-2.5278,loss,61450,1.5017
ToeSegmentation1,0.9342,0.9632,-0.029,loss,0.2129,0.1864,0.0265,loss,0.4598,2.1806,-1.7208,loss,61150,1.5006
ToeSegmentation2,0.9692,0.9092,0.06,win,0.1997,0.5003,-0.3006,win,0.7533,3.2069,-2.4536,loss,61150,1.5006
Trace,1.0,1.0,0.0,tie,0.0962,0.0,0.0962,loss,2.2137,4.9221,-2.7084,loss,61300,1.5012
TwoLeadECG,0.9991,0.9993,-0.0002,tie,0.061,0.0066,0.0544,loss,0.3844,4.762,-4.3776,loss,61150,1.5006
TwoPatterns,1.0,1.0,0.0,tie,0.0922,0.0,0.0922,loss,1.4294,12.1597,-10.7303,loss,61300,1.5012
UWaveGestureLibraryAll,0.9618,0.9447,0.0171,win,0.2649,0.3434,-0.0785,win,1.805,8.0814,-6.2764,loss,61600,1.5023
UWaveGestureLibraryX,0.8185,0.8099,0.0086,win,0.5815,1.5956,-1.0141,win,1.2956,4.3044,-3.0088,loss,61600,1.5023
UWaveGestureLibraryY,0.751,0.7528,-0.0018,tie,0.8064,1.8851,-1.0787,win,1.1794,4.101,-2.9216,loss,61600,1.5023
UWaveGestureLibraryZ,0.7345,0.7432,-0.0087,loss,0.7626,1.9758,-1.2132,win,1.0638,4.6466,-3.5828,loss,61600,1.5023
Wafer,0.9956,0.998,-0.0024,tie,0.075,0.017,0.058,loss,0.2014,1.1361,-0.9347,loss,61150,1.5006
Wine,0.5,0.8185,-0.3185,loss,0.6895,0.9499,-0.2604,win,2.1167,26.9638,-24.8471,loss,61150,1.5006
WordSynonyms,0.7429,0.7417,0.0012,tie,1.1626,1.8361,-0.6735,win,0.9472,3.0425,-2.0953,loss,62875,1.5071
Worms,0.6104,0.7662,-0.1558,loss,0.9254,1.5027,-0.5773,win,1.3608,3.1133,-1.7525,loss,61375,1.5014
WormsTwoClass,0.6883,0.7065,-0.0182,loss,0.5663,1.8387,-1.2724,win,0.9783,4.3009,-3.3226,loss,61150,1.5006
Yoga,0.9133,0.9031,0.0102,win,0.2765,0.5236,-0.2471,win,1.4396,6.6224,-5.1828,loss,61150,1.5006
ACSF1,0.82,,,no_baseline,0.672,,,no_baseline,0.7829,,,no_baseline,61750,1.5028
AllGestureWiimoteX,0.7614,,,no_baseline,0.8071,,,no_baseline,1.933,,,no_baseline,61750,1.5028
AllGestureWiimoteY,0.7729,,,no_baseline,0.8316,,,no_baseline,1.7318,,,no_baseline,61750,1.5028
AllGestureWiimoteZ,0.7314,,,no_baseline,0.9552,,,no_baseline,1.4968,,,no_baseline,61750,1.5028
BME,1.0,,,no_baseline,0.1079,,,no_baseline,0.1361,,,no_baseline,61225,1.5009
