dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7852,0.8317,-0.0465,loss,0.7783,1.028,-0.2497,win,0.6325,15.8906,-15.2581,loss,64258,1.5125
ArrowHead,0.7771,0.8377,-0.0606,loss,0.5595,1.0053,-0.4458,win,0.4555,3.2005,-2.745,loss,61742,1.503
Beef,0.8,0.8467,-0.0467,loss,0.6374,0.965,-0.3276,win,0.6755,5.4866,-4.8111,loss,61890,1.5035
BeetleFly,0.65,0.92,-0.27,loss,0.6023,0.2905,0.3118,loss,0.1925,1.2424,-1.0499,loss,61668,1.5027
BirdChicken,0.9,0.94,-0.04,loss,0.2928,0.1447,0.1481,loss,0.7887,3.3665,-2.5778,loss,61668,1.5027
Car,0.8833,0.92,-0.0367,loss,0.3884,0.4259,-0.0375,win,1.4441,6.6173,-5.1732,loss,61816,1.5033
CBF,0.9989,0.9998,-0.0009,tie,0.1239,0.0007,0.1232,loss,0.2945,3.5827,-3.2882,loss,61742,1.503
ChlorineConcentration,0.7195,0.8576,-0.1381,loss,0.7159,0.9747,-0.2588,win,0.0599,2.1418,-2.0819,loss,61742,1.503
CinCECGTorso,0.7551,0.8239,-0.0688,loss,0.6919,0.9547,-0.2628,win,0.7799,4.7745,-3.9946,loss,61816,1.5033
Coffee,1.0,1.0,0.0,tie,0.0699,0.0,0.0699,loss,-0.3787,3.4889,-3.8676,loss,61668,1.5027
Computers,0.688,0.7688,-0.0808,loss,0.6811,2.1231,-1.442,win,0.2627,3.4427,-3.18,loss,61668,1.5027
CricketX,0.8205,0.8267,-0.0062,loss,0.6134,0.9717,-0.3583,win,1.8768,4.5072,-2.6304,loss,62408,1.5055
CricketY,0.8641,0.8231,0.041,win,0.5758,0.9759,-0.4001,win,1.4634,4.8896,-3.4262,loss,62408,1.5055
CricketZ,0.8308,0.8574,-0.0266,loss,0.6173,0.8017,-0.1844,win,1.3937,4.7715,-3.3778,loss,62408,1.5055
DiatomSizeReduction,0.9869,0.9719,0.015,win,0.1369,0.0944,0.0425,loss,-0.2194,1.0258,-1.2452,loss,61816,1.5033
DistalPhalanxOutlineAgeGroup,0.7626,0.7151,0.0475,win,0.5387,2.5757,-2.037,win,-0.1183,2.4343,-2.5526,loss,61742,1.503
DistalPhalanxOutlineCorrect,0.7536,0.7703,-0.0167,loss,0.5238,2.0843,-1.5605,win,-0.1909,0.6399,-0.8308,loss,61668,1.5027
DistalPhalanxTW,0.6763,0.6604,0.0159,win,0.8399,2.8454,-2.0055,win,0.4956,3.1209,-2.6253,loss,61964,1.5038
Earthquakes,0.705,0.7252,-0.0202,loss,0.5639,2.0855,-1.5216,win,0.143,3.4927,-3.3497,loss,61668,1.5027
ECG200,0.87,0.896,-0.026,loss,0.3178,0.8048,-0.487,win,-0.1205,2.8601,-2.9806,loss,61668,1.5027
ECG5000,0.9391,0.9419,-0.0028,tie,0.2969,0.6952,-0.3983,win,0.3594,6.7025,-6.3431,loss,61890,1.5035
ECGFiveDays,0.9988,1.0,-0.0012,tie,0.0762,0.0,0.0762,loss,0.1134,4.7579,-4.6445,loss,61668,1.5027
ElectricDevices,0.7083,0.712,-0.0037,tie,0.9597,5.5714,-4.6117,win,0.5522,4.6437,-4.0915,loss,62038,1.5041
FaceAll,0.813,0.9528,-0.1398,loss,0.7637,0.2954,0.4683,loss,0.2847,3.9975,-3.7128,loss,62556,1.506
FaceFour,0.7045,0.9591,-0.2546,loss,0.7352,0.468,0.2672,loss,0.0476,6.4735,-6.4259,loss,61816,1.5033
FacesUCR,0.9512,0.9597,-0.0085,loss,0.2826,0.1909,0.0917,loss,0.4357,3.1775,-2.7418,loss,62556,1.506
FiftyWords,0.7934,0.8352,-0.0418,loss,0.9004,1.0207,-0.1203,win,1.1094,3.3053,-2.1959,loss,65220,1.5163
Fish,0.96,0.9806,-0.0206,loss,0.1978,0.2986,-0.1008,win,0.939,5.4842,-4.5452,loss,62038,1.5041
FordA,0.9545,0.9541,0.0004,tie,0.1593,0.4398,-0.2805,win,0.3267,2.7146,-2.3879,loss,61668,1.5027
FordB,0.8358,0.8499,-0.0141,loss,0.3988,1.4783,-1.0795,win,0.2702,1.6448,-1.3746,loss,61668,1.5027
GunPoint,0.9933,0.9853,0.008,win,0.085,0.0533,0.0317,loss,0.243,4.0108,-3.7678,loss,61668,1.5027
Ham,0.781,0.7086,0.0724,win,0.4663,1.7929,-1.3266,win,0.4059,3.9279,-3.522,loss,61668,1.5027
HandOutlines,0.9054,0.9476,-0.0422,loss,0.2824,0.3636,-0.0812,win,-0.1381,12.7111,-12.8492,loss,61668,1.5027
Haptics,0.4805,0.524,-0.0435,loss,1.3821,3.2084,-1.8263,win,1.2471,5.9916,-4.7445,loss,61890,1.5035
Herring,0.625,0.5781,0.0469,win,0.9108,3.3086,-2.3978,win,0.1966,4.6122,-4.4156,loss,61668,1.5027
InlineSkate,0.1964,0.4913,-0.2949,loss,1.8963,2.5766,-0.6803,win,0.9096,8.1641,-7.2545,loss,62038,1.5041
InsectWingbeatSound,0.5934,0.6146,-0.0212,loss,1.0582,2.598,-1.5398,win,0.3832,2.7342,-2.351,loss,62334,1.5051
