metric,value
model,seanet_gated_last_gatedattn__sea_mstcn_sep_gated__sea_gated_attention
millet85_datasets,85
mean_acc_ours,0.8048
mean_acc_millet,0.8445
acc_win_tie_loss,17/15/53
mean_loss_ours,0.5564
mean_loss_millet,1.2241
loss_win_tie_loss,58/0/27
mean_aopcr_ours,0.4998
mean_aopcr_millet,4.5532
aopcr_win_tie_loss,3/0/82
overall_ucr_datasets,128
overall_mean_acc,0.797
overall_mean_loss,0.6178
overall_mean_aopcr,0.6745
webtraffic_acc,0.918
webtraffic_ndcg,0.757
params,62260
model_size_mb,1.505
