dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.763,0.8317,-0.0687,loss,0.868,1.028,-0.1599,win,-0.135,15.8906,-16.0256,loss,60127,1.4967
ArrowHead,0.8362,0.8377,-0.0015,tie,0.45,1.0053,-0.5553,win,0.6058,3.2005,-2.5947,loss,57577,1.487
Beef,0.7889,0.8467,-0.0578,loss,0.7646,0.965,-0.2003,win,1.4805,5.4866,-4.0061,loss,57727,1.4875
BeetleFly,0.8167,0.92,-0.1033,loss,0.3878,0.2905,0.0972,loss,0.9884,1.2424,-0.2539,loss,57502,1.4867
BirdChicken,0.9833,0.94,0.0433,win,0.1827,0.1447,0.038,loss,2.2296,3.3665,-1.1369,loss,57502,1.4867
Car,0.8611,0.92,-0.0589,loss,0.4381,0.4259,0.0122,loss,1.6529,6.6173,-4.9644,loss,57652,1.4873
CBF,0.9989,0.9998,-0.0009,tie,0.1076,0.0007,0.1069,loss,1.3032,3.5827,-2.2795,loss,57577,1.487
ChlorineConcentration,0.7499,0.8576,-0.1076,loss,0.6506,0.9747,-0.3241,win,0.6109,2.1418,-1.5309,loss,57577,1.487
CinCECGTorso,0.678,0.8239,-0.1459,loss,0.7959,0.9547,-0.1588,win,1.4023,4.7745,-3.3722,loss,57652,1.4873
Coffee,1.0,1.0,0.0,tie,0.074,0.0,0.074,loss,1.0091,3.4889,-2.4797,loss,57502,1.4867
Computers,0.7413,0.7688,-0.0275,loss,0.6296,2.1231,-1.4935,win,0.6526,3.4427,-2.7901,loss,57502,1.4867
CricketX,0.8333,0.8267,0.0067,win,0.6903,0.9717,-0.2814,win,1.6453,4.5072,-2.8619,loss,58252,1.4895000000000003
CricketY,0.7991,0.8231,-0.0239,loss,0.7185,0.9759,-0.2574,win,1.449,4.8896,-3.4406,loss,58252,1.4895000000000003
CricketZ,0.8179,0.8574,-0.0395,loss,0.7045,0.8017,-0.0972,win,1.5937,4.7715,-3.1778,loss,58252,1.4895000000000003
DiatomSizeReduction,0.9728,0.9719,0.0009,tie,0.1857,0.0944,0.0913,loss,1.4373,1.0258,0.4115,win,57652,1.4873
DistalPhalanxOutlineAgeGroup,0.7266,0.7151,0.0115,win,0.5814,2.5757,-1.9943,win,0.2706,2.4343,-2.1638,loss,57577,1.487
DistalPhalanxOutlineCorrect,0.7596,0.7703,-0.0107,loss,0.5588,2.0843,-1.5255,win,0.1701,0.6399,-0.4698,loss,57502,1.4867
DistalPhalanxTW,0.6739,0.6604,0.0134,win,0.8413,2.8454,-2.0041,win,0.8391,3.1209,-2.2818,loss,57802,1.4878
Earthquakes,0.7482,0.7252,0.023,win,0.5513,2.0855,-1.5342,win,0.0375,3.4927,-3.4552,loss,57502,1.4867
ECG200,0.89,0.896,-0.006,loss,0.3002,0.8048,-0.5047,win,0.4251,2.8601,-2.4349,loss,57502,1.4867
ECG5000,0.937,0.9419,-0.0049,tie,0.2761,0.6952,-0.4191,win,0.3604,6.7025,-6.3421,loss,57727,1.4875
ECGFiveDays,1.0,1.0,0.0,tie,0.0633,0.0,0.0633,loss,0.1604,4.7579,-4.5976,loss,57502,1.4867
ElectricDevices,0.7036,0.712,-0.0084,loss,1.0487,5.5714,-4.5227,win,0.3389,4.6437,-4.3048,loss,57877,1.4881
FaceAll,0.8079,0.9528,-0.1449,loss,0.8203,0.2954,0.5248,loss,0.7018,3.9975,-3.2956,loss,58402,1.49
