metric,value
model,seanet_inputgate_adaptive__sea_mstcn_sep_inputgate__sea_adaptive_classwise
millet85_datasets,85
mean_acc_ours,0.8153
mean_acc_millet,0.8445
acc_win_tie_loss,20/15/50
mean_loss_ours,0.5545
mean_loss_millet,1.2241
loss_win_tie_loss,60/0/25
mean_aopcr_ours,0.9636
mean_aopcr_millet,4.5532
aopcr_win_tie_loss,4/0/81
overall_ucr_datasets,128
overall_mean_acc,0.8119
overall_mean_loss,0.5985
overall_mean_aopcr,1.0786
webtraffic_acc,0.9053
webtraffic_ndcg,0.7321
params,58102
model_size_mb,1.489
