dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7801,0.8317,-0.0516,loss,0.7531,1.028,-0.2749,win,-1.2812,15.8906,-17.1718,loss,59578,1.492
ArrowHead,0.8171,0.8377,-0.0206,loss,0.4859,1.0053,-0.5194,win,0.6711,3.2005,-2.5294,loss,57062,1.4824
Beef,0.8,0.8467,-0.0467,loss,0.6379,0.965,-0.3271,win,1.3756,5.4866,-4.111,loss,57210,1.4829
BeetleFly,0.75,0.92,-0.17,loss,0.4511,0.2905,0.1606,loss,0.4859,1.2424,-0.7565,loss,56988,1.4821
BirdChicken,0.8,0.94,-0.14,loss,0.9021,0.1447,0.7574,loss,4.4369,3.3665,1.0704,win,56988,1.4821
Car,0.8833,0.92,-0.0367,loss,0.3992,0.4259,-0.0267,win,-2.2853,6.6173,-8.9026,loss,57136,1.4827
CBF,0.9856,0.9998,-0.0142,loss,0.1381,0.0007,0.1374,loss,2.7416,3.5827,-0.8411,loss,57062,1.4824
ChlorineConcentration,0.6419,0.8576,-0.2157,loss,0.8354,0.9747,-0.1393,win,1.0121,2.1418,-1.1297,loss,57062,1.4824
CinCECGTorso,0.7087,0.8239,-0.1152,loss,0.7491,0.9547,-0.2056,win,3.3271,4.7745,-1.4474,loss,57136,1.4827
Coffee,1.0,1.0,0.0,tie,0.0687,0.0,0.0687,loss,2.295,3.4889,-1.1939,loss,56988,1.4821
Computers,0.744,0.7688,-0.0248,loss,0.639,2.1231,-1.4841,win,1.8754,3.4427,-1.5673,loss,56988,1.4821
CricketX,0.8256,0.8267,-0.0011,tie,0.6569,0.9717,-0.3148,win,1.5977,4.5072,-2.9095,loss,57728,1.4849
CricketY,0.8179,0.8231,-0.0052,loss,0.6535,0.9759,-0.3224,win,1.4971,4.8896,-3.3925,loss,57728,1.4849
CricketZ,0.8308,0.8574,-0.0266,loss,0.6436,0.8017,-0.1581,win,1.6935,4.7715,-3.078,loss,57728,1.4849
DiatomSizeReduction,0.9706,0.9719,-0.0013,tie,0.21,0.0944,0.1156,loss,2.3235,1.0258,1.2977,win,57136,1.4827
DistalPhalanxOutlineAgeGroup,0.777,0.7151,0.0619,win,0.5587,2.5757,-2.017,win,-0.9174,2.4343,-3.3517,loss,57062,1.4824
DistalPhalanxOutlineCorrect,0.779,0.7703,0.0087,win,0.5286,2.0843,-1.5557,win,0.3159,0.6399,-0.324,loss,56988,1.4821
DistalPhalanxTW,0.6906,0.6604,0.0302,win,0.7893,2.8454,-2.0561,win,0.0291,3.1209,-3.0918,loss,57284,1.4832
Earthquakes,0.7482,0.7252,0.023,win,0.5227,2.0855,-1.5628,win,0.5127,3.4927,-2.98,loss,56988,1.4821
ECG200,0.9,0.896,0.004,tie,0.265,0.8048,-0.5398,win,1.0882,2.8601,-1.7719,loss,56988,1.4821
ECG5000,0.9322,0.9419,-0.0097,loss,0.2739,0.6952,-0.4213,win,1.2755,6.7025,-5.427,loss,57210,1.4829
ECGFiveDays,1.0,1.0,0.0,tie,0.0589,0.0,0.0589,loss,1.8756,4.7579,-2.8823,loss,56988,1.4821
ElectricDevices,0.7037,0.712,-0.0083,loss,0.9702,5.5714,-4.6012,win,1.6644,4.6437,-2.9793,loss,57358,1.4835
FaceAll,0.8272,0.9528,-0.1256,loss,0.7863,0.2954,0.4909,loss,0.7379,3.9975,-3.2596,loss,57876,1.4854
FaceFour,0.8977,0.9591,-0.0614,loss,0.2723,0.468,-0.1957,win,1.5728,6.4735,-4.9007,loss,57136,1.4827
FacesUCR,0.9605,0.9597,0.0008,tie,0.2231,0.1909,0.0322,loss,0.7976,3.1775,-2.3799,loss,57876,1.4854
FiftyWords,0.7978,0.8352,-0.0374,loss,0.9036,1.0207,-0.1171,win,1.9279,3.3053,-1.3774,loss,60540,1.4957
Fish,0.9543,0.9806,-0.0263,loss,0.2433,0.2986,-0.0553,win,0.8211,5.4842,-4.6631,loss,57358,1.4835
FordA,0.9598,0.9541,0.0057,win,0.1362,0.4398,-0.3036,win,0.4923,2.7146,-2.2223,loss,56988,1.4821
FordB,0.8383,0.8499,-0.0116,loss,0.3833,1.4783,-1.095,win,0.8939,1.6448,-0.7509,loss,56988,1.4821
GunPoint,0.9933,0.9853,0.008,win,0.079,0.0533,0.0257,loss,1.1779,4.0108,-2.8329,loss,56988,1.4821
Ham,0.7333,0.7086,0.0247,win,0.5679,1.7929,-1.225,win,1.2474,3.9279,-2.6805,loss,56988,1.4821
HandOutlines,0.9351,0.9476,-0.0125,loss,0.2105,0.3636,-0.1531,win,-8.3534,12.7111,-21.0645,loss,56988,1.4821
Haptics,0.4578,0.524,-0.0662,loss,1.463,3.2084,-1.7454,win,1.8224,5.9916,-4.1692,loss,57210,1.4829
Herring,0.5781,0.5781,-0.0,tie,1.0109,3.3086,-2.2977,win,1.1579,4.6122,-3.4543,loss,56988,1.4821
InlineSkate,0.2655,0.4913,-0.2258,loss,2.0087,2.5766,-0.5679,win,2.8331,8.1641,-5.331,loss,57358,1.4835
InsectWingbeatSound,0.5859,0.6146,-0.0287,loss,1.0567,2.598,-1.5413,win,0.932,2.7342,-1.8022,loss,57654,1.4846
ItalyPowerDemand,0.9679,0.9506,0.0173,win,0.1432,0.5572,-0.414,win,0.3014,4.1634,-3.862,loss,56988,1.4821
LargeKitchenAppliances,0.896,0.9013,-0.0053,loss,0.3535,1.1387,-0.7852,win,1.9852,9.5087,-7.5235,loss,57062,1.4824
Lightning2,0.8689,0.8557,0.0132,win,0.3255,0.9113,-0.5858,win,1.2288,5.3802,-4.1514,loss,56988,1.4821
Lightning7,0.8356,0.8274,0.0082,win,0.56,0.9538,-0.3938,win,2.6163,4.2526,-1.6363,loss,57358,1.4835
Mallat,0.7412,0.9688,-0.2276,loss,0.7865,0.1333,0.6532,loss,2.1971,6.7384,-4.5413,loss,57432,1.4838
Meat,0.9,0.9867,-0.0867,loss,0.2933,0.0539,0.2394,loss,0.6789,6.1908,-5.5119,loss,57062,1.4824
MedicalImages,0.7316,0.8021,-0.0705,loss,0.7214,1.3284,-0.607,win,0.791,2.8937,-2.1027,loss,57580,1.4843
MiddlePhalanxOutlineAgeGroup,0.5974,0.5221,0.0753,win,0.9581,4.9601,-4.002,win,0.6316,0.9851,-0.3535,loss,57062,1.4824
MiddlePhalanxOutlineCorrect,0.8282,0.8103,0.0179,win,0.4168,1.2175,-0.8007,win,-0.1383,2.4532,-2.5915,loss,56988,1.4821
MiddlePhalanxTW,0.5714,0.5104,0.061,win,1.0693,4.0946,-3.0253,win,0.7258,3.4,-2.6742,loss,57284,1.4832
MoteStrain,0.8682,0.9018,-0.0336,loss,0.3199,0.6772,-0.3573,win,1.4776,3.5563,-2.0787,loss,56988,1.4821
NonInvasiveFetalECGThorax1,0.8641,0.9511,-0.087,loss,0.5325,0.2659,0.2666,loss,1.3299,-2.2634,3.5933,win,59948,1.4934
NonInvasiveFetalECGThorax2,0.8774,0.9526,-0.0752,loss,0.4291,0.2528,0.1763,loss,1.4407,2.9866,-1.5459,loss,59948,1.4934
OliveOil,0.4,0.8467,-0.4467,loss,1.293,0.9378,0.3552,loss,-0.0618,-3.6343,3.5725,win,57136,1.4827
OSULeaf,0.8512,0.9471,-0.0959,loss,0.4922,0.2378,0.2544,loss,1.2503,6.5343,-5.284,loss,57284,1.4832
PhalangesOutlinesCorrect,0.8042,0.8303,-0.0261,loss,0.4099,1.4708,-1.0609,win,-0.3052,2.0437,-2.3489,loss,56988,1.4821
Phoneme,0.2463,0.3006,-0.0543,loss,2.9588,7.0359,-4.0771,win,1.6661,4.7834,-3.1173,loss,59726,1.4925
Plane,0.981,1.0,-0.019,loss,0.0691,0.0,0.0691,loss,1.5202,3.3933,-1.8731,loss,57358,1.4835
ProximalPhalanxOutlineAgeGroup,0.8244,0.8537,-0.0293,loss,0.4342,1.2906,-0.8564,win,0.0075,5.6483,-5.6408,loss,57062,1.4824
ProximalPhalanxOutlineCorrect,0.9107,0.923,-0.0123,loss,0.2437,0.5448,-0.3011,win,-1.4099,-3.5363,2.1264,win,56988,1.4821
ProximalPhalanxTW,0.8,0.76,0.04,win,0.568,2.0198,-1.4518,win,-0.8117,5.6975,-6.5092,loss,57284,1.4832
RefrigerationDevices,0.4747,0.5099,-0.0352,loss,1.2362,6.1414,-4.9052,win,0.3578,4.2486,-3.8908,loss,57062,1.4824
ScreenType,0.4587,0.576,-0.1173,loss,1.1751,3.6402,-2.4651,win,0.6434,4.2157,-3.5723,loss,57062,1.4824
ShapeletSim,1.0,0.9089,0.0911,win,0.0529,0.2342,-0.1813,win,2.2067,3.429,-1.2223,loss,56988,1.4821
ShapesAll,0.855,0.9283,-0.0733,loss,0.7068,0.4908,0.216,loss,2.2043,9.5598,-7.3555,loss,61280,1.4984
SmallKitchenAppliances,0.8133,0.7819,0.0314,win,0.4828,2.273,-1.7902,win,1.2125,3.9346,-2.7221,loss,57062,1.4824
SonyAIBORobotSurface1,0.9168,0.9338,-0.017,loss,0.2391,0.3641,-0.125,win,0.9222,3.2614,-2.3392,loss,56988,1.4821
SonyAIBORobotSurface2,0.852,0.8269,0.0251,win,0.358,1.433,-1.075,win,0.4537,2.9596,-2.5059,loss,56988,1.4821
StarLightCurves,0.9717,0.9769,-0.0052,loss,0.1439,0.2046,-0.0607,win,2.381,8.4155,-6.0345,loss,57062,1.4824
Strawberry,0.9622,0.9746,-0.0124,loss,0.1487,0.1629,-0.0142,win,0.6849,6.2246,-5.5397,loss,56988,1.4821
SwedishLeaf,0.9504,0.967,-0.0166,loss,0.2552,0.1892,0.066,loss,1.2052,4.1636,-2.9584,loss,57950,1.4857
Symbols,0.9246,0.9576,-0.033,loss,0.3259,0.1578,0.1681,loss,1.7462,2.5618,-0.8156,loss,57284,1.4832
SyntheticControl,0.99,0.9973,-0.0073,loss,0.1114,0.0052,0.1062,loss,0.6522,3.3016,-2.6494,loss,57284,1.4832
ToeSegmentation1,0.9561,0.9632,-0.0071,loss,0.1859,0.1864,-0.0005,tie,1.0348,2.1806,-1.1458,loss,56988,1.4821
ToeSegmentation2,0.9308,0.9092,0.0216,win,0.2375,0.5003,-0.2628,win,1.2938,3.2069,-1.9131,loss,56988,1.4821
Trace,1.0,1.0,0.0,tie,0.087,0.0,0.087,loss,1.6925,4.9221,-3.2296,loss,57136,1.4827
TwoLeadECG,0.9895,0.9993,-0.0098,loss,0.0854,0.0066,0.0788,loss,0.4563,4.762,-4.3057,loss,56988,1.4821
TwoPatterns,1.0,1.0,0.0,tie,0.0793,0.0,0.0793,loss,1.6773,12.1597,-10.4824,loss,57136,1.4827
UWaveGestureLibraryAll,0.9623,0.9447,0.0176,win,0.2257,0.3434,-0.1177,win,1.7842,8.0814,-6.2972,loss,57432,1.4838
UWaveGestureLibraryX,0.8029,0.8099,-0.007,loss,0.5808,1.5956,-1.0148,win,1.4417,4.3044,-2.8627,loss,57432,1.4838
UWaveGestureLibraryY,0.7621,0.7528,0.0093,win,0.8103,1.8851,-1.0748,win,1.3588,4.101,-2.7422,loss,57432,1.4838
UWaveGestureLibraryZ,0.7451,0.7432,0.0019,tie,0.7171,1.9758,-1.2587,win,1.7622,4.6466,-2.8844,loss,57432,1.4838
Wafer,0.9943,0.998,-0.0037,tie,0.0764,0.017,0.0594,loss,0.5788,1.1361,-0.5573,loss,56988,1.4821
Wine,0.5,0.8185,-0.3185,loss,0.6932,0.9499,-0.2567,win,1.0726,26.9638,-25.8912,loss,56988,1.4821
WordSynonyms,0.7038,0.7417,-0.0379,loss,1.2241,1.8361,-0.612,win,1.3246,3.0425,-1.7179,loss,58690,1.4886
Worms,0.6623,0.7662,-0.1039,loss,0.936,1.5027,-0.5667,win,1.4819,3.1133,-1.6314,loss,57210,1.4829
WormsTwoClass,0.6883,0.7065,-0.0182,loss,0.6003,1.8387,-1.2384,win,0.9965,4.3009,-3.3044,loss,56988,1.4821
Yoga,0.887,0.9031,-0.0161,loss,0.2712,0.5236,-0.2524,win,1.1072,6.6224,-5.5152,loss,56988,1.4821
ACSF1,0.81,,,no_baseline,0.7076,,,no_baseline,-0.2165,,,no_baseline,57580,1.4843
AllGestureWiimoteX,0.7586,,,no_baseline,0.784,,,no_baseline,2.7029,,,no_baseline,57580,1.4843
AllGestureWiimoteY,0.7757,,,no_baseline,0.7652,,,no_baseline,2.8272,,,no_baseline,57580,1.4843
AllGestureWiimoteZ,0.7371,,,no_baseline,0.9351,,,no_baseline,2.2675,,,no_baseline,57580,1.4843
BME,1.0,,,no_baseline,0.0983,,,no_baseline,2.1245,,,no_baseline,57062,1.4824
Chinatown,0.9738,,,no_baseline,0.1349,,,no_baseline,0.2776,,,no_baseline,56988,1.4821
Crop,0.7183,,,no_baseline,0.8834,,,no_baseline,1.0328,,,no_baseline,58616,1.4883
DodgerLoopDay,0.5375,,,no_baseline,1.4146,,,no_baseline,0.8028,,,no_baseline,57358,1.4835
DodgerLoopGame,0.942,,,no_baseline,0.1839,,,no_baseline,1.6899,,,no_baseline,56988,1.4821
DodgerLoopWeekend,0.9855,,,no_baseline,0.1377,,,no_baseline,2.497,,,no_baseline,56988,1.4821
EOGHorizontalSignal,0.5221,,,no_baseline,1.6589,,,no_baseline,3.7568,,,no_baseline,57728,1.4849
EOGVerticalSignal,0.5138,,,no_baseline,1.6556,,,no_baseline,3.0917,,,no_baseline,57728,1.4849
EthanolLevel,0.726,,,no_baseline,0.6016,,,no_baseline,-0.8857,,,no_baseline,57136,1.4827
FreezerRegularTrain,0.986,,,no_baseline,0.0974,,,no_baseline,4.1431,,,no_baseline,56988,1.4821
FreezerSmallTrain,0.6796,,,no_baseline,0.8799,,,no_baseline,2.3924,,,no_baseline,56988,1.4821
Fungi,1.0,,,no_baseline,0.1117,,,no_baseline,1.4488,,,no_baseline,58172,1.4867
GestureMidAirD1,0.7231,,,no_baseline,1.0688,,,no_baseline,2.7021,,,no_baseline,58764,1.4889
GestureMidAirD2,0.6077,,,no_baseline,1.1878,,,no_baseline,2.1294,,,no_baseline,58764,1.4889
GestureMidAirD3,0.2615,,,no_baseline,2.4038,,,no_baseline,2.112,,,no_baseline,58764,1.4889
GesturePebbleZ1,0.9186,,,no_baseline,0.2918,,,no_baseline,1.6091,,,no_baseline,57284,1.4832
