dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7494,0.8317,-0.0823,loss,0.8932,1.028,-0.1348,win,-0.212,15.8906,-16.1026,loss,69055,1.5335
ArrowHead,0.8171,0.8377,-0.0206,loss,0.4913,1.0053,-0.514,win,1.3459,3.2005,-1.8546,loss,66505,1.5237
Beef,0.8667,0.8467,0.02,win,0.4541,0.965,-0.5109,win,-14.1818,5.4866,-19.6684,loss,66655,1.5242
BeetleFly,0.75,0.92,-0.17,loss,0.4233,0.2905,0.1328,loss,1.0108,1.2424,-0.2316,loss,66430,1.5234
BirdChicken,0.85,0.94,-0.09,loss,0.2691,0.1447,0.1244,loss,0.8805,3.3665,-2.486,loss,66430,1.5234
Car,0.9333,0.92,0.0133,win,0.3034,0.4259,-0.1225,win,2.6007,6.6173,-4.0166,loss,66580,1.524
CBF,1.0,0.9998,0.0002,tie,0.1001,0.0007,0.0994,loss,1.1051,3.5827,-2.4776,loss,66505,1.5237
ChlorineConcentration,0.6607,0.8576,-0.1969,loss,0.7693,0.9747,-0.2054,win,1.7826,2.1418,-0.3592,loss,66505,1.5237
CinCECGTorso,0.6703,0.8239,-0.1536,loss,0.7843,0.9547,-0.1704,win,-6.013,4.7745,-10.7875,loss,66580,1.524
Coffee,1.0,1.0,0.0,tie,0.0743,0.0,0.0743,loss,1.187,3.4889,-2.3019,loss,66430,1.5234
Computers,0.672,0.7688,-0.0968,loss,0.7483,2.1231,-1.3748,win,0.1317,3.4427,-3.311,loss,66430,1.5234
CricketX,0.8333,0.8267,0.0066,win,0.706,0.9717,-0.2657,win,1.7538,4.5072,-2.7534,loss,67180,1.5262
CricketY,0.8128,0.8231,-0.0103,loss,0.7193,0.9759,-0.2566,win,1.6477,4.8896,-3.2419,loss,67180,1.5262
CricketZ,0.8308,0.8574,-0.0266,loss,0.6135,0.8017,-0.1882,win,1.3522,4.7715,-3.4193,loss,67180,1.5262
DiatomSizeReduction,0.9739,0.9719,0.002,tie,0.202,0.0944,0.1076,loss,0.3947,1.0258,-0.6311,loss,66580,1.524
DistalPhalanxOutlineAgeGroup,0.7626,0.7151,0.0475,win,0.5576,2.5757,-2.0181,win,0.1528,2.4343,-2.2815,loss,66505,1.5237
DistalPhalanxOutlineCorrect,0.7572,0.7703,-0.0131,loss,0.5129,2.0843,-1.5714,win,-0.4504,0.6399,-1.0903,loss,66430,1.5234
DistalPhalanxTW,0.6978,0.6604,0.0374,win,0.8088,2.8454,-2.0366,win,-0.1202,3.1209,-3.2411,loss,66730,1.5245
Earthquakes,0.7338,0.7252,0.0086,win,0.6324,2.0855,-1.4531,win,0.4809,3.4927,-3.0118,loss,66430,1.5234
ECG200,0.75,0.896,-0.146,loss,0.5219,0.8048,-0.2829,win,0.194,2.8601,-2.6661,loss,66430,1.5234
ECG5000,0.9289,0.9419,-0.013,loss,0.3156,0.6952,-0.3796,win,1.5206,6.7025,-5.1819,loss,66655,1.5242
ECGFiveDays,0.9988,1.0,-0.0012,tie,0.0759,0.0,0.0759,loss,0.1386,4.7579,-4.6193,loss,66430,1.5234
ElectricDevices,0.7432,0.712,0.0312,win,0.883,5.5714,-4.6884,win,0.8131,4.6437,-3.8306,loss,66805,1.5248
FaceAll,0.8071,0.9528,-0.1457,loss,0.8966,0.2954,0.6012,loss,0.4078,3.9975,-3.5897,loss,67330,1.5267
FaceFour,0.8523,0.9591,-0.1068,loss,0.4267,0.468,-0.0413,win,0.5379,6.4735,-5.9356,loss,66580,1.524
FacesUCR,0.9478,0.9597,-0.0119,loss,0.3144,0.1909,0.1235,loss,0.4207,3.1775,-2.7568,loss,67330,1.5267
FiftyWords,0.7912,0.8352,-0.044,loss,0.9803,1.0207,-0.0404,win,1.4501,3.3053,-1.8552,loss,70030,1.5372
Fish,0.9771,0.9806,-0.0035,tie,0.38,0.2986,0.0814,loss,1.7899,5.4842,-3.6943,loss,66805,1.5248
FordA,0.9644,0.9541,0.0103,win,0.14,0.4398,-0.2998,win,1.1322,2.7146,-1.5824,loss,66430,1.5234
FordB,0.858,0.8499,0.0081,win,0.3347,1.4783,-1.1436,win,1.08,1.6448,-0.5648,loss,66430,1.5234
GunPoint,0.9933,0.9853,0.008,win,0.0868,0.0533,0.0335,loss,0.8947,4.0108,-3.1161,loss,66430,1.5234
Ham,0.781,0.7086,0.0724,win,0.4947,1.7929,-1.2982,win,0.288,3.9279,-3.6399,loss,66430,1.5234
HandOutlines,0.9135,0.9476,-0.0341,loss,0.2594,0.3636,-0.1042,win,3.6061,12.7111,-9.105,loss,66430,1.5234
Haptics,0.3734,0.524,-0.1506,loss,1.5454,3.2084,-1.663,win,1.6261,5.9916,-4.3655,loss,66655,1.5242
Herring,0.5938,0.5781,0.0157,win,0.9155,3.3086,-2.3931,win,6.0885,4.6122,1.4763,win,66430,1.5234
InlineSkate,0.3145,0.4913,-0.1768,loss,1.8703,2.5766,-0.7063,win,1.0081,8.1641,-7.156,loss,66805,1.5248
InsectWingbeatSound,0.5818,0.6146,-0.0328,loss,1.0745,2.598,-1.5235,win,0.5789,2.7342,-2.1553,loss,67105,1.5259
ItalyPowerDemand,0.965,0.9506,0.0144,win,0.1475,0.5572,-0.4097,win,-0.3109,4.1634,-4.4743,loss,66430,1.5234
LargeKitchenAppliances,0.912,0.9013,0.0107,win,0.3273,1.1387,-0.8114,win,3.0076,9.5087,-6.5011,loss,66505,1.5237
Lightning2,0.8852,0.8557,0.0295,win,0.3424,0.9113,-0.5689,win,0.3779,5.3802,-5.0023,loss,66430,1.5234
Lightning7,0.7945,0.8274,-0.0329,loss,0.6573,0.9538,-0.2965,win,0.2454,4.2526,-4.0072,loss,66805,1.5248
Mallat,0.8571,0.9688,-0.1117,loss,0.5506,0.1333,0.4173,loss,2.517,6.7384,-4.2214,loss,66880,1.5251
Meat,0.85,0.9867,-0.1367,loss,0.373,0.0539,0.3191,loss,1.7257,6.1908,-4.4651,loss,66505,1.5237
MedicalImages,0.7513,0.8021,-0.0508,loss,0.712,1.3284,-0.6164,win,0.306,2.8937,-2.5877,loss,67030,1.5256
MiddlePhalanxOutlineAgeGroup,0.513,0.5221,-0.0091,loss,0.9342,4.9601,-4.0259,win,-0.2204,0.9851,-1.2055,loss,66505,1.5237
MiddlePhalanxOutlineCorrect,0.8213,0.8103,0.011,win,0.4084,1.2175,-0.8091,win,0.5141,2.4532,-1.9391,loss,66430,1.5234
