dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7724,0.8317,-0.0593,loss,0.8311,1.028,-0.1969,win,-0.6449,15.8906,-16.5355,loss,69018,1.533
ArrowHead,0.8686,0.8377,0.0309,win,0.3909,1.0053,-0.6144,win,0.6735,3.2005,-2.527,loss,66502,1.5234
Beef,0.7667,0.8467,-0.08,loss,0.5222,0.965,-0.4428,win,-0.2962,5.4866,-5.7828,loss,66650,1.524
BeetleFly,0.9,0.92,-0.02,loss,0.324,0.2905,0.0335,loss,1.5871,1.2424,0.3447,win,66428,1.5232
BirdChicken,0.85,0.94,-0.09,loss,0.307,0.1447,0.1623,loss,1.5835,3.3665,-1.783,loss,66428,1.5232
Car,0.8833,0.92,-0.0367,loss,0.4163,0.4259,-0.0096,tie,2.7951,6.6173,-3.8222,loss,66576,1.5238
CBF,1.0,0.9998,0.0002,tie,0.0876,0.0007,0.0869,loss,1.7144,3.5827,-1.8683,loss,66502,1.5234
ChlorineConcentration,0.6164,0.8576,-0.2412,loss,0.8635,0.9747,-0.1112,win,1.7889,2.1418,-0.3529,loss,66502,1.5234
CinCECGTorso,0.7681,0.8239,-0.0558,loss,0.6263,0.9547,-0.3284,win,0.0106,4.7745,-4.7639,loss,66576,1.5238
Coffee,1.0,1.0,0.0,tie,0.0702,0.0,0.0702,loss,1.6866,3.4889,-1.8023,loss,66428,1.5232
Computers,0.596,0.7688,-0.1728,loss,0.824,2.1231,-1.2991,win,0.4482,3.4427,-2.9945,loss,66428,1.5232
CricketX,0.8359,0.8267,0.0092,win,0.6399,0.9717,-0.3318,win,1.3388,4.5072,-3.1684,loss,67168,1.5259
CricketY,0.8128,0.8231,-0.0103,loss,0.7112,0.9759,-0.2647,win,1.2074,4.8896,-3.6822,loss,67168,1.5259
CricketZ,0.8231,0.8574,-0.0343,loss,0.6649,0.8017,-0.1368,win,1.7135,4.7715,-3.058,loss,67168,1.5259
DiatomSizeReduction,0.9706,0.9719,-0.0013,tie,0.1848,0.0944,0.0904,loss,2.4392,1.0258,1.4134,win,66576,1.5238
