metric,value
model,seanet_spiketrend_topk__sea_mstcn_sep_spiketrend__sea_topk_conjunctive
millet85_datasets,85
mean_acc_ours,0.8089
mean_acc_millet,0.8445
acc_win_tie_loss,19/23/43
mean_loss_ours,0.546
mean_loss_millet,1.2241
loss_win_tie_loss,56/1/28
mean_aopcr_ours,1.1076
mean_aopcr_millet,4.5532
aopcr_win_tie_loss,6/0/79
overall_ucr_datasets,128
overall_mean_acc,0.8008
overall_mean_loss,0.6072
overall_mean_aopcr,1.197
webtraffic_acc,0.95
webtraffic_ndcg,0.756
params,67020
model_size_mb,1.525
