model,origin,web_acc,web_aopcr,web_ndcg,web_loss,ucr85_acc,ucr85_acc_wtl,params,size_mb,flops_m,infer_ms
sea_gated-me…ea_topk_conj,ours,0.9547,2.225,0.7496,0.2542,0.8083,19/13/53,61740,1.503,109.711,0.1279
sea_mstcn__mil_conj,half-ours,0.954,1.5019,0.6983,0.2623,0.8238,23/20/42,269083,3.539,523.596,0.3584
sea_gated-ma…ea_topk_conj,ours,0.952,2.2684,0.7185,0.3076,0.8108,22/16/47,61740,1.502,109.711,0.1279
sea_bottlene…ea_topk_conj,ours,0.95,2.303,0.7653,0.2626,,,41324,1.428,76.673,0.1301
sea_spiketre…ea_topk_conj,ours,0.95,2.316,0.756,0.2877,0.8089,19/23/43,67020,1.525,120.13,0.1322
sea_channels…ea_topk_conj,ours,0.948,2.3158,0.7571,0.3184,,,69768,1.536,134.088,0.138
sea_channels…ea_topk_conj,ours,0.948,2.2225,0.7171,0.2886,,,67592,1.527,121.452,0.135
sea_mstcn-cl…sea_cls_conj,ours,0.946,1.7219,0.686,0.2917,0.8292,27/19/39,269164,3.539,523.741,0.3591
sea_inputgat…ea_topk_conj,ours,0.946,2.8031,0.7482,0.2605,0.8131,23/16/46,58092,1.489,110.606,0.1298
sea_recon__sea_adapt_cls,ours,0.946,2.601,0.7679,0.2962,0.814,19/18/48,62935,1.51,120.25,0.1285
