model,avg_rank,win,tie,loss,mean_gap
mil_incept-paper__mil_conj,9.410714285714286,26,32,26,0.0001641008017819223
sea_mstcn-cl…sea_cls_conj,11.529761904761905,26,19,39,-0.015784708722027592
sea_mstcn__mil_add,11.982142857142858,23,19,42,-0.015104946817265697
sea_mstcn__mil_conj,12.43452380952381,22,20,42,-0.021164470626789507
mil_incept-m…et__mil_conj,12.595238095238095,13,25,46,-0.015854946817265687
sea_mstcn-ac…ea_adapt_cls,12.821428571428571,24,17,43,-0.03172161348393236
sea_gated-ma…sea_cls_conj,13.142857142857142,19,17,48,-0.02123113729345617
mil_resnet__mil_conj,13.535714285714286,25,11,48,-0.030101375388694267
sea_spiketre…ea_topk_conj,13.994047619047619,18,23,43,-0.036269232531551406
sea_inputgat…ea_topk_conj,14.077380952380953,22,16,46,-0.03200256586488474
sea_gated-ma…ea_topk_conj,14.285714285714286,21,16,47,-0.034308518245837125
mil_fcn__mil_conj,14.482142857142858,20,12,52,-0.03095732776964665
sea_recon__sea_adapt_cls,14.916666666666666,18,18,48,-0.031087089674408548
sea_gated-la…ea_adapt_cls,15.19047619047619,17,18,49,-0.04228113729345616
sea_gated-me…ea_topk_conj,15.285714285714286,18,13,53,-0.0368692325315514
sea_bottlene…a_gated_attn,15.291666666666666,22,14,48,-0.030441851579170454
sea_bottlene…ea_topk_conj,15.398809523809524,19,15,50,-0.035409708722027596
sea_inputgat…ea_adapt_cls,15.470238095238095,19,15,50,-0.029793835706154577
sea_bottlene…_sea_sm_conj,15.625,21,17,46,-0.034540661102979986
sea_recon__sea_topk_conj,15.69047619047619,18,19,47,-0.038858518245837116
sea_spiketre…ea_adapt_cls,15.761904761904763,23,12,49,-0.04416685157917046
sea_gated-la…ea_topk_conj,15.797619047619047,16,17,51,-0.04365732776964664
sea_mstcn__sea_topk_conj,15.797619047619047,19,11,54,-0.03585018491250379
sea_gated__sea_gated_attn,15.94047619047619,16,15,53,-0.04040732776964665
sea_gated-ga…sea_cls_conj,16.261904761904763,15,15,54,-0.05524185157917045
sea_spiketre…a_gated_attn,16.297619047619047,14,14,56,-0.04132994681726569
sea_gated-la…sea_cls_conj,16.410714285714285,16,12,56,-0.056495423007741866
sea_mstcn-so…_sea_sm_conj,16.571428571428573,16,13,55,-0.03202042300774188
